"symbol","date","open","high","low","close","adjclose","volume"
"ACN","12/29/2017",154.43,154.58,153.07,153.09,153.09,1452100
"ACN","12/28/2017",153.46,153.91,152.99,153.57,153.57,1124300
"ACN","12/27/2017",153.24,153.76,152.83,153.32,153.32,1690400
"ACN","12/26/2017",153.14,153.47,152.46,152.99,152.99,1514400
"ACN","12/22/2017",155.78,156,153.8,153.89,153.89,1818600
"ACN","12/21/2017",156.3,158.44,153.91,154.2,154.2,4563600
"ACN","12/20/2017",152.18,152.87,151.62,151.75,151.75,3206200
"ACN","12/19/2017",151.96,152.79,150.99,152.22,152.22,2063900
"ACN","12/18/2017",153.05,153.75,151.58,151.72,151.72,2277500
"ACN","12/15/2017",152.54,152.9,150.66,152.66,152.66,3498800
"ACN","12/14/2017",151.84,152.41,151.15,151.21,151.21,1612500
"ACN","12/13/2017",151.81,152.75,150.41,151.42,151.42,1596800
"ACN","12/12/2017",150.61,152.8,149.96,152.1,152.1,2317900
"ACN","12/11/2017",150.55,151.14,150.13,150.69,150.69,1983300
"ACN","12/08/2017",149.1,150.59,148.72,150.53,150.53,1736000
"ACN","12/07/2017",148,148.66,147.24,148.6,148.6,1526400
"ACN","12/06/2017",147.98,148.48,147.27,148.27,148.27,1363400
"ACN","12/05/2017",147.24,148.48,146.79,147.67,147.67,1398900
"ACN","12/04/2017",147.5,147.97,146.08,147.15,147.15,2099800
"ACN","12/01/2017",147.7,148.36,145.75,146.57,146.57,1971600
"ACN","11/30/2017",147,148.6,146.8,148.01,148.01,2837100
"ACN","11/29/2017",148.56,148.56,145.23,146.95,146.95,1973000
"ACN","11/28/2017",148.01,148.49,146.65,148.04,148.04,1925900
"ACN","11/27/2017",148,148.1,147.43,147.5,147.5,1352100
"ACN","11/24/2017",148.17,148.17,146.8,147.63,147.63,601800
"ACN","11/22/2017",147.85,148.32,147.03,147.11,147.11,1263700
"ACN","11/21/2017",147,148.47,146.41,148.01,148.01,1732000
"ACN","11/20/2017",145.37,146.85,144.88,146.57,146.57,1602600
"ACN","11/17/2017",146.39,146.79,144.75,145.45,145.45,2557100
"ACN","11/16/2017",144.96,147.28,144.6,147.04,147.04,2040100
"ACN","11/15/2017",144.41,145,143.68,144.26,144.26,1792800
"ACN","11/14/2017",143.41,145.5,142.77,144.96,144.96,1811900
"ACN","11/13/2017",143.61,144.28,143.16,143.92,143.92,1456200
"ACN","11/10/2017",143.52,144.07,142.7,143.89,143.89,922500
"ACN","11/09/2017",144.61,144.73,142.97,143.83,143.83,1288500
"ACN","11/08/2017",143.76,145,143,144.89,144.89,1208300
"ACN","11/07/2017",144.48,144.48,142.94,143.5,143.5,1284400
"ACN","11/06/2017",143.12,144.21,142.29,143.93,143.93,1488700
"ACN","11/03/2017",143.43,144.69,143.1,144.04,144.04,1336000
"ACN","11/02/2017",142.5,143.78,141.93,143.43,143.43,1585200
"ACN","11/01/2017",142.26,143.19,141.47,142.96,142.96,2060100
"ACN","10/31/2017",143.18,143.29,142.16,142.36,142.36,2255300
"ACN","10/30/2017",143.39,143.78,142.13,143.29,143.29,2145000
"ACN","10/27/2017",142.64,143.61,141.99,143.28,143.28,2367600
"ACN","10/26/2017",141.58,142.91,141.34,141.97,141.97,1965500
"ACN","10/25/2017",139,141.24,138.66,141.16,141.16,2354700
"ACN","10/24/2017",139.34,139.43,138.05,138.91,138.91,1215000
"ACN","10/23/2017",139.75,140.17,139.05,139.33,139.33,1518200
"ACN","10/20/2017",139.17,139.5,138.51,139.49,139.49,1368900
"ACN","10/19/2017",137.45,138.67,136.84,138.62,138.62,1351700
"ACN","10/18/2017",138.23,138.63,137.36,137.42,137.42,1584800
"ACN","10/18/2017",0,0,0,0,0,0
"ACN","10/17/2017",138.91,139.28,138.28,138.65,137.32,1446700
"ACN","10/16/2017",139.43,139.57,138.12,139.09,137.7558,1453100
"ACN","10/13/2017",139.58,140,138.2,139.2,137.8647,1687200
"ACN","10/12/2017",136.98,139.65,136.14,139.2,137.8647,2872200
"ACN","10/11/2017",137.19,137.52,136.41,136.91,135.5967,2648200
"ACN","10/10/2017",137,138,136.85,137.52,136.2009,1804100
"ACN","10/09/2017",136.25,137,136.03,136.99,135.6759,1012100
"ACN","10/06/2017",136.16,136.97,135.72,136.25,134.943,1275700
"ACN","10/05/2017",135.5,136.37,135.27,136.22,134.9133,1666100
"ACN","10/04/2017",134.52,135.68,134.46,135.16,133.8635,2193000
"ACN","10/03/2017",134.84,135.97,133.66,134.25,132.9622,2534900
"ACN","10/02/2017",135.23,135.84,134.62,135.44,134.1408,2667500
"ACN","09/29/2017",136.91,137.57,134.84,135.07,133.7744,3312000
"ACN","09/28/2017",132.79,137.68,132.27,136.32,135.0124,4246400
"ACN","09/27/2017",137.32,137.54,136.12,136.64,135.3293,3885500
"ACN","09/26/2017",138.5,138.7,136.75,136.84,135.5274,2911500
"ACN","09/25/2017",137.94,138.27,137.26,138.16,136.8347,2463200
"ACN","09/22/2017",136.68,138,136.5,137.9,136.5772,1918500
"ACN","09/21/2017",137.95,138.12,136.57,136.66,135.3491,2007000
"ACN","09/20/2017",136.01,138.15,136.01,138.01,136.6861,1997700
"ACN","09/19/2017",137,137.79,136.71,136.71,135.3986,2379600
"ACN","09/18/2017",135.49,137.35,135.49,136.94,135.6264,2496500
"ACN","09/15/2017",135,135.65,134.04,135.35,134.0517,3713500
"ACN","09/14/2017",134.5,135.24,134,134.86,133.5664,3290500
"ACN","09/13/2017",135.91,136.17,134.21,134.78,133.4871,3078600
"ACN","09/12/2017",136.56,136.95,136.01,136.22,134.9133,1658800
"ACN","09/11/2017",134.62,136.26,133.61,136.23,134.9232,1667200
"ACN","09/08/2017",134.41,134.97,133.65,133.72,132.4373,2178800
"ACN","09/07/2017",131.5,134.83,131.36,134.24,132.9523,2094800
"ACN","09/06/2017",130.21,131.38,130.05,131.12,129.8622,1549900
"ACN","09/05/2017",130.1,130.39,129.1,129.77,128.5252,2442400
"ACN","09/01/2017",130.95,130.95,129.87,130.1,128.852,1528300
"ACN","08/31/2017",130,130.92,129.83,130.76,129.5057,2003500
"ACN","08/30/2017",129.65,129.96,129.09,129.79,128.545,1149100
"ACN","08/29/2017",128.47,129.99,128.29,129.66,128.4162,1170800
"ACN","08/28/2017",129.71,129.9,129.02,129.24,128.0003,999900
"ACN","08/25/2017",129.32,129.78,129.18,129.39,128.1488,1252400
"ACN","08/24/2017",128.59,129.08,128.27,128.67,127.4357,1099000
"ACN","08/23/2017",128.68,129.14,128.28,128.36,127.1287,1543300
"ACN","08/22/2017",128.56,129.47,127.99,129.31,128.0696,959500
"ACN","08/21/2017",127.49,128.31,127.26,128.17,126.9405,1284500
"ACN","08/18/2017",127.73,128.29,127.27,127.44,126.2175,1263500
"ACN","08/17/2017",129.88,130.03,127.56,127.59,126.3661,1567200
"ACN","08/16/2017",129.66,130.49,129.4,130.03,128.7827,1935500
"ACN","08/15/2017",129.41,129.8,128.74,129.38,128.1389,1152500
"ACN","08/14/2017",128.88,129.87,128.63,129.69,128.446,1417200
"ACN","08/11/2017",128.67,128.71,128.12,128.2,126.9702,1105500
"ACN","08/10/2017",129.22,129.78,128.19,128.24,127.0099,1800900
"ACN","08/09/2017",129.01,129.78,128.92,129.62,128.3766,1216900
"ACN","08/08/2017",129.32,129.89,128.94,129.13,127.8913,1099500
"ACN","08/07/2017",129.83,130.35,129.38,129.68,128.436,952900
"ACN","08/04/2017",130.06,130.67,129.54,130.2,128.951,1283200
"ACN","08/03/2017",129.22,130.28,127.99,130.02,128.7728,3559700
"ACN","08/02/2017",129.7,129.84,128.53,128.62,127.3862,1318300
"ACN","08/01/2017",129.1,129.89,128.95,129.86,128.6143,3465700
"ACN","07/31/2017",128.5,129.16,128.19,128.82,127.5843,1584400
"ACN","07/28/2017",127.98,128.53,127.31,128.4,127.1683,1133900
"ACN","07/27/2017",129.7,129.7,127.42,128.16,126.9306,2097000
"ACN","07/26/2017",129,129.61,128.74,129.51,128.2677,1615300
"ACN","07/25/2017",128.25,129.31,127.68,128.95,127.7131,1600000
"ACN","07/24/2017",128.27,128.5,127.59,128.01,126.7821,1763200
