"symbol","date","open","high","low","close","adjclose","volume"
"ADSK","12/29/2017",105.04,105.65,104.53,104.83,104.83,1068400
"ADSK","12/28/2017",104.66,105.22,104.2,105.07,105.07,870900
"ADSK","12/27/2017",103.97,105.2,103.48,104.58,104.58,1111800
"ADSK","12/26/2017",103.45,104.15,103.19,103.8,103.8,1322200
"ADSK","12/22/2017",104.85,104.85,103.78,103.89,103.89,1533800
"ADSK","12/21/2017",105.58,105.67,103.65,104.43,104.43,3920700
"ADSK","12/20/2017",106.02,106.02,104.19,105.03,105.03,2513900
"ADSK","12/19/2017",107.24,107.84,105.37,105.39,105.39,1862000
"ADSK","12/18/2017",108.66,109.43,107.28,107.48,107.48,2362600
"ADSK","12/15/2017",106.55,108.93,106.47,108.4,108.4,2704200
"ADSK","12/14/2017",105.95,107.12,105.95,106.25,106.25,1503900
"ADSK","12/13/2017",107.03,107.89,105.51,106.02,106.02,1982900
"ADSK","12/12/2017",106.32,107.98,105.58,106.33,106.33,2026100
"ADSK","12/11/2017",106.87,107.95,106.15,106.83,106.83,2412300
"ADSK","12/08/2017",109.6,110.17,106.69,107.16,107.16,3124700
"ADSK","12/07/2017",106.2,110.18,106,109.61,109.61,3074200
"ADSK","12/06/2017",105.73,107.83,105.73,106.92,106.92,1686600
"ADSK","12/05/2017",107.91,109.49,106.55,106.59,106.59,3002500
"ADSK","12/04/2017",108,108.69,105.16,107.95,107.95,3986000
"ADSK","12/01/2017",108.81,110.12,106.29,107.06,107.06,4922900
"ADSK","11/30/2017",109.64,111.58,106.54,109.7,109.7,8481000
"ADSK","11/29/2017",114.03,114.46,106.2,109.34,109.34,19487000
"ADSK","11/28/2017",130.76,131.1,127.49,129.95,129.95,4976600
"ADSK","11/27/2017",130.19,130.92,129.26,130.24,130.24,2337200
"ADSK","11/24/2017",127.74,129.54,127.65,129.5,129.5,1013600
"ADSK","11/22/2017",128.01,128.69,126.84,127.77,127.77,1469500
"ADSK","11/21/2017",127.13,128.17,126.97,127.71,127.71,1642900
"ADSK","11/20/2017",127.51,128.28,126.11,126.28,126.28,1786200
"ADSK","11/17/2017",127.49,127.92,125.87,127.49,127.49,1460900
"ADSK","11/16/2017",124.79,127,124.64,127,127,1545200
"ADSK","11/15/2017",123.87,125.01,122.44,124.02,124.02,1442100
"ADSK","11/14/2017",124.4,124.82,123.16,123.87,123.87,1225300
"ADSK","11/13/2017",124.34,125.02,122.69,124.64,124.64,1216700
"ADSK","11/10/2017",121.95,123.32,121.31,123.11,123.11,929400
"ADSK","11/09/2017",122.9,123.09,120.01,122.4,122.4,1465500
"ADSK","11/08/2017",123.49,124.21,123.17,123.84,123.84,892500
"ADSK","11/07/2017",124.26,124.54,122.61,123.4,123.4,828400
"ADSK","11/06/2017",125,125.09,123.19,123.82,123.82,1003200
"ADSK","11/03/2017",124.5,125.5,124.11,124.85,124.85,1309700
"ADSK","11/02/2017",125.5,125.65,123.51,124.72,124.72,1736000
"ADSK","11/01/2017",125.63,126.44,123.4,124.78,124.78,1622800
"ADSK","10/31/2017",124.28,125.01,123.42,124.96,124.96,1839900
"ADSK","10/30/2017",123.04,124.28,121.9,123.91,123.91,1610500
"ADSK","10/27/2017",121.61,123.97,121.4,123.58,123.58,1523700
