"symbol","date","open","high","low","close","adjclose","volume"
"AEP","12/29/2017",73.87,74,73.42,73.57,73.57,1415900
"AEP","12/28/2017",73.43,73.68,73.07,73.65,73.65,1615000
"AEP","12/27/2017",73.21,73.49,72.97,73.24,73.24,2156400
"AEP","12/26/2017",73.75,73.88,72.94,72.99,72.99,1077800
"AEP","12/22/2017",73.9,74.24,73.62,73.65,73.65,1801500
"AEP","12/21/2017",74.07,74.32,73.62,73.74,73.74,4431100
"AEP","12/20/2017",74.5,74.86,74.3,74.5,74.5,3630900
"AEP","12/19/2017",75.71,75.75,74.49,74.51,74.51,1684400
"AEP","12/18/2017",76.67,76.91,75.44,75.5,75.5,2489700
"AEP","12/15/2017",75.86,76.9,75.81,76.54,76.54,3894800
"AEP","12/14/2017",76.72,76.72,75.77,76.29,76.29,1942800
"AEP","12/13/2017",76.65,77.07,76.27,76.51,76.51,2301700
"AEP","12/12/2017",76.8,77.22,76.01,76.02,76.02,2105700
"AEP","12/11/2017",76.8,77.19,76.29,77.08,77.08,1670600
"AEP","12/08/2017",76.43,76.94,76.19,76.93,76.93,1459600
"AEP","12/07/2017",76.65,76.74,75.93,76.61,76.61,2041300
"AEP","12/06/2017",76.51,76.96,76.24,76.73,76.73,3733400
"AEP","12/05/2017",77.47,77.59,75.86,76.27,76.27,2630400
"AEP","12/04/2017",77.58,78.07,77.17,77.39,77.39,2558300
"AEP","12/01/2017",77.78,77.97,76.78,77.24,77.24,2082100
"AEP","11/30/2017",77.03,77.73,76.9,77.63,77.63,3201800
"AEP","11/29/2017",76.88,77.53,76.58,77.14,77.14,1568400
"AEP","11/28/2017",76.95,77.27,76.78,77.02,77.02,3039500
"AEP","11/27/2017",76.72,76.88,76.45,76.74,76.74,1629200
"AEP","11/24/2017",76.59,76.99,76.41,76.47,76.47,732600
"AEP","11/22/2017",76.68,76.89,76.35,76.59,76.59,1065200
"AEP","11/21/2017",76.49,77.06,76.46,76.77,76.77,2080900
"AEP","11/20/2017",76.5,76.63,76.02,76.44,76.44,1614100
"AEP","11/17/2017",76.49,76.89,76.1,76.38,76.38,1720900
"AEP","11/16/2017",76.57,76.79,76.31,76.76,76.76,1750100
"AEP","11/15/2017",77.57,77.93,76.46,76.59,76.59,2187200
"AEP","11/14/2017",75.93,77.44,75.78,77.39,77.39,2050500
"AEP","11/13/2017",74.77,76.3,74.7,76.13,76.13,2280700
"AEP","11/10/2017",74.98,75.12,74.64,74.78,74.78,2133500
"AEP","11/09/2017",74.86,75.5,74.72,75.49,75.49,1728700
"AEP","11/09/2017",0,0,0,0,0,0
"AEP","11/08/2017",75.1,75.84,74.89,75.52,74.89999,2491100
"AEP","11/07/2017",73.9,75.19,73.56,75.19,74.57271,2239000
"AEP","11/06/2017",74.07,74.15,73.56,73.73,73.12469,2339800
"AEP","11/03/2017",73.66,74.62,73.66,74.08,73.47182,2312100
"AEP","11/02/2017",74.05,74.92,73.67,73.72,73.11478,4226100
"AEP","11/01/2017",74.42,74.61,73.71,74.01,73.4024,1614700
"AEP","10/31/2017",74.02,74.58,73.77,74.41,73.79912,2314000
"AEP","10/30/2017",73.86,74.27,73.57,74.17,73.56108,1541400
"AEP","10/27/2017",73.59,74.51,73.41,74.02,73.41231,1839300
"AEP","10/26/2017",73.84,74.9,73.67,73.76,73.15445,2303900
"AEP","10/25/2017",73.83,73.83,72.53,73.58,72.97593,3179500
"AEP","10/24/2017",73.8,74.05,73.44,73.97,73.36272,2107900
"AEP","10/23/2017",73.97,74.11,73.66,73.92,73.31313,1787300
"AEP","10/20/2017",73.71,73.99,73.58,73.98,73.37264,1568300
"AEP","10/19/2017",73.14,73.85,72.95,73.83,73.22388,1686200
"AEP","10/18/2017",73.09,73.2,72.61,73.01,72.41061,1100500
"AEP","10/17/2017",72.84,73.31,72.52,73.2,72.59904,1721900
"AEP","10/16/2017",72.97,73.25,72.55,73.12,72.51971,1464700
"AEP","10/13/2017",73.55,73.91,72.93,73.16,72.55938,1943800
"AEP","10/12/2017",72.81,73.4,72.74,73.34,72.73789,1822000
"AEP","10/11/2017",72.41,73.19,72.36,72.76,72.16266,1975100
"AEP","10/10/2017",71.7,72.39,71.45,72.39,71.79569,2163600
"AEP","10/09/2017",71.55,71.9,71.48,71.74,71.15103,1603300
"AEP","10/06/2017",71.21,71.53,70.94,71.53,70.94276,1813600
"AEP","10/05/2017",71.48,71.63,71.1,71.49,70.90308,2305100
"AEP","10/04/2017",70.34,71.53,70.11,71.52,70.93283,3066100
"AEP","10/03/2017",70.35,70.35,69.55,70.29,69.71294,2406000
"AEP","10/02/2017",70.46,70.68,70.16,70.43,69.85178,1446600
"AEP","09/29/2017",70.25,70.53,70.03,70.24,69.66335,1624900
"AEP","09/28/2017",70.2,70.79,69.96,70.5,69.92121,1820100
"AEP","09/27/2017",70.73,70.81,69.93,70.31,69.73277,2339600
"AEP","09/26/2017",71.05,71.21,70.67,71.19,70.60555,2038900
"AEP","09/25/2017",70.63,71.2,70.5,71.04,70.45678,3057100
"AEP","09/22/2017",70.9,71.43,70.44,70.57,69.99064,3052200
"AEP","09/21/2017",71.68,71.92,71.37,71.45,70.86341,1942600
"AEP","09/20/2017",72.15,72.22,71.28,71.68,71.09152,2446900
"AEP","09/19/2017",72.33,72.38,71.8,71.98,71.38906,2268900
"AEP","09/18/2017",73,73.11,71.61,72.27,71.67667,2230700
"AEP","09/15/2017",73.07,73.18,72.46,73.03,72.43044,2730900
"AEP","09/14/2017",72.44,72.98,72.29,72.9,72.30151,2234400
"AEP","09/13/2017",73.14,73.34,72.37,72.59,71.99405,3147600
"AEP","09/12/2017",74.49,74.49,72.65,73.11,72.50978,2166500
"AEP","09/11/2017",74.18,74.59,74.07,74.55,73.93797,2108600
"AEP","09/08/2017",73.73,74.37,73.59,74.19,73.58092,1507000
"AEP","09/07/2017",73.47,73.97,73.36,73.83,73.22388,2286000
"AEP","09/06/2017",74.24,74.24,73.24,73.3,72.69823,2491900
"AEP","09/05/2017",73.66,74.1,73.34,74.09,73.48174,2824700
"AEP","09/01/2017",73.84,73.95,73.27,73.54,72.93626,1745400
"AEP","08/31/2017",73.87,73.95,73.62,73.63,73.02551,2787400
"AEP","08/30/2017",73.96,74.03,73.71,73.75,73.14453,1356800
"AEP","08/29/2017",74.16,74.29,73.82,73.94,73.33297,1748900
"AEP","08/28/2017",73.75,74.11,73.59,74.1,73.49165,1768100
"AEP","08/25/2017",73.71,73.77,73.41,73.57,72.96601,2067800
"AEP","08/24/2017",73.28,73.66,73.09,73.39,72.78748,2123000
"AEP","08/23/2017",72.76,73.4,72.75,73.31,72.70814,2379900
"AEP","08/22/2017",72.64,72.87,72.42,72.81,72.21224,1959100
"AEP","08/21/2017",72.23,72.78,72.13,72.67,72.07339,1808200
"AEP","08/18/2017",71.93,72.63,71.71,72.16,71.56759,2871400
"AEP","08/17/2017",71.99,72.26,71.78,72,71.4089,3318500
"AEP","08/16/2017",71.52,72.04,71.38,72.02,71.42873,1692400
"AEP","08/15/2017",70.77,71.54,70.71,71.52,70.93283,1289300
"AEP","08/14/2017",70.59,71.15,70.46,71.05,70.4667,1862400
"AEP","08/11/2017",71.34,71.34,70.37,70.56,69.98071,2007600
"AEP","08/10/2017",70.85,71.42,70.55,71.36,70.77415,2053500
"AEP","08/09/2017",71.61,71.61,70.86,70.96,70.37743,2492200
"AEP","08/08/2017",70.8,71.39,70.56,71.35,70.76423,2398000
"AEP","08/08/2017",0,0,0,0,0,0
"AEP","08/07/2017",70.88,71.39,70.64,71.39,70.21874,2007000
"AEP","08/04/2017",70.98,71.05,70.32,70.88,69.71711,1879500
"AEP","08/03/2017",70.75,71.2,70.61,71.2,70.03186,1794100
"AEP","08/02/2017",70.37,71.03,70.08,70.93,69.7663,1405000
"AEP","08/01/2017",70.59,70.83,70.37,70.62,69.46138,1629000
"AEP","07/31/2017",70.45,70.7,70.03,70.54,69.38269,2268900
"AEP","07/28/2017",70.62,70.81,70.03,70.43,69.2745,2570900
"AEP","07/27/2017",69.37,70.8,69.36,70.67,69.51056,4203300
"AEP","07/26/2017",68.69,69.51,68.59,69.45,68.31058,1962900
"AEP","07/25/2017",69.22,69.31,68.71,68.84,67.71059,1614100
"AEP","07/24/2017",70,70,68.9,69.19,68.05484,4129500
"AEP","07/21/2017",68.74,69.99,68.68,69.98,68.83189,2922300
"AEP","07/20/2017",68.77,68.83,68.41,68.7,67.57288,3771000
"AEP","07/19/2017",68.45,68.77,68.43,68.65,67.5237,2981300
