"symbol","date","open","high","low","close","adjclose","volume"
"AIV","12/29/2017",43.65,43.92,43.5,43.71,43.71,456500
"AIV","12/28/2017",43.49,43.62,43.19,43.59,43.59,622700
"AIV","12/27/2017",43.53,43.57,43.28,43.36,43.36,622700
"AIV","12/26/2017",43.25,43.43,43.14,43.33,43.33,457300
"AIV","12/22/2017",43.16,43.53,43.07,43.19,43.19,1301700
"AIV","12/21/2017",43.37,43.37,42.9,43.15,43.15,1580500
"AIV","12/20/2017",43.21,43.37,43.13,43.26,43.26,1372600
"AIV","12/19/2017",44.25,44.33,43.04,43.24,43.24,885300
"AIV","12/18/2017",44.04,44.41,44.03,44.22,44.22,937200
"AIV","12/15/2017",43.95,44.04,43.73,43.84,43.84,2357500
"AIV","12/14/2017",43.81,43.95,43.68,43.85,43.85,433500
"AIV","12/13/2017",44,44.06,43.71,43.89,43.89,767500
"AIV","12/12/2017",43.65,44.12,43.59,43.88,43.88,1303500
"AIV","12/11/2017",44.11,44.27,43.87,44.26,44.26,979100
"AIV","12/08/2017",43.94,44.25,43.8,44.13,44.13,750900
"AIV","12/07/2017",43.64,43.94,42.95,43.85,43.85,826700
"AIV","12/06/2017",43.46,43.62,43.37,43.6,43.6,656400
"AIV","12/05/2017",43.97,44.09,43.28,43.39,43.39,843800
"AIV","12/04/2017",44.14,44.23,43.89,43.94,43.94,988700
"AIV","12/01/2017",44.23,44.48,43.83,43.99,43.99,999600
"AIV","11/30/2017",44.3,44.48,43.9,44.09,44.09,940200
"AIV","11/29/2017",43.97,44.47,43.7,44.29,44.29,747300
"AIV","11/28/2017",44.38,44.54,43.98,44.13,44.13,675700
"AIV","11/27/2017",44.84,44.86,44.39,44.4,44.4,578700
"AIV","11/24/2017",44.86,44.91,44.71,44.75,44.75,221800
"AIV","11/22/2017",44.74,44.99,44.35,44.64,44.64,606600
"AIV","11/21/2017",44.38,45.12,44.38,44.92,44.92,1177600
"AIV","11/20/2017",44.17,44.31,44,44.25,44.25,754400
"AIV","11/17/2017",44.52,44.75,43.83,44.19,44.19,3498200
"AIV","11/16/2017",44.23,44.79,43.98,44.69,44.69,964800
"AIV","11/16/2017",0,0,0,0,0,0
"AIV","11/15/2017",45.32,45.43,44.55,44.55,44.19,847800
"AIV","11/14/2017",45.41,45.64,45.22,45.23,44.86451,610200
"AIV","11/13/2017",45.25,45.6,45.22,45.47,45.10257,1002500
"AIV","11/10/2017",44.94,45.41,44.87,45.13,44.76532,764400
"AIV","11/09/2017",45.11,45.49,45.11,45.21,44.84467,694400
"AIV","11/08/2017",44.84,45.45,44.84,45.36,44.99346,657800
"AIV","11/07/2017",44.74,45.04,44.57,44.9,44.53717,862200
"AIV","11/06/2017",44.85,44.94,44.4,44.74,44.37847,1330600
"AIV","11/03/2017",43.31,44.6,43.31,44.22,43.86267,1061400
"AIV","11/02/2017",44.43,44.5,43.4,43.6,43.24768,981400
"AIV","11/01/2017",44.08,44.5,43.8,44.34,43.9817,1014500
"AIV","10/31/2017",44.26,44.35,43.72,43.98,43.62461,1262300
