"symbol","date","open","high","low","close","adjclose","volume"
"AKAM","12/29/2017",65.5,65.65,65.01,65.04,65.04,881900
"AKAM","12/28/2017",65.29,65.55,64.92,65.43,65.43,1345200
"AKAM","12/27/2017",65.4,65.5,64.86,65.19,65.19,1280900
"AKAM","12/26/2017",65.58,65.87,65.04,65.42,65.42,2979500
"AKAM","12/22/2017",65.76,66.32,65.25,65.45,65.45,1665900
"AKAM","12/21/2017",66.43,66.77,65.66,65.84,65.84,2272700
"AKAM","12/20/2017",67.45,67.57,66.52,66.63,66.63,3078600
"AKAM","12/19/2017",65.87,67.71,65.1,66.82,66.82,5788100
"AKAM","12/18/2017",66.33,68.03,64.83,65.67,65.67,15351300
"AKAM","12/15/2017",56.9,57.99,56.72,57.76,57.76,10679500
"AKAM","12/14/2017",56.79,57.22,56.73,56.76,56.76,1750100
"AKAM","12/13/2017",56.98,57.18,56.56,56.66,56.66,2633200
"AKAM","12/12/2017",56.73,57.12,56.5,57.02,57.02,1605300
"AKAM","12/11/2017",56.59,57.01,56.31,56.55,56.55,2094700
"AKAM","12/08/2017",56.75,57.12,56.37,56.5,56.5,1804500
"AKAM","12/07/2017",55.65,56.51,55.51,56.44,56.44,1555400
"AKAM","12/06/2017",55.89,56.55,55.51,55.77,55.77,1727400
"AKAM","12/05/2017",56.78,56.86,56.15,56.44,56.44,1914800
"AKAM","12/04/2017",55.93,56.95,55.65,56.44,56.44,2517500
"AKAM","12/01/2017",55.43,55.88,54.74,55.79,55.79,2329300
"AKAM","11/30/2017",55.03,56.2,55.03,55.78,55.78,2262300
"AKAM","11/29/2017",55.7,56.04,55.06,55.34,55.34,1824500
"AKAM","11/28/2017",56.16,56.16,54.91,55.36,55.36,2516400
"AKAM","11/27/2017",55.25,55.72,54.39,55.35,55.35,4297000
"AKAM","11/24/2017",56,56,55.59,55.79,55.79,435100
"AKAM","11/22/2017",55.73,56,55.52,55.69,55.69,1702000
"AKAM","11/21/2017",55.61,55.7,55.35,55.68,55.68,1135200
"AKAM","11/20/2017",55.6,55.6,55,55.38,55.38,1921900
"AKAM","11/17/2017",55.37,55.56,55.18,55.44,55.44,3895100
"AKAM","11/16/2017",54.21,55.3,53.92,55.26,55.26,2761500
"AKAM","11/15/2017",53.5,54.14,53.34,54.01,54.01,2435300
"AKAM","11/14/2017",53.43,53.87,53.08,53.75,53.75,1682800
"AKAM","11/13/2017",54.11,54.23,53.46,53.52,53.52,3014700
"AKAM","11/10/2017",53.8,54.32,53.7,54.26,54.26,1976400
"AKAM","11/09/2017",53.66,53.87,53.01,53.85,53.85,1790300
"AKAM","11/08/2017",53.85,53.93,53.23,53.76,53.76,1437900
"AKAM","11/07/2017",54,54.02,53.5,53.76,53.76,1655700
"AKAM","11/06/2017",53.12,53.76,52.92,53.74,53.74,1304800
"AKAM","11/03/2017",52.26,53.1,52.02,53.01,53.01,1608700
"AKAM","11/02/2017",52.55,52.61,51.79,52.29,52.29,1552900
"AKAM","11/01/2017",52.7,53.07,52.34,52.69,52.69,1610400
"AKAM","10/31/2017",52.4,52.6,52.2,52.25,52.25,1752800
"AKAM","10/30/2017",53.11,53.13,52.15,52.46,52.46,2073600
"AKAM","10/27/2017",53.96,54.01,52.29,53,53,2811500
"AKAM","10/26/2017",54.02,54.65,52.88,53.34,53.34,3689600
"AKAM","10/25/2017",55.65,56.85,53.84,54,54,10270100
"AKAM","10/24/2017",51.5,52.09,50.96,51.91,51.91,4786300
"AKAM","10/23/2017",51.89,52.09,51.41,51.46,51.46,2695300
"AKAM","10/20/2017",51.86,52.1,51.63,51.87,51.87,1901200
"AKAM","10/19/2017",50.92,51.68,50.83,51.65,51.65,1278000
"AKAM","10/18/2017",50.7,51.19,50.56,51,51,1318800
"AKAM","10/17/2017",50.65,50.92,50.39,50.58,50.58,911500
"AKAM","10/16/2017",50.84,51.1,50.7,50.73,50.73,1425700
"AKAM","10/13/2017",50.66,50.89,50.58,50.76,50.76,1509500
"AKAM","10/12/2017",50.41,50.93,50.22,50.52,50.52,1171000
"AKAM","10/11/2017",49.86,50.52,49.59,50.52,50.52,2437000
"AKAM","10/10/2017",50.73,51.11,50.59,51.03,51.03,1025200
"AKAM","10/09/2017",50.59,50.59,50.11,50.31,50.31,1186800
"AKAM","10/06/2017",50.7,50.87,50.21,50.63,50.63,1353300
"AKAM","10/05/2017",50.6,50.86,50.34,50.78,50.78,1409500
"AKAM","10/04/2017",50.49,50.7,50.26,50.5,50.5,1373200
"AKAM","10/03/2017",50.14,50.64,49.91,50.5,50.5,1797900
"AKAM","10/02/2017",49.35,50.08,48.72,50,50,2610100
"AKAM","09/29/2017",47.59,48.82,47.58,48.72,48.72,1821300
"AKAM","09/28/2017",47.62,47.71,46.97,47.68,47.68,1780600
"AKAM","09/27/2017",48.12,48.13,47.44,47.75,47.75,1562500
"AKAM","09/26/2017",48.21,48.34,47.76,47.83,47.83,1872900
"AKAM","09/25/2017",48.2,48.6,47.44,47.92,47.92,2562500
"AKAM","09/22/2017",47.26,48.38,47.01,48.33,48.33,1657100
"AKAM","09/21/2017",47.59,47.89,47.5,47.52,47.52,1110200
"AKAM","09/20/2017",47.69,47.9,47.34,47.67,47.67,1405900
"AKAM","09/19/2017",47.77,47.82,47.29,47.69,47.69,1699500
"AKAM","09/18/2017",47.39,47.91,47.36,47.57,47.57,1397400
"AKAM","09/15/2017",46.56,47.36,46.49,47.34,47.34,2697600
"AKAM","09/14/2017",46.57,46.66,46.13,46.6,46.6,1521100
"AKAM","09/13/2017",46.74,46.91,46.53,46.68,46.68,1133800
