"symbol","date","open","high","low","close","adjclose","volume"
"AON","12/29/2017",134.85,135.29,133.97,134,134,723800
"AON","12/28/2017",134.5,134.68,133.68,134.52,134.52,772000
"AON","12/27/2017",133.61,134.13,133.15,133.92,133.92,753000
"AON","12/26/2017",133.66,133.91,133.11,133.3,133.3,510600
"AON","12/22/2017",134.99,135.58,133.2,133.35,133.35,1389900
"AON","12/21/2017",136.87,137.36,135.18,135.34,135.34,884100
"AON","12/20/2017",137.63,137.65,136.31,136.39,136.39,842600
"AON","12/19/2017",137.43,138.31,136.22,136.87,136.87,1298900
"AON","12/18/2017",138.57,139.62,136.9,137.19,137.19,1477000
"AON","12/15/2017",137.53,139.65,137.31,138.39,138.39,3056900
"AON","12/14/2017",136.68,137.37,135.98,136.58,136.58,1449900
"AON","12/13/2017",138.3,138.66,136.47,136.56,136.56,1236400
"AON","12/12/2017",138.85,138.97,138.12,138.5,138.5,1081400
"AON","12/11/2017",138.24,138.69,137.8,138.3,138.3,1041500
"AON","12/08/2017",138.99,138.99,138,138.49,138.49,663200
"AON","12/07/2017",138.8,139.14,137.33,138.46,138.46,966100
"AON","12/06/2017",139.68,139.68,138.75,139.11,139.11,760500
"AON","12/05/2017",139.87,139.87,138.27,139.24,139.24,1010800
"AON","12/04/2017",142.94,143.39,139.58,139.67,139.67,1501300
"AON","12/01/2017",140.73,142.56,139.7,142.24,142.24,1571300
"AON","11/30/2017",141.2,141.31,139.24,140.22,140.22,2817200
"AON","11/29/2017",140.01,141.19,139.96,140.47,140.47,961600
"AON","11/28/2017",138.26,140.55,138.14,139.94,139.94,943900
"AON","11/27/2017",138.55,138.9,138.11,138.12,138.12,1384100
"AON","11/24/2017",139.63,139.77,138.34,138.63,138.63,884100
"AON","11/22/2017",141.55,141.95,139.09,139.24,139.24,1042100
"AON","11/21/2017",142.05,142.07,141.14,141.44,141.44,1358700
"AON","11/20/2017",141.67,142.39,140.89,142.05,142.05,1031500
"AON","11/17/2017",140.78,141.49,140.09,141.18,141.18,912100
"AON","11/16/2017",143.16,143.59,141.22,141.28,141.28,1026900
"AON","11/15/2017",143.29,143.99,142.55,142.83,142.83,963900
"AON","11/14/2017",141.74,143.77,141.43,143.54,143.54,799200
"AON","11/13/2017",142.56,144.09,141.82,141.89,141.89,971800
"AON","11/10/2017",142.84,144.02,142.41,143.25,143.25,995700
"AON","11/09/2017",140.59,143.59,140.07,143.46,143.46,1375000
"AON","11/08/2017",140.64,141.22,139.86,140.87,140.87,1364600
"AON","11/07/2017",140.28,140.99,139.89,140.21,140.21,1212500
"AON","11/06/2017",138.54,141.4,138.25,140.18,140.18,1411400
"AON","11/03/2017",138.88,139.24,137.91,138.64,138.64,1614200
"AON","11/02/2017",142.92,143.29,137.85,138.96,138.96,2834300
"AON","11/01/2017",143.82,144.71,142.69,142.84,142.84,1085700
"AON","10/31/2017",142.73,144.62,142.69,143.43,143.43,1491400
"AON","10/31/2017",0,0,0,0,0,0
"AON","10/30/2017",143.47,145.53,143,143.45,143.09,1532600
"AON","10/27/2017",146.75,147.98,144.91,146.18,145.8131,1738700
"AON","10/26/2017",152.15,152.15,149.8,151.21,150.8305,1510200
"AON","10/25/2017",151.9,152.34,150.88,151.65,151.2694,928300
"AON","10/24/2017",151.91,152.78,151.85,152.38,151.9976,790500
"AON","10/23/2017",151.66,152.47,151.28,151.94,151.5587,650300
"AON","10/20/2017",151.65,151.85,150.98,151.54,151.1597,773200
"AON","10/19/2017",149.32,150.86,148.92,150.82,150.4415,637300
"AON","10/18/2017",149.25,149.96,148.84,149.6,149.2246,998200
"AON","10/17/2017",150.04,150.15,148.5,149.2,148.8256,852000
"AON","10/16/2017",149.95,150.16,148.89,149.95,149.5737,521700
"AON","10/13/2017",149.52,150.12,148.93,149.38,149.0051,694400
"AON","10/12/2017",147.59,149.5,147.55,149.24,148.8655,1461400
"AON","10/11/2017",147.66,147.81,146.94,147.77,147.3992,801100
"AON","10/10/2017",147.32,147.65,147,147.63,147.2595,830300
"AON","10/09/2017",146.83,147.87,146.76,147.35,146.9802,555000
"AON","10/06/2017",147.12,147.2,146.5,146.84,146.4715,752200
"AON","10/05/2017",146.86,147.21,146.5,146.64,146.272,1394100
"AON","10/04/2017",147.29,147.29,146.03,146.65,146.282,785700
"AON","10/03/2017",146.98,147.51,146.45,147.31,146.9403,712800
"AON","10/02/2017",146.28,147.52,145.56,147.29,146.9203,930900
"AON","09/29/2017",146.7,147.41,145.52,146.1,145.7334,1292900
"AON","09/28/2017",146.77,147.21,146.2,146.95,146.5812,1033800
"AON","09/27/2017",147.66,147.66,146.02,146.43,146.0625,971500
"AON","09/26/2017",146.04,147.4,145.35,146.28,145.9129,1486000
"AON","09/25/2017",145.32,145.93,144.72,145.22,144.8556,804100
"AON","09/22/2017",145,146.16,143.6,146.02,145.6535,778900
"AON","09/21/2017",146.02,146.57,144.55,144.94,144.5763,1123700
"AON","09/20/2017",144.9,146.21,144.73,145.98,145.6136,1137300
"AON","09/19/2017",144.5,145.2,144.19,144.44,144.0775,1182100
"AON","09/18/2017",143.56,144.16,142.97,144.05,143.6885,852700
"AON","09/15/2017",142.14,143.45,141.89,143.31,142.9503,2573200
"AON","09/14/2017",142.82,142.82,141.23,142.14,141.7833,1138000
"AON","09/13/2017",142.69,143.25,142,142.99,142.6312,933400
"AON","09/12/2017",142.63,143.03,142.28,142.89,142.5314,875300
"AON","09/11/2017",143.12,144.81,141.9,142.66,142.302,1290600
"AON","09/08/2017",138.6,143.13,138.52,142.64,142.282,1630600
"AON","09/07/2017",140.26,140.56,138.31,138.61,138.2621,1142700
"AON","09/06/2017",140.91,141.11,139.88,140.23,139.8781,1072400
"AON","09/05/2017",138.77,141.06,138.48,140.35,139.9978,1361200
"AON","09/01/2017",139.45,139.74,138.82,138.86,138.5115,825000
"AON","08/31/2017",138.3,139.27,138.1,139.16,138.8108,1403700
"AON","08/30/2017",137.79,138.67,137.55,138.15,137.8033,733900
"AON","08/29/2017",137.5,138.2,137.02,137.9,137.5539,944400
"AON","08/28/2017",138.34,138.84,137.97,138.38,138.0327,656700
"AON","08/25/2017",138.41,138.69,137.85,138.05,137.7036,726300
"AON","08/24/2017",138.35,138.82,137.72,137.78,137.4342,724800
"AON","08/23/2017",139.01,139.35,138.13,138.22,137.8731,807000
"AON","08/22/2017",138.65,139.63,138.18,139.57,139.2197,1153900
"AON","08/21/2017",136.74,138.35,136.25,138.17,137.8232,1278900
"AON","08/18/2017",136.5,137.61,136.32,136.52,136.1774,1345600
"AON","08/17/2017",139.3,139.73,136.68,136.7,136.3569,1210400
"AON","08/16/2017",139.5,140.21,139.19,139.32,138.9704,883600
"AON","08/15/2017",140.13,140.34,139.23,139.28,138.9305,838600
"AON","08/14/2017",139.43,140.07,139,139.66,139.3095,679300
"AON","08/11/2017",139.44,139.52,138.31,138.39,138.0427,708800
"AON","08/10/2017",139.33,140.07,138.76,138.85,138.5016,842300
"AON","08/09/2017",138.25,140.32,138.25,140.19,139.8382,755400
"AON","08/08/2017",138.46,138.89,138.32,138.58,138.2322,1034000
"AON","08/07/2017",138.7,140.11,138.58,138.77,138.4218,944900
"AON","08/04/2017",140,141.45,138.01,138.95,138.6013,1109900
"AON","08/03/2017",139.18,139.37,138,138.97,138.6212,1429700
"AON","08/02/2017",139.35,139.66,138.4,139.23,138.8806,1425800
"AON","08/01/2017",138.67,139.7,138.15,139.59,139.2397,980400
"AON","07/31/2017",139.01,139.52,138.15,138.17,137.8232,898200
"AON","07/28/2017",135.91,138.95,135.86,138.67,138.322,1046600
"AON","07/28/2017",0,0,0,0,0,0
"AON","07/27/2017",138.9,138.94,135.6,135.91,135.2098,1623000
"AON","07/26/2017",140,140.14,138.86,138.95,138.2342,797700
"AON","07/25/2017",140.59,141.31,139.9,140,139.2787,773500
"AON","07/24/2017",139.28,140.12,138.6,139.63,138.9107,1076800
"AON","07/21/2017",138.48,139.37,138.48,139.14,138.4232,807400
"AON","07/20/2017",137.95,139.06,137.82,138.84,138.1247,769900
"AON","07/19/2017",137.66,138.07,137.19,138.07,137.3587,694600
"AON","07/18/2017",136.27,137.6,136.12,137.41,136.7021,600300
"AON","07/17/2017",136.13,137.06,135.82,136.84,136.135,816800
"AON","07/14/2017",135.23,136.59,134.64,136.22,135.5182,872900
"AON","07/13/2017",134.66,135.73,134.35,135.63,134.9313,740300
"AON","07/12/2017",134.37,135.23,133.85,134.66,133.9663,809800
"AON","07/11/2017",135.45,135.55,133.94,134.04,133.3494,815200
"AON","07/10/2017",134.93,135.82,134.46,135.3,134.603,966700
"AON","07/07/2017",133.72,135.48,133.5,135.01,134.3145,914100
"AON","07/06/2017",133.21,134.18,132.38,133.39,132.7028,1191200
"AON","07/05/2017",133.37,133.54,132.72,132.97,132.285,1275600
"AON","07/03/2017",133.59,133.99,132.93,133.16,132.474,558600
"AON","06/30/2017",133.32,133.55,132.19,132.95,132.2651,1535900
"AON","06/29/2017",134.92,134.92,132.28,132.84,132.1556,947300
