"symbol","date","open","high","low","close","adjclose","volume"
"AOS","12/29/2017",61.85,61.85,61.28,61.28,61.28,614500
"AOS","12/28/2017",61.88,62.08,61.17,61.61,61.61,543600
"AOS","12/27/2017",61.84,62.07,61.71,61.88,61.88,494600
"AOS","12/26/2017",61.4,61.75,61.16,61.66,61.66,322900
"AOS","12/22/2017",61.9,61.98,61.14,61.26,61.26,571800
"AOS","12/21/2017",61.82,61.97,61.48,61.71,61.71,733700
"AOS","12/20/2017",61.52,61.68,61.27,61.48,61.48,508100
"AOS","12/19/2017",61.46,61.68,61.15,61.29,61.29,481100
"AOS","12/18/2017",61.12,61.36,60.88,61.28,61.28,621900
"AOS","12/15/2017",60.48,60.99,60.3,60.73,60.73,1133500
"AOS","12/14/2017",61.04,61.26,60.03,60.04,60.04,561200
"AOS","12/13/2017",61.05,61.35,60.95,60.97,60.97,638900
"AOS","12/12/2017",61.31,61.56,61.03,61.06,61.06,642200
"AOS","12/11/2017",62.21,62.21,61.23,61.36,61.36,642900
"AOS","12/08/2017",61.71,62.26,61.34,62.22,62.22,837700
"AOS","12/07/2017",61.5,61.74,61.25,61.59,61.59,465900
"AOS","12/06/2017",61.5,61.69,61.27,61.4,61.4,700300
"AOS","12/05/2017",62.24,62.53,61.49,61.58,61.58,628300
"AOS","12/04/2017",63.2,63.59,62.19,62.2,62.2,998500
"AOS","12/01/2017",63.52,63.66,61.79,62.81,62.81,823000
"AOS","11/30/2017",62.65,63.7,62.6,63.42,63.42,962000
"AOS","11/29/2017",62.26,62.7,61.95,62.5,62.5,914500
"AOS","11/28/2017",61.47,62.51,61.17,62.26,62.26,1089400
"AOS","11/27/2017",60.5,61.56,60.44,61.37,61.37,1365500
"AOS","11/24/2017",60.91,60.98,60.39,60.58,60.58,429400
"AOS","11/22/2017",60.76,60.96,60.44,60.86,60.86,1211900
"AOS","11/21/2017",59.66,61.11,59.6,60.77,60.77,1942400
"AOS","11/20/2017",59.01,59.61,59.01,59.49,59.49,632400
"AOS","11/17/2017",58.79,59.32,58.54,58.89,58.89,577900
"AOS","11/16/2017",58.54,59.43,58.54,59.03,59.03,838200
"AOS","11/15/2017",58.56,58.82,58.28,58.41,58.41,675900
"AOS","11/14/2017",58.79,59.28,58.58,58.82,58.82,768600
"AOS","11/13/2017",58.39,59,58.28,58.92,58.92,536000
"AOS","11/10/2017",58.36,58.76,58.27,58.56,58.56,657500
"AOS","11/09/2017",58.95,59.24,58.29,58.67,58.67,672100
"AOS","11/08/2017",59.26,59.82,59.04,59.57,59.57,669600
"AOS","11/07/2017",59.67,59.83,59.09,59.5,59.5,754500
"AOS","11/06/2017",59.4,59.89,59.32,59.67,59.67,827800
"AOS","11/03/2017",59.94,60.42,59.43,59.54,59.54,672000
"AOS","11/02/2017",59.92,60.56,59.52,60.08,60.08,1649900
"AOS","11/01/2017",59.69,59.97,59.38,59.92,59.92,1276500
"AOS","10/31/2017",59.36,59.68,59.13,59.2,59.2,1324600
"AOS","10/30/2017",59.46,59.53,58.68,59.18,59.18,932800
"AOS","10/30/2017",0,0,0,0,0,0
"AOS","10/27/2017",59.71,59.82,58.85,59.6,59.46,1025800
"AOS","10/26/2017",59.52,59.91,59.12,59.67,59.52983,1451100
"AOS","10/25/2017",61.26,61.29,58.21,59.11,58.97115,2337500
"AOS","10/24/2017",61.55,62.16,61.28,61.93,61.78453,1225600
"AOS","10/23/2017",61.8,61.94,61.47,61.55,61.40542,769900
"AOS","10/20/2017",61.14,61.82,61.14,61.59,61.44532,673600
"AOS","10/19/2017",60.55,60.96,60.2,60.8,60.65718,644000
"AOS","10/18/2017",60.87,61,60.54,60.64,60.49755,500400
"AOS","10/17/2017",61.15,61.4,60.57,60.72,60.57737,592200
"AOS","10/16/2017",61.34,61.44,60.98,61.21,61.06622,546900
"AOS","10/13/2017",61.69,61.8,61.07,61.16,61.01633,728500
"AOS","10/12/2017",60.66,61.62,60.53,61.45,61.30565,546700
"AOS","10/11/2017",60.73,60.84,60.41,60.65,60.50753,517300
"AOS","10/10/2017",60.92,60.92,60.45,60.73,60.58735,601300
"AOS","10/09/2017",61.1,61.2,60.58,60.76,60.61727,810200
"AOS","10/06/2017",60.78,61.24,60.65,61,60.85671,562000
"AOS","10/05/2017",60.93,60.98,60.48,60.8,60.65718,660400
"AOS","10/04/2017",60.56,60.94,60.36,60.86,60.71704,608400
"AOS","10/03/2017",60.05,60.4,59.65,60.39,60.24814,841500
"AOS","10/02/2017",59.66,60.05,59.47,59.99,59.84908,778500
"AOS","09/29/2017",58.91,59.53,58.75,59.43,59.2904,780800
"AOS","09/28/2017",58.94,59.35,58.62,58.9,58.76164,537800
"AOS","09/27/2017",59.2,59.42,58.65,59,58.86141,700200
"AOS","09/26/2017",59.02,59.32,58.97,59.08,58.94122,559500
