"symbol","date","open","high","low","close","adjclose","volume"
"BAC","12/29/2017",29.85,29.88,29.52,29.52,29.52,40672000
"BAC","12/28/2017",29.73,29.82,29.66,29.8,29.8,37914900
"BAC","12/27/2017",29.66,29.73,29.6,29.73,29.73,35111800
"BAC","12/26/2017",29.74,29.94,29.58,29.78,29.78,42371200
"BAC","12/22/2017",29.98,30.03,29.62,29.88,29.88,54203000
"BAC","12/21/2017",29.59,29.98,29.58,29.82,29.82,72953200
"BAC","12/20/2017",29.76,29.84,29.45,29.48,29.48,81271200
"BAC","12/19/2017",29.6,29.64,29.37,29.45,29.45,67984100
"BAC","12/18/2017",29.29,29.5,29.27,29.48,29.48,70548600
"BAC","12/15/2017",28.91,29.18,28.74,29.04,29.04,129859400
"BAC","12/14/2017",29.06,29.18,28.71,28.73,28.73,60615800
"BAC","12/13/2017",29.31,29.44,28.83,28.84,28.84,79980600
"BAC","12/12/2017",29.32,29.5,28.91,29.32,29.32,76017200
"BAC","12/11/2017",29.03,29.17,28.9,28.94,28.94,54001900
"BAC","12/08/2017",29.02,29.09,28.76,29.05,29.05,60991300
"BAC","12/07/2017",28.89,28.97,28.37,28.78,28.78,80706100
"BAC","12/06/2017",28.73,28.97,28.57,28.64,28.64,74593800
"BAC","12/05/2017",29.1,29.3,28.85,28.93,28.93,91349800
"BAC","12/04/2017",28.85,29.31,28.82,29.06,29.06,145661700
"BAC","12/01/2017",28.25,28.51,27.5,28.1,28.1,137774800
"BAC","11/30/2017",28.62,28.72,28.08,28.17,28.17,122131900
"BAC","11/30/2017",0,0,0,0,0,0
"BAC","11/29/2017",28.02,28.49,27.84,28.28,28.16,119728400
"BAC","11/28/2017",26.62,27.7,26.57,27.64,27.52272,99765000
"BAC","11/27/2017",26.52,26.92,26.51,26.59,26.47717,44828600
"BAC","11/24/2017",26.72,26.74,26.57,26.59,26.47717,14273600
"BAC","11/22/2017",26.77,26.9,26.59,26.66,26.54688,38103200
"BAC","11/21/2017",26.8,26.86,26.69,26.73,26.61658,57749100
"BAC","11/20/2017",26.74,26.84,26.54,26.74,26.62654,46328800
"BAC","11/17/2017",26.51,26.73,26.44,26.62,26.50705,48420700
"BAC","11/16/2017",26.91,27.05,26.74,26.76,26.64645,54565200
"BAC","11/15/2017",25.99,26.93,25.81,26.79,26.67632,98274900
"BAC","11/14/2017",26.26,26.35,26.08,26.24,26.12866,61596800
"BAC","11/13/2017",26.26,26.48,26.14,26.4,26.28798,55902200
"BAC","11/10/2017",26.59,26.74,26.46,26.51,26.39751,61105300
"BAC","11/09/2017",26.49,26.66,26.12,26.49,26.3776,95448600
"BAC","11/08/2017",26.96,26.96,26.49,26.79,26.67632,83128200
"BAC","11/07/2017",27.74,27.77,27.02,27.18,27.06467,68342100
"BAC","11/06/2017",27.74,27.82,27.62,27.75,27.63225,37261000
"BAC","11/03/2017",27.73,27.82,27.62,27.82,27.70195,37816100
"BAC","11/02/2017",27.51,27.94,27.28,27.87,27.75174,59692000
"BAC","11/01/2017",27.64,27.73,27.36,27.53,27.41318,46527700
