"symbol","date","open","high","low","close","adjclose","volume"
"BK","12/29/2017",54.39,54.42,53.85,53.86,53.86,2369300
"BK","12/28/2017",54.01,54.26,53.84,54.12,54.12,4051600
"BK","12/27/2017",53.9,53.94,53.72,53.84,53.84,2225500
"BK","12/26/2017",54.1,54.38,53.72,53.81,53.81,1841900
"BK","12/22/2017",54.53,54.62,53.82,54,54,2482300
"BK","12/21/2017",54.2,54.7,54.17,54.36,54.36,3658700
"BK","12/20/2017",54.67,54.8,53.82,53.95,53.95,3782100
"BK","12/19/2017",54.73,55,54.17,54.2,54.2,4306900
"BK","12/18/2017",54.67,55,54.36,54.42,54.42,3975100
"BK","12/15/2017",54.07,54.64,53.91,54.2,54.2,9190500
"BK","12/14/2017",54.58,54.64,53.96,54.02,54.02,3449000
"BK","12/13/2017",54.99,55.2,54.36,54.38,54.38,4294900
"BK","12/12/2017",54.67,55.23,54.57,54.97,54.97,4945000
"BK","12/11/2017",54.69,54.85,54.37,54.54,54.54,4123500
"BK","12/08/2017",54.62,54.75,54.28,54.67,54.67,4466300
"BK","12/07/2017",53.8,54.41,53.76,54.22,54.22,4359200
"BK","12/06/2017",54.34,54.38,53.82,54.02,54.02,3815000
"BK","12/05/2017",55.2,55.2,54.34,54.43,54.43,4161900
"BK","12/04/2017",55.21,55.4,54.83,54.97,54.97,5985900
"BK","12/01/2017",54.92,55.16,53.68,54.45,54.45,5679700
"BK","11/30/2017",54.72,55.28,54.43,54.74,54.74,7684500
"BK","11/29/2017",53.58,54.66,53.44,54.41,54.41,6994400
"BK","11/28/2017",52.31,53.27,52.15,53.13,53.13,4493300
"BK","11/27/2017",52.37,52.57,52.04,52.18,52.18,4774100
"BK","11/24/2017",52.51,52.55,52.19,52.23,52.23,1326900
"BK","11/22/2017",52.41,52.59,52.31,52.43,52.43,4545600
"BK","11/21/2017",52.64,52.64,52.03,52.42,52.42,4905400
"BK","11/20/2017",52.63,52.77,52.37,52.52,52.52,4558100
"BK","11/17/2017",52,52.8,51.92,52.47,52.47,4337100
"BK","11/16/2017",52.11,52.71,52.1,52.23,52.23,5229700
"BK","11/15/2017",51.38,52.17,51.2,51.94,51.94,4890900
"BK","11/14/2017",50.67,51.98,50.64,51.85,51.85,6879600
"BK","11/13/2017",50.6,51.07,50.57,51.02,51.02,3058100
"BK","11/10/2017",50.89,51.01,50.53,50.93,50.93,3552500
"BK","11/09/2017",50.85,51.24,50.59,50.82,50.82,4432100
"BK","11/08/2017",51.07,51.42,50.89,51.22,51.22,3267700
"BK","11/07/2017",51.5,51.72,50.97,51.07,51.07,3933600
"BK","11/06/2017",51.26,51.48,51.2,51.35,51.35,3847800
"BK","11/03/2017",51.3,51.5,51.05,51.33,51.33,5563900
"BK","11/02/2017",51.43,51.86,51.15,51.4,51.4,5934300
"BK","11/01/2017",51.67,52.08,51.56,51.65,51.65,3561500
"BK","10/31/2017",51.54,51.9,51.39,51.45,51.45,3745600
"BK","10/30/2017",51.75,52.06,51.6,51.65,51.65,3760000
"BK","10/30/2017",0,0,0,0,0,0
"BK","10/27/2017",52.07,52.3,51.65,52.14,51.9,5090800
"BK","10/26/2017",52.04,52.58,51.83,52.22,51.97963,4978300
"BK","10/25/2017",53.01,53.11,51.37,51.75,51.5118,8130500
"BK","10/24/2017",52.73,53.05,52.71,52.88,52.6366,4447800
"BK","10/23/2017",53.09,53.12,52.29,52.51,52.2683,5386900
"BK","10/20/2017",53.49,53.84,52.93,53.12,52.87549,6977800
"BK","10/19/2017",54.01,54.14,52.24,52.85,52.60673,8297800
"BK","10/18/2017",54.23,54.64,54.1,54.46,54.20932,3513600
"BK","10/17/2017",54.76,54.76,53.76,53.96,53.71162,3584500
"BK","10/16/2017",54.78,54.97,54.47,54.71,54.45817,2384400
"BK","10/13/2017",54.57,55.09,54.33,54.67,54.41835,3156300
"BK","10/12/2017",54.95,55.29,54.66,54.74,54.48803,3103600
"BK","10/11/2017",54.62,54.94,54.35,54.88,54.62739,2657700
"BK","10/10/2017",54.37,54.73,54.28,54.66,54.4084,3179500
"BK","10/09/2017",54.55,54.64,54.15,54.33,54.07992,1732400
"BK","10/06/2017",54.62,54.81,54.04,54.47,54.21928,2412400
"BK","10/05/2017",53.8,54.57,53.73,54.43,54.17946,2561900
"BK","10/04/2017",53.65,54.07,53.59,53.8,53.55236,1905100
"BK","10/03/2017",53.96,53.96,53.45,53.8,53.55236,1857200
"BK","10/02/2017",52.91,53.67,52.86,53.65,53.40305,2280900
"BK","09/29/2017",53.02,53.32,52.8,53.02,52.77595,2746300
"BK","09/28/2017",52.75,53.02,52.53,53.01,52.766,2714300
"BK","09/27/2017",52.96,52.96,52.47,52.76,52.51715,3390900
"BK","09/26/2017",52.37,52.4,52.05,52.12,51.88009,2097900
"BK","09/25/2017",52.24,52.47,51.74,52.2,51.95972,2848800
"BK","09/22/2017",52.2,52.46,51.9,52.37,52.12894,3235800
"BK","09/21/2017",52.44,52.66,52.04,52.42,52.17871,3116500
"BK","09/20/2017",52.16,52.53,51.57,52.4,52.15881,3612900
"BK","09/19/2017",51.72,52.13,51.61,52.04,51.80046,3207100
"BK","09/18/2017",51.68,51.93,51.54,51.7,51.46203,2846400
"BK","09/15/2017",51.1,51.67,50.99,51.56,51.32267,5083300
"BK","09/14/2017",51.55,51.62,51.01,51.13,50.89465,3019600
"BK","09/13/2017",51.79,51.99,50.95,51.59,51.35253,4385600
"BK","09/12/2017",51.7,52.04,51.6,51.99,51.75069,3693500
"BK","09/11/2017",50.92,51.56,50.91,51.53,51.29281,4442600
"BK","09/08/2017",50.33,50.93,50.15,50.43,50.19787,4952900
"BK","09/07/2017",51.26,51.36,50.15,50.28,50.04856,5138400
"BK","09/06/2017",51.49,51.49,50.96,51.27,51.03401,3041400
"BK","09/05/2017",51.98,52.01,50.96,51.2,50.96433,5093200
"BK","09/01/2017",52.45,52.69,52.23,52.33,52.08913,2844000
"BK","08/31/2017",52.51,52.61,52.03,52.28,52.03936,3049400
"BK","08/30/2017",52.1,52.52,52.04,52.36,52.11899,2430800
"BK","08/29/2017",51.77,52.22,51.54,52.09,51.85023,3194600
"BK","08/28/2017",52.78,52.8,52.08,52.27,52.0294,2107900
