"symbol","date","open","high","low","close","adjclose","volume"
"C","12/29/2017",75.17,75.29,74.38,74.41,74.41,10074900
"C","12/28/2017",74.91,75.17,74.84,75.08,75.08,8759800
"C","12/27/2017",74.67,75.08,74.52,74.89,74.89,10845100
"C","12/26/2017",75.45,75.72,74.42,74.78,74.78,10882100
"C","12/22/2017",75.89,75.99,75.05,75.49,75.49,12006600
"C","12/21/2017",74.98,76.08,74.94,75.82,75.82,14085700
"C","12/20/2017",75.35,75.77,74.61,74.66,74.66,17644000
"C","12/19/2017",76.1,76.15,74.65,74.7,74.7,17655100
"C","12/18/2017",75.28,76.01,75.27,75.67,75.67,16449300
"C","12/15/2017",74.45,75.15,74.27,74.77,74.77,37121100
"C","12/14/2017",75.23,75.43,73.78,73.92,73.92,24778500
"C","12/13/2017",75.95,76.32,75.05,75.14,75.14,20231600
"C","12/12/2017",76.04,76.8,75.52,76.15,76.15,18381900
"C","12/11/2017",75.94,76.13,75.53,75.85,75.85,10461700
"C","12/08/2017",75.06,75.72,74.97,75.71,75.71,12460900
"C","12/07/2017",74.67,75.32,74.26,74.98,74.98,19173400
"C","12/06/2017",76.24,76.5,75.09,75.44,75.44,16612500
"C","12/05/2017",76.98,77.28,76.19,76.54,76.54,16045900
"C","12/04/2017",77.02,77.92,76.62,77.1,77.1,23151400
"C","12/01/2017",75.71,76.24,73.78,75.51,75.51,18269800
"C","11/30/2017",75.73,76.89,75.15,75.5,75.5,23179600
"C","11/29/2017",75.13,75.77,74.05,75.04,75.04,21876400
"C","11/28/2017",71.44,74,71.13,73.7,73.7,18048300
"C","11/27/2017",71.99,72.36,71.31,71.39,71.39,12615200
"C","11/24/2017",72.41,72.52,71.99,72.02,72.02,4676100
"C","11/22/2017",72.45,73.15,72.26,72.26,72.26,9146200
"C","11/21/2017",72.5,72.59,72.13,72.38,72.38,9632100
"C","11/20/2017",71.77,72.3,71.28,72.05,72.05,10000000
"C","11/17/2017",71.16,71.83,70.94,71.33,71.33,11813000
"C","11/16/2017",72.11,72.32,71.51,71.67,71.67,12415600
"C","11/15/2017",70.62,72.07,70.02,71.73,71.73,17541800
"C","11/14/2017",71.65,71.81,71.04,71.53,71.53,13188900
"C","11/13/2017",71.67,72.15,71.48,71.99,71.99,13500600
"C","11/10/2017",72.53,72.86,72.11,72.25,72.25,12853100
"C","11/09/2017",71.72,72.76,71.45,72.43,72.43,15496600
"C","11/08/2017",72.39,72.57,71.52,72.34,72.34,18710600
"C","11/07/2017",73.78,74,72.32,72.71,72.71,17255700
"C","11/06/2017",73.59,74.03,73.17,73.8,73.8,12636600
"C","11/03/2017",74.22,74.39,73.84,74.05,74.05,10692600
"C","11/03/2017",0,0,0,0,0,0
"C","11/02/2017",73.95,74.85,73.33,74.74,74.42,12997500
"C","11/01/2017",73.99,74.52,73.81,74.03,73.71304,11361900
"C","10/31/2017",73.87,74.09,73.26,73.5,73.18531,11733500
"C","10/30/2017",73.21,73.91,73.18,73.78,73.46411,10556900
"C","10/27/2017",73.43,73.98,73.01,73.87,73.55373,11309900
"C","10/26/2017",73.66,74.25,73.6,73.79,73.47407,13213100
"C","10/25/2017",74.48,74.63,73.26,73.62,73.30479,17188100
"C","10/24/2017",73.96,74.75,73.73,74.24,73.92213,15260200
"C","10/23/2017",73.48,74.01,73.43,73.53,73.21518,10821500
"C","10/20/2017",73.76,73.88,73.18,73.53,73.21518,15634600
"C","10/19/2017",72.35,72.94,71.71,72.88,72.56796,12322700
"C","10/18/2017",72.66,73.33,72.55,73.12,72.80694,15126700
"C","10/17/2017",72.24,72.72,72,72.19,71.88092,15743800
"C","10/16/2017",71.38,72.58,71.37,71.77,71.46272,21169200
"C","10/13/2017",72.1,72.34,70.91,72.11,71.80126,30907300
"C","10/12/2017",75.82,76.14,72.27,72.37,72.06015,40166300
"C","10/11/2017",74.97,75.33,74.66,74.94,74.61915,18597900
"C","10/10/2017",75.4,75.54,74.63,75.18,74.85812,13866600
"C","10/09/2017",75.83,75.88,75.09,75.39,75.06721,12830800
"C","10/06/2017",75.81,76.02,75.1,75.64,75.31615,16119900
"C","10/05/2017",74.07,75.93,73.85,75.72,75.39581,19701200
"C","10/04/2017",74.18,74.74,73.93,74.06,73.7429,12904100
"C","10/03/2017",73.98,74.38,73.85,74.13,73.81261,11925100
"C","10/02/2017",73.07,73.89,72.91,73.8,73.48402,13386300
"C","09/29/2017",72.55,72.9,72.36,72.74,72.42856,12777300
"C","09/28/2017",72.61,72.86,72.02,72.65,72.33895,13845900
"C","09/27/2017",72.19,72.97,71.91,72.28,71.97053,18092200
"C","09/26/2017",70.85,71.24,70.51,70.94,70.63627,11553800
"C","09/25/2017",71.21,71.51,70.32,70.84,70.53669,10762800
"C","09/22/2017",71.6,71.64,71.01,71.4,71.0943,10446600
"C","09/21/2017",71.45,72.13,71.15,71.76,71.45276,11509200
"C","09/20/2017",71.38,72.2,70.82,71.46,71.15405,19788100
"C","09/19/2017",70.3,71.7,70.3,71.15,70.84538,15466000
"C","09/18/2017",69.38,70.93,69.27,70.6,70.29772,18027800
"C","09/15/2017",69.12,69.38,68.91,69.04,68.74441,18360900
"C","09/14/2017",69.35,69.75,69.21,69.24,68.94354,15022100
"C","09/13/2017",68.69,69.53,68.46,69.39,69.0929,17467300
"C","09/12/2017",68.22,69.25,68.1,68.79,68.49548,15495400
"C","09/11/2017",66.76,67.79,66.37,67.71,67.4201,17287000
"C","09/08/2017",65.97,66.92,65.87,66.17,65.88669,13438000
"C","09/07/2017",67.39,67.44,65.69,66.06,65.77716,20307800
"C","09/06/2017",67.46,67.6,66.85,67.32,67.03177,11849400
"C","09/05/2017",67.77,67.94,66.76,67.16,66.87246,17649500
"C","09/01/2017",68.11,69.03,67.98,68.58,68.28638,10720600
"C","08/31/2017",68.15,68.29,67.75,68.03,67.73872,12439300
"C","08/30/2017",67.7,68.39,67.69,68.01,67.71882,9152000
"C","08/29/2017",66.7,67.77,66.51,67.48,67.19109,12448000
"C","08/28/2017",68.08,68.18,67.43,67.81,67.51967,10797600
"C","08/25/2017",67.8,68.24,67.71,67.85,67.55949,11883100
"C","08/24/2017",67.45,67.91,66.95,67.69,67.40018,11524800
"C","08/23/2017",66.21,67.57,66.21,67.23,66.94215,10031600
"C","08/22/2017",66.29,66.93,66.25,66.85,66.56378,13247000
"C","08/21/2017",66.58,66.78,65.86,65.95,65.66763,15791100
"C","08/18/2017",66.39,67.36,66.18,66.58,66.29494,13628900
"C","08/17/2017",67.31,67.65,66.51,66.6,66.31485,14487900
"C","08/16/2017",68.15,68.37,67.39,67.71,67.4201,15064500
"C","08/15/2017",68.58,68.96,67.88,67.97,67.67899,15472000
"C","08/14/2017",67.61,68.13,67.41,67.89,67.59933,15094500
"C","08/11/2017",67.07,67.47,66.59,66.8,66.514,15172800
"C","08/10/2017",68,68.13,67.15,67.22,66.9322,19147200
"C","08/09/2017",68.12,68.48,67.92,68.43,68.13702,19195700
"C","08/08/2017",69,69.86,68.82,68.88,68.58508,16645900
"C","08/07/2017",69.13,69.26,68.69,69.04,68.74441,12961100
"C","08/04/2017",68.79,69.41,68.71,68.98,68.68466,18148400
"C","08/03/2017",68.93,69.2,68.01,68.13,67.83829,20937900
"C","08/03/2017",0,0,0,0,0,0
"C","08/02/2017",69.57,69.65,68.82,69.42,68.80415,19095600
"C","08/01/2017",69.09,69.62,68.75,69.6,68.98254,22974700
"C","07/31/2017",67.87,68.65,67.52,68.45,67.84275,23059300
"C","07/28/2017",67.42,67.77,67,67.43,66.8318,13604500
"C","07/27/2017",68,68.72,67.36,67.6,67.00029,22650200
"C","07/26/2017",68.47,68.84,67.79,67.98,67.37692,19228500
"C","07/25/2017",67.93,68.42,67.81,68.03,67.42648,30833600
"C","07/24/2017",65.92,66.43,65.91,66.1,65.5136,14848400
"C","07/21/2017",66.1,66.44,65.89,66,65.41448,14075500
"C","07/20/2017",66.62,67.04,66.33,66.36,65.77129,14027600
"C","07/19/2017",67.15,67.36,66.5,66.7,66.10827,12687300
"C","07/18/2017",66.44,67.1,66.22,66.89,66.29659,15965900
"C","07/17/2017",66.76,67.1,66.42,66.83,66.23713,17498000
"C","07/14/2017",66.32,66.93,65.52,66.72,66.1281,20742300
"C","07/13/2017",67.15,67.29,66.69,67.02,66.42544,20152000
"C","07/12/2017",66.76,67.2,66.54,66.92,66.32632,16881700
"C","07/11/2017",67.5,67.57,66.6,66.82,66.22721,17134600
"C","07/10/2017",67.69,68.04,67.44,67.65,67.04985,12613800
"C","07/07/2017",68.03,68.3,67.44,67.91,67.30754,14735300
"C","07/06/2017",68.45,68.76,67.57,67.63,67.03002,17960700
"C","07/05/2017",68.33,68.73,67.95,68.45,67.84275,17783100
"C","07/03/2017",67.24,68.91,67.24,68.26,67.65444,16488300
"C","06/30/2017",67.56,67.59,66.72,66.88,66.28667,15832300
"C","06/29/2017",67.65,67.75,66.26,66.98,66.3858,40827200
"C","06/28/2017",65,65.36,64.52,65.18,64.60176,24015200
"C","06/27/2017",64.24,64.86,64.01,64.23,63.66019,16416300
"C","06/26/2017",63.55,64.12,63.21,63.78,63.21418,14978000
"C","06/23/2017",64.05,64.18,63.16,63.41,62.84746,16395300
"C","06/22/2017",63.62,63.91,63.34,63.62,63.0556,11344700
"C","06/21/2017",63.89,64.26,63.61,63.83,63.26374,13532800
"C","06/20/2017",64.31,64.42,63.91,63.91,63.34303,12162800
"C","06/19/2017",64.4,64.89,64.26,64.48,63.90797,13264800
"C","06/16/2017",64.16,64.23,63.71,63.89,63.3232,19549900
"C","06/15/2017",64.31,64.94,63.94,64.1,63.53134,15111500
"C","06/14/2017",64.25,64.92,63.5,64.72,64.14584,20791600
"C","06/13/2017",64.88,65.26,64.33,64.69,64.11611,18749000
"C","06/12/2017",64.51,65.4,64.07,64.32,63.74939,27444400
"C","06/09/2017",63.84,64.74,63.51,64.45,63.87823,31488800
"C","06/08/2017",61.88,63.82,61.72,63.21,62.64924,25839600
"C","06/07/2017",61.21,62.23,61.1,61.88,61.33104,16056100
"C","06/06/2017",60.68,61.17,60.44,61.01,60.46875,10764300
"C","06/05/2017",61.04,61.77,60.96,61.25,60.70662,10024900
"C","06/02/2017",60.33,61.6,60.3,61.11,60.56787,13643600
"C","06/01/2017",60.89,61.09,60.17,61.08,60.53813,13922400
"C","05/31/2017",61.59,61.6,59.87,60.54,60.00293,23150500
"C","05/30/2017",61.79,62.07,61.51,61.64,61.09317,12603800
"C","05/26/2017",61.87,62.33,61.65,62.07,61.51935,10850300
"C","05/25/2017",62.25,62.69,61.78,61.95,61.40041,13368600
"C","05/24/2017",61.84,62.44,61.66,62.27,61.71758,16102700
"C","05/23/2017",61.09,61.95,60.73,61.71,61.16254,12414300
"C","05/22/2017",61.41,61.55,60.72,61.06,60.51831,11744800
"C","05/19/2017",60.41,61.77,60.24,61.1,60.55795,20266600
"C","05/18/2017",59.73,60.6,59.1,60.08,59.54701,25142200
"C","05/17/2017",62.49,62.49,59.67,59.98,59.44789,33251400
"C","05/16/2017",61.49,62.58,61.38,62.49,61.93563,21199500
"C","05/15/2017",61.22,61.7,61.09,61.42,60.87511,14838500
"C","05/12/2017",60.36,61.1,60.21,61.07,60.52822,15393200
"C","05/11/2017",60.25,60.92,59.92,60.7,60.16151,16314000
"C","05/10/2017",60.1,60.64,60,60.37,59.83443,11607300
"C","05/09/2017",60.65,61.04,60.07,60.23,59.69567,13179900
"C","05/08/2017",60.15,60.73,60.12,60.5,59.96328,8458300
"C","05/05/2017",60.49,60.58,60.1,60.24,59.70559,11484300
"C","05/04/2017",60.7,60.94,60.09,60.21,59.67585,14509800
"C","05/03/2017",59.5,60.33,59.3,60.24,59.70559,12845300
"C","05/02/2017",59.45,59.72,58.93,59.71,59.18029,11471900
"C","05/01/2017",59.39,60.06,59.16,59.46,58.9325,12879400
"C","04/28/2017",59.36,59.57,59.05,59.12,58.59552,11896700
"C","04/27/2017",59.98,59.99,58.93,59.39,58.86312,14025900
"C","04/27/2017",0,0,0,0,0,0
"C","04/26/2017",60.04,60.7,59.96,60.1,59.40825,16058000
"C","04/25/2017",60.08,60.79,60,60.21,59.51698,21593500
"C","04/24/2017",59.18,59.71,59.07,59.44,58.75584,24400300
"C","04/21/2017",58.38,58.44,57.63,57.72,57.05564,15255900
"C","04/20/2017",58.17,58.65,57.55,58.41,57.7377,17074800
"C","04/19/2017",58.85,59.1,57.6,57.73,57.06553,18104200
"C","04/18/2017",58.58,58.89,58.07,58.42,57.74758,16891000
"C","04/17/2017",58.36,59.06,57.93,58.99,58.31102,14657300
"C","04/13/2017",58.3,59.73,57.68,58.04,57.37196,31784400
"C","04/12/2017",59.09,59.13,58.27,58.51,57.83654,15223400
"C","04/11/2017",58.68,59.05,58.08,59.03,58.35056,15247800
"C","04/10/2017",59.36,59.98,58.98,59.28,58.59768,12096700
"C","04/07/2017",59.33,59.89,59.26,59.43,58.74596,13449300
"C","04/06/2017",59.44,60.23,59.01,59.89,59.20066,13806000
"C","04/05/2017",60.5,61.02,59.53,59.59,58.90412,20295200
"C","04/04/2017",59.29,59.95,59.2,59.68,58.99308,9745600
"C","04/03/2017",59.93,60.09,58.65,59.68,58.99308,15460500
"C","03/31/2017",60.31,60.51,59.79,59.82,59.13147,14407900
"C","03/30/2017",59.39,60.83,59.36,60.51,59.81353,14886200
"C","03/29/2017",59.53,59.88,59.27,59.39,58.70642,13457400
"C","03/28/2017",58.19,59.66,58.12,59.42,58.73607,15391100
"C","03/27/2017",56.85,58.45,56.55,58.33,57.65862,17257200
"C","03/24/2017",58.33,58.54,57.61,58.07,57.40161,13504400
"C","03/23/2017",57.76,58.82,57.53,58.05,57.38184,16916500
"C","03/22/2017",57.41,58.39,56.9,57.77,57.10506,25648500
"C","03/21/2017",60.13,60.2,57.95,58.04,57.37196,34140400
"C","03/20/2017",60.1,60.38,59.59,59.59,58.90412,14813800
"C","03/17/2017",61.16,61.27,60.2,60.37,59.67514,32281900
"C","03/16/2017",61.05,61.41,60.77,61.15,60.44616,15198300
"C","03/15/2017",61.7,61.78,60.46,60.84,60.13972,20086900
"C","03/14/2017",61.33,61.47,60.81,61.44,60.73282,11819700
"C","03/13/2017",61.54,61.79,60.98,61.53,60.82179,13481500
"C","03/10/2017",61.94,62.03,60.92,61.49,60.78225,17421900
"C","03/09/2017",61.36,62.09,61.23,61.55,60.84156,21429300
"C","03/08/2017",61.56,62.53,61.06,61.11,60.40662,30724000
"C","03/07/2017",60.19,60.71,59.78,60.5,59.80364,17297800
"C","03/06/2017",60.8,60.88,60.26,60.28,59.58617,14979400
"C","03/03/2017",60.39,61.25,60.33,61,60.29789,15178600
"C","03/02/2017",61.68,61.87,60.59,60.63,59.93214,17270300
"C","03/01/2017",61.2,61.94,61,61.54,60.83167,26421700
"C","02/28/2017",59.67,60.09,59.48,59.81,59.12159,17237500
"C","02/27/2017",59.56,60.24,59.41,60.02,59.32917,15711400
"C","02/24/2017",59.88,60.18,59.11,59.56,58.87447,19900300
"C","02/23/2017",60.64,60.84,60.23,60.62,59.92226,14624400
"C","02/22/2017",60.18,60.95,60.02,60.62,59.92226,16025700
"C","02/21/2017",60.29,60.69,60.23,60.55,59.85307,15812700
"C","02/17/2017",59.7,60.17,59.4,60.17,59.47744,15120600
"C","02/16/2017",60.35,60.5,59.76,60.38,59.68502,15916600
"C","02/15/2017",60.16,60.87,59.7,60.5,59.80364,22423900
"C","02/14/2017",59,60.11,58.75,59.83,59.14135,22336600
"C","02/13/2017",57.99,59.37,57.99,58.95,58.27148,22779800
