"symbol","date","open","high","low","close","adjclose","volume"
"DFS","12/29/2017",77.79,77.79,76.92,76.92,76.92,1481300
"DFS","12/28/2017",77,77.54,76.98,77.5,77.5,1909700
"DFS","12/27/2017",77.15,77.15,76.52,76.96,76.96,2108300
"DFS","12/26/2017",77.03,77.52,76.97,77.26,77.26,1073500
"DFS","12/22/2017",76.19,77.25,76.1,77.13,77.13,2224300
"DFS","12/21/2017",76.15,76.51,75.75,76.04,76.04,2073400
"DFS","12/20/2017",76.52,76.52,75.66,75.74,75.74,1920200
"DFS","12/19/2017",76.35,76.72,75.83,75.95,75.95,2403700
"DFS","12/18/2017",75.49,76.88,75.28,75.96,75.96,3157800
"DFS","12/15/2017",74.02,75.16,73.85,74.59,74.59,5182600
"DFS","12/14/2017",73.98,74.39,73.43,73.67,73.67,1316300
"DFS","12/13/2017",74.84,75.1,73.73,73.82,73.82,2213100
"DFS","12/12/2017",74.66,75.51,74.55,75.09,75.09,2196900
"DFS","12/11/2017",74.13,74.68,73.74,74.35,74.35,2368800
"DFS","12/08/2017",73.69,73.8,73.11,73.8,73.8,1851300
"DFS","12/07/2017",72.53,73.83,72.25,73.45,73.45,1605900
"DFS","12/06/2017",72.75,73.35,72.7,72.94,72.94,2309500
"DFS","12/05/2017",74.16,74.41,72.6,73.18,73.18,3449000
"DFS","12/04/2017",72.02,73.76,72,73.44,73.44,3998100
"DFS","12/01/2017",70.79,71.19,68.77,71.12,71.12,2558000
"DFS","11/30/2017",69.44,71.18,69.28,70.6,70.6,3971600
"DFS","11/29/2017",68,69.98,67.97,69.01,69.01,2778200
"DFS","11/28/2017",65.42,67.7,65.1,67.63,67.63,2291200
"DFS","11/27/2017",65.49,65.82,65.13,65.34,65.34,1764600
"DFS","11/24/2017",65.57,65.64,65.19,65.4,65.4,897300
"DFS","11/22/2017",65.64,65.86,65,65.5,65.5,2026200
"DFS","11/21/2017",65.77,65.92,65.28,65.64,65.64,1228900
"DFS","11/21/2017",0,0,0,0,0,0
"DFS","11/20/2017",65.24,66.14,65.13,65.82,65.47,1237400
"DFS","11/17/2017",64.6,65.39,64.5,65.06,64.71404,1491300
"DFS","11/16/2017",65.41,65.85,64.77,64.82,64.47532,2266900
"DFS","11/15/2017",63.8,65.52,63.31,65.27,64.92292,3254200
"DFS","11/14/2017",64.52,64.83,63.99,64.21,63.86856,2046300
"DFS","11/13/2017",64.58,65.05,63.87,65,64.65437,2186100
"DFS","11/10/2017",65.4,65.69,64.73,64.76,64.41564,1630900
"DFS","11/09/2017",65.75,65.97,64.78,65.47,65.12186,2195400
"DFS","11/08/2017",66.16,66.25,65.51,66.09,65.73856,1634400
"DFS","11/07/2017",67.04,67.19,66.16,66.44,66.08671,1800300
"DFS","11/06/2017",67.26,67.42,66.79,67.02,66.66362,1331800
"DFS","11/03/2017",67.01,67.86,66.85,67.44,67.08139,3146300
"DFS","11/02/2017",66.82,67.11,66.11,66.93,66.5741,2362300
"DFS","11/01/2017",66.68,67.18,66.3,66.9,66.54426,1923100
"DFS","10/31/2017",66.3,66.86,66.17,66.53,66.17622,1920300
"DFS","10/30/2017",66.61,67.08,66.4,66.51,66.15633,1424000
"DFS","10/27/2017",66.6,66.99,66.23,66.78,66.4249,1713300
"DFS","10/26/2017",65.7,66.92,65.57,66.69,66.33538,3020800
"DFS","10/25/2017",66.11,67.3,64.59,65.15,64.80357,5375200
"DFS","10/24/2017",66.96,67.41,66.83,67.39,67.03165,2696100
"DFS","10/23/2017",66.6,67.04,66.59,66.84,66.48457,2552200
"DFS","10/20/2017",66.21,67.1,66.21,66.57,66.21601,3211800
"DFS","10/19/2017",65.03,65.76,64.8,65.66,65.31086,2077600
"DFS","10/18/2017",64.97,65.56,64.82,65.39,65.04229,1969800
"DFS","10/17/2017",65.41,65.54,64.56,64.66,64.31617,1680900
"DFS","10/16/2017",64.19,65.4,64.19,65.35,65.0025,3295000
"DFS","10/13/2017",63.73,64.42,63.53,63.88,63.54032,2779900
"DFS","10/12/2017",64.21,64.84,63.66,63.81,63.47069,3782500
"DFS","10/11/2017",65.16,65.36,64.6,64.84,64.49521,2155700
"DFS","10/10/2017",65.42,65.74,65.18,65.34,64.99255,1697600
"DFS","10/09/2017",65.81,66.14,65.26,65.38,65.03234,1974800
"DFS","10/06/2017",65.92,66.01,65.43,65.75,65.40038,2554000
"DFS","10/05/2017",65.53,66.16,65.31,65.97,65.6192,2387700
"DFS","10/04/2017",65.47,65.98,64.99,65.49,65.14175,2200600
"DFS","10/03/2017",65.17,65.8,65.13,65.74,65.39043,3260700
"DFS","10/02/2017",64.51,65.22,64.27,65.16,64.81351,2258400
"DFS","09/29/2017",64.55,64.73,63.95,64.48,64.13713,2494500
"DFS","09/28/2017",64.06,64.5,63.73,64.36,64.01777,2393100
"DFS","09/27/2017",63.26,64.19,63.12,64.06,63.71936,3413100
"DFS","09/26/2017",61.7,62.75,61.64,62.69,62.35664,2806600
"DFS","09/25/2017",61.3,62.27,61.21,61.91,61.58079,2161500
"DFS","09/22/2017",60.38,61.42,60.38,61.41,61.08345,2111800
"DFS","09/21/2017",60.31,60.75,60.14,60.5,60.17829,1734200
"DFS","09/20/2017",60.43,60.62,60.01,60.34,60.01914,2816800
"DFS","09/19/2017",60.25,60.78,60.05,60.49,60.16835,2007300
"DFS","09/18/2017",59.54,60.47,59.45,60.25,59.92962,2432600
"DFS","09/15/2017",58.54,59.52,58.48,59.43,59.11398,4212100
"DFS","09/14/2017",59.21,59.42,58.57,58.65,58.33813,1765600
"DFS","09/13/2017",58,59.36,57.83,59.29,58.97473,2901600
"DFS","09/12/2017",58.35,58.54,57.5,57.99,57.68164,3269800
"DFS","09/11/2017",58.01,58.48,57.82,58.19,57.88057,2667400
"DFS","09/08/2017",57.96,58.2,57.63,57.66,57.35339,1966300
"DFS","09/07/2017",58.92,58.98,57.72,58.09,57.78111,2432200
"DFS","09/06/2017",58.68,59.06,58.41,58.86,58.54701,1846400
"DFS","09/05/2017",59.3,59.3,57.98,58.44,58.12924,2504000
"DFS","09/01/2017",59.12,59.84,58.89,59.59,59.27313,1342800
"DFS","08/31/2017",58.97,59.4,58.78,58.95,58.63653,2321800
"DFS","08/30/2017",58.49,59.26,58.44,58.97,58.65643,1775200
"DFS","08/29/2017",58.52,58.67,58.13,58.45,58.13919,2706900
"DFS","08/28/2017",59.83,59.96,59.01,59.1,58.78573,1200000
"DFS","08/25/2017",59.63,60.47,59.63,59.69,59.3726,2776800
"DFS","08/24/2017",59.42,59.73,59.24,59.47,59.15377,1730200
"DFS","08/23/2017",59.14,59.71,58.92,59.31,58.99462,1498600
"DFS","08/22/2017",59.25,59.58,58.97,59.5,59.18361,2627800
"DFS","08/22/2017",0,0,0,0,0,0
"DFS","08/21/2017",59.49,59.58,59.11,59.27,58.60669,1555900
"DFS","08/18/2017",59.73,60,59.4,59.43,58.7649,2044300
"DFS","08/17/2017",61.45,61.67,59.9,59.9,59.22964,1905600
"DFS","08/16/2017",62.18,62.47,61.59,61.71,61.01939,2309300
"DFS","08/15/2017",61.03,62.11,61.03,61.87,61.17759,2876300
"DFS","08/14/2017",60.21,60.68,60.12,60.5,59.82293,1800300
"DFS","08/11/2017",60.12,60.22,59.56,59.64,58.97255,2163700
"DFS","08/10/2017",60.89,61.08,60.09,60.1,59.4274,2280900
"DFS","08/09/2017",61.49,61.63,60.97,61.26,60.57442,1834000
"DFS","08/08/2017",61.28,62.54,61.01,61.96,61.26659,2902100
"DFS","08/07/2017",60.86,61.5,60.86,61.39,60.70297,2020500
"DFS","08/04/2017",61,61.33,60.93,61.04,60.35689,1829900
"DFS","08/03/2017",60.65,60.84,60.31,60.46,59.78337,2224500
"DFS","08/02/2017",60.54,61.03,60.4,60.78,60.0998,2256700
"DFS","08/01/2017",61.29,61.48,60.59,60.61,59.9317,2926700
"DFS","07/31/2017",60.4,61.3,60.35,60.94,60.258,2341800
"DFS","07/28/2017",60.4,60.89,60.2,60.26,59.58561,3526900
"DFS","07/27/2017",61.32,62.09,59.92,60.44,59.7636,7624600
"DFS","07/26/2017",64,64,63.04,63.13,62.4235,3782800
"DFS","07/25/2017",62.95,63.93,62.95,63.79,63.07611,3321500
"DFS","07/24/2017",62.45,62.72,61.94,62.53,61.83021,2296300
"DFS","07/21/2017",61.76,62.86,61.7,62.53,61.83021,3646300
"DFS","07/20/2017",61,61.56,60.94,61.37,60.68319,1940300
"DFS","07/19/2017",61.16,61.4,60.91,61.14,60.45576,1940200
"DFS","07/18/2017",60.78,61.06,60.56,61.04,60.35689,1518900
"DFS","07/17/2017",61.19,61.37,60.78,61.07,60.38655,2510100
"DFS","07/14/2017",60.99,61.43,60.42,61.26,60.57442,2119000
"DFS","07/13/2017",61.2,61.59,61.08,61.42,60.73263,3226600
"DFS","07/12/2017",60.5,61.34,60.32,61.14,60.45576,2237300
"DFS","07/11/2017",61.1,61.25,60.41,60.76,60.08002,2748800
"DFS","07/10/2017",61.17,61.28,60.79,61.1,60.41621,2870300
"DFS","07/07/2017",61.42,61.73,61.06,61.37,60.68319,2808900
"DFS","07/06/2017",61.3,62.01,61.09,61.2,60.51509,3159100
"DFS","07/05/2017",62.47,62.5,61.36,61.51,60.82162,3526300
"DFS","07/03/2017",62.42,63.02,62.18,62.27,61.57312,1629900
"DFS","06/30/2017",61.8,62.62,61.28,62.19,61.49401,3156100
"DFS","06/29/2017",63.05,63.28,61.26,61.51,60.82162,5274700
"DFS","06/28/2017",61.45,62.32,61.43,61.88,61.18749,3106400
"DFS","06/27/2017",60.76,61.5,60.48,61.07,60.38655,2456800
"DFS","06/26/2017",60.18,60.91,60.08,60.61,59.9317,1827300
"DFS","06/23/2017",60.32,60.63,59.8,60.04,59.36808,8458100
"DFS","06/22/2017",60.24,60.6,59.9,60.24,59.56584,1860400
"DFS","06/21/2017",60.92,60.92,60.11,60.36,59.6845,1991700
"DFS","06/20/2017",60.86,61.19,60.55,60.78,60.0998,1824500
"DFS","06/19/2017",61.24,61.47,60.82,61.14,60.45576,1641600
"DFS","06/16/2017",60.95,61.27,60.58,61.1,60.41621,3531900
"DFS","06/15/2017",60.45,61.41,60.2,60.72,60.04047,2163400
"DFS","06/14/2017",60.88,60.9,59.42,60.63,59.95148,2869800
"DFS","06/13/2017",60.94,61.62,60.51,61.36,60.67331,2557000
"DFS","06/12/2017",60.61,61.5,60.26,60.73,60.05035,3039100
"DFS","06/09/2017",60.16,60.72,59.98,60.57,59.89215,2805700
"DFS","06/08/2017",59.37,60.4,59.37,59.73,59.06155,2890800
"DFS","06/07/2017",58.76,59.82,58.6,59.37,58.70557,2646500
"DFS","06/06/2017",58.7,58.99,58.24,58.69,58.03318,3329400
"DFS","06/05/2017",58.93,59.37,58.83,59.02,58.35949,2340800
"DFS","06/02/2017",58.75,59.49,58.75,58.91,58.25072,2830600
"DFS","06/01/2017",58.88,59.43,58.58,59.07,58.40893,2376000
"DFS","05/31/2017",59.07,59.27,57.82,58.7,58.04307,3250800
"DFS","05/30/2017",59.65,59.72,58.84,58.86,58.20128,2889800
"DFS","05/26/2017",58.98,59.94,58.86,59.8,59.13076,2660000
"DFS","05/25/2017",59.43,59.62,58.87,59.04,58.37927,5743000
"DFS","05/24/2017",59.74,59.91,59.15,59.2,58.53748,2635900
"DFS","05/23/2017",59.62,59.95,59.32,59.74,59.07143,2487200
"DFS","05/22/2017",60.29,60.41,59.59,59.71,59.04177,3534700
"DFS","05/19/2017",59.39,60.85,59.19,60.11,59.43729,4516100
"DFS","05/18/2017",58.83,59.57,58.74,59.28,58.61658,4558300
"DFS","05/17/2017",60.17,60.17,58.78,58.84,58.18151,3769300
