"symbol","date","open","high","low","close","adjclose","volume"
"DG","12/29/2017",92.92,93.85,92.87,93.01,93.01,2320600
"DG","12/28/2017",92.67,92.74,92.21,92.58,92.58,1016000
"DG","12/27/2017",92.84,92.86,92.14,92.62,92.62,1921900
"DG","12/26/2017",92.5,93.51,92.26,92.48,92.48,1258100
"DG","12/22/2017",92.35,92.99,91.79,92.91,92.91,2673000
"DG","12/21/2017",92.15,92.48,91.56,91.64,91.64,2356100
"DG","12/20/2017",92.91,94.13,91.44,91.73,91.73,4053000
"DG","12/19/2017",92.87,93,91.53,92.1,92.1,1794600
"DG","12/18/2017",91.5,93.11,91.47,92.55,92.55,1910900
"DG","12/15/2017",91.36,92.24,90.88,90.93,90.93,4253300
"DG","12/14/2017",91.97,92.05,90.42,90.79,90.79,2493700
"DG","12/13/2017",91.23,92.26,91,91.64,91.64,2373900
"DG","12/12/2017",93.07,93.52,91.14,91.23,91.23,3693700
"DG","12/11/2017",93.5,93.5,91.25,93.35,93.35,2845800
"DG","12/08/2017",92.98,93.72,92.21,93.38,93.38,2529200
"DG","12/07/2017",92.25,96.6,92.08,93.37,93.37,6483000
"DG","12/06/2017",90.51,91.34,90.27,90.85,90.85,3743000
"DG","12/05/2017",91.31,91.76,90.28,90.37,90.37,2650300
"DG","12/04/2017",89.04,92.11,88.78,90.77,90.77,3608200
"DG","12/01/2017",88.34,88.75,86.8,87.98,87.98,3151800
"DG","11/30/2017",88.81,89.8,87.93,88.08,88.08,3588100
"DG","11/29/2017",88.68,89.15,87.83,88.68,88.68,4224800
"DG","11/28/2017",86.57,88.04,86.1,87.73,87.73,2473700
"DG","11/27/2017",86.52,87.29,85.57,86.35,86.35,2932100
"DG","11/24/2017",87.63,87.7,86.28,86.28,86.28,1177800
"DG","11/22/2017",86.69,87.34,86.27,87.23,87.23,1511700
"DG","11/21/2017",87.57,88.13,85.63,86.65,86.65,2909800
"DG","11/20/2017",85.77,87.48,85.77,86.94,86.94,3270800
"DG","11/17/2017",84.94,85.52,84.47,85.5,85.5,2492000
"DG","11/16/2017",83.97,85.11,83.64,84.91,84.91,3513300
"DG","11/15/2017",82.07,82.8,81.1,82.3,82.3,2244700
"DG","11/14/2017",83.01,83.83,82.63,83.25,83.25,2757800
"DG","11/13/2017",83.64,85.09,82.79,83.55,83.55,2794400
"DG","11/10/2017",82.01,84.17,81.73,84.15,84.15,3666200
"DG","11/09/2017",80.18,82.15,80.01,81.91,81.91,2275500
"DG","11/08/2017",80.71,81.05,80.16,80.7,80.7,1150900
"DG","11/07/2017",80.65,81.05,79.79,80.66,80.66,1859900
"DG","11/06/2017",81.62,81.63,80.5,80.68,80.68,1496400
"DG","11/03/2017",81.9,82.84,81.44,81.87,81.87,2006700
"DG","11/02/2017",81.42,83.58,80.3,82.51,82.51,1863100
"DG","11/01/2017",81.21,81.65,80.46,81.23,81.23,1487400
"DG","10/31/2017",81.22,82.11,80.49,80.84,80.84,2260600
"DG","10/30/2017",82.93,83,81.1,81.23,81.23,2352100
"DG","10/27/2017",84,84,82.51,83.26,83.26,1825900
"DG","10/26/2017",84.14,85.07,83.88,84.37,84.37,1719300
"DG","10/25/2017",84.01,84.2,83.39,83.97,83.97,1331000
"DG","10/24/2017",84.01,84.26,83.06,84.1,84.1,1656500
"DG","10/23/2017",83.92,84.86,83.77,83.92,83.92,2231900
"DG","10/20/2017",83.29,83.79,83.09,83.61,83.61,2171200
"DG","10/19/2017",82.77,83.28,82.69,82.91,82.91,1656200
"DG","10/18/2017",82.17,83.22,82.13,82.8,82.8,3512800
"DG","10/17/2017",82.15,82.5,81.74,82.1,82.1,1367100
"DG","10/16/2017",82.36,82.5,81.81,82.12,82.12,1489600
"DG","10/13/2017",82.33,83.18,81.91,82.57,82.57,2016100
"DG","10/12/2017",82.21,82.65,81.63,82.18,82.18,1888400
"DG","10/11/2017",80.94,82.77,80.91,82.54,82.54,2988800
"DG","10/10/2017",80.05,81.22,79.8,80.94,80.94,1907000
"DG","10/09/2017",80.55,80.66,78.83,79.18,79.18,2392000
"DG","10/06/2017",80.89,81.16,80.07,80.33,80.33,1968300
"DG","10/06/2017",0,0,0,0,0,0
"DG","10/05/2017",81.29,81.99,81.29,81.48,81.22,1478700
"DG","10/04/2017",81.54,82.38,81.14,81.29,81.0306,1563600
"DG","10/03/2017",81.9,82.1,81.02,81.4,81.14025,2056400
"DG","10/02/2017",80.99,81.92,80.68,81.9,81.63866,1920400
"DG","09/29/2017",80.17,81.3,80.03,81.05,80.79137,2485500
"DG","09/28/2017",79.78,80.16,79.05,80.02,79.76466,2307000
"DG","09/27/2017",79.27,80.06,78.86,79.93,79.67494,2539500
"DG","09/26/2017",79.08,79.69,78.8,79.33,79.07686,2511600
"DG","09/25/2017",77.18,79.37,77.13,79.34,79.08682,2967300
"DG","09/22/2017",76.77,77.77,76.57,77.66,77.41219,3513400
"DG","09/21/2017",77.59,77.67,76.61,76.77,76.52502,1710100
"DG","09/20/2017",77.16,77.7,76.13,77.55,77.30254,1766500
"DG","09/19/2017",77.35,77.35,76.29,76.99,76.74432,2099500
"DG","09/18/2017",77.71,78.83,77.25,77.28,77.0334,3515600
"DG","09/15/2017",76.91,77.8,76.58,77.6,77.35238,4146400
"DG","09/14/2017",77.44,77.66,76.82,77.23,76.98357,2359000
"DG","09/13/2017",76.97,78.66,76.82,77.84,77.59161,3632300
"DG","09/12/2017",76.09,77.86,75.85,76.96,76.71442,2840900
"DG","09/11/2017",75.79,76.36,75.5,75.97,75.72758,4155700
"DG","09/08/2017",76.29,76.85,74.32,75.56,75.31889,5110300
"DG","09/07/2017",75.52,76.41,75.13,76.39,76.14624,3447800
"DG","09/06/2017",74.7,75.59,74.45,75.29,75.04975,2536900
"DG","09/05/2017",72.24,74.65,72.24,74.36,74.12272,3461200
"DG","09/01/2017",72.78,73.45,71.8,72.54,72.30853,3696500
"DG","08/31/2017",72.5,73.69,70.3,72.56,72.32846,12436500
"DG","08/30/2017",76.71,76.98,75.91,76.73,76.48516,4236900
"DG","08/29/2017",76.68,77.25,76.28,76.89,76.64465,2378500
"DG","08/28/2017",77.74,78.62,77.32,77.37,77.12312,2803700
"DG","08/25/2017",76.39,77.84,75.36,77.67,77.42216,2479000
