"symbol","date","open","high","low","close","adjclose","volume"
"DHR","12/29/2017",93.92,94.03,92.8,92.82,92.82,1844800
"DHR","12/28/2017",93.65,93.79,93.08,93.56,93.56,750900
"DHR","12/27/2017",93.17,93.74,92.8,93.56,93.56,1053000
"DHR","12/26/2017",93.32,93.77,93.25,93.32,93.32,592800
"DHR","12/22/2017",93.73,94.07,93.41,93.46,93.46,2613000
"DHR","12/21/2017",94.72,95.01,93.77,93.82,93.82,2193200
"DHR","12/20/2017",94.47,95.16,94.34,94.62,94.62,2979700
"DHR","12/19/2017",94.44,94.74,94.05,94.38,94.38,1878300
"DHR","12/18/2017",94.24,94.84,94.09,94.36,94.36,2960700
"DHR","12/15/2017",93.23,94.34,93.23,94,94,5071100
"DHR","12/14/2017",94.38,94.38,92.52,92.85,92.85,2869900
"DHR","12/13/2017",93.8,94.36,93.61,94.15,94.15,2377200
"DHR","12/12/2017",93.32,93.95,93.02,93.72,93.72,2153400
"DHR","12/11/2017",93.08,93.27,92.59,93.21,93.21,1813900
"DHR","12/08/2017",92.93,93.36,92.69,93.18,93.18,1538100
"DHR","12/07/2017",92.53,93.17,92.04,92.68,92.68,1787800
"DHR","12/06/2017",92.85,92.95,92.16,92.53,92.53,2038400
"DHR","12/05/2017",93.18,93.23,92.57,92.74,92.74,2376900
"DHR","12/04/2017",94.21,94.49,92.62,92.82,92.82,2773400
"DHR","12/01/2017",94.49,94.53,92.82,93.82,93.82,2311100
"DHR","11/30/2017",94.25,94.82,93.84,94.36,94.36,2186200
"DHR","11/29/2017",94.45,94.46,93.44,93.94,93.94,1989800
"DHR","11/28/2017",94.18,94.66,93.88,94.32,94.32,2740200
"DHR","11/27/2017",94.19,94.28,93.83,94.05,94.05,1398400
"DHR","11/24/2017",94.01,94.18,93.61,94.02,94.02,896600
"DHR","11/22/2017",94.2,94.24,93.31,93.76,93.76,1580200
"DHR","11/21/2017",94,94.22,93.75,94.18,94.18,1577700
"DHR","11/20/2017",93.3,93.81,93.03,93.68,93.68,1281400
