"symbol","date","open","high","low","close","adjclose","volume"
"DLTR","12/29/2017",107.86,108.7,107.27,107.31,107.31,1370900
"DLTR","12/28/2017",108,108.41,107.45,108.07,108.07,1259900
"DLTR","12/27/2017",108.5,108.77,107.12,107.49,107.49,1768900
"DLTR","12/26/2017",109.58,110.69,108.2,108.5,108.5,1180500
"DLTR","12/22/2017",108.45,109.74,107.79,109.46,109.46,1447500
"DLTR","12/21/2017",109.32,109.63,108.32,108.47,108.47,2052900
"DLTR","12/20/2017",109.63,110.75,108.31,108.92,108.92,1607400
"DLTR","12/19/2017",109.52,110.86,108.51,109.17,109.17,1814700
"DLTR","12/18/2017",107.06,109.5,106.45,109.1,109.1,2483300
"DLTR","12/15/2017",105.21,107.27,104.26,106.29,106.29,3283800
"DLTR","12/14/2017",106.15,106.78,104,104.65,104.65,1969700
"DLTR","12/13/2017",106,106.55,105.25,105.59,105.59,2185200
"DLTR","12/12/2017",107.58,109,106.1,106.22,106.22,2480700
"DLTR","12/11/2017",108.67,108.69,105.45,107.07,107.07,2465600
"DLTR","12/08/2017",107.58,108.9,107.17,108.67,108.67,2450900
"DLTR","12/07/2017",107.93,108.07,106.14,107.31,107.31,2668000
"DLTR","12/06/2017",106.19,106.52,105.17,105.52,105.52,2083900
"DLTR","12/05/2017",106.26,106.94,104.78,105.89,105.89,2015200
"DLTR","12/04/2017",104.49,107.11,104.41,106.37,106.37,2678300
"DLTR","12/01/2017",101.82,103.91,100.65,103.01,103.01,2461900
"DLTR","11/30/2017",104.15,105.14,102.65,102.76,102.76,4236600
"DLTR","11/29/2017",101.31,104.4,101.01,104.14,104.14,3309900
"DLTR","11/28/2017",98.39,101.09,98.38,100.94,100.94,2464100
"DLTR","11/27/2017",98.32,98.98,97.7,98.2,98.2,2517800
"DLTR","11/24/2017",99.7,99.7,98.03,98.38,98.38,1741600
"DLTR","11/22/2017",99.23,100.74,98.99,99.77,99.77,3054300
"DLTR","11/21/2017",100.15,100.54,95.44,99.46,99.46,7828500
"DLTR","11/20/2017",95.12,97.24,94.71,97.11,97.11,5270700
"DLTR","11/17/2017",94.79,95.22,93.99,94.61,94.61,1945100
"DLTR","11/16/2017",93.56,94.98,93.15,94.63,94.63,2135700
"DLTR","11/15/2017",92.83,93.76,91.31,93.09,93.09,1998800
"DLTR","11/14/2017",93.48,93.57,92.3,93.45,93.45,2054600
"DLTR","11/13/2017",94.71,95.46,92.98,93.69,93.69,1738500
"DLTR","11/10/2017",94.14,95.64,93.92,95.06,95.06,2995700
"DLTR","11/09/2017",93.35,95.09,93.35,94.38,94.38,1713600
"DLTR","11/08/2017",93.32,94.66,93.1,93.9,93.9,1193800
"DLTR","11/07/2017",93.47,93.78,92.48,93.62,93.62,1474800
"DLTR","11/06/2017",93.48,93.74,92.34,93.39,93.39,1334900
"DLTR","11/03/2017",93.28,94.49,92.82,93.75,93.75,2538300
"DLTR","11/02/2017",91.2,94.8,90.89,92.55,92.55,2194200
"DLTR","11/01/2017",91.6,92.06,90.34,91.12,91.12,1750000
"DLTR","10/31/2017",91.63,92.21,91.05,91.25,91.25,1383800
"DLTR","10/30/2017",92.52,92.92,90.3,91.44,91.44,2234400
"DLTR","10/27/2017",92.02,93.33,90.85,93.21,93.21,2192000
"DLTR","10/26/2017",92.12,93.34,91.78,93.23,93.23,1638700
"DLTR","10/25/2017",91.5,91.9,91.06,91.61,91.61,1159900
"DLTR","10/24/2017",91.61,92.31,91.13,91.78,91.78,2523100
"DLTR","10/23/2017",92.38,93.68,91.58,91.72,91.72,1579100
"DLTR","10/20/2017",91.95,92.55,91.58,92.37,92.37,1971500
"DLTR","10/19/2017",91.4,91.93,90.8,91.41,91.41,1222300
"DLTR","10/18/2017",91.45,92.05,91.26,91.47,91.47,1476100
"DLTR","10/17/2017",91.7,92.22,91.15,91.53,91.53,1167100
"DLTR","10/16/2017",91.06,92.05,91.06,91.95,91.95,1837800
"DLTR","10/13/2017",90.16,92.15,89.94,91.5,91.5,2058100
"DLTR","10/12/2017",91.23,91.5,89.95,91.37,91.37,2185300
"DLTR","10/11/2017",89.2,91.39,89.13,91.23,91.23,2660700
"DLTR","10/10/2017",88.56,90.51,88.5,89.3,89.3,1861400
"DLTR","10/09/2017",89.61,89.61,87.92,88.37,88.37,1834900
"DLTR","10/06/2017",88.64,89.5,88.34,89.42,89.42,2524400
"DLTR","10/05/2017",89.04,89.9,88.63,89.15,89.15,2074300
"DLTR","10/04/2017",88,89.77,87.62,89.05,89.05,3783500
"DLTR","10/03/2017",86.75,87.37,86.36,86.82,86.82,1497900
"DLTR","10/02/2017",86.6,86.92,86.18,86.47,86.47,1617800
"DLTR","09/29/2017",85.68,87.19,85.68,86.82,86.82,1819900
"DLTR","09/28/2017",85.15,85.82,84.65,85.68,85.68,1761300
"DLTR","09/27/2017",85.27,86.22,84.37,85.67,85.67,1751300
"DLTR","09/26/2017",85.21,86.05,84.75,84.89,84.89,1535700
"DLTR","09/25/2017",84.08,86.02,84.08,84.99,84.99,1985800
"DLTR","09/22/2017",83.12,84.8,83.04,84.62,84.62,2232300
"DLTR","09/21/2017",83.44,83.54,82.4,83.14,83.14,1170500
"DLTR","09/20/2017",83.44,83.96,82.29,83.42,83.42,1783600
"DLTR","09/19/2017",83.09,83.55,82.36,83.43,83.43,2252500
"DLTR","09/18/2017",83.45,84.56,83.05,83.19,83.19,1670900
"DLTR","09/15/2017",83.59,84.31,83,83.48,83.48,2757300
"DLTR","09/14/2017",84.14,84.4,83.13,83.46,83.46,1807200
"DLTR","09/13/2017",83.97,84.9,83.66,84.41,84.41,2076400
"DLTR","09/12/2017",83.32,84.56,83.16,83.98,83.98,1655800
"DLTR","09/11/2017",83.14,83.51,82.2,83.4,83.4,2790900
"DLTR","09/08/2017",83.35,83.95,81.71,82.83,82.83,2707700
"DLTR","09/07/2017",82.85,83.49,82.67,83.23,83.23,2073700
"DLTR","09/06/2017",82.47,83.29,82.23,82.73,82.73,2467700
"DLTR","09/05/2017",81.41,83.32,81.37,82.49,82.49,3278000
"DLTR","09/01/2017",79.79,81.29,79.66,81.06,81.06,3235900
"DLTR","08/31/2017",79.23,80.23,78.32,79.64,79.64,3672900
"DLTR","08/30/2017",79.76,80.16,79.34,79.72,79.72,2771300
"DLTR","08/29/2017",79.59,80.3,79.43,79.7,79.7,3087300
"DLTR","08/28/2017",80.78,81.5,80.21,80.38,80.38,2475000
"DLTR","08/25/2017",79.88,80.78,77.92,80.39,80.39,4449500
