"symbol","date","open","high","low","close","adjclose","volume"
"DUK","12/29/2017",84.28,84.58,83.98,84.11,84.11,2210700
"DUK","12/28/2017",84.08,84.26,83.86,83.99,83.99,1904400
"DUK","12/27/2017",83.64,84.1,83.64,83.98,83.98,1663700
"DUK","12/26/2017",84.26,84.38,83.56,83.6,83.6,1223100
"DUK","12/22/2017",84.4,84.62,83.97,84.17,84.17,1683900
"DUK","12/21/2017",84.45,84.77,83.75,84.3,84.3,2966400
"DUK","12/20/2017",85,85.4,84.43,84.49,84.49,2011400
"DUK","12/19/2017",86.66,86.73,84.93,85.01,85.01,2635100
"DUK","12/18/2017",88,88.15,86.4,86.54,86.54,3166000
"DUK","12/15/2017",87.71,88.16,87.55,87.84,87.84,6372800
"DUK","12/14/2017",87.52,87.84,86.72,87.56,87.56,2437800
"DUK","12/13/2017",87.43,88.19,87.15,87.56,87.56,3938200
"DUK","12/12/2017",88.01,88.23,87.07,87.13,87.13,2787200
"DUK","12/11/2017",87.81,88.39,87.55,88.37,88.37,2244200
"DUK","12/08/2017",87.57,88.12,87.57,88.05,88.05,2701700
"DUK","12/07/2017",88.25,88.27,87.54,87.9,87.9,2346000
"DUK","12/06/2017",88.23,88.5,87.88,88.31,88.31,1970100
"DUK","12/05/2017",88.71,88.75,87.45,87.96,87.96,3261300
"DUK","12/04/2017",89.07,89.43,88.43,88.62,88.62,2552300
"DUK","12/01/2017",89.39,89.72,88.19,88.73,88.73,3088500
"DUK","11/30/2017",89.15,89.41,88.74,89.18,89.18,4393100
"DUK","11/29/2017",88.77,89.35,88.32,89,89,2917800
"DUK","11/28/2017",89.08,89.4,88.68,88.98,88.98,3013700
"DUK","11/27/2017",88.89,89.02,88.41,88.88,88.88,3129300
"DUK","11/24/2017",88.82,89.08,88.64,88.78,88.78,936300
"DUK","11/22/2017",88.74,88.89,88.29,88.63,88.63,1653000
"DUK","11/21/2017",88.76,89.2,88.66,88.81,88.81,2467000
"DUK","11/20/2017",88.62,88.99,88.32,88.66,88.66,2558500
"DUK","11/17/2017",88.86,89.28,88.45,88.52,88.52,2652700
"DUK","11/16/2017",89.75,89.91,88.88,89.21,89.21,3205200
"DUK","11/16/2017",0,0,0,0,0,0
"DUK","11/15/2017",91.38,91.8,90.42,90.58,89.69,3304400
"DUK","11/14/2017",89.68,91.14,89.61,91.09,90.19498,2713100
"DUK","11/13/2017",89.06,90.22,88.98,89.88,88.99687,2626600
"DUK","11/10/2017",89.1,89.29,88.65,88.89,88.0166,2216700
"DUK","11/09/2017",89.06,89.74,88.91,89.63,88.74933,2101600
"DUK","11/08/2017",89.15,89.68,88.67,89.23,88.35326,3057700
"DUK","11/07/2017",88.08,89.43,87.61,89.36,88.48199,2315000
"DUK","11/06/2017",88.36,88.72,87.77,87.87,87.00663,2557000
"DUK","11/03/2017",88.28,89.5,88.16,88.52,87.65024,2405200
"DUK","11/02/2017",88,88.73,87.67,88.56,87.68984,3518300
"DUK","11/01/2017",88.56,88.56,87.56,87.86,86.99673,2023900
"DUK","10/31/2017",88,88.64,87.8,88.31,87.4423,2666700
"DUK","10/30/2017",87.78,88.2,87.68,88.11,87.24427,2262300
"DUK","10/27/2017",87.23,88.52,87.12,87.95,87.08584,2059800
"DUK","10/26/2017",88.12,88.55,87.35,87.36,86.50164,2708400
"DUK","10/25/2017",87.61,87.96,86.71,87.75,86.8878,2268400
"DUK","10/24/2017",87.65,88.06,87.34,87.99,87.12544,2197800
"DUK","10/23/2017",87.96,88,86.88,87.54,86.67987,2609600
