"symbol","date","open","high","low","close","adjclose","volume"
"EFX","12/29/2017",120.05,120.05,117.82,117.92,117.92,803800
"EFX","12/28/2017",119.82,119.82,118.46,119.73,119.73,548900
"EFX","12/27/2017",119.02,119.85,118.75,119.78,119.78,627800
"EFX","12/26/2017",119.75,119.97,118.27,118.98,118.98,617200
"EFX","12/22/2017",119.59,120,118.8,119.73,119.73,770000
"EFX","12/21/2017",119.2,119.7,118.15,119.57,119.57,739000
"EFX","12/20/2017",119.87,120.77,118.83,118.89,118.89,817700
"EFX","12/19/2017",118.59,119.75,118,119.44,119.44,986800
"EFX","12/18/2017",119.97,120.01,117.73,118.33,118.33,973100
"EFX","12/15/2017",118.9,120.11,117.93,119.51,119.51,2501100
"EFX","12/14/2017",116.63,120.05,116.22,118.19,118.19,1303700
"EFX","12/13/2017",118.5,118.55,116.9,117.4,117.4,1317100
"EFX","12/12/2017",118.48,118.52,117.73,118.22,118.22,990600
"EFX","12/11/2017",117.42,118.53,116.84,118.52,118.52,1291300
"EFX","12/08/2017",117,117.49,116.11,117.4,117.4,1143800
"EFX","12/07/2017",115.45,116.83,114.9,116.83,116.83,1094400
"EFX","12/06/2017",113.97,115.8,113.51,115.69,115.69,1422200
"EFX","12/05/2017",113.5,114.46,112.36,114.39,114.39,1290400
"EFX","12/04/2017",113.64,114.62,112.91,113.4,113.4,1307100
"EFX","12/01/2017",114.12,114.44,111.29,112.93,112.93,1358500
"EFX","11/30/2017",112.65,114.97,112.26,114.12,114.12,1852600
"EFX","11/29/2017",112.26,114.49,112.02,112.65,112.65,1728200
"EFX","11/28/2017",110.72,112.55,110.12,112.09,112.09,1421000
"EFX","11/27/2017",110.09,110.72,109.42,110.5,110.5,657100
"EFX","11/24/2017",109.69,111.01,109.67,109.9,109.9,344000
"EFX","11/22/2017",110.52,110.71,109.56,109.81,109.81,523100
"EFX","11/22/2017",0,0,0,0,0,0
"EFX","11/21/2017",110.87,111.43,110.66,110.71,110.32,716900
"EFX","11/20/2017",111.27,112.19,110.68,110.91,110.5193,580100
"EFX","11/17/2017",109.11,111.61,109.02,111.37,110.9777,902200
"EFX","11/16/2017",110.49,110.49,109.14,109.58,109.194,1127900
"EFX","11/15/2017",109.47,110.85,108.42,110.21,109.8218,867600
"EFX","11/14/2017",108.45,111.12,108.45,109.31,108.9249,1126400
"EFX","11/13/2017",106.77,109.36,106.45,108.79,108.4068,1657500
"EFX","11/10/2017",110.18,110.18,105.31,108.74,108.3569,2160800
"EFX","11/09/2017",106.34,109.29,106.22,108.95,108.5662,2048600
"EFX","11/08/2017",107.4,107.98,106.92,107.2,106.8224,2539000
"EFX","11/07/2017",108.14,108.6,106.75,107.42,107.0416,1866700
"EFX","11/06/2017",108.7,110,107.91,108.03,107.6494,1740400
"EFX","11/03/2017",110.5,110.5,108.64,108.7,108.3171,939700
"EFX","11/02/2017",110.09,110.34,107.63,108.92,108.5363,1240100
"EFX","11/01/2017",109.12,111.29,108.89,109.8,109.4132,1438300
"EFX","10/31/2017",108.99,110.32,108.53,108.53,108.1477,1041000
"EFX","10/30/2017",109,109.39,108.11,109.01,108.626,1165700
"EFX","10/27/2017",109.31,110.66,109.07,109.39,109.0047,1434600
"EFX","10/26/2017",107.3,109.3,107.04,108.95,108.5662,1340700
"EFX","10/25/2017",109.4,109.7,107.43,107.54,107.1612,2357400
"EFX","10/24/2017",109.3,110.09,108.67,108.8,108.4167,1873500
"EFX","10/23/2017",109.31,109.94,108.32,109.36,108.9748,2265600
"EFX","10/20/2017",110.93,112.95,109.76,109.97,109.5826,1974000
"EFX","10/19/2017",110.55,111.82,110.01,110.51,110.1207,2238300
"EFX","10/18/2017",108.75,110.75,108.52,110.62,110.2303,2230800
"EFX","10/17/2017",109,110.08,108.48,108.58,108.1975,1532100
"EFX","10/16/2017",109.68,110.26,108.63,108.7,108.3171,3078400
"EFX","10/13/2017",109.55,110.35,108.06,109.5,109.1143,2157900
"EFX","10/12/2017",109.85,110.85,106.58,108.81,108.4267,5976200
"EFX","10/11/2017",113.56,114.46,109.69,110.5,110.1107,2555200
"EFX","10/10/2017",112.86,113.66,112.19,113.54,113.14,1921500
"EFX","10/09/2017",111.35,113.55,110.68,112.25,111.8546,1708500
"EFX","10/06/2017",113.17,113.43,110.9,111.34,110.9478,2929600
"EFX","10/05/2017",111.85,113.64,110.78,112.97,112.572,3275700
"EFX","10/04/2017",110.55,112.09,108.77,111.93,111.5357,3979300
"EFX","10/03/2017",108,112.46,107.08,110.45,110.0609,6579300
"EFX","10/02/2017",106.09,108.61,106,107.81,107.4302,3667000
"EFX","09/29/2017",106,107.6,105.72,105.99,105.6166,3735900
"EFX","09/28/2017",106.43,106.52,103.78,106.37,105.9953,3780300
"EFX","09/27/2017",107,108.99,106,106.44,106.065,7601600
"EFX","09/26/2017",102.79,106.15,101.74,106.05,105.6764,7616800
"EFX","09/25/2017",106.23,107.17,104.51,105.09,104.7198,8059400
"EFX","09/22/2017",100.1,105.2,99.8,105.04,104.67,12473500
"EFX","09/21/2017",96.5,98.47,95.25,98.25,97.90389,5483600
"EFX","09/20/2017",95,97.41,93.1,96,95.66182,8760500
"EFX","09/19/2017",92.5,95.35,91.88,94.87,94.5358,7847000
"EFX","09/18/2017",93,95.06,92.08,94.38,94.04752,10873800
"EFX","09/15/2017",94.4,95.69,90.72,92.98,92.65247,16707700
"EFX","09/14/2017",98.69,100.75,89.59,96.66,96.3195,34582400
"EFX","09/13/2017",116.55,116.75,98.04,98.99,98.64129,17508900
"EFX","09/12/2017",112.97,116.08,112.18,115.96,115.5515,6939100
"EFX","09/11/2017",121.53,122,111.17,113.12,112.7215,9825500
"EFX","09/08/2017",121.82,125.5,117.25,123.23,122.7959,16854700
"EFX","09/07/2017",141.45,143.27,141.35,142.72,142.2172,518500
"EFX","09/06/2017",141.58,142.14,141.02,141.39,140.8919,452300
"EFX","09/05/2017",141.42,142.49,140.57,141.1,140.603,495000
"EFX","09/01/2017",142.73,143.37,141.59,141.59,141.0912,363000
"EFX","08/31/2017",141.78,143.27,141.77,142.47,141.9681,425400
"EFX","08/30/2017",140.57,141.71,140.56,141.42,140.9218,221600
"EFX","08/29/2017",140.07,141.11,139.75,140.8,140.304,321900
"EFX","08/28/2017",141,141.28,140.09,140.62,140.1246,476700
