"symbol","date","open","high","low","close","adjclose","volume"
"EL","12/29/2017",127.8,128.13,127.2,127.24,127.24,805100
"EL","12/28/2017",127.62,128.21,127.38,127.89,127.89,794100
"EL","12/27/2017",128.64,128.92,127.63,127.75,127.75,613800
"EL","12/26/2017",127.78,129.01,127.57,128.85,128.85,491500
"EL","12/22/2017",128.09,128.12,127.24,127.75,127.75,747000
"EL","12/21/2017",128.15,128.86,127.5,127.58,127.58,827800
"EL","12/20/2017",128.04,128.31,127.27,127.69,127.69,1143000
"EL","12/19/2017",129.24,129.82,127.41,127.84,127.84,1980300
"EL","12/18/2017",129.87,130.36,129.09,129.39,129.39,1693900
"EL","12/15/2017",128.59,129.79,128.44,129.62,129.62,2777800
"EL","12/14/2017",127.66,128.22,127.34,127.81,127.81,1588900
"EL","12/13/2017",124.95,128.57,124.9,127.95,127.95,2379600
"EL","12/12/2017",125.1,125.32,124.72,124.95,124.95,1609200
"EL","12/11/2017",125.31,125.85,124.95,125.47,125.47,1322300
"EL","12/08/2017",125.16,125.9,124.57,125.63,125.63,1788500
"EL","12/07/2017",124.53,125.34,124.25,125.18,125.18,1635700
"EL","12/06/2017",124.28,124.67,123.01,124.47,124.47,1902800
"EL","12/05/2017",123.92,124.97,123.5,124.5,124.5,2491700
"EL","12/04/2017",125.35,125.6,123.99,125.34,125.34,1541900
"EL","12/01/2017",124.73,125.27,123.42,124.77,124.77,1703300
"EL","11/30/2017",123.87,125.03,123.34,124.83,124.83,2857500
"EL","11/29/2017",124.53,124.99,123.35,123.93,123.93,2575000
"EL","11/29/2017",0,0,0,0,0,0
"EL","11/28/2017",125.73,125.83,125.08,125.31,124.93,2022900
"EL","11/27/2017",126.1,126.46,124.67,125.15,124.7705,1593000
"EL","11/24/2017",126,126.6,126,126.19,125.8073,870700
"EL","11/22/2017",125.88,126.71,125.07,125.84,125.4584,1561000
"EL","11/21/2017",124.8,126.43,124.75,125.5,125.1194,1889400
"EL","11/20/2017",125.14,126.48,124.89,125.18,124.8004,1674000
"EL","11/17/2017",125.48,126.16,124.69,124.69,124.3119,2215300
"EL","11/16/2017",125.16,126.45,124.81,125.64,125.259,1444800
"EL","11/15/2017",125.38,126.12,124.54,124.61,124.2321,1392200
"EL","11/14/2017",125.75,126.31,125.26,126.02,125.6378,1431800
"EL","11/13/2017",124.81,126.99,124.57,126.32,125.9369,2035000
"EL","11/10/2017",123.82,125.29,123.73,124.61,124.2321,1859200
"EL","11/09/2017",122.67,124.2,122,123.78,123.4046,1855300
"EL","11/08/2017",122.5,124,122.5,123.08,122.7068,2227900
"EL","11/07/2017",120.63,122.29,120.46,122.22,121.8494,1299200
"EL","11/06/2017",121.42,121.75,120.47,121.12,120.7527,1331300
"EL","11/03/2017",120.43,122,119.81,121.71,121.3409,2219300
"EL","11/02/2017",121.67,122.5,118.82,120.15,119.7856,4197600
"EL","11/01/2017",120.15,124.8,117.14,122.12,121.7497,7620700
"EL","10/31/2017",111.15,112.27,110.52,111.81,111.4709,2255900
"EL","10/30/2017",111.61,111.83,109.75,110.85,110.5138,1838300
"EL","10/27/2017",111.33,111.91,110.46,111.87,111.5308,1644100
"EL","10/26/2017",111.16,112.49,111.16,111.79,111.451,1639500
"EL","10/25/2017",110.29,111.21,110.01,111.12,110.783,1948600
"EL","10/24/2017",108.81,110.27,108.74,110.24,109.9057,1351000
"EL","10/23/2017",108.98,109.78,108.58,109.07,108.7392,1260200
"EL","10/20/2017",109.47,109.76,108.25,108.8,108.4701,1927100
"EL","10/19/2017",109.46,109.77,108.91,109.7,109.3673,1822300
"EL","10/18/2017",110.69,110.83,109.2,109.98,109.6465,1447700
"EL","10/17/2017",111.01,111.28,110.04,110.51,110.1749,1238900
"EL","10/16/2017",111.75,111.79,110.36,111.28,110.9425,1243400
"EL","10/13/2017",109.86,111.75,109.55,111,110.6634,1676300
"EL","10/12/2017",109.58,109.87,109.19,109.49,109.158,1799900
"EL","10/11/2017",109.84,110.17,109.53,109.73,109.3972,1030600
"EL","10/10/2017",109.98,110.26,109.15,109.59,109.2577,852100
"EL","10/09/2017",109.74,110.06,109.36,109.63,109.2975,1228200
"EL","10/06/2017",109.72,110.2,109.34,109.74,109.4072,1212000
"EL","10/05/2017",109.9,110.55,109.81,110.02,109.6864,1082000
"EL","10/04/2017",109.05,110.75,108.69,109.94,109.6066,1864600
"EL","10/03/2017",108.27,108.89,108.27,108.45,108.1211,1316900
"EL","10/02/2017",108.26,108.84,107.79,108.2,107.8719,1151800
"EL","09/29/2017",106.76,108.16,106.3,107.84,107.513,2531100
"EL","09/28/2017",108.3,108.54,106,106.35,106.0275,2542200
"EL","09/27/2017",108.1,108.76,107.43,108.52,108.1909,1231000
"EL","09/26/2017",108.01,108.29,107.2,107.96,107.6326,2833200
"EL","09/25/2017",107.79,108.36,107.62,107.98,107.6525,2025000
"EL","09/22/2017",108.63,109.16,107.3,107.58,107.2538,2173300
"EL","09/21/2017",109.96,110.11,108.19,108.25,107.9217,1402700
"EL","09/20/2017",110.37,110.87,109.44,110.23,109.8957,1438200
"EL","09/19/2017",110.27,110.43,109.99,110.35,110.0154,1061900
"EL","09/18/2017",110.04,110.31,109.71,110.27,109.9356,952300
"EL","09/15/2017",110.37,110.99,109.15,109.69,109.3574,1896800
"EL","09/14/2017",109.41,110.03,109.05,110.01,109.6764,1227900
"EL","09/13/2017",109.3,109.97,109.18,109.66,109.3275,1302600
"EL","09/12/2017",108.54,109.6,108.54,108.9,108.5698,2438400
"EL","09/11/2017",109.18,109.84,108.64,108.74,108.4102,2548000
"EL","09/08/2017",108.2,108.85,107.73,108.81,108.48,1387900
"EL","09/07/2017",108.56,108.74,107.55,108.23,107.9018,1467900
"EL","09/06/2017",108.31,108.6,106.86,108.07,107.7423,1520400
"EL","09/05/2017",107.46,108.35,107.39,107.95,107.6226,1632600
"EL","09/01/2017",107,108.18,106.72,107.93,107.6027,2360600
"EL","08/31/2017",106,107.1,105.67,106.99,106.6656,2085000
"EL","08/30/2017",105.65,106.41,105.16,105.66,105.3396,1805000
"EL","08/29/2017",105.56,106.5,105.2,105.7,105.3795,1826500
"EL","08/29/2017",0,0,0,0,0,0
"EL","08/28/2017",105,106.81,104.3,105.96,105.2997,3841500
"EL","08/25/2017",105.26,107.15,104.92,106.5,105.8363,3170200
"EL","08/24/2017",104.79,106.16,104.52,106.01,105.3494,2511000
"EL","08/23/2017",105,105.45,104.01,104.45,103.7991,3201200
"EL","08/22/2017",107.09,107.91,104.89,105.21,104.5544,4659500
"EL","08/21/2017",105.39,106.98,105.05,106.48,105.8165,3541900
"EL","08/18/2017",102.81,106.45,102,105.92,105.2599,8925800
"EL","08/17/2017",101.15,101.3,98.16,98.32,97.70732,4479400
"EL","08/16/2017",100.87,102,100.45,101.07,100.4402,2034100
"EL","08/15/2017",101.48,101.64,100.52,101.04,100.4104,1702400
"EL","08/14/2017",100.09,101.79,100.01,101.13,100.4998,2674000
"EL","08/11/2017",101.9,102.33,99.01,99.65,99.02903,3592400
"EL","08/10/2017",103.02,104.38,101.22,101.69,101.0563,4764900
"EL","08/09/2017",100.85,104.5,100.68,103.77,103.1234,7523500
"EL","08/08/2017",100.34,101.41,100.06,101.06,100.4302,2128900
