"symbol","date","open","high","low","close","adjclose","volume"
"GPC","12/29/2017",95.4,95.93,94.98,95.01,95.01,494900
"GPC","12/28/2017",95.67,95.85,94.43,95.48,95.48,516900
"GPC","12/27/2017",95.46,95.76,95.13,95.67,95.67,430500
"GPC","12/26/2017",94.95,95.96,94.86,95.39,95.39,339800
"GPC","12/22/2017",94.94,95.54,94.55,95.11,95.11,765300
"GPC","12/21/2017",93.58,94.58,93.29,94.53,94.53,609900
"GPC","12/20/2017",93.56,93.71,92.78,93.22,93.22,446200
"GPC","12/19/2017",93.83,93.97,93.01,93.01,93.01,577600
"GPC","12/18/2017",92.87,93.72,92.44,93.44,93.44,580700
"GPC","12/15/2017",92.45,93.4,91.58,91.98,91.98,1273400
"GPC","12/14/2017",93.2,93.33,91.43,91.48,91.48,763500
"GPC","12/13/2017",92.58,93.81,92.58,93.26,93.26,706800
"GPC","12/12/2017",93.74,93.96,92.33,92.73,92.73,710700
"GPC","12/11/2017",94.59,94.64,92.99,93.49,93.49,711400
"GPC","12/08/2017",92.87,94.97,92.87,94.85,94.85,774400
"GPC","12/07/2017",92.87,94.32,92.87,93.8,93.8,1320800
"GPC","12/07/2017",0,0,0,0,0,0
"GPC","12/06/2017",93.92,94.55,93.41,93.72,93.045,1343800
"GPC","12/05/2017",94.75,95.24,93.4,94.16,93.48183,913600
"GPC","12/04/2017",93.35,94.17,93.28,93.96,93.28327,1019700
"GPC","12/01/2017",93.09,93.33,90.97,92.86,92.19119,1098700
"GPC","11/30/2017",91.53,93.18,91.31,92.97,92.3004,1292700
"GPC","11/29/2017",89.47,91.87,89.47,91.5,90.84099,963300
"GPC","11/28/2017",87.65,89.41,87.65,89.34,88.69654,949600
"GPC","11/27/2017",86.96,87.74,86.92,87.62,86.98894,675500
"GPC","11/24/2017",86.93,87.04,86.41,86.84,86.21455,246900
"GPC","11/22/2017",85.95,87.23,85.92,86.91,86.28405,390800
"GPC","11/21/2017",86.6,86.6,85.27,85.95,85.33096,1108600
"GPC","11/20/2017",86.13,86.59,85.9,86.26,85.63873,519800
"GPC","11/17/2017",85.95,86.8,85.8,86.13,85.50966,572700
"GPC","11/16/2017",85.22,86.06,84.71,85.99,85.37067,717400
"GPC","11/15/2017",85.41,88.32,84.83,85,84.3878,657200
"GPC","11/14/2017",86.06,87.38,85.78,86.01,85.39053,711000
