"symbol","date","open","high","low","close","adjclose","volume"
"HCP","12/29/2017",26,26.25,25.97,26.08,26.08,3010700
"HCP","12/28/2017",25.86,26.04,25.7,26.03,26.03,3186600
"HCP","12/27/2017",26.04,26.12,25.81,25.87,25.87,2332200
"HCP","12/26/2017",25.7,26.05,25.63,25.95,25.95,2547300
"HCP","12/22/2017",25.63,25.71,25.51,25.67,25.67,2935900
"HCP","12/21/2017",25.9,25.9,25.52,25.6,25.6,4396600
"HCP","12/20/2017",26.05,26.22,25.82,25.84,25.84,4922200
"HCP","12/19/2017",27,27,25.99,26.1,26.1,5205500
"HCP","12/18/2017",26.94,27.3,26.91,26.98,26.98,4185900
"HCP","12/15/2017",26.9,27.24,26.82,26.83,26.83,9652900
"HCP","12/14/2017",26.93,27.08,26.8,26.81,26.81,3960400
"HCP","12/13/2017",27.23,27.43,26.92,26.97,26.97,5779300
"HCP","12/12/2017",26.77,27.3,26.7,27.14,27.14,6450500
"HCP","12/11/2017",26.73,26.83,26.69,26.72,26.72,3070900
"HCP","12/08/2017",26.81,27.04,26.68,26.78,26.78,2763700
"HCP","12/07/2017",26.55,26.85,26.51,26.77,26.77,2283100
"HCP","12/06/2017",26.63,26.65,26.39,26.61,26.61,1934900
"HCP","12/05/2017",26.79,26.96,26.54,26.56,26.56,3769800
"HCP","12/04/2017",26.67,26.79,26.38,26.4,26.4,3283500
"HCP","12/01/2017",26.54,26.77,26.48,26.66,26.66,3453800
"HCP","11/30/2017",26.83,26.85,26.3,26.44,26.44,5115100
"HCP","11/29/2017",26.54,26.95,26.38,26.9,26.9,3358000
"HCP","11/28/2017",26.7,26.78,26.41,26.55,26.55,2566600
"HCP","11/27/2017",26.87,26.93,26.69,26.69,26.69,3106000
"HCP","11/24/2017",26.72,27,26.72,26.88,26.88,880700
"HCP","11/22/2017",26.76,26.93,26.71,26.71,26.71,2552100
"HCP","11/21/2017",26.87,26.93,26.76,26.8,26.8,3468500
"HCP","11/20/2017",26.8,26.87,26.54,26.8,26.8,3211700
"HCP","11/17/2017",26.75,26.9,26.74,26.8,26.8,2769700
"HCP","11/16/2017",26.96,27.01,26.66,26.84,26.84,4430500
