"symbol","date","open","high","low","close","adjclose","volume"
"HRS","12/29/2017",143.29,143.29,141.62,141.65,141.65,616500
"HRS","12/28/2017",143.86,143.86,141.9,143.22,143.22,540500
"HRS","12/27/2017",142.3,143.35,142.05,143.22,143.22,285700
"HRS","12/26/2017",142.68,143.19,141.84,142.2,142.2,323000
"HRS","12/22/2017",143.04,143.1,141.97,142.78,142.78,350200
"HRS","12/21/2017",142.86,143.11,141.73,142.79,142.79,387600
"HRS","12/20/2017",142.89,143.19,141.91,142.34,142.34,524200
"HRS","12/19/2017",142.71,143.84,142.06,142.57,142.57,469200
"HRS","12/18/2017",144.7,144.7,142.55,142.67,142.67,687000
"HRS","12/15/2017",142.26,144.6,141.71,144.09,144.09,2392400
"HRS","12/14/2017",142.57,142.57,141.24,141.27,141.27,562200
"HRS","12/13/2017",141.33,143.56,141.18,141.94,141.94,657600
"HRS","12/12/2017",142.36,142.79,140.89,141.42,141.42,662200
"HRS","12/11/2017",138.08,143.91,138.08,142.64,142.64,492200
"HRS","12/08/2017",143.96,144.1,142.85,143.25,143.25,462200
"HRS","12/07/2017",142.23,143.59,142.23,143.2,143.2,312800
"HRS","12/06/2017",142.41,143.22,141.79,142.52,142.52,428100
"HRS","12/05/2017",142.06,143.79,141.18,142.58,142.58,704900
"HRS","12/04/2017",144.04,144.04,141.11,141.69,141.69,688300
"HRS","12/01/2017",144.2,144.41,140.98,142.86,142.86,784900
"HRS","11/30/2017",143.98,144.94,142.59,144.5,144.5,2345000
"HRS","11/29/2017",144.2,144.63,142,143.22,143.22,658600
"HRS","11/28/2017",143.89,144.47,143.52,144.2,144.2,601600
"HRS","11/27/2017",144.03,144.24,143.1,143.5,143.5,502100
"HRS","11/24/2017",142.77,144.24,142.35,143.94,143.94,310700
"HRS","11/22/2017",144,144,142.52,142.52,142.52,596300
"HRS","11/21/2017",142.98,144.75,142.51,144,144,1053500
"HRS","11/20/2017",140.37,142.04,140.25,141.92,141.92,571300
"HRS","11/17/2017",140.09,141.12,139.73,139.84,139.84,610700
