"symbol","date","open","high","low","close","adjclose","volume"
"IT","12/29/2017",124.22,124.43,122.9,123.15,123.15,398100
"IT","12/28/2017",124.15,124.35,122.9,123.89,123.89,362500
"IT","12/27/2017",123.61,124.09,122.66,123.97,123.97,259100
"IT","12/26/2017",123.23,123.69,122.77,123.09,123.09,468700
"IT","12/22/2017",123.38,123.69,122.71,123.59,123.59,244000
"IT","12/21/2017",123.91,124.21,122.77,123.02,123.02,311800
"IT","12/20/2017",123.85,124.44,122.63,123.66,123.66,369400
"IT","12/19/2017",124.51,124.68,123.39,123.45,123.45,339200
"IT","12/18/2017",123.11,124.92,123.11,124.43,124.43,493300
"IT","12/15/2017",120.54,123.09,120.27,122.51,122.51,633400
"IT","12/14/2017",121.14,121.76,120.01,120.05,120.05,280100
"IT","12/13/2017",120.56,121.78,120.38,121.33,121.33,334100
"IT","12/12/2017",119.72,121.01,119.08,120.65,120.65,328400
"IT","12/11/2017",120.45,121.14,119.76,120.01,120.01,358200
"IT","12/08/2017",120.56,121.29,119.48,120.71,120.71,505900
"IT","12/07/2017",119.55,120.38,119.29,120.23,120.23,679600
"IT","12/06/2017",121.05,122.42,119.4,119.48,119.48,717500
"IT","12/05/2017",121.68,122.51,120.51,121.52,121.52,556100
"IT","12/04/2017",120.74,122.05,119.89,121.25,121.25,719800
"IT","12/01/2017",120.94,121.93,118.61,119.95,119.95,624700
"IT","11/30/2017",119.35,121,119.24,120.89,120.89,728400
"IT","11/29/2017",119.96,119.96,118.4,119.31,119.31,650600
"IT","11/28/2017",118.35,119.57,118.11,119.49,119.49,310500
"IT","11/27/2017",116.72,118.55,116.21,118.32,118.32,532300
"IT","11/24/2017",115.96,116.45,115.01,116.39,116.39,272900
"IT","11/22/2017",116.98,117.05,115.8,115.99,115.99,603800
"IT","11/21/2017",117.5,118.18,116.87,117.19,117.19,461100
"IT","11/20/2017",117.43,118.01,116.38,116.62,116.62,331900
"IT","11/17/2017",118.48,118.48,116.78,116.9,116.9,587600
"IT","11/16/2017",117.88,119.28,117.12,118.97,118.97,580600
"IT","11/15/2017",117.24,117.67,116.13,117.3,117.3,457000
"IT","11/14/2017",116.34,117.66,116.06,117.64,117.64,455900
"IT","11/13/2017",116.92,117.38,116.18,116.32,116.32,420900
"IT","11/10/2017",116.85,117.78,116.22,117.48,117.48,493800
"IT","11/09/2017",117.97,118.26,116,117.34,117.34,486400
"IT","11/08/2017",119,119.01,117.17,118.81,118.81,516400
"IT","11/07/2017",118.43,118.98,117.21,117.75,117.75,533000
"IT","11/06/2017",118.42,119.5,117.65,118.55,118.55,584300
"IT","11/03/2017",120.06,120.78,117.79,118.66,118.66,836700
"IT","11/02/2017",124.34,124.81,119.32,120.34,120.34,1639400
"IT","11/01/2017",125.75,126.22,124.45,125.6,125.6,705900
"IT","10/31/2017",124.58,125.39,124.38,125.31,125.31,624000
"IT","10/30/2017",125.27,125.56,123.69,124.38,124.38,629100
"IT","10/27/2017",124.96,125.44,124.2,125.15,125.15,477000
"IT","10/26/2017",124.49,126.09,124.29,124.75,124.75,561900
"IT","10/25/2017",123.33,124.96,122.95,124.07,124.07,1104000
"IT","10/24/2017",124.81,125.07,122.34,123.02,123.02,1028000
"IT","10/23/2017",125.69,125.72,124.72,124.78,124.78,324600
"IT","10/20/2017",123.73,125.85,123.73,125.28,125.28,414500
"IT","10/19/2017",122.24,123.24,121.5,123.24,123.24,394700
"IT","10/18/2017",122.42,122.97,121.99,122.27,122.27,346900
"IT","10/17/2017",123.74,124.15,122.05,122.18,122.18,681400
"IT","10/16/2017",124.21,124.77,123.46,123.95,123.95,685700
"IT","10/13/2017",124.36,124.48,122.99,124.24,124.24,381600
"IT","10/12/2017",123.9,124.51,123.42,123.58,123.58,455100
"IT","10/11/2017",123.78,124.33,123.65,123.99,123.99,445000
"IT","10/10/2017",124.05,124.14,123.47,123.75,123.75,381600
"IT","10/09/2017",122.52,124.07,122.36,123.49,123.49,803900
"IT","10/06/2017",122.68,123.09,122.09,122.39,122.39,1078400
"IT","10/05/2017",123.18,123.37,122.62,122.75,122.75,474700
"IT","10/04/2017",124.61,124.98,122.86,122.92,122.92,481400
"IT","10/03/2017",124.89,125.05,123.12,124.56,124.56,417100
"IT","10/02/2017",124.29,125.34,123.92,124.57,124.57,557000
"IT","09/29/2017",123.4,125.18,123.04,124.41,124.41,525000
"IT","09/28/2017",122.87,123.4,122.03,123.37,123.37,232400
"IT","09/27/2017",124.58,125,123.21,123.37,123.37,424800
"IT","09/26/2017",124.1,124.91,122.91,124.1,124.1,354600
"IT","09/25/2017",124.19,124.19,122.38,123.7,123.7,374300
"IT","09/22/2017",123.34,124.28,122.87,124.18,124.18,334200
"IT","09/21/2017",124.49,124.56,123.1,123.38,123.38,377800
"IT","09/20/2017",123.66,124.52,123.17,124.42,124.42,470500
"IT","09/19/2017",122.85,123.83,122.44,123.44,123.44,516700
"IT","09/18/2017",121.72,122.77,121.19,122.63,122.63,382900
"IT","09/15/2017",122.06,122.47,120.14,121.26,121.26,1483400
"IT","09/14/2017",125.58,125.58,122.14,122.24,122.24,841100
"IT","09/13/2017",125.55,126.05,125.46,125.79,125.79,347300
"IT","09/12/2017",125.65,126.07,125.28,126.01,126.01,409600
"IT","09/11/2017",125,126.18,123.99,125.4,125.4,648100
"IT","09/08/2017",122.44,124.95,122.29,124.37,124.37,707700
"IT","09/07/2017",121.55,123.52,121.2,122.59,122.59,598400
"IT","09/06/2017",120.65,121.61,120.5,121.34,121.34,447200
"IT","09/05/2017",120.02,120.9,119.38,120.22,120.22,593300
"IT","09/01/2017",120.64,121.07,119.06,120.79,120.79,439000
"IT","08/31/2017",120.5,120.94,119.69,120.59,120.59,545400
"IT","08/30/2017",118.11,120.63,118.11,120.29,120.29,487500
"IT","08/29/2017",118.16,118.64,117.14,118.08,118.08,498500
"IT","08/28/2017",118.91,119.2,118.39,118.84,118.84,344500
"IT","08/25/2017",119.05,119.24,118.56,118.75,118.75,356100
"IT","08/24/2017",119.04,119.21,118.61,118.74,118.74,347500
"IT","08/23/2017",118.76,119.12,118.58,118.72,118.72,399200
"IT","08/22/2017",119.04,119.5,118.46,119.27,119.27,459600
"IT","08/21/2017",119.71,119.71,117.61,118.75,118.75,437600
"IT","08/18/2017",119.87,120.06,118.88,119.51,119.51,746200
"IT","08/17/2017",118.91,120.45,118.27,120.32,120.32,1017100
"IT","08/16/2017",117.12,119.09,116.61,119.08,119.08,692000
"IT","08/15/2017",117.76,117.89,116.77,117.18,117.18,440800
"IT","08/14/2017",118.05,118.74,117.46,117.82,117.82,492500
"IT","08/11/2017",117.51,117.65,115.86,116.92,116.92,952400
"IT","08/10/2017",119.46,120.14,116.8,117.11,117.11,987500
"IT","08/09/2017",122.1,122.36,119.05,120.1,120.1,1085800
"IT","08/08/2017",121.73,123.34,119.58,122.3,122.3,1911500
"IT","08/07/2017",127.24,127.84,125.63,126.25,126.25,747800
"IT","08/04/2017",127.68,128.3,126.68,126.94,126.94,466000
"IT","08/03/2017",126.65,127.73,126.18,127.56,127.56,472000
"IT","08/02/2017",128.18,128.18,126.06,126.81,126.81,414400
"IT","08/01/2017",129.13,129.13,127.52,128.22,128.22,826900
"IT","07/31/2017",128.27,128.94,127.15,128.32,128.32,409800
"IT","07/28/2017",128,128.32,127.28,128.03,128.03,362400
"IT","07/27/2017",129.77,130.02,126.61,128.23,128.23,333900
"IT","07/26/2017",128.57,129.57,128.52,129.53,129.53,212100
"IT","07/25/2017",128.91,129.02,128.21,128.47,128.47,273000
"IT","07/24/2017",128.38,128.94,128.24,128.46,128.46,437800
"IT","07/21/2017",127.26,128.65,126.99,128.26,128.26,655100
"IT","07/20/2017",128.99,129.24,127.44,127.44,127.44,495000
"IT","07/19/2017",127.84,128.9,127.47,128.85,128.85,536300
"IT","07/18/2017",126.74,127.17,126.01,127.15,127.15,398100
"IT","07/17/2017",126.75,127.44,126.15,126.85,126.85,195400
"IT","07/14/2017",126.27,127,126.15,126.83,126.83,213400
"IT","07/13/2017",127,127.3,125.89,126.16,126.16,332900
"IT","07/12/2017",126.79,128.29,126.53,127,127,284000
"IT","07/11/2017",126.2,126.67,125.51,126.08,126.08,336900
"IT","07/10/2017",125.63,126.51,125.24,126.22,126.22,333300
"IT","07/07/2017",124.85,126.47,124.52,125.37,125.37,536800
"IT","07/06/2017",124.56,124.88,123.31,124.36,124.36,356100
"IT","07/05/2017",124.42,125.44,123.91,125.2,125.2,413200
"IT","07/03/2017",124.24,124.92,123.68,124.1,124.1,278300
"IT","06/30/2017",124.42,124.52,123.42,123.51,123.51,726700
"IT","06/29/2017",124.4,124.54,122.52,123.56,123.56,400200
"IT","06/28/2017",123.38,124.92,122.69,124.61,124.61,397500
"IT","06/27/2017",123.7,123.98,122.82,122.88,122.88,568800
"IT","06/26/2017",124.12,124.39,122.82,123.59,123.59,416400
"IT","06/23/2017",122.99,124.33,122.6,123.98,123.98,553200
"IT","06/22/2017",123.36,123.53,122.22,123,123,194600
"IT","06/21/2017",122.99,123.36,122.5,123.22,123.22,283300
"IT","06/20/2017",123.59,124.37,122.96,122.99,122.99,315400
"IT","06/19/2017",122.7,123.72,122.7,123.69,123.69,329100
"IT","06/16/2017",122.72,122.93,121.66,122.31,122.31,589800
"IT","06/15/2017",121.01,122.89,120.88,122.65,122.65,319900
"IT","06/14/2017",121.41,122.66,120.42,121.72,121.72,429000
"IT","06/13/2017",119.25,120.81,119.25,120.77,120.77,274100
"IT","06/12/2017",118.25,119.66,117.05,119.44,119.44,352200
"IT","06/09/2017",120.11,120.67,118.11,118.71,118.71,368600
"IT","06/08/2017",119.71,120.44,119.34,120.35,120.35,269400
"IT","06/07/2017",120.76,120.81,119.28,119.71,119.71,380200
"IT","06/06/2017",120.57,121.18,120.05,120.28,120.28,434500
"IT","06/05/2017",121.08,121.99,120.52,120.58,120.58,335100
"IT","06/02/2017",120.92,120.92,119.95,120.87,120.87,515500
"IT","06/01/2017",119.6,120.76,119.05,120.57,120.57,597100
"IT","05/31/2017",118.5,119.85,117.9,119.6,119.6,1443000
"IT","05/30/2017",117.84,118.56,117.21,118.48,118.48,585900
"IT","05/26/2017",117.73,118.43,117.32,117.72,117.72,517000
"IT","05/25/2017",116.52,118.67,115.24,117.88,117.88,529200
"IT","05/24/2017",114,116.22,113.46,116.11,116.11,599700
"IT","05/23/2017",113.88,114.02,112.93,113.63,113.63,459300
"IT","05/22/2017",113.4,114.47,113.27,113.84,113.84,466700
"IT","05/19/2017",112.81,113.82,112.36,113.41,113.41,498900
"IT","05/18/2017",111.47,112.76,110.76,112.41,112.41,495300
"IT","05/17/2017",113.83,113.83,111.24,111.31,111.31,438000
"IT","05/16/2017",114.01,114.11,113.64,113.83,113.83,434500
"IT","05/15/2017",113.11,114.03,113.06,114.01,114.01,405900
"IT","05/12/2017",112.52,113.31,112.4,113.25,113.25,337300
"IT","05/11/2017",112.64,112.9,112.04,112.66,112.66,532300
"IT","05/10/2017",113.57,113.98,112.71,113.1,113.1,496600
"IT","05/09/2017",113.3,114,112.88,113.69,113.69,669900
"IT","05/08/2017",113.42,113.43,112.48,113.32,113.32,634400
"IT","05/05/2017",113.44,113.7,111.5,113.22,113.22,1208100
"IT","05/04/2017",114.44,116.48,112.83,112.92,112.92,930900
"IT","05/03/2017",113.67,114.01,112.54,113.44,113.44,749500
"IT","05/02/2017",114.44,114.75,114.04,114.33,114.33,492500
"IT","05/01/2017",114.55,114.68,113.55,114.3,114.3,470900
"IT","04/28/2017",114.13,114.3,113.41,114.09,114.09,453100
"IT","04/27/2017",114.11,114.72,113.57,113.99,113.99,571400
"IT","04/26/2017",113.38,113.88,113.06,113.87,113.87,475600
"IT","04/25/2017",113.6,114.04,112.65,113.21,113.21,493900
"IT","04/24/2017",114,114,113.02,113.42,113.42,393800
"IT","04/21/2017",113.29,113.49,112.4,112.58,112.58,395000
"IT","04/20/2017",112.4,113.34,112,112.96,112.96,522900
"IT","04/19/2017",110.69,112.16,110.39,112.07,112.07,659000
"IT","04/18/2017",110.5,111.1,110.16,110.48,110.48,520100
"IT","04/17/2017",109.43,110.86,109.43,110.84,110.84,732400
"IT","04/13/2017",109.13,109.51,108.44,108.93,108.93,514800
"IT","04/12/2017",109.79,109.79,108.81,109.23,109.23,823800
"IT","04/11/2017",109.88,110,109.05,109.7,109.7,824800
"IT","04/10/2017",110.15,111.03,109.39,109.79,109.79,499500
"IT","04/07/2017",110.32,110.74,109.77,110.08,110.08,779000
"IT","04/06/2017",110.06,112,109.17,110.47,110.47,925300
"IT","04/05/2017",108.85,110.93,108.37,109.23,109.23,972300
"IT","04/04/2017",108.87,109.28,107.92,108.7,108.7,19351900
"IT","04/03/2017",108.08,109.41,107.7,108.95,108.95,1520800
"IT","03/31/2017",108.75,108.95,107.13,107.99,107.99,1096000
"IT","03/30/2017",108.22,109.04,107.67,108.75,108.75,1271700
"IT","03/29/2017",109.66,109.66,108.45,108.6,108.6,529500
"IT","03/28/2017",109.14,110.04,109,109.61,109.61,517900
"IT","03/27/2017",108.16,109.74,107,109.38,109.38,477500
"IT","03/24/2017",109.51,109.88,108.66,109.06,109.06,356200
"IT","03/23/2017",110.28,110.48,108.78,108.96,108.96,520200
"IT","03/22/2017",109.07,110.51,108.2,110.44,110.44,483900
"IT","03/21/2017",111.52,112.12,108.97,109.11,109.11,568400
"IT","03/20/2017",111.24,111.75,110.43,111.33,111.33,337900
"IT","03/17/2017",111.4,112.42,111.4,111.47,111.47,703000
"IT","03/16/2017",111.73,112.39,110.96,111.49,111.49,569800
"IT","03/15/2017",109.49,112.04,109.36,111.93,111.93,1031400
"IT","03/14/2017",108.97,109.93,108.46,109.07,109.07,588500
"IT","03/13/2017",108.8,109.99,108,109.18,109.18,900400
"IT","03/10/2017",105,106.12,104.86,105.95,105.95,520000
"IT","03/09/2017",104.05,104.8,103.37,104.58,104.58,383800
"IT","03/08/2017",103.12,104.58,102.91,104.3,104.3,385800
"IT","03/07/2017",103.45,104.12,102.35,103.46,103.46,519200
"IT","03/06/2017",102.71,103.4,101.86,103.11,103.11,352400
"IT","03/03/2017",103.46,103.91,102.9,103.41,103.41,363900
"IT","03/02/2017",103.85,104.26,103.17,104.04,104.04,456700
"IT","03/01/2017",104.24,104.97,103.8,104.2,104.2,555500
"IT","02/28/2017",104.5,104.71,103.15,103.21,103.21,457000
"IT","02/27/2017",103.74,104.55,102.94,104.55,104.55,380400
"IT","02/24/2017",101.68,103.73,101.2,103.71,103.71,327500
"IT","02/23/2017",102.28,103.26,101.68,102.54,102.54,309200
"IT","02/22/2017",103.08,103.65,102.1,102.46,102.46,438400
"IT","02/21/2017",102.92,103.75,102.28,103.38,103.38,376300
"IT","02/17/2017",102.41,103.28,102.11,103.13,103.13,796100
"IT","02/16/2017",103,104.09,102.79,103.43,103.43,1070200
"IT","02/15/2017",100.51,102.87,100.36,102.84,102.84,652900
"IT","02/14/2017",100.41,101.81,100.33,101.25,101.25,394800
"IT","02/13/2017",101.46,102,100.77,101.42,101.42,384200
"IT","02/10/2017",100.75,101.69,100.43,101.02,101.02,313900
"IT","02/09/2017",98.85,100.79,98.08,100.27,100.27,325200
"IT","02/08/2017",98.94,99.26,97.96,98.85,98.85,367900
"IT","02/07/2017",99.02,99.8,98.21,98.68,98.68,493200
"IT","02/06/2017",99.59,99.89,98.48,99.07,99.07,480100
"IT","02/03/2017",100.26,100.64,98.64,99.6,99.6,567200
"IT","02/02/2017",97.06,100.28,95.4,99.15,99.15,1661100
"IT","02/01/2017",100.14,100.47,97.83,98.81,98.81,639800
"IT","01/31/2017",99.57,99.96,98.59,99.36,99.36,1220400
"IT","01/30/2017",100.46,100.51,98.5,99.82,99.82,601300
"IT","01/27/2017",101.67,101.67,100.07,100.56,100.56,451900
