"symbol","date","open","high","low","close","adjclose","volume"
"JPM","12/29/2017",108.09,108.28,106.94,106.94,106.94,8925700
"JPM","12/28/2017",107.4,107.84,107.16,107.79,107.79,7440600
"JPM","12/27/2017",106.67,107.29,106.67,107.22,107.22,9496500
"JPM","12/26/2017",107.2,107.99,106.4,107.02,107.02,7403700
"JPM","12/22/2017",108.2,108.46,106.81,107.45,107.45,14573400
"JPM","12/21/2017",106.59,108.07,106.56,107.83,107.83,12323700
"JPM","12/20/2017",107.6,107.73,106.09,106.14,106.14,13091500
"JPM","12/19/2017",107.35,107.49,106.44,106.51,106.51,12149900
"JPM","12/18/2017",107.19,107.63,106.48,106.96,106.96,12713100
"JPM","12/15/2017",105.79,106.52,105.2,106.14,106.14,29350600
"JPM","12/14/2017",106.12,106.45,104.64,104.66,104.66,13034200
"JPM","12/13/2017",106.7,107.11,105.48,105.51,105.51,15020300
"JPM","12/12/2017",106.91,107.37,105.54,106.85,106.85,15508800
"JPM","12/11/2017",105.72,106.06,105.31,105.62,105.62,10591200
"JPM","12/08/2017",104.75,105.94,104.34,105.93,105.93,13506900
"JPM","12/07/2017",103.95,105.19,103.73,104.62,104.62,13371800
"JPM","12/06/2017",105.55,105.76,104.53,104.93,104.93,15476200
"JPM","12/05/2017",105.58,107.41,104.12,105.72,105.72,17193900
"JPM","12/04/2017",107.73,108.4,106.77,106.95,106.95,23576600
"JPM","12/01/2017",104.9,105.32,102.2,104.79,104.79,19683500
"JPM","11/30/2017",104.74,106.66,104.04,104.52,104.52,23945900
"JPM","11/29/2017",102.41,104.22,101.96,103.73,103.73,21105500
"JPM","11/28/2017",98.21,101.7,97.97,101.36,101.36,16773000
"JPM","11/27/2017",98.31,99.13,97.93,97.93,97.93,13076200
"JPM","11/24/2017",98.83,98.9,98.26,98.32,98.32,3680000
"JPM","11/22/2017",99.03,99.52,98.59,98.64,98.64,7342200
"JPM","11/21/2017",99.5,99.55,98.91,98.93,98.93,13389400
"JPM","11/20/2017",98.45,99.15,97.76,99.01,99.01,9483200
"JPM","11/17/2017",97.82,98.41,97.57,98.14,98.14,9017900
"JPM","11/16/2017",98.53,99.06,98.31,98.47,98.47,9808000
"JPM","11/15/2017",96.39,98.74,95.95,98.19,98.19,15384100
"JPM","11/14/2017",97.34,97.78,96.85,97.27,97.27,11043800
"JPM","11/13/2017",96.69,98.05,96.62,97.86,97.86,9303100
"JPM","11/10/2017",97.81,98.34,97.5,97.51,97.51,9314000
"JPM","11/09/2017",97.12,98.22,96.81,97.63,97.63,13697800
"JPM","11/08/2017",98.27,98.37,97.15,97.64,97.64,18524700
"JPM","11/07/2017",100.56,100.75,98.25,98.75,98.75,18822600
"JPM","11/06/2017",101.34,101.69,100.66,100.78,100.78,8121500
"JPM","11/03/2017",101.1,101.53,100.73,101.41,101.41,7103500
"JPM","11/02/2017",100.87,101.77,100.16,101.59,101.59,8731800
"JPM","11/01/2017",101.1,101.7,100.73,100.92,100.92,8418200
"JPM","10/31/2017",101.37,101.7,100.57,100.61,100.61,8690200
"JPM","10/30/2017",101.13,101.93,100.87,101.41,101.41,8839500
"JPM","10/27/2017",101.43,102.23,101.05,101.77,101.77,10400400
"JPM","10/26/2017",101.35,102.42,101.32,101.74,101.74,13054400
"JPM","10/25/2017",101.25,101.45,100.19,101.02,101.02,14632700
"JPM","10/24/2017",99.88,101.19,99.76,100.92,100.92,13000800
"JPM","10/23/2017",99.51,99.99,99.24,99.34,99.34,9238600
"JPM","10/20/2017",99.28,99.89,98.73,99.51,99.51,15326600
"JPM","10/19/2017",97.19,98.2,97.09,98.11,98.11,9133900
"JPM","10/18/2017",98.15,98.55,97.63,97.99,97.99,10158600
"JPM","10/17/2017",98.07,98.18,97.32,97.62,97.62,10335700
"JPM","10/16/2017",96.34,97.95,96.34,97.84,97.84,12434000
"JPM","10/13/2017",95.48,96.71,94.96,95.86,95.86,13190600
"JPM","10/12/2017",97.3,97.5,95.62,95.99,95.99,18251600
"JPM","10/11/2017",96.83,97.01,96.14,96.84,96.84,14283600
"JPM","10/10/2017",96.46,97.18,96.24,97.13,97.13,10631500
"JPM","10/09/2017",96.96,97.07,96.14,96.41,96.41,7765100
"JPM","10/06/2017",97.55,97.64,96.47,96.92,96.92,10231900
"JPM","10/05/2017",96,97.4,95.55,97.09,97.09,14236200
"JPM","10/05/2017",0,0,0,0,0,0
"JPM","10/04/2017",97.3,97.44,96.28,96.36,95.8,12166600
"JPM","10/03/2017",96.83,97.43,96.77,97.35,96.78425,9633500
"JPM","10/02/2017",95.77,96.88,95.46,96.84,96.27721,13797200
"JPM","09/29/2017",95.3,95.52,95.02,95.51,94.95494,11438400
"JPM","09/28/2017",95.59,95.88,94.91,95.38,94.8257,10270400
"JPM","09/27/2017",94.97,95.72,94.58,95.18,94.62686,15090200
"JPM","09/26/2017",93.78,94.03,93.34,93.7,93.15546,9358100
"JPM","09/25/2017",94.51,94.88,93.45,94.12,93.57302,10463400
"JPM","09/22/2017",94.7,94.98,94.43,94.83,94.27889,8358300
"JPM","09/21/2017",94.46,95.37,94.19,95.03,94.47773,10851500
"JPM","09/20/2017",94.1,95.29,93.71,94.6,94.05023,15311600
"JPM","09/19/2017",92.71,94.36,92.52,93.94,93.39407,12626100
"JPM","09/18/2017",91.93,93.14,91.85,92.92,92.37999,11318700
"JPM","09/15/2017",91.08,91.71,90.76,91.62,91.08755,18171800
"JPM","09/14/2017",91.2,91.53,90.74,90.97,90.44133,10562800
"JPM","09/13/2017",90.61,91.5,90.32,91.15,90.62029,12485400
"JPM","09/12/2017",90.17,91.25,90.1,90.89,90.36179,14003800
"JPM","09/11/2017",89.39,90.25,88.95,89.79,89.26819,13219000
"JPM","09/08/2017",88.31,89.42,88.24,88.42,87.90614,14242200
"JPM","09/07/2017",90.11,90.13,88.08,88.53,88.0155,14592300
"JPM","09/06/2017",90,90.52,89.64,90.11,89.58633,11845700
"JPM","09/05/2017",91.02,91.11,89.02,89.51,88.98981,16897300
