"symbol","date","open","high","low","close","adjclose","volume"
"KMB","12/29/2017",120.6,121.49,120.15,120.66,120.66,1326900
"KMB","12/28/2017",121.93,122.23,119.68,120.23,120.23,1569700
"KMB","12/27/2017",121.59,122.29,121.33,121.88,121.88,1139100
"KMB","12/26/2017",120.45,121.6,119.94,121.31,121.31,621800
"KMB","12/22/2017",120.7,121.15,120.2,120.66,120.66,980600
"KMB","12/21/2017",120.48,121.2,120.13,120.28,120.28,1894200
"KMB","12/20/2017",120.5,120.85,119.34,120.45,120.45,1908800
"KMB","12/19/2017",120.15,121.97,119.79,120.57,120.57,2413800
"KMB","12/18/2017",118.69,120.29,118.52,119.65,119.65,2563800
"KMB","12/15/2017",117.73,119.25,117.73,118.51,118.51,4036000
"KMB","12/14/2017",117.41,118.11,116.7,117.25,117.25,2162600
"KMB","12/13/2017",116.44,118.25,116.14,117.39,117.39,2334800
"KMB","12/12/2017",118.28,118.28,116.32,116.4,116.4,2040500
"KMB","12/11/2017",118.94,119,117.46,118.49,118.49,2048900
"KMB","12/08/2017",119.64,120.23,118.81,120.11,120.11,1520600
"KMB","12/07/2017",121.33,121.54,119.22,119.76,119.76,1953600
"KMB","12/07/2017",0,0,0,0,0,0
"KMB","12/06/2017",122.21,123.26,121.81,122.16,121.19,1931800
"KMB","12/05/2017",122.08,123.77,121.75,122.85,121.8745,2056700
"KMB","12/04/2017",120.9,123.42,120.51,123.11,122.1325,2648800
"KMB","12/01/2017",119.6,120.54,118.79,120.51,119.5531,2058500
"KMB","11/30/2017",119.48,120.3,118.5,119.76,118.8091,5125700
"KMB","11/29/2017",117.21,119.75,117.04,119.14,118.194,2129000
"KMB","11/28/2017",117,117.57,116.65,117.38,116.448,1809400
"KMB","11/27/2017",116.6,117.1,116.29,116.76,115.8329,1424500
"KMB","11/24/2017",116.33,117.07,116.08,116.48,115.5551,1013000
"KMB","11/22/2017",116.54,117.02,115.67,116.05,115.1285,1482700
"KMB","11/21/2017",115.82,117.93,115.58,117,116.071,3337400
"KMB","11/20/2017",114.65,115.74,114.22,115.35,114.4341,2127700
"KMB","11/17/2017",114.14,115.36,113.87,114.32,113.4123,1488000
"KMB","11/16/2017",113.81,115.33,113.63,114.9,113.9876,1453800
"KMB","11/15/2017",114.52,115,113.29,113.43,112.5293,1753400
"KMB","11/14/2017",115.11,115.48,114.04,114.55,113.6404,1881500
"KMB","11/13/2017",113.92,115.62,113.92,115.41,114.4936,1751600
"KMB","11/10/2017",113.06,114.46,113.04,114.14,113.2337,1690800
"KMB","11/09/2017",112.92,114.12,112.75,113.29,112.3904,1572400
"KMB","11/08/2017",112.57,114.4,112.57,113.23,112.3309,2005300
"KMB","11/07/2017",109.9,112.14,109.67,111.93,111.0412,2205800
"KMB","11/06/2017",111.14,111.14,109.69,109.87,108.9976,1982800
"KMB","11/03/2017",111.5,112.3,110.6,110.79,109.9103,1900400
"KMB","11/02/2017",112.06,112.46,110.52,111.55,110.6643,2148600
"KMB","11/01/2017",111.9,113.46,111.1,112.05,111.1603,2595800
"KMB","10/31/2017",111.52,112.84,111.08,112.51,111.6166,2299000
"KMB","10/30/2017",111.82,112.5,111.07,111.27,110.3865,1923800
"KMB","10/27/2017",112.98,113.14,111.49,112.41,111.5174,2461300
"KMB","10/26/2017",113.04,114.4,113.02,113.59,112.688,2142900
"KMB","10/25/2017",112.29,113.05,111.43,112.4,111.5075,3326600
"KMB","10/24/2017",112.91,113.15,111.91,112.04,111.1504,3063500
"KMB","10/23/2017",113.52,115.84,112.15,112.53,111.6365,4556800
"KMB","10/20/2017",113.59,114.08,110.33,113.44,112.5392,4934600
"KMB","10/19/2017",116.79,116.8,115.44,115.55,114.6325,2112900
"KMB","10/18/2017",118.72,118.72,116.67,117.3,116.3686,1688700
"KMB","10/17/2017",118.08,118.33,116.79,118.28,117.3408,1579500
"KMB","10/16/2017",118.55,118.85,117.95,118.22,117.2813,1216100
"KMB","10/13/2017",117.78,118.77,117.51,118.56,117.6186,1310700
"KMB","10/12/2017",117.92,118.17,116.64,117.56,116.6265,1870800
"KMB","10/11/2017",117.09,118.29,116.92,117.84,116.9043,1963200
"KMB","10/10/2017",115.9,116.85,115.15,116.45,115.5253,1654800
"KMB","10/09/2017",115.67,116.77,114.68,115.49,114.573,2659300
"KMB","10/06/2017",117.37,117.8,115.17,115.39,114.4738,3332300
"KMB","10/05/2017",117.2,118.64,117.2,117.47,116.5372,1528400
"KMB","10/04/2017",115.39,117.63,115.3,117.19,116.2595,1670700
"KMB","10/03/2017",117.27,117.5,115.55,115.58,114.6622,1765800
"KMB","10/02/2017",117.8,118.12,116.87,116.97,116.0412,1454300
"KMB","09/29/2017",116.85,117.73,116.65,117.68,116.7456,1665300
"KMB","09/28/2017",116.28,117.31,115.98,116.96,116.0313,1372300
"KMB","09/27/2017",117.45,117.69,115.91,116.51,115.5849,2109500
"KMB","09/26/2017",117.7,117.98,117.26,117.68,116.7456,1147200
"KMB","09/25/2017",117.88,118.08,117.28,117.49,116.5571,1548700
"KMB","09/22/2017",118.21,118.76,117.17,117.52,116.5868,1547000
"KMB","09/21/2017",120.02,120.47,117.93,118.12,117.1821,1454400
"KMB","09/20/2017",121.88,122.13,119.3,120.16,119.2059,1996600
"KMB","09/19/2017",122.08,122.25,121.32,121.76,120.7932,1130100
"KMB","09/18/2017",121.15,122.1,120.79,121.87,120.9023,1005700
"KMB","09/15/2017",120.71,121.24,120,121.1,120.1384,2548500
"KMB","09/14/2017",120,120.97,119.91,120.83,119.8706,1206500
"KMB","09/13/2017",120.6,121.21,119.81,119.98,119.0273,1437300
"KMB","09/12/2017",119.65,120.77,119.39,120.6,119.6424,1631800
"KMB","09/11/2017",118.62,119.72,118.15,119.6,118.6503,1832300
"KMB","09/08/2017",118.75,119.17,117.49,118.13,117.192,1813000
"KMB","09/07/2017",119.91,119.98,118.36,119.61,118.6602,1888400
"KMB","09/07/2017",0,0,0,0,0,0
"KMB","09/06/2017",122.97,123.34,120.03,120.31,118.3924,2521100
"KMB","09/05/2017",122.76,123.11,121.77,122.91,120.951,1297400
"KMB","09/01/2017",123.5,124.15,123.01,123.21,121.2462,1073500
"KMB","08/31/2017",122.41,123.42,121.83,123.29,121.3249,1520500
"KMB","08/30/2017",122.05,122.41,121.34,122.3,120.3507,1089800
"KMB","08/29/2017",122.24,122.99,122.21,122.38,120.4294,1693100
"KMB","08/28/2017",121.88,122.42,121.41,122.37,120.4196,1127000
"KMB","08/25/2017",121.07,122.23,121.07,121.52,119.5831,997400
"KMB","08/24/2017",122.36,122.49,120.96,120.99,119.0616,1170900
"KMB","08/23/2017",122.32,122.75,121.43,122.27,120.3212,911700
"KMB","08/22/2017",122.61,122.98,122.11,122.43,120.4786,855200
"KMB","08/21/2017",121.58,122.8,121.3,122.68,120.7246,1103700
"KMB","08/18/2017",122.19,122.27,121.34,121.39,119.4552,1085900
"KMB","08/17/2017",122.22,123.83,122.12,122.28,120.331,1358800
"KMB","08/16/2017",122.18,122.78,121.9,122.33,120.3802,1005400
"KMB","08/15/2017",121.7,122.59,121.45,122.23,120.2818,1114100
"KMB","08/14/2017",121.04,121.75,120.64,121.69,119.7504,921400
"KMB","08/11/2017",121.6,121.6,120.54,120.64,118.7171,1074100
"KMB","08/10/2017",121.45,121.62,121.07,121.07,119.1403,1362000
"KMB","08/09/2017",121.44,121.85,120.96,121.61,119.6717,1461900
"KMB","08/08/2017",121.23,121.79,120.93,121.44,119.5044,1612300
"KMB","08/07/2017",121.32,121.8,120.78,121.42,119.4847,1063900
"KMB","08/04/2017",121.29,121.91,120.93,121.32,119.3863,1046800
"KMB","08/03/2017",121.35,122.34,121.11,121.68,119.7406,1441500
"KMB","08/02/2017",121.46,121.98,120.79,121.36,119.4257,1511900
"KMB","08/01/2017",123.16,123.73,121.53,121.69,119.7504,1664600
"KMB","07/31/2017",122.48,124.02,122.48,123.16,121.197,2298500
"KMB","07/28/2017",124.08,124.15,121.32,122.45,120.4983,2226800
"KMB","07/27/2017",122.38,124.21,120.96,124.21,122.2302,2733000
"KMB","07/26/2017",124.59,124.64,121.84,122.24,120.2916,2400200
"KMB","07/25/2017",123.45,124.9,122.1,124.68,122.6927,2192400
"KMB","07/24/2017",125.29,125.39,123.75,123.81,121.8366,1728100
"KMB","07/21/2017",123.38,125.31,123,125.28,123.2832,1879000
"KMB","07/20/2017",124.31,124.66,123.65,123.71,121.7382,1521000
"KMB","07/19/2017",124.33,124.91,123.75,123.95,121.9744,1745100
"KMB","07/18/2017",124.81,125.35,124.15,124.57,122.5845,1053200
"KMB","07/17/2017",124.36,125.21,123.74,124.69,122.7026,1186000
"KMB","07/14/2017",124.19,124.9,123.96,124.51,122.5255,1205900
"KMB","07/13/2017",124.62,124.99,123.36,123.9,121.9252,1793600
"KMB","07/12/2017",124.45,125.62,123.72,124.7,122.7124,2487300
"KMB","07/11/2017",127.13,127.2,125.75,125.81,123.8047,1375200
"KMB","07/10/2017",127,127.94,126.63,127.01,124.9856,1105000
"KMB","07/07/2017",126.43,127.39,125.78,126.8,124.779,1694100
"KMB","07/06/2017",128.25,128.52,126.31,126.38,124.3656,1654700
"KMB","07/05/2017",128.74,129.2,128.08,128.66,126.6093,1161100
"KMB","07/03/2017",129.61,130,128.41,128.43,126.383,800700
"KMB","06/30/2017",129.26,130.05,129.1,129.11,127.0521,1351900
"KMB","06/29/2017",130.99,131.44,128.78,129,126.9439,1381600
"KMB","06/28/2017",132.22,132.56,131.36,131.5,129.404,963400
"KMB","06/27/2017",133.3,133.54,131.45,131.46,129.3647,1199400
"KMB","06/26/2017",132.65,134.29,132.32,133.52,131.3918,1555400
"KMB","06/23/2017",131.75,132.64,131.75,132.3,130.1913,1464500
"KMB","06/22/2017",131.79,132.21,131.2,131.75,129.6501,958000
"KMB","06/21/2017",132.93,133.41,131.5,131.83,129.7288,1403600
"KMB","06/20/2017",132.78,133.85,131.68,132.97,130.8506,1545600
"KMB","06/19/2017",130.86,132.8,130.13,132.78,130.6636,1595700
"KMB","06/16/2017",130.6,131.28,129.64,130.21,128.1346,1772500
"KMB","06/15/2017",130.02,131.09,129.75,130.82,128.7349,994800
"KMB","06/14/2017",129.78,130.87,129.78,130.37,128.2921,1202600
"KMB","06/13/2017",128.95,129.75,128.46,129.37,127.308,855000
"KMB","06/12/2017",128.77,129.94,128.77,128.82,126.7668,1222200
"KMB","06/09/2017",127.97,128.83,127.55,128.77,126.7176,1499900
"KMB","06/08/2017",130.2,130.2,127.55,128.05,126.009,1359400
"KMB","06/07/2017",129.9,130.45,129.66,130.2,128.1248,1153800
"KMB","06/07/2017",0,0,0,0,0,0
"KMB","06/06/2017",130.54,131.17,130.11,130.96,127.9181,1237500
"KMB","06/05/2017",130.31,130.92,129.75,130.8,127.7618,831000
"KMB","06/02/2017",130.38,130.75,129.84,130.64,127.6055,1084000
"KMB","06/01/2017",130.29,130.29,128.17,129.99,126.9706,1667900
"KMB","05/31/2017",129.35,131.26,129.09,129.73,126.7167,5187200
"KMB","05/30/2017",129.35,129.42,128.39,128.97,125.9743,2555600
"KMB","05/26/2017",129.12,129.81,129.11,129.51,126.5018,1070800
"KMB","05/25/2017",128.04,130,127.94,129.4,126.3943,1641900
"KMB","05/24/2017",127.52,128.15,127.12,128.03,125.0562,1120500
"KMB","05/23/2017",127.21,127.89,126.7,126.8,123.8547,1179600
"KMB","05/22/2017",127.22,127.76,127.01,127.08,124.1282,1102600
"KMB","05/19/2017",127.04,127.74,126.66,127.2,124.2454,1496700
"KMB","05/18/2017",127.85,128.29,126.22,126.72,123.7766,1832400
"KMB","05/17/2017",127.42,128.73,126.74,127.96,124.9878,1748900
"KMB","05/16/2017",128.17,128.6,127.41,127.42,124.4603,1408900
"KMB","05/15/2017",128.09,128.48,127.89,128,125.0269,997400
"KMB","05/12/2017",127.43,128.24,127.43,127.99,125.0171,1365200
"KMB","05/11/2017",128.81,128.96,127.39,128.11,125.1343,1497200
"KMB","05/10/2017",128.25,129.42,128.03,129.15,126.1501,1397600
"KMB","05/09/2017",128.39,128.8,128.08,128.21,125.232,2234600
"KMB","05/08/2017",128.34,128.89,127.81,128.32,125.3394,1197300
"KMB","05/05/2017",128.58,128.92,128.1,128.59,125.6031,1202700
"KMB","05/04/2017",126.77,128.25,126.5,128.19,125.2125,1845600
"KMB","05/03/2017",126.43,126.92,125.55,126.77,123.8254,3076500
"KMB","05/02/2017",129.59,130.13,126.58,126.74,123.7961,2568500
"KMB","05/01/2017",129.35,130.59,129.21,129.56,126.5506,1286900
"KMB","04/28/2017",129.52,130,128.25,129.75,126.7362,2297500
"KMB","04/27/2017",130.26,130.91,129.69,130,126.9804,1348900
"KMB","04/26/2017",132.57,132.57,130.07,130.13,127.1074,2147000
"KMB","04/25/2017",131.47,132.87,130.7,132.82,129.7349,2725500
"KMB","04/24/2017",127.49,130.95,127.18,130.4,127.3711,3495900
"KMB","04/21/2017",130.58,131.41,129.41,129.96,126.9413,3230700
"KMB","04/20/2017",133.14,133.19,131.11,131.23,128.1818,2697400
"KMB","04/19/2017",133.82,134.2,132.95,133.19,130.0963,1423000
"KMB","04/18/2017",132.92,134.24,132.62,133.91,130.7996,2158900
"KMB","04/17/2017",132.84,133.55,132.84,133.37,130.2721,1200200
"KMB","04/13/2017",133.03,133.1,132.14,132.67,129.5884,1284500
"KMB","04/12/2017",132.8,133.39,132.26,133.1,130.0084,1905800
"KMB","04/11/2017",131.9,132.75,131.67,132.63,129.5493,1127000
"KMB","04/10/2017",131.48,132.41,131.24,131.92,128.8558,1336700
"KMB","04/07/2017",131.28,132.25,131.11,131.33,128.2795,1336300
"KMB","04/06/2017",131.78,132.11,131,131.11,128.0646,1060700
"KMB","04/05/2017",132.42,132.96,131.54,131.7,128.6409,1170900
"KMB","04/04/2017",131.71,132.3,131.1,132.22,129.1488,1944300
"KMB","04/03/2017",132.04,132.35,131.14,131.51,128.4553,1259700
"KMB","03/31/2017",132.15,132.55,131.6,131.63,128.5726,1059300
"KMB","03/30/2017",132.67,132.9,131.94,132.24,129.1684,854700
"KMB","03/29/2017",132.37,133.11,132.26,132.53,129.4516,834500
"KMB","03/28/2017",131.91,133.24,131.83,132.73,129.647,1257400
"KMB","03/27/2017",132.09,132.85,131.48,132.36,129.2856,1953500
"KMB","03/24/2017",133.2,133.25,132.15,132.45,129.3735,1557400
"KMB","03/23/2017",132.8,133.76,132.56,133.03,129.94,1575800
"KMB","03/22/2017",134.16,134.34,132.4,132.84,129.7545,1968700
"KMB","03/21/2017",134.1,134.16,133.36,133.68,130.5749,2189100
"KMB","03/20/2017",133.46,134.16,133.33,133.74,130.6335,2100100
"KMB","03/17/2017",134.62,135.13,133.09,133.26,130.1647,5274800
"KMB","03/16/2017",134.68,135.05,134.01,134.53,131.4052,1847900
"KMB","03/15/2017",133.68,135.22,133.5,135,131.8643,1523000
"KMB","03/14/2017",133.71,134.3,133.3,133.54,130.4382,1139100
"KMB","03/13/2017",133.55,134.14,133.04,133.74,130.6335,2032000
"KMB","03/10/2017",132.71,133.92,132.32,133.89,130.7801,2159500
"KMB","03/09/2017",132.22,132.98,132.08,132.71,129.6275,1471900
"KMB","03/08/2017",131.93,132.81,131.93,132.35,129.2758,2152500
"KMB","03/08/2017",0,0,0,0,0,0
"KMB","03/07/2017",133.41,134.09,133.16,133.38,129.3344,2143500
