"symbol","date","open","high","low","close","adjclose","volume"
"KR","12/29/2017",27.7,27.79,27.45,27.45,27.45,5023400
"KR","12/28/2017",27.73,27.81,27.44,27.65,27.65,4381300
"KR","12/27/2017",27.77,27.95,27.69,27.71,27.71,4914100
"KR","12/26/2017",28.26,28.49,27.59,27.8,27.8,8677100
"KR","12/22/2017",27.66,28.28,27.62,28.25,28.25,10935000
"KR","12/21/2017",27.35,27.7,27.14,27.55,27.55,8778600
"KR","12/20/2017",27.17,27.42,27.01,27.32,27.32,13342200
"KR","12/19/2017",27.05,27.12,26.83,26.95,26.95,8427200
"KR","12/18/2017",26.56,27.09,26.51,27,27,11990600
"KR","12/15/2017",25.92,26.52,25.91,26.45,26.45,12910900
"KR","12/14/2017",26.7,26.8,25.89,25.9,25.9,12217300
"KR","12/13/2017",26.36,26.89,26.04,26.69,26.69,10837900
"KR","12/12/2017",26.77,26.97,26.28,26.33,26.33,7762100
"KR","12/11/2017",26.8,26.96,26.35,26.58,26.58,6914800
"KR","12/08/2017",26.63,26.8,26.48,26.68,26.68,6171500
"KR","12/07/2017",26.46,26.68,26.37,26.53,26.53,6903000
"KR","12/06/2017",26.48,26.56,26.23,26.41,26.41,8173900
"KR","12/05/2017",26.91,27,26.12,26.22,26.22,11321600
"KR","12/04/2017",26,26.99,25.99,26.88,26.88,18123000
"KR","12/01/2017",25.62,25.96,25.2,25.67,25.67,20546400
"KR","11/30/2017",27.32,27.7,25.53,25.86,25.86,64064400
"KR","11/29/2017",23.65,24.4,23.62,24.38,24.38,20966500
"KR","11/28/2017",23.2,23.61,23.04,23.56,23.56,9464600
"KR","11/27/2017",23,23.33,22.95,23.18,23.18,9671600
"KR","11/24/2017",23.25,23.43,22.95,22.98,22.98,3379900
"KR","11/22/2017",22.87,23.27,22.82,23.14,23.14,9755600
"KR","11/21/2017",23.24,23.31,22.7,22.78,22.78,9436300
"KR","11/20/2017",23.08,23.52,22.92,23.2,23.2,16453000
"KR","11/17/2017",22.33,23.47,22.27,23.41,23.41,19798700
"KR","11/16/2017",21.81,22.44,21.75,22.28,22.28,15694900
"KR","11/15/2017",21.49,22.2,21.25,21.61,21.61,11638500
"KR","11/14/2017",22,22.07,21.53,22.02,22.02,10358000
"KR","11/14/2017",0,0,0,0,0,0
"KR","11/13/2017",22,22.25,21.98,22.14,22.015,8041500
"KR","11/10/2017",21.98,22.39,21.95,22.08,21.95534,8590600
"KR","11/09/2017",21.81,22.1,21.77,21.95,21.82607,10807700
"KR","11/08/2017",21.31,21.89,21.27,21.85,21.72664,8955100
"KR","11/07/2017",21.4,21.44,21.15,21.31,21.18969,8983700
"KR","11/06/2017",21.7,21.76,21.31,21.33,21.20957,10996300
"KR","11/03/2017",21.3,21.78,21.22,21.5,21.37861,11235300
"KR","11/02/2017",21.31,21.36,20.74,21.18,21.06042,13979500
"KR","11/01/2017",20.76,21.29,20.76,20.9,20.782,9975200
"KR","10/31/2017",20.7,20.81,20.56,20.7,20.58313,9003900
"KR","10/30/2017",20.41,20.77,20.41,20.64,20.52347,7202300
"KR","10/27/2017",20.6,20.72,20.36,20.57,20.45387,13210300
"KR","10/26/2017",21.25,21.35,20.64,20.82,20.70245,8778000
"KR","10/25/2017",21.46,21.55,21.04,21.13,21.0107,13845100
"KR","10/24/2017",21.34,21.57,21.32,21.47,21.34878,16429500
"KR","10/23/2017",21.04,21.61,20.96,21.35,21.22946,17999300
"KR","10/20/2017",20.96,21.05,20.72,21.02,20.90132,14104800
"KR","10/19/2017",20.63,20.96,20.59,20.89,20.77206,10713900
"KR","10/18/2017",20.53,20.76,20.45,20.67,20.5533,11931300
"KR","10/17/2017",20.41,20.67,20.25,20.48,20.36437,16759000
"KR","10/16/2017",21.29,21.3,20.39,20.44,20.3246,21368400
"KR","10/13/2017",21.16,21.56,20.83,21.3,21.17974,16914700
"KR","10/12/2017",20.77,21.36,20.53,21,20.88144,20202000
"KR","10/11/2017",21.5,22.03,20.74,20.78,20.66268,43527900
"KR","10/10/2017",20.36,20.68,19.99,20.53,20.41409,20709600
"KR","10/09/2017",20.75,20.82,20.21,20.29,20.17545,16952300
"KR","10/06/2017",20.51,20.75,20.39,20.63,20.51353,21257600
"KR","10/05/2017",20.48,20.96,20.48,20.7,20.58313,18826700
"KR","10/04/2017",20.56,20.77,20.43,20.53,20.41409,16921900
"KR","10/03/2017",20.02,20.73,20,20.56,20.44392,25519400
"KR","10/02/2017",20.04,20.23,19.69,19.96,19.84731,18788300
"KR","09/29/2017",20.33,20.41,20.04,20.06,19.94674,12285700
"KR","09/28/2017",20.19,20.52,20.15,20.26,20.14561,12922700
"KR","09/27/2017",20.36,20.57,20.13,20.23,20.11578,12554600
"KR","09/26/2017",19.95,20.36,19.95,20.19,20.07601,22762400
"KR","09/25/2017",20.05,20.24,19.89,19.94,19.82742,16857900
"KR","09/22/2017",20.26,20.44,20.04,20.15,20.03624,14233000
"KR","09/21/2017",20.83,20.85,20.22,20.22,20.10584,20307600
"KR","09/20/2017",21.08,21.14,20.75,20.8,20.68257,13242500
"KR","09/19/2017",21.49,21.59,21.08,21.13,21.0107,9687600
"KR","09/18/2017",21.52,21.68,21.34,21.44,21.31895,8370500
"KR","09/15/2017",21.28,21.61,21.24,21.57,21.44822,15154000
"KR","09/14/2017",21.75,21.87,21.16,21.26,21.13997,11905700
"KR","09/13/2017",21.6,22.08,21.56,21.73,21.60732,12382000
"KR","09/12/2017",21.61,21.79,21.38,21.58,21.45816,18888800
"KR","09/11/2017",20.97,21.35,20.73,21.34,21.21952,21638700
"KR","09/08/2017",21.35,21.79,20.41,21.06,20.9411,62444200
"KR","09/07/2017",22.53,22.93,22.21,22.77,22.64144,21085200
"KR","09/06/2017",22.42,22.61,22.19,22.55,22.42269,14274500
"KR","09/05/2017",22.29,22.8,22.25,22.43,22.30336,11780200
"KR","09/01/2017",21.97,22.54,21.94,22.42,22.29342,13862500
"KR","08/31/2017",22.15,22.19,21.81,21.87,21.74652,15823700
"KR","08/30/2017",21.85,22.2,21.57,22.2,22.07466,10805400
"KR","08/29/2017",21.71,21.93,21.6,21.81,21.68686,8744700
"KR","08/28/2017",21.3,21.89,21.21,21.72,21.59737,16487900
"KR","08/25/2017",21.32,22.06,21.3,21.74,21.61726,31786600
"KR","08/24/2017",23,23.25,21.06,21.1,20.98087,39086000
"KR","08/23/2017",22.9,23.09,22.85,22.96,22.83037,6019700
"KR","08/22/2017",22.66,23.07,22.66,22.94,22.81048,6503000
"KR","08/21/2017",22.85,22.97,22.55,22.61,22.48235,7690700
"KR","08/18/2017",22.76,23.08,22.74,22.86,22.73094,7969400
"KR","08/17/2017",22.88,23.51,22.85,22.86,22.73094,15232300
"KR","08/16/2017",23.31,23.35,22.97,23.09,22.95964,8193500
"KR","08/15/2017",23.58,23.58,23.07,23.11,22.97952,8189800
"KR","08/14/2017",23.54,23.71,23.46,23.58,23.44687,7662700
"KR","08/11/2017",23.23,24.02,23.04,23.49,23.35738,10591100
"KR","08/11/2017",0,0,0,0,0,0
"KR","08/10/2017",23.81,23.9,23.54,23.57,23.31263,7534500
"KR","08/09/2017",24.06,24.1,23.89,23.94,23.67859,5597600
"KR","08/08/2017",24.26,24.45,24.09,24.13,23.86652,9033300
"KR","08/07/2017",24.14,24.54,24.13,24.37,24.1039,7260000
"KR","08/04/2017",24.16,24.32,24.03,24.13,23.86652,7953600
"KR","08/03/2017",24.57,24.58,23.85,24.06,23.79728,12425500
"KR","08/02/2017",24.59,24.7,24.42,24.63,24.36106,8694800
"KR","08/01/2017",24.5,24.64,24.28,24.6,24.33139,9205600
"KR","07/31/2017",24.3,24.56,24.16,24.52,24.25226,11312400
