"symbol","date","open","high","low","close","adjclose","volume"
"MRK","12/29/2017",56.83,56.99,56.27,56.27,56.27,8436600
"MRK","12/28/2017",56.34,56.8,56.3,56.6,56.6,5783500
"MRK","12/27/2017",56.39,56.63,56.26,56.34,56.34,5660300
"MRK","12/26/2017",56.49,56.6,56.27,56.34,56.34,4405300
"MRK","12/22/2017",56.6,56.83,56.13,56.36,56.36,11346000
"MRK","12/21/2017",56.08,56.8,56.08,56.6,56.6,9961800
"MRK","12/20/2017",56.28,56.49,55.98,56.11,56.11,13135900
"MRK","12/19/2017",56.22,56.62,56.01,56.23,56.23,9467100
"MRK","12/18/2017",56.38,56.69,56.2,56.22,56.22,11595000
"MRK","12/15/2017",56.23,56.37,55.75,56.24,56.24,22580700
"MRK","12/14/2017",56.4,56.74,55.96,56.01,56.01,10137300
"MRK","12/14/2017",0,0,0,0,0,0
"MRK","12/13/2017",56.94,57.37,56.65,56.91,56.43,13342500
"MRK","12/12/2017",56.87,57.17,56.63,57.07,56.58865,13792700
"MRK","12/11/2017",56.34,56.64,55.56,56.34,55.86481,9770200
"MRK","12/08/2017",55.31,55.57,54.66,55.57,55.1013,10423400
"MRK","12/07/2017",54.85,55.84,54.68,54.77,54.30805,16460500
"MRK","12/06/2017",54.44,55.93,54.19,54.35,53.89159,20245900
"MRK","12/05/2017",56.15,56.51,55.72,55.77,55.29962,11837200
"MRK","12/04/2017",55.93,56.71,55.87,56.22,55.74582,13440000
"MRK","12/01/2017",55.4,55.98,55.22,55.87,55.39877,12092400
"MRK","11/30/2017",55.19,55.89,55.03,55.27,54.80383,15400400
"MRK","11/29/2017",55.04,55.65,54.93,55.36,54.89307,10477600
"MRK","11/28/2017",54.93,55.13,54.41,54.93,54.4667,12830900
"MRK","11/27/2017",54.41,54.6,54.2,54.55,54.0899,10100100
"MRK","11/24/2017",54.5,54.63,54.11,54.35,53.89159,4341300
"MRK","11/22/2017",54.23,54.57,54.17,54.37,53.91142,7376200
"MRK","11/21/2017",54.36,54.85,54.18,54.27,53.81227,13711300
"MRK","11/20/2017",54.04,54.39,53.63,54.1,53.6437,17178700
"MRK","11/17/2017",55,55.43,54.75,55.2,54.73442,9884100
"MRK","11/16/2017",54.86,55.37,54.75,55.17,54.70467,11996300
"MRK","11/15/2017",54.76,55.1,54.4,54.8,54.3378,11727400
"MRK","11/14/2017",54.97,55.18,54.75,54.99,54.5262,12705800
"MRK","11/13/2017",55.31,55.52,55.06,55.1,54.63527,13488300
"MRK","11/10/2017",56.29,56.29,55.15,55.48,55.01206,16743900
"MRK","11/09/2017",56.55,56.66,55.62,56.21,55.7359,14140100
"MRK","11/08/2017",55.5,56.72,55.46,56.58,56.10279,15132900
"MRK","11/07/2017",55.88,56.19,55.38,55.59,55.12114,14321100
"MRK","11/06/2017",56.04,56.18,55.6,55.88,55.40869,8718500
"MRK","11/03/2017",55.3,56.28,55.19,56.06,55.58717,9810800
"MRK","11/02/2017",55.48,55.57,55.04,55.37,54.90299,12318500
"MRK","11/01/2017",55.54,55.8,55.28,55.34,54.87324,16418400
"MRK","10/31/2017",55.17,55.79,55.03,55.09,54.62535,18429200
"MRK","10/30/2017",55.75,56.05,54.41,54.71,54.24855,38989400
"MRK","10/27/2017",60.55,60.55,57.82,58.24,57.74878,29561300
"MRK","10/26/2017",62.29,62.69,61.81,61.99,61.46716,10744300
"MRK","10/25/2017",63.1,63.13,62.33,62.45,61.92327,11016700
"MRK","10/24/2017",63.31,63.31,62.37,63.11,62.57771,10221100
"MRK","10/23/2017",64.03,64.52,63.3,63.4,62.86526,11582000
"MRK","10/20/2017",63.85,63.99,63.57,63.88,63.34121,10304200
"MRK","10/19/2017",63.64,64.03,63.59,63.75,63.21231,10071200
"MRK","10/18/2017",64.09,64.11,63.41,63.51,62.97433,7886900
"MRK","10/17/2017",63.21,63.31,62.88,63.22,62.68678,7028500
"MRK","10/16/2017",63.49,63.73,63.26,63.34,62.80577,7449200
"MRK","10/13/2017",63.95,64.16,63.38,63.39,62.85535,7341400
"MRK","10/12/2017",63.79,63.98,63.56,63.83,63.29164,6158500
"MRK","10/11/2017",64.34,64.34,63.78,63.78,63.24205,10101600
"MRK","10/10/2017",64.31,64.47,64.19,64.46,63.91632,4921000
"MRK","10/09/2017",64.67,64.74,64.12,64.33,63.78742,5451300
"MRK","10/06/2017",64.7,64.9,64.37,64.55,64.00556,7488400
"MRK","10/05/2017",64.42,64.8,64.33,64.6,64.05514,9150000
"MRK","10/04/2017",64.42,64.62,64.33,64.6,64.05514,6414700
"MRK","10/03/2017",64.55,64.58,63.78,64.37,63.82708,6507100
"MRK","10/02/2017",64.21,64.68,63.89,64.55,64.00556,6743400
"MRK","09/29/2017",64.29,64.53,63.33,64.03,63.48995,11449600
"MRK","09/28/2017",64.27,64.66,64.17,64.29,63.74776,7022800
"MRK","09/27/2017",64.68,64.75,64.32,64.57,64.02539,6691900
"MRK","09/26/2017",65.1,65.32,64.72,64.76,64.21379,6976200
"MRK","09/25/2017",65.16,65.4,65.04,65.18,64.63025,5573400
"MRK","09/22/2017",65.63,65.7,65.07,65.13,64.58067,7465900
"MRK","09/21/2017",65.85,65.93,65.52,65.6,65.04671,5968700
"MRK","09/20/2017",66.07,66.31,65.19,65.79,65.23511,9450000
"MRK","09/19/2017",66.02,66.16,65.68,65.95,65.39375,7009300
"MRK","09/18/2017",66.02,66.41,65.81,65.99,65.43342,10543200
"MRK","09/15/2017",66.17,66.38,65.75,66.16,65.60199,14685800
"MRK","09/14/2017",64.99,66.17,64.91,66.12,65.56232,9959100
"MRK","09/14/2017",0,0,0,0,0,0
"MRK","09/13/2017",65.36,65.55,65.3,65.45,64.43193,5628700
"MRK","09/12/2017",65.12,65.62,65.12,65.46,64.44178,7354200
"MRK","09/11/2017",64.94,65.31,64.68,65.13,64.11691,10291600
"MRK","09/08/2017",63.99,64.53,63.94,64.27,63.27029,7365800
"MRK","09/07/2017",64.09,64.42,63.79,64.32,63.31952,6856400
"MRK","09/06/2017",63.89,64.33,63.77,64,63.00449,7148700
"MRK","09/05/2017",63.75,64.11,63.46,63.62,62.6304,7236200
"MRK","09/01/2017",63.79,64.1,63.6,63.83,62.83714,6185100
"MRK","08/31/2017",63.35,63.92,62.95,63.86,62.86667,12903000
"MRK","08/30/2017",63.14,63.17,62.9,63.12,62.13818,5022500
"MRK","08/29/2017",63.13,63.21,62.72,63.12,62.13818,6564700
"MRK","08/28/2017",63.11,63.46,62.98,63.32,62.33507,7498200
"MRK","08/25/2017",62.87,63.29,62.77,62.94,61.96098,5274900
"MRK","08/24/2017",62.25,62.91,62.19,62.71,61.73455,7750100
"MRK","08/23/2017",62.25,62.6,62.15,62.15,61.18327,6434900
"MRK","08/22/2017",61.97,62.5,61.92,62.42,61.44906,5515200
"MRK","08/21/2017",61.48,62.04,61.43,61.97,61.00607,7197200
"MRK","08/18/2017",61.77,61.82,61.16,61.49,60.53354,8421700
"MRK","08/17/2017",62.75,63.02,61.81,61.84,60.87809,9150100
"MRK","08/16/2017",62.43,62.93,62.33,62.7,61.72471,6061200
"MRK","08/15/2017",62.73,63.03,62.49,62.5,61.52782,6316000
"MRK","08/14/2017",62.91,63,62.59,62.67,61.69518,5467100
"MRK","08/11/2017",62.42,62.96,62.26,62.38,61.40969,6051000
"MRK","08/10/2017",62.37,62.58,62.17,62.18,61.2128,7765100
"MRK","08/09/2017",62.45,62.72,62.22,62.49,61.51798,6552300
"MRK","08/08/2017",62.54,62.72,62.2,62.32,61.35062,7680100
"MRK","08/07/2017",62.95,63.09,62.66,62.84,61.86254,6696800
"MRK","08/04/2017",63.63,63.69,62.94,63.1,62.11849,5341000
"MRK","08/03/2017",63.21,63.73,63.18,63.52,62.53196,7018800
