"symbol","date","open","high","low","close","adjclose","volume"
"MS","12/29/2017",52.76,52.82,52.37,52.47,52.47,5804600
"MS","12/28/2017",52.76,52.77,52.43,52.65,52.65,3736700
"MS","12/27/2017",52.33,52.59,52.11,52.57,52.57,5786800
"MS","12/26/2017",52.54,52.76,52.09,52.47,52.47,3313800
"MS","12/22/2017",53.03,53.11,52.25,52.72,52.72,6153800
"MS","12/21/2017",52.81,53.3,52.56,52.88,52.88,11350600
"MS","12/20/2017",53.38,53.49,52.48,52.51,52.51,6435100
"MS","12/19/2017",53.54,53.59,52.9,52.93,52.93,7630600
"MS","12/18/2017",53.87,53.89,52.98,53.24,53.24,8443000
"MS","12/15/2017",53.05,53.43,52.7,53.1,53.1,12708000
"MS","12/14/2017",53.4,53.8,52.63,52.64,52.64,8190100
"MS","12/13/2017",53.96,54.25,53.12,53.18,53.18,10568400
"MS","12/12/2017",53.26,54.1,52.73,53.85,53.85,8152000
"MS","12/11/2017",52.57,52.89,52.53,52.77,52.77,6316900
"MS","12/08/2017",52.99,52.99,52.15,52.89,52.89,6488900
"MS","12/07/2017",51.34,52.73,51.26,52.35,52.35,8765600
"MS","12/06/2017",51.66,52.36,51.44,51.69,51.69,7701600
"MS","12/05/2017",52.87,52.94,51.8,52.01,52.01,7959700
"MS","12/04/2017",53.11,53.37,52.67,52.68,52.68,10640100
"MS","12/01/2017",51.88,52.24,50.72,51.95,51.95,10014000
"MS","11/30/2017",51.82,52.58,51.34,51.61,51.61,12158200
"MS","11/29/2017",50.91,51.82,50.8,51.32,51.32,9441100
"MS","11/28/2017",49.15,50.53,48.93,50.4,50.4,9001200
"MS","11/27/2017",48.98,49.32,48.71,49,49,5025600
"MS","11/24/2017",49.3,49.39,49.04,49.06,49.06,2692900
"MS","11/22/2017",49.34,49.62,49.07,49.09,49.09,3785900
"MS","11/21/2017",49.61,49.76,49.29,49.38,49.38,6037000
"MS","11/20/2017",48.91,49.28,48.66,49.11,49.11,4574600
"MS","11/17/2017",48.29,48.9,48.16,48.7,48.7,4992600
"MS","11/16/2017",48.39,48.84,48.37,48.6,48.6,7789000
"MS","11/15/2017",47.84,48.53,47.42,48.1,48.1,9749600
"MS","11/14/2017",48.37,48.55,47.96,48.38,48.38,5968500
"MS","11/13/2017",48.25,48.76,48.24,48.63,48.63,5730400
"MS","11/10/2017",49.01,49.2,48.72,48.76,48.76,5436500
"MS","11/09/2017",48.78,49.28,48.26,48.82,48.82,6189500
"MS","11/08/2017",49.21,49.38,48.73,49.04,49.04,8435700
"MS","11/07/2017",50.26,50.59,49.26,49.39,49.39,8823800
"MS","11/06/2017",49.88,50.3,49.75,50.14,50.14,4844200
"MS","11/03/2017",50.15,50.42,49.66,50.02,50.02,5916800
"MS","11/02/2017",49.53,50.44,49.51,50.42,50.42,7902300
"MS","11/01/2017",50.22,50.55,49.5,49.63,49.63,7842900
"MS","10/31/2017",50.47,50.72,49.95,50,50,9283000
"MS","10/30/2017",50.57,50.78,49.97,50.46,50.46,9020900
"MS","10/30/2017",0,0,0,0,0,0
"MS","10/27/2017",50.65,51.35,50.51,51.16,50.91,9261100
"MS","10/26/2017",50.75,51.2,50.58,50.77,50.52191,9715700
"MS","10/25/2017",51.51,51.52,49.92,50.53,50.28308,9645800
"MS","10/24/2017",50.81,51.39,50.79,51.07,50.82044,7849700
"MS","10/23/2017",50.88,51.1,50.39,50.61,50.36269,6265800
"MS","10/20/2017",50.45,50.91,50.22,50.68,50.43235,8454500
"MS","10/19/2017",49.79,49.95,49.19,49.79,49.5467,10053100
"MS","10/18/2017",49.42,50.45,49.37,50.15,49.90494,12094900
"MS","10/17/2017",49.69,50.33,48.97,49.12,48.87997,15535000
"MS","10/16/2017",48.24,48.99,48.24,48.94,48.70085,8178900
"MS","10/13/2017",48.15,48.54,47.7,48.3,48.06398,7224500
"MS","10/12/2017",49.3,49.42,48.38,48.59,48.35256,6915100
"MS","10/11/2017",49.43,49.43,49.13,49.18,48.93967,5364600
"MS","10/10/2017",49.38,49.54,49.13,49.49,49.24816,5903500
"MS","10/09/2017",49.92,50,49.31,49.38,49.1387,6333800
"MS","10/06/2017",49.96,50.14,49.38,49.76,49.51684,5159400
"MS","10/05/2017",49.11,49.96,48.78,49.63,49.38748,11491100
"MS","10/04/2017",49.23,49.33,48.76,49.01,48.7705,5372900
"MS","10/03/2017",48.94,49.35,48.76,49.28,49.03918,6432400
"MS","10/02/2017",48.11,48.96,48.11,48.92,48.68094,6096900
"MS","09/29/2017",48.1,48.3,47.91,48.17,47.93461,5200500
"MS","09/28/2017",48.37,48.37,47.89,48.15,47.91471,5960700
"MS","09/27/2017",48.27,48.38,47.78,48.07,47.8351,10314600
"MS","09/26/2017",47.7,47.74,47.12,47.46,47.22808,7146100
"MS","09/25/2017",48.1,48.31,47.53,47.74,47.50671,7205200
"MS","09/22/2017",48.03,48.28,47.73,48.22,47.98437,6050000
"MS","09/21/2017",47.8,48.49,47.46,48.26,48.02417,9503600
"MS","09/20/2017",47.71,48.27,47.32,47.89,47.65598,8673600
"MS","09/19/2017",47.32,47.97,47.16,47.67,47.43705,7999600
"MS","09/18/2017",46.82,47.67,46.75,47.32,47.08876,7938000
"MS","09/15/2017",46.26,46.66,46.14,46.6,46.37228,9113100
"MS","09/14/2017",46.4,46.76,46.31,46.42,46.19316,7414100
"MS","09/13/2017",45.73,46.26,45.56,46.22,45.99414,6637900
"MS","09/12/2017",45.36,46.08,45.34,45.75,45.52644,8010200
"MS","09/11/2017",44.71,45.33,44.42,45.16,44.93932,8017000
"MS","09/08/2017",44.19,44.81,43.95,44.01,43.79494,8739800
"MS","09/07/2017",45.13,45.13,43.84,44.07,43.85464,11538300
"MS","09/06/2017",45.04,45.34,44.75,45.07,44.84976,6313200
"MS","09/05/2017",45.66,45.72,44.72,44.89,44.67064,8735700
"MS","09/01/2017",45.59,46.52,45.3,46.19,45.96429,7024700
"MS","08/31/2017",46,46.04,45.39,45.5,45.27766,7890800
"MS","08/30/2017",45.44,45.96,45.43,45.66,45.43688,5672900
"MS","08/29/2017",44.72,45.57,44.34,45.35,45.12839,8776100
"MS","08/28/2017",46.16,46.16,45.12,45.48,45.25776,6526700
"MS","08/25/2017",46.17,46.42,45.73,45.94,45.71551,5659400
"MS","08/24/2017",45.97,46.18,45.73,46,45.77522,6640700
"MS","08/23/2017",45.2,45.95,45.11,45.8,45.57619,5464800
"MS","08/22/2017",45,45.71,44.93,45.57,45.34732,7130700
"MS","08/21/2017",45.4,45.4,44.53,44.68,44.46167,8501900
"MS","08/18/2017",44.94,45.82,44.87,45.39,45.16819,7284000
"MS","08/17/2017",45.83,45.98,45.03,45.09,44.86966,9426800
"MS","08/16/2017",46.61,46.82,45.92,46.01,45.78516,8350800
"MS","08/15/2017",47.01,47.3,46.43,46.43,46.20311,7663000
"MS","08/14/2017",46.21,46.94,46.18,46.51,46.28272,7032900
"MS","08/11/2017",46.38,46.53,45.47,45.65,45.42693,13505800
"MS","08/10/2017",47.29,47.47,46.23,46.3,46.07375,10099800
"MS","08/09/2017",47.22,47.69,46.94,47.65,47.41715,8282900
"MS","08/08/2017",48.24,48.9,47.81,47.93,47.69579,7771800
"MS","08/07/2017",48.2,48.4,47.95,48.31,48.07393,7761600
"MS","08/04/2017",47.79,48.45,47.52,48.08,47.84505,8906800
"MS","08/03/2017",47.24,47.55,47.11,47.26,47.02906,6479300
"MS","08/02/2017",47.14,47.46,46.83,47.33,47.09872,6020000
"MS","08/01/2017",47.25,47.53,47.06,47.21,46.9793,6330000
"MS","07/31/2017",46.94,47.15,46.6,46.9,46.67082,6764600
"MS","07/28/2017",46.98,47.2,46.46,46.66,46.43199,7959600
"MS","07/27/2017",47.14,47.6,46.63,47.09,46.85989,9439300
"MS","07/27/2017",0,0,0,0,0,0
"MS","07/26/2017",47.72,47.85,47.12,47.21,46.73052,9034500
"MS","07/25/2017",47.23,48.04,47.23,47.61,47.12646,11885000
"MS","07/24/2017",46.5,46.97,46.46,46.71,46.2356,7443600
"MS","07/21/2017",46.12,46.79,46.1,46.59,46.11682,9021300
"MS","07/20/2017",46.35,47.19,46.35,46.51,46.03763,10652400
"MS","07/19/2017",46.95,47,45.98,46.62,46.14651,17586300
"MS","07/18/2017",44.93,45.25,44.69,45.14,44.68155,9594100
"MS","07/17/2017",45.15,45.53,44.93,45.33,44.86962,5141600
"MS","07/14/2017",44.88,45.4,44.32,45.2,44.74094,8220600
"MS","07/13/2017",45.17,45.73,44.99,45.52,45.05769,6204200
"MS","07/12/2017",45.33,45.33,44.73,44.96,44.50337,10234400
"MS","07/11/2017",45.83,45.93,45.38,45.48,45.01809,8454700
"MS","07/10/2017",45.95,46.24,45.8,45.99,45.52291,5321500
"MS","07/07/2017",46.32,46.4,45.96,46.05,45.5823,6442000
"MS","07/06/2017",46.1,46.64,45.77,46.13,45.66149,10417300
"MS","07/05/2017",45.89,46.25,45.54,46.16,45.69118,9843200
"MS","07/03/2017",45,46.02,44.98,45.61,45.14677,7486400
"MS","06/30/2017",45.33,45.43,44.44,44.56,44.10744,8379400
"MS","06/29/2017",45.44,45.61,44.27,44.75,44.29551,15728200
"MS","06/28/2017",44.46,44.8,44.2,44.32,43.86988,15848600
"MS","06/27/2017",44.34,44.76,44.16,44.22,43.77089,8318800
"MS","06/26/2017",43.96,44.33,43.48,44,43.55312,5780400
"MS","06/23/2017",44.7,44.73,43.51,43.69,43.24627,15915100
"MS","06/22/2017",44.7,44.87,44.38,44.61,44.15693,7750500
"MS","06/21/2017",45.45,45.53,44.81,44.91,44.45388,7257600
"MS","06/20/2017",45.48,45.72,45.28,45.5,45.03789,6680500
"MS","06/19/2017",44.88,45.91,44.83,45.72,45.25566,9153900
"MS","06/16/2017",44.77,44.84,44.24,44.48,44.02825,9483200
"MS","06/15/2017",44.48,45.08,44.42,44.69,44.23611,6904900
"MS","06/14/2017",44.57,45.12,44.22,44.91,44.45388,11796300
"MS","06/13/2017",45.07,45.98,45.05,45.15,44.69144,9857800
"MS","06/12/2017",44.91,45.5,44.38,44.85,44.39449,10384200
"MS","06/09/2017",44.36,45.35,44.36,44.91,44.45388,13489900
"MS","06/08/2017",43.28,44.72,43.15,44.1,43.65211,10939900
"MS","06/07/2017",43.14,43.45,42.92,43.28,42.84044,6378500
"MS","06/06/2017",42.45,43.07,42.21,42.94,42.50389,7863200
"MS","06/05/2017",42.55,43.4,42.45,42.89,42.4544,6892800
"MS","06/02/2017",42.15,42.94,41.9,42.52,42.08815,10016400
"MS","06/01/2017",41.98,42.73,41.75,42.61,42.17724,9654300
"MS","05/31/2017",42.19,42.19,41.07,41.74,41.31608,13637900
"MS","05/30/2017",42.58,42.72,42.05,42.28,41.85059,6377900
"MS","05/26/2017",42.45,42.97,42.44,42.84,42.40491,5346500
"MS","05/25/2017",42.83,42.97,42.49,42.63,42.19704,5062800
"MS","05/24/2017",42.36,42.74,42.3,42.63,42.19704,6583400
"MS","05/23/2017",41.51,42.65,41.33,42.42,41.98917,10761300
"MS","05/22/2017",42.05,42.17,41.5,41.66,41.23689,6752600
"MS","05/19/2017",41.59,42.22,41.36,41.8,41.37547,10486700
"MS","05/18/2017",41,41.88,40.92,41.31,40.89045,14498400
"MS","05/17/2017",43.38,43.38,40.43,40.97,40.5539,22899900
"MS","05/16/2017",43.54,43.64,43.29,43.38,42.93942,6888900
"MS","05/15/2017",42.82,43.62,42.8,43.43,42.98891,9941100
"MS","05/12/2017",42.61,42.76,42.36,42.73,42.29602,5836300
"MS","05/11/2017",42.98,43.2,42.44,42.87,42.4346,6340000
"MS","05/10/2017",42.8,43.2,42.67,43.1,42.66226,7367800
"MS","05/09/2017",43.05,43.34,42.67,42.83,42.39501,6068700
"MS","05/08/2017",43.15,43.31,42.93,43.02,42.58308,7171700
"MS","05/05/2017",43.36,43.56,42.87,43.08,42.64247,6893400
"MS","05/04/2017",43.85,43.97,43.22,43.28,42.84044,7367800
"MS","05/03/2017",43.15,43.77,43.12,43.48,43.03841,5578300
"MS","05/02/2017",43.67,43.78,43,43.35,42.90973,8126400
"MS","05/01/2017",43.76,44.06,43.49,43.74,43.29577,7552200
"MS","04/28/2017",43.6,43.81,43.34,43.37,42.92952,9043500
"MS","04/27/2017",44.16,44.21,43.39,43.54,43.0978,9041300
"MS","04/27/2017",0,0,0,0,0,0
"MS","04/26/2017",44.17,44.86,44.14,44.37,43.7214,12938400
"MS","04/25/2017",43.98,44.45,43.92,44.27,43.62286,13857600
"MS","04/24/2017",43.39,43.73,43.19,43.56,42.92324,16188100
"MS","04/21/2017",42.21,42.61,41.71,41.8,41.18896,12951300
"MS","04/20/2017",42.61,42.76,42.1,42.5,41.87873,13816200
"MS","04/19/2017",42.31,42.94,41.96,42.04,41.42546,19850300
"MS","04/18/2017",40.99,41.55,40.75,41.21,40.60759,13872400
"MS","04/17/2017",40.78,41.55,40.58,41.49,40.8835,7959700
"MS","04/13/2017",40.83,41.68,40.5,40.69,40.09519,10516500
"MS","04/12/2017",41.5,41.52,41.01,41.07,40.46964,10440600
"MS","04/11/2017",41.56,41.78,40.99,41.58,40.97218,10318400
"MS","04/10/2017",41.9,42.15,41.39,41.91,41.29736,8677200
"MS","04/07/2017",41.62,42.25,41.42,41.95,41.33678,9319600
"MS","04/06/2017",41.63,42.37,41.43,42.09,41.47473,9520900
"MS","04/05/2017",43.01,43.1,41.61,41.74,41.12984,12455100
"MS","04/04/2017",42.54,42.84,42.35,42.51,41.88858,7837100
"MS","04/03/2017",42.81,42.99,42.08,42.71,42.08567,12531800
"MS","03/31/2017",43.25,43.25,42.67,42.84,42.21376,11203300
"MS","03/30/2017",42.85,43.71,42.8,43.43,42.79514,11264300
"MS","03/29/2017",43.09,43.25,42.54,42.8,42.17434,14543900
"MS","03/28/2017",41.58,42.77,41.57,42.49,41.86889,12944900
"MS","03/27/2017",40.66,41.72,40.06,41.58,40.97218,21631100
"MS","03/24/2017",42.78,43,42.15,42.46,41.83932,10815300
"MS","03/23/2017",41.98,42.98,41.78,42.59,41.96742,14888800
"MS","03/22/2017",42.16,42.75,41.64,42.21,41.59298,19046600
"MS","03/21/2017",44.77,44.93,42.42,42.66,42.0364,20018400
"MS","03/20/2017",44.74,44.96,44.33,44.59,43.93818,9734200
"MS","03/17/2017",46.26,46.36,44.93,45.02,44.3619,13474500
"MS","03/16/2017",46.17,46.59,46.02,46.33,45.65275,9284100
"MS","03/15/2017",46.26,46.63,45.68,45.85,45.17976,10796100
"MS","03/14/2017",46.26,46.26,45.73,46.19,45.51479,6916200
"MS","03/13/2017",46.68,46.75,46.23,46.26,45.58377,7160400
"MS","03/10/2017",47.04,47.09,46.21,46.49,45.81041,8579400
