"symbol","date","open","high","low","close","adjclose","volume"
"NTRS","12/29/2017",100.56,101.46,99.86,99.89,99.89,637400
"NTRS","12/28/2017",99.04,100.42,98.75,100.32,100.32,575100
"NTRS","12/27/2017",98.81,99.07,98.36,98.68,98.68,575000
"NTRS","12/26/2017",98.91,99.22,98.31,98.7,98.7,318700
"NTRS","12/22/2017",100.1,100.44,98.73,98.98,98.98,652700
"NTRS","12/21/2017",99.03,100.5,98.63,100.05,100.05,1012100
"NTRS","12/20/2017",98.32,98.8,98.01,98.44,98.44,1397700
"NTRS","12/19/2017",98.95,99.18,97.62,98.02,98.02,1220600
"NTRS","12/18/2017",98.36,99.15,98.04,98.59,98.59,795900
"NTRS","12/15/2017",97.15,98.27,96.3,97.85,97.85,1570200
"NTRS","12/14/2017",97.95,97.95,96.21,96.59,96.59,594300
"NTRS","12/13/2017",98.67,99.05,97.38,97.48,97.48,1064400
"NTRS","12/12/2017",97.58,99.26,97.49,98.55,98.55,1123400
"NTRS","12/11/2017",97.93,98.34,97.21,97.56,97.56,863200
"NTRS","12/08/2017",97.68,97.9,96.96,97.73,97.73,647000
"NTRS","12/07/2017",96.12,97.57,95.94,97.32,97.32,705400
"NTRS","12/06/2017",96.77,97.26,96.26,96.5,96.5,627200
"NTRS","12/05/2017",99.42,99.42,96.38,96.95,96.95,1164600
"NTRS","12/04/2017",98.71,99.66,98.09,98.95,98.95,1011200
"NTRS","12/01/2017",98.13,98.46,95.62,97.66,97.66,1243400
"NTRS","11/30/2017",98.26,99.07,97.47,97.78,97.78,1343600
"NTRS","11/30/2017",0,0,0,0,0,0
"NTRS","11/29/2017",96.98,98.98,96.7,98.24,97.82,1278300
"NTRS","11/28/2017",94.37,96.37,94.08,96.29,95.87833,1083300
"NTRS","11/27/2017",94.19,95.16,93.88,94.11,93.70766,728200
"NTRS","11/24/2017",94.79,94.93,93.85,94.26,93.85702,272900
"NTRS","11/22/2017",94.57,95.1,94.37,94.39,93.98646,482400
"NTRS","11/21/2017",94.52,94.93,94.06,94.46,94.05616,954000
"NTRS","11/20/2017",94.46,94.58,93.9,94.43,94.02629,613400
"NTRS","11/17/2017",93.27,94.65,93.26,94.07,93.66782,1067100
"NTRS","11/16/2017",93.47,94.67,93.23,93.71,93.30936,1026000
"NTRS","11/15/2017",92.04,93.54,91.68,93.28,92.8812,1001100
"NTRS","11/14/2017",92.25,92.91,91.98,92.64,92.24394,891300
"NTRS","11/13/2017",91.58,92.66,91.46,92.46,92.0647,878900
"NTRS","11/10/2017",92.08,93.08,91.67,92.51,92.11449,852500
"NTRS","11/09/2017",92.31,93.13,91.2,92.16,91.766,550000
"NTRS","11/08/2017",92.47,93.27,91.85,92.87,92.47296,829100
"NTRS","11/07/2017",94.18,94.72,92.28,92.41,92.01492,752600
"NTRS","11/06/2017",94,94.56,94,94.22,93.81718,607900
