"symbol","date","open","high","low","close","adjclose","volume"
"OMC","12/29/2017",73.41,73.83,72.83,72.83,72.83,1418100
"OMC","12/28/2017",73.71,73.71,72.65,73.4,73.4,925100
"OMC","12/27/2017",73.39,73.53,72.94,73.48,73.48,1196100
"OMC","12/26/2017",73.51,74.27,73.02,73.35,73.35,722700
"OMC","12/22/2017",74.33,74.33,73.23,73.61,73.61,1751500
"OMC","12/21/2017",74.22,74.81,73.99,74.08,74.08,1368600
"OMC","12/20/2017",73.89,74.54,73.6,74,74,2247900
"OMC","12/19/2017",73.57,74.02,72.96,73.87,73.87,1937900
"OMC","12/18/2017",74.21,74.49,72.72,73.47,73.47,1791000
"OMC","12/15/2017",73.52,74.83,73.52,74.41,74.41,4030900
"OMC","12/14/2017",73.35,74.33,72.59,73.1,73.1,3311500
"OMC","12/13/2017",73.84,74.66,73.41,73.71,73.71,2019400
"OMC","12/12/2017",74.44,74.88,73.7,74.51,74.51,1922000
"OMC","12/11/2017",73.95,75.18,73.48,74.44,74.44,2570600
"OMC","12/08/2017",73.32,73.65,72.82,73.48,73.48,3272000
"OMC","12/07/2017",74.39,74.78,72.95,73.09,73.09,3133600
"OMC","12/06/2017",74.49,75.88,74.31,74.47,74.47,2495600
"OMC","12/05/2017",75.42,76.48,74.15,75.31,75.31,3735600
"OMC","12/04/2017",74.02,76.09,74.02,74.7,74.7,4181200
"OMC","12/01/2017",71.57,73.45,70.64,73.38,73.38,2642100
"OMC","11/30/2017",72.85,73.76,71.06,71.44,71.44,3573100
"OMC","11/29/2017",70.65,74.97,70.52,72.93,72.93,5611200
"OMC","11/28/2017",68.81,70.74,68.8,70.65,70.65,2462900
"OMC","11/27/2017",69,69.33,68.66,68.84,68.84,1652100
"OMC","11/24/2017",68.92,69.4,68.71,68.97,68.97,512100
"OMC","11/22/2017",69.43,69.64,68.79,68.87,68.87,1196700
"OMC","11/21/2017",69.76,70.37,69.46,69.54,69.54,2501900
"OMC","11/20/2017",68.97,69.9,68.52,69.62,69.62,2908600
"OMC","11/17/2017",67.34,69.56,67.3,69.44,69.44,4790300
"OMC","11/16/2017",67.09,67.63,66.91,67.45,67.45,2517200
"OMC","11/15/2017",67.32,67.41,66.76,67.15,67.15,1875500
"OMC","11/14/2017",67.44,68.42,67.28,67.66,67.66,1895800
"OMC","11/13/2017",67.35,67.93,67.14,67.92,67.92,2348800
"OMC","11/10/2017",67.08,67.87,67,67.55,67.55,2340300
"OMC","11/09/2017",65.44,68.06,65.32,67.28,67.28,3915900
