"symbol","date","open","high","low","close","adjclose","volume"
"OXY","12/29/2017",73.98,74.06,73.63,73.66,73.66,3181600
"OXY","12/28/2017",73.37,73.78,73.22,73.7,73.7,1682700
"OXY","12/27/2017",73.54,73.66,73.08,73.32,73.32,2237500
"OXY","12/26/2017",72.97,73.9,72.97,73.54,73.54,2214400
"OXY","12/22/2017",72.6,73.27,72.44,72.99,72.99,5465800
"OXY","12/21/2017",71.95,72.66,71.79,72.58,72.58,2902400
"OXY","12/20/2017",71.17,71.95,70.95,71.88,71.88,2844200
"OXY","12/19/2017",71,71.2,70.62,70.9,70.9,4198200
"OXY","12/18/2017",70.91,71.22,70.63,70.97,70.97,3092300
"OXY","12/15/2017",70.87,71.04,70.45,70.62,70.62,7554000
"OXY","12/14/2017",70.07,70.87,69.87,70.55,70.55,5522600
"OXY","12/13/2017",69.89,70.12,69.71,69.97,69.97,3985800
"OXY","12/12/2017",69.92,70.15,69.36,70.03,70.03,6178700
"OXY","12/11/2017",68.9,69.84,68.9,69.5,69.5,2855800
"OXY","12/08/2017",68.68,69.09,68.28,68.87,68.87,3063800
"OXY","12/08/2017",0,0,0,0,0,0
"OXY","12/07/2017",69.08,69.59,69.01,69.41,68.64001,3813100
"OXY","12/06/2017",69.74,70.04,68.98,69.27,68.50155,3304900
"OXY","12/05/2017",70.17,70.45,69.84,70,69.22346,2723800
"OXY","12/04/2017",70.49,71.14,69.99,70.06,69.28278,3678200
"OXY","12/01/2017",70.75,71.09,69.77,70.24,69.46079,4972100
"OXY","11/30/2017",70.03,70.61,69.83,70.5,69.71791,6525700
"OXY","11/29/2017",68.74,69.95,68.51,69.9,69.12457,5105300
"OXY","11/28/2017",68.02,68.98,67.86,68.96,68.19499,4807500
"OXY","11/27/2017",68.17,68.42,67.66,68.08,67.32475,8203500
"OXY","11/24/2017",68.45,68.64,68.4,68.42,67.66098,1596200
"OXY","11/22/2017",68.18,68.41,68.08,68.23,67.47309,2696100
"OXY","11/21/2017",68.07,68.29,67.72,67.88,67.12697,2972600
"OXY","11/20/2017",68.18,68.29,67.77,67.81,67.05775,4157600
"OXY","11/17/2017",67.91,68.79,67.85,68.4,67.6412,5513700
"OXY","11/16/2017",66.56,67.46,66.51,67.17,66.42485,3595900
"OXY","11/15/2017",66.79,67.08,66.45,66.67,65.9304,4881500
"OXY","11/14/2017",67.81,67.81,67.04,67.32,66.57319,4178300
"OXY","11/13/2017",68,68.41,67.78,67.93,67.17642,3682400
"OXY","11/10/2017",68.46,68.81,68.05,68.17,67.41376,3494000
"OXY","11/09/2017",67.95,68.88,67.92,68.7,67.93787,2973900
"OXY","11/08/2017",68.62,68.66,67.79,68.17,67.41376,4635600
"OXY","11/07/2017",68.75,69.12,68.58,68.75,67.98732,3306500
"OXY","11/06/2017",68.52,68.97,68.42,68.82,68.05654,3986200
"OXY","11/03/2017",67.96,68.75,67.18,68.26,67.50276,6370500
"OXY","11/02/2017",65.97,68.04,65.82,67.9,67.14675,7875800
"OXY","11/01/2017",65.16,65.79,65.07,65.46,64.73382,6184200
"OXY","10/31/2017",64.85,65,64.28,64.57,63.85369,5235100
"OXY","10/30/2017",65.05,65.53,64.82,64.96,64.23936,4370800
"OXY","10/27/2017",64.02,65.43,63.65,65.05,64.32837,5064300
"OXY","10/26/2017",65.42,65.67,64.38,64.62,63.90314,4454200
"OXY","10/25/2017",65.67,66.24,64.92,65.35,64.62504,6910300
"OXY","10/24/2017",65.3,66.11,65.12,65.82,65.08983,6594200
"OXY","10/23/2017",65.49,65.64,64.86,65.05,64.32837,3410600
"OXY","10/20/2017",65.12,65.59,64.87,65.47,64.74371,4523000
"OXY","10/19/2017",64.31,65,64.2,64.84,64.1207,3568100
"OXY","10/18/2017",64.63,65.01,64.43,64.63,63.91302,2894800
"OXY","10/17/2017",64.83,64.92,64.23,64.64,63.92292,3092600
"OXY","10/16/2017",65.03,65.12,64.54,64.77,64.05147,2668800
"OXY","10/13/2017",64.73,65.22,64.66,64.73,64.01192,3377200
"OXY","10/12/2017",64.17,64.31,63.9,64.22,63.50758,3100000
"OXY","10/11/2017",64.55,64.71,64.14,64.39,63.67569,2044600
"OXY","10/10/2017",64.38,64.95,64.34,64.5,63.78447,3435000
"OXY","10/09/2017",64.08,64.41,63.79,64,63.29002,3117400
"OXY","10/06/2017",63.91,64.18,63.7,63.91,63.20102,2303200
"OXY","10/05/2017",64.4,64.55,64.13,64.35,63.63613,3028600
"OXY","10/04/2017",64.06,64.49,63.57,64.39,63.67569,3355800
"OXY","10/03/2017",64.1,64.14,63.61,63.98,63.27024,1862000
"OXY","10/02/2017",63.81,64.15,63.47,64.11,63.3988,2775100
"OXY","09/29/2017",64.66,64.77,64.14,64.21,63.49768,3559700
"OXY","09/28/2017",65.17,65.7,64.86,64.97,64.24926,3388700
"OXY","09/27/2017",64.53,65.2,64.24,65.19,64.46682,3523400
"OXY","09/26/2017",64.25,64.65,64.1,64.44,63.72514,3424900
"OXY","09/25/2017",63.35,64.97,63.26,64.58,63.86358,5157900
"OXY","09/22/2017",62.69,63.49,62.57,62.94,62.24178,3412100
"OXY","09/21/2017",62.38,62.95,62.24,62.75,62.05388,2676800
"OXY","09/20/2017",62.1,62.86,62,62.49,61.79677,3519800
"OXY","09/19/2017",61.8,62.15,61.59,61.86,61.17376,3221300
"OXY","09/18/2017",61.28,61.95,61.09,61.8,61.11442,4192200
"OXY","09/15/2017",61.58,61.72,61.22,61.35,60.66941,5291400
"OXY","09/14/2017",61.68,62.43,61.4,61.58,60.89687,4765000
"OXY","09/13/2017",61.1,61.61,60.9,61.55,60.8672,4139200
"OXY","09/12/2017",60.35,60.98,60.28,60.78,60.10574,4436600
"OXY","09/11/2017",60.36,60.67,60.12,60.41,59.73984,4403000
"OXY","09/08/2017",60.78,60.93,59.78,60.24,59.57173,3502000
"OXY","09/08/2017",0,0,0,0,0,0
"OXY","09/07/2017",61.59,62.05,61.36,61.86,60.4123,4037100
"OXY","09/06/2017",60.92,62.04,60.85,61.62,60.17791,4086300
"OXY","09/05/2017",60,60.75,59.97,60.72,59.29898,4619800
"OXY","09/01/2017",59.69,59.92,59.28,59.75,58.35168,2635800
"OXY","08/31/2017",59.47,59.9,59.29,59.7,58.30285,3729600
"OXY","08/30/2017",58.86,59.23,58.69,59.17,57.78525,2855900
"OXY","08/29/2017",58.82,59.38,58.71,59.08,57.69736,2824700
"OXY","08/28/2017",59.33,59.48,58.78,59.13,57.74619,2381100
"OXY","08/25/2017",59.21,59.43,59.03,59.22,57.83408,1925900
"OXY","08/24/2017",59.56,59.56,59.06,59.13,57.74619,2387800
"OXY","08/23/2017",58.93,59.84,58.86,59.6,58.20518,2759800
"OXY","08/22/2017",59.01,59.45,59.01,59.16,57.77549,2563800
"OXY","08/21/2017",59.13,59.21,58.44,58.84,57.46297,2789000
"OXY","08/18/2017",58.99,59.33,58.71,59.15,57.76572,4042900
"OXY","08/17/2017",59.47,59.71,58.92,58.92,57.5411,4145900
"OXY","08/16/2017",60.72,60.92,59.56,59.7,58.30285,3687500
"OXY","08/15/2017",61.04,61.08,60.31,60.62,59.20132,3133300
"OXY","08/14/2017",61.33,61.69,60.9,61.24,59.80681,2459700
"OXY","08/11/2017",61.28,61.37,60.93,61.13,59.69938,2474900
"OXY","08/10/2017",61.71,62.01,61.2,61.34,59.90447,2991000
"OXY","08/09/2017",61.8,61.98,61.28,61.66,60.21698,2483400
"OXY","08/08/2017",61.61,62.14,61.19,61.35,59.91423,3231100
"OXY","08/07/2017",61.91,62.1,61.64,61.83,60.383,3204400
"OXY","08/04/2017",61.55,62.21,61.55,62.09,60.63691,3313000
"OXY","08/03/2017",62.22,62.23,60.75,61.55,60.10955,5768900
"OXY","08/02/2017",60.95,61.39,60.41,61.37,59.93377,5934600
"OXY","08/01/2017",62.1,62.12,61.07,61.53,60.09002,2918200
"OXY","07/31/2017",62.63,62.71,61.67,61.93,60.48066,4094300
"OXY","07/28/2017",61.95,63.02,61.95,62.73,61.26194,3984800
"OXY","07/27/2017",61.48,62.17,61.08,62.14,60.68574,4622500
"OXY","07/26/2017",61.33,61.98,60.86,61.59,60.14862,3537800
"OXY","07/25/2017",60.17,61.57,60.1,61.01,59.58219,3941300
"OXY","07/24/2017",60.13,60.21,59.31,59.41,58.01963,2750600
"OXY","07/21/2017",60.15,60.5,59.99,60.03,58.62512,3418900
"OXY","07/20/2017",61.16,61.25,60.3,60.52,59.10366,3082200
"OXY","07/19/2017",60.14,60.9,59.73,60.89,59.465,4062600
"OXY","07/18/2017",60.22,60.42,59.88,60.24,58.83021,3613700
"OXY","07/17/2017",59.74,60.88,59.68,60.04,58.63489,3966800
"OXY","07/14/2017",59.53,59.93,59.42,59.82,58.42004,2575100
"OXY","07/13/2017",59.05,59.52,58.6,59.5,58.10753,3053800
"OXY","07/12/2017",59.56,59.77,59,59.16,57.77549,3355800
"OXY","07/11/2017",58.92,59.18,58.47,58.94,57.56063,2757300
"OXY","07/10/2017",58.55,59.16,58.38,58.77,57.39462,2778300
"OXY","07/07/2017",58.73,58.75,57.84,58.68,57.30672,3257100
"OXY","07/06/2017",59.83,59.93,58.62,58.87,57.49227,4341000
"OXY","07/05/2017",61.04,61.08,59.66,59.75,58.35168,4070500
"OXY","07/03/2017",60.17,61.56,60.13,61.26,59.82634,2806500
"OXY","06/30/2017",60.17,60.37,59.29,59.87,58.46887,4707800
"OXY","06/29/2017",59.69,60.7,59.69,59.8,58.40051,3959700
"OXY","06/28/2017",59.9,60.08,59.32,59.57,58.17589,4533400
"OXY","06/27/2017",60.11,60.34,59.59,59.63,58.23449,2975500
"OXY","06/26/2017",60.11,60.44,59.39,60.01,58.60559,3687300
"OXY","06/23/2017",60.23,60.59,59.71,60.12,58.71302,4844000
"OXY","06/22/2017",60.01,61.03,59.67,60.21,58.80091,3700500
"OXY","06/21/2017",60.38,61.27,59.63,59.88,58.47864,4976100
"OXY","06/20/2017",60.88,61,59.67,60.77,59.34781,4150100
"OXY","06/19/2017",61.68,62.12,61.32,62.03,60.57832,6818300
"OXY","06/16/2017",59.74,61.91,59.53,61.83,60.383,6438500
"OXY","06/15/2017",59.8,60.21,58.91,59.4,58.00987,3982800
"OXY","06/14/2017",60.83,60.88,59.53,60.12,58.71302,4894200
"OXY","06/13/2017",60.86,61.41,60.46,61,59.57242,4041100
"OXY","06/12/2017",61.5,62.16,60.73,60.85,59.42593,5823400
"OXY","06/09/2017",58.68,61.2,58.67,61.01,59.58219,6237000
"OXY","06/08/2017",60.13,60.13,58.07,58.61,57.23836,10770100
"OXY","06/07/2017",60.76,61.45,59.67,60.13,58.72279,9861700
"OXY","06/07/2017",0,0,0,0,0,0
"OXY","06/06/2017",60,61.86,59.89,61.65,59.465,7535600
"OXY","06/05/2017",60.26,60.33,59.47,60.06,57.93135,5404000
"OXY","06/02/2017",60.17,60.7,59.67,60.7,58.54867,6778400
"OXY","06/01/2017",59.09,60.8,58.79,60.51,58.3654,7530900
"OXY","05/31/2017",59.62,59.99,58.91,58.93,56.8414,7475500
"OXY","05/30/2017",60.6,60.75,60,60.12,57.98922,3381500
"OXY","05/26/2017",60.85,61.53,60.71,61,58.83804,4675400
"OXY","05/25/2017",60.86,61.36,60.24,60.71,58.55831,4688300
"OXY","05/24/2017",61.52,61.79,60.85,61.16,58.99236,4686600
"OXY","05/23/2017",60.6,61.61,60.55,61.56,59.37819,3826700
"OXY","05/22/2017",60.84,61.04,60.23,60.59,58.44257,3008800
"OXY","05/19/2017",60.75,61.24,60.51,60.64,58.49079,4442800
"OXY","05/18/2017",60.05,60.65,59.52,60.29,58.1532,3506400
"OXY","05/17/2017",60.53,60.87,60.03,60.27,58.13391,4053500
