"symbol","date","open","high","low","close","adjclose","volume"
"PRU","12/29/2017",115.62,115.76,114.94,114.98,114.98,1147300
"PRU","12/28/2017",115.59,115.59,114.88,115.2,115.2,979900
"PRU","12/27/2017",115.69,115.7,115.01,115.33,115.33,1341000
"PRU","12/26/2017",116.34,116.71,115.46,115.65,115.65,670400
"PRU","12/22/2017",117.4,117.46,115.85,116.16,116.16,1011200
"PRU","12/21/2017",117.72,118.09,116.68,116.74,116.74,1859100
"PRU","12/20/2017",117.61,118.17,116.98,117.11,117.11,2139500
"PRU","12/19/2017",117,117.46,116.6,116.86,116.86,1578200
"PRU","12/18/2017",116.89,116.99,115.26,116.12,116.12,2007500
"PRU","12/15/2017",115.41,116.75,115.19,115.73,115.73,2849800
"PRU","12/14/2017",114.32,115.74,113.93,114.47,114.47,1981800
"PRU","12/13/2017",116.08,116.37,113.93,113.95,113.95,1759700
"PRU","12/12/2017",116.68,117,115.57,116.39,116.39,1841600
"PRU","12/11/2017",117.02,117.25,115.75,116.26,116.26,1460100
"PRU","12/08/2017",116.86,117.2,116.19,117.15,117.15,1184200
"PRU","12/07/2017",114.92,116.68,114.76,116.33,116.33,1035900
"PRU","12/06/2017",115.35,116.23,115.21,115.38,115.38,1247800
"PRU","12/05/2017",117.16,117.38,115.34,115.51,115.51,1302100
"PRU","12/04/2017",117.14,117.99,116.73,116.76,116.76,1789300
"PRU","12/01/2017",116,116.2,112.41,115.4,115.4,1664500
"PRU","11/30/2017",116.89,117.59,115.28,115.84,115.84,3784300
"PRU","11/29/2017",113.77,117.08,113.27,115.87,115.87,2742900
"PRU","11/28/2017",109.93,113,109.7,112.83,112.83,2626000
"PRU","11/27/2017",109.06,109.87,109.06,109.51,109.51,1512900
"PRU","11/24/2017",109.49,109.53,108.86,108.92,108.92,575700
"PRU","11/24/2017",0,0,0,0,0,0
"PRU","11/22/2017",110.23,110.64,109.48,109.7,108.95,1252600
"PRU","11/21/2017",110.46,110.58,109.94,110.06,109.3075,1271600
"PRU","11/20/2017",110.42,110.6,109.92,110.02,109.2678,1661800
"PRU","11/17/2017",109.81,110.96,109.61,110.25,109.4962,1232700
