"symbol","date","open","high","low","close","adjclose","volume"
"QRVO","12/29/2017",67.36,67.57,66.58,66.6,66.6,714800
"QRVO","12/28/2017",67.51,67.9,66.85,67.36,67.36,850200
"QRVO","12/27/2017",66.25,67.99,65.98,67.26,67.26,1135400
"QRVO","12/26/2017",65.84,67.69,64.53,65.9,65.9,1260000
"QRVO","12/22/2017",67.49,68.21,67.35,67.69,67.69,877400
"QRVO","12/21/2017",67.25,67.55,67.06,67.48,67.48,913400
"QRVO","12/20/2017",67.22,67.52,66.13,67.07,67.07,845000
"QRVO","12/19/2017",66.75,67.28,66.365,66.79,66.79,878500
"QRVO","12/18/2017",66,67.33,65.3,67.05,67.05,1824100
"QRVO","12/15/2017",65.57,66.15,64.72,65.53,65.53,4164800
"QRVO","12/14/2017",67.2,67.33,65.21,65.23,65.23,1991800
"QRVO","12/13/2017",68.14,69.085,67.06,67.29,67.29,1565300
"QRVO","12/12/2017",68.11,68.46,66.52,67.69,67.69,1913700
"QRVO","12/11/2017",67.64,68.9,67.64,68.62,68.62,1559000
"QRVO","12/08/2017",69.28,69.37,67.66,67.88,67.88,2150000
"QRVO","12/07/2017",71.53,71.56,68.35,68.72,68.72,1864300
"QRVO","12/06/2017",70,71.01,67.53,70.1,70.1,3573600
"QRVO","12/05/2017",72.04,73.26,70.83,71.78,71.78,1862400
"QRVO","12/04/2017",74.76,75.31,71.85,72.4,72.4,2211700
"QRVO","12/01/2017",76.09,76.3,71.66,74.21,74.21,2124900
"QRVO","11/30/2017",76.89,77.49,76.175,76.58,76.58,1252300
"QRVO","11/29/2017",78.97,79.105,75.27,76.69,76.69,1501600
"QRVO","11/28/2017",79.99,80,77.794,79.03,79.03,1120900
"QRVO","11/27/2017",80,80.43,79.221,79.74,79.74,905900
"QRVO","11/24/2017",79.75,80.65,79.75,80.62,80.62,238700
"QRVO","11/22/2017",80.54,80.713,79.3,79.61,79.61,637400
"QRVO","11/21/2017",79.47,80.84,79.4,80.59,80.59,1177200
"QRVO","11/20/2017",77.6,79.23,77.6,79.14,79.14,726600
"QRVO","11/17/2017",78.04,78.397,76.68,77.33,77.33,927100
"QRVO","11/16/2017",77.05,78.16,76.99,77.91,77.91,872600
"QRVO","11/15/2017",78.26,78.37,76.33,76.68,76.68,1128600
"QRVO","11/14/2017",79,79.78,78.07,78.41,78.41,784300
"QRVO","11/13/2017",79.16,79.92,78.56,79.08,79.08,1005900
"QRVO","11/10/2017",81.2,81.2,79.03,79.57,79.57,928200
"QRVO","11/09/2017",80.48,80.96,78.32,79.47,79.47,1463200
"QRVO","11/08/2017",78.48,80.94,78.11,80.82,80.82,1716700
"QRVO","11/07/2017",77.58,79.98,76.7,78.46,78.46,1758100
"QRVO","11/06/2017",73.78,78.97,73.47,78.49,78.49,3093600
"QRVO","11/03/2017",74.35,74.48,71.73,73.84,73.84,2903500
"QRVO","11/02/2017",71.73,74.81,71.19,74.3,74.3,2612300
"QRVO","11/01/2017",76.16,76.59,73.86,74.46,74.46,1953100
"QRVO","10/31/2017",76.45,77.055,75.28,75.81,75.81,1417400
"QRVO","10/30/2017",74.02,76.59,73.75,76.25,76.25,1620300
"QRVO","10/27/2017",72.74,73.76,71.2,73.72,73.72,1237400
"QRVO","10/26/2017",72.13,72.52,71.445,71.56,71.56,594600
"QRVO","10/25/2017",71.8,73.39,71.31,71.78,71.78,1460300
"QRVO","10/24/2017",70.11,71.66,69.77,71.44,71.44,1220400
"QRVO","10/23/2017",70.08,70.53,69.5,69.8,69.8,1163800
"QRVO","10/20/2017",70.13,70.55,69.72,69.92,69.92,779600
"QRVO","10/19/2017",71.5,71.5,69.12,69.68,69.68,1596200
"QRVO","10/18/2017",72.27,72.345,70.91,72.02,72.02,797400
"QRVO","10/17/2017",72.52,73.19,71.58,72.27,72.27,1020900
"QRVO","10/16/2017",72.27,72.74,72.13,72.53,72.53,721400
"QRVO","10/13/2017",72.58,73.03,72.08,72.39,72.39,663400
"QRVO","10/12/2017",72.72,73.07,72.26,72.36,72.36,1233000
"QRVO","10/11/2017",71.9,73,71.9,72.94,72.94,839500
"QRVO","10/10/2017",72.75,72.81,71.01,71.84,71.84,986600
"QRVO","10/09/2017",72.65,72.94,72.11,72.66,72.66,417900
"QRVO","10/06/2017",71.64,72.8,71.64,72.69,72.69,607200
"QRVO","10/05/2017",72.24,72.68,71.11,71.7,71.7,759900
"QRVO","10/04/2017",71.02,72.17,70.528,72.16,72.16,642800
"QRVO","10/03/2017",71.52,71.76,71.02,71.39,71.39,428600
"QRVO","10/02/2017",70.84,72.06,70.84,71.29,71.29,801500
"QRVO","09/29/2017",70.2,71.09,69.22,70.68,70.68,1020400
"QRVO","09/28/2017",70.25,70.72,69.57,70.2,70.2,883500
"QRVO","09/27/2017",69.23,70.77,68.65,70.25,70.25,1041500
"QRVO","09/26/2017",69,69.37,67.698,68.24,68.24,1113300
