"symbol","date","open","high","low","close","adjclose","volume"
"RMD","12/29/2017",86.33,86.33,84.67,84.69,84.69,406200
"RMD","12/28/2017",85.75,86.3,85.61,86.26,86.26,313000
"RMD","12/27/2017",85.56,86.02,85.17,85.76,85.76,262000
"RMD","12/26/2017",85.27,86.07,85.27,85.59,85.59,281300
"RMD","12/22/2017",85.09,85.5,84.64,85.11,85.11,261300
"RMD","12/21/2017",85.66,85.93,84.7,84.98,84.98,472000
"RMD","12/20/2017",86.2,86.3,85.53,85.57,85.57,469700
"RMD","12/19/2017",86.07,86.45,85.53,86.12,86.12,405600
"RMD","12/18/2017",85.71,86.52,85.49,85.7,85.7,487000
"RMD","12/15/2017",84.51,85.58,84.37,85.29,85.29,1367200
"RMD","12/14/2017",84.79,84.96,83.88,83.93,83.93,562700
"RMD","12/13/2017",85.33,85.98,85.01,85.01,85.01,656700
"RMD","12/12/2017",85.6,86.7,85.28,85.84,85.84,493200
"RMD","12/11/2017",86.3,86.51,85.87,86.44,86.44,426900
"RMD","12/08/2017",85.85,86.54,85.53,86.37,86.37,550100
"RMD","12/07/2017",85.17,86.03,84.93,85.77,85.77,454400
"RMD","12/06/2017",84.33,85.28,84.04,85.18,85.18,444500
"RMD","12/05/2017",83.88,85.07,83.6,84.35,84.35,588400
"RMD","12/04/2017",84.31,84.72,83.57,83.57,83.57,962200
"RMD","12/01/2017",85.36,85.38,82.81,84.25,84.25,726100
"RMD","11/30/2017",85.37,86.5,85.08,85.4,85.4,1042300
"RMD","11/29/2017",84.82,85.49,84.82,85.25,85.25,406500
"RMD","11/28/2017",84.71,85.5,84.09,85.19,85.19,521100
"RMD","11/27/2017",84.9,85.01,84.38,84.68,84.68,506900
"RMD","11/24/2017",85.27,85.56,84.49,85.11,85.11,153600
"RMD","11/22/2017",85.41,85.41,84.77,85.27,85.27,637400
"RMD","11/21/2017",84.83,85.69,84.36,85.66,85.66,611400
"RMD","11/20/2017",84.6,84.73,83.54,84.71,84.71,422700
"RMD","11/17/2017",84.84,84.91,83.65,84.63,84.63,459000
"RMD","11/16/2017",84.29,85.2,84.27,84.98,84.98,649900
"RMD","11/15/2017",84,84.44,83.37,84.25,84.25,497200
"RMD","11/14/2017",83.52,84.25,82.77,84.22,84.22,668600
"RMD","11/13/2017",82.39,84.37,81.9,84,84,918200
"RMD","11/10/2017",82.32,83.07,81.52,83.06,83.06,374900
"RMD","11/09/2017",82.05,82.9,81.97,82.72,82.72,598000
"RMD","11/08/2017",82.16,82.75,81.78,82.19,82.19,1230800
"RMD","11/08/2017",0,0,0,0,0,0
"RMD","11/07/2017",83.24,83.38,82.36,82.49,82.14,824800
"RMD","11/06/2017",83.2,83.93,82.65,83.24,82.88682,450200
"RMD","11/03/2017",82.09,83.73,81.75,83.12,82.76733,1129000
"RMD","11/02/2017",84.68,84.89,82.33,82.86,82.50843,1133400
"RMD","11/01/2017",84.68,85.88,84.5,85.77,85.40607,988900
"RMD","10/31/2017",83.35,84.32,83.2,84.18,83.82283,717200
"RMD","10/30/2017",84.55,84.55,82.74,82.99,82.63788,1142900
"RMD","10/27/2017",81.88,87.81,81.01,84.42,84.06181,1970500
"RMD","10/26/2017",78.53,79.65,77.87,78.61,78.27646,836700
"RMD","10/25/2017",78.58,79.91,77.71,78.4,78.06735,724800
"RMD","10/24/2017",78.99,79.28,78.5,79.05,78.7146,677300
"RMD","10/23/2017",78.6,80.6,78.6,79.82,79.48132,652400
"RMD","10/20/2017",79.18,79.44,78.61,79,78.66481,462600
"RMD","10/19/2017",78.55,78.87,77.75,78.79,78.4557,337600
"RMD","10/18/2017",78.88,79.13,78.46,78.87,78.53536,422700
"RMD","10/17/2017",77.75,78.51,77.51,78.42,78.08727,280700
"RMD","10/16/2017",77.62,78.02,77.33,77.73,77.4002,449600
"RMD","10/13/2017",77.81,78.06,77.27,77.63,77.30061,465800
"RMD","10/12/2017",76.9,77.64,76.8,77.59,77.26079,546600
"RMD","10/11/2017",76.41,76.82,76.02,76.55,76.2252,419600
"RMD","10/10/2017",76.11,76.27,75.62,76.21,75.88664,443300
"RMD","10/09/2017",77.11,77.23,75.95,76.14,75.81694,388400
"RMD","10/06/2017",76.93,77.36,76.76,77.25,76.92223,352500
"RMD","10/05/2017",77.26,77.65,76.91,77.3,76.97202,439500
"RMD","10/04/2017",76.45,77.38,76.32,77.27,76.94215,508000
"RMD","10/03/2017",77.32,77.8,76.18,76.53,76.20528,528800
"RMD","10/02/2017",76.94,77.44,76.56,77.41,77.08156,349800
"RMD","09/29/2017",76.01,77,75.83,76.96,76.63346,423600
"RMD","09/28/2017",76.53,76.76,75.83,76.11,75.78707,445600
"RMD","09/27/2017",76.62,76.8,75.28,76.16,75.83686,669700
"RMD","09/26/2017",76.76,76.99,76.28,76.3,75.97626,445900
"RMD","09/25/2017",77.35,77.6,76.62,77.2,76.87244,504100
"RMD","09/22/2017",77.17,77.6,77.12,77.38,77.05167,601700
"RMD","09/21/2017",78.5,78.75,77.22,77.32,76.99194,768900
"RMD","09/20/2017",79.59,80.05,78.96,79.6,79.26226,364900
"RMD","09/19/2017",79.53,79.64,78.87,79.45,79.11289,440400
"RMD","09/18/2017",79.64,79.97,79.3,79.53,79.19256,439000
"RMD","09/15/2017",80.45,80.5,79.2,79.23,78.89384,1256600
"RMD","09/14/2017",79.4,80.61,79.12,80.55,80.20824,783600
"RMD","09/13/2017",80.79,80.85,79.22,79.61,79.27222,672100
"RMD","09/12/2017",81.26,81.29,80.56,80.88,80.53683,606000
"RMD","09/11/2017",80.59,81.87,80.01,81.38,81.03471,720800
"RMD","09/08/2017",79.01,80.38,78.87,79.84,79.50124,557400
"RMD","09/07/2017",77.76,78.86,77.07,78.82,78.48557,572700
"RMD","09/06/2017",76.77,77.78,76.57,77.66,77.3305,397900
"RMD","09/05/2017",77.3,77.5,76.26,76.6,76.27499,850100
"RMD","09/01/2017",77.56,77.95,77.06,77.59,77.26079,424600
"RMD","08/31/2017",76,77.68,75.75,77.58,77.25083,743000
"RMD","08/30/2017",74.95,75.76,74.95,75.58,75.25932,439900
"RMD","08/29/2017",75.04,75.68,74.87,74.95,74.63199,491800
"RMD","08/28/2017",74.23,75.54,74.23,75.54,75.21949,620600
"RMD","08/25/2017",74.3,74.41,73.85,74.2,73.88517,459800
"RMD","08/24/2017",73.82,74.16,73.57,73.9,73.58645,439500
"RMD","08/23/2017",74.44,74.66,73.75,73.91,73.59641,510900
"RMD","08/22/2017",73.52,74.85,73.49,74.55,74.23369,500300
"RMD","08/21/2017",73.06,73.53,72.74,73.44,73.1284,310800
