"symbol","date","open","high","low","close","adjclose","volume"
"ROK","12/29/2017",198.1,198.56,196.32,196.35,196.35,486900
"ROK","12/28/2017",196.74,197.71,195.69,197.53,197.53,531700
"ROK","12/27/2017",195,196.63,194.64,195.99,195.99,389300
"ROK","12/26/2017",194.57,195.6,194.26,194.53,194.53,287900
"ROK","12/22/2017",193.67,194.68,192.98,194.57,194.57,422500
"ROK","12/21/2017",194.12,194.89,192.53,194.14,194.14,450500
"ROK","12/20/2017",195.39,195.59,192.79,193.07,193.07,548500
"ROK","12/19/2017",193.09,194.41,191.83,193.84,193.84,768500
"ROK","12/18/2017",193.32,194.48,192.46,192.83,192.83,631400
"ROK","12/15/2017",191.06,192.14,190.55,190.93,190.93,1121300
"ROK","12/14/2017",192.19,193.81,189.35,189.45,189.45,629600
"ROK","12/13/2017",191.26,193.16,190.98,191.46,191.46,660800
"ROK","12/12/2017",191.6,192.8,190.71,190.75,190.75,470800
"ROK","12/11/2017",192.5,194.39,190.36,191.47,191.47,485900
"ROK","12/08/2017",193.69,194.35,191.95,192.86,192.86,596100
"ROK","12/07/2017",192.87,193.74,189.82,192.26,192.26,720900
"ROK","12/06/2017",187.84,191.71,187.2,190.59,190.59,1156700
"ROK","12/05/2017",190.85,192.56,187.53,187.68,187.68,1155900
"ROK","12/04/2017",192.79,195.8,190.26,190.78,190.78,1326700
"ROK","12/01/2017",192.94,195.37,188.6,190.46,190.46,862900
"ROK","11/30/2017",191.15,194.32,190.72,193.08,193.08,1250600
"ROK","11/29/2017",197,197.16,188.83,190.13,190.13,1201900
"ROK","11/28/2017",189,198.02,188.67,197.13,197.13,1895900
"ROK","11/27/2017",192.01,192.62,190.64,191.04,191.04,680200
"ROK","11/24/2017",191.8,191.91,190.09,191.48,191.48,280000
"ROK","11/22/2017",190.43,192.44,188.88,191.02,191.02,1102000
"ROK","11/21/2017",194.75,195,191.92,193.02,193.02,1001400
"ROK","11/20/2017",194,195.8,193.06,194.23,194.23,762400
"ROK","11/17/2017",193.03,196.99,193.03,194.36,194.36,1265000
"ROK","11/16/2017",200.11,201.98,193.09,193.61,193.61,2377900
"ROK","11/15/2017",190.46,190.46,187.65,188.73,188.73,741400
"ROK","11/14/2017",191.82,192.43,190.72,191.58,191.58,575200
"ROK","11/13/2017",191.72,193.13,190.13,192.54,192.54,632200
"ROK","11/10/2017",189.75,193,188.31,192.61,192.61,541900
"ROK","11/10/2017",0,0,0,0,0,0
"ROK","11/09/2017",192.68,193.13,189.35,189.81,188.975,952100
"ROK","11/08/2017",192.7,199.39,192,193.78,192.9275,1459800
"ROK","11/07/2017",197.05,201.07,196.49,200.83,199.9465,1029900
"ROK","11/06/2017",197.66,198.38,196.44,196.83,195.9641,1229800
"ROK","11/03/2017",199.51,199.61,197.65,198.38,197.5073,744000
"ROK","11/02/2017",195.87,200.06,195.54,199.22,198.3436,759800
"ROK","11/01/2017",202.29,202.84,194.98,195.16,194.3015,1632100
"ROK","10/31/2017",210.66,210.72,195.33,200.82,199.9366,3465200
"ROK","10/30/2017",188.34,188.65,186.07,187,186.1774,502300
"ROK","10/27/2017",187.91,188.92,186.89,188.78,187.9495,411800
"ROK","10/26/2017",188.12,188.58,187.15,188.03,187.2028,511200
"ROK","10/25/2017",188.25,188.99,186.27,187.07,186.2471,642500
"ROK","10/24/2017",188.9,189.91,187.95,188.68,187.85,612000
"ROK","10/23/2017",188.7,188.95,187.16,187.67,186.8444,392500
"ROK","10/20/2017",186.9,188.6,186.81,188.5,187.6708,677900
"ROK","10/19/2017",184.6,186.69,184.18,186.44,185.6198,525400
"ROK","10/18/2017",185.9,186.56,184.56,184.97,184.1563,730500
"ROK","10/17/2017",186.4,187.28,185.97,186.27,185.4506,432500
"ROK","10/16/2017",187.12,187.29,185.91,186.41,185.59,390500
"ROK","10/13/2017",184.66,186.49,184.31,185.88,185.0623,524200
"ROK","10/12/2017",183.26,185.29,183.18,184.5,183.6884,444700
"ROK","10/11/2017",182.94,183.77,182.53,183.75,182.9417,375500
"ROK","10/10/2017",184.14,184.14,182.49,182.74,181.9361,371300
"ROK","10/09/2017",182.47,183.88,182.47,183.27,182.4638,335400
"ROK","10/06/2017",182.36,183.47,182.06,182.31,181.508,481500
"ROK","10/05/2017",182.13,182.97,180.56,182.51,181.7071,454900
"ROK","10/04/2017",180.92,182.69,180.71,182.35,181.5478,556300
"ROK","10/03/2017",180.67,180.98,179.83,180.8,180.0046,587800
"ROK","10/02/2017",178.8,180.75,178,180.7,179.9051,724900
"ROK","09/29/2017",177.2,179.5,176.86,178.21,177.426,621400
"ROK","09/28/2017",177.06,177.59,175.5,177.27,176.4902,467200
"ROK","09/27/2017",177.87,178.48,176.44,177.33,176.5499,532600
"ROK","09/26/2017",177.75,178.82,176.77,176.98,176.2014,611400
"ROK","09/25/2017",177.49,177.92,176.51,177.67,176.8884,367700
"ROK","09/22/2017",177.33,177.72,176.65,177.55,176.7689,492100
"ROK","09/21/2017",177.71,177.97,177,177.33,176.5499,435100
"ROK","09/20/2017",177.52,178.11,176.32,177.58,176.7988,686400
"ROK","09/19/2017",175.39,177.34,175.18,177.13,176.3508,638200
"ROK","09/18/2017",173.95,175.32,173.13,175.16,174.3895,558200
"ROK","09/15/2017",171.62,174.18,171.62,173.73,172.9657,1019600
"ROK","09/14/2017",169.26,172.25,168.44,172.15,171.3927,746400
"ROK","09/13/2017",168.99,170.45,168.21,169.89,169.1426,440700
"ROK","09/12/2017",169.75,170.41,168.62,169.12,168.376,621200
"ROK","09/11/2017",165,169.35,164.47,168.84,168.0972,1094100
"ROK","09/08/2017",162.18,164.68,161.7,164.01,163.2885,512100
"ROK","09/07/2017",162.81,162.81,161.21,162.56,161.8449,931000
"ROK","09/06/2017",164.27,164.82,162.15,162.32,161.6059,647700
"ROK","09/05/2017",164.35,165.25,163.05,163.41,162.6911,775300
"ROK","09/01/2017",164.69,165.85,164.3,164.36,163.637,452500
"ROK","08/31/2017",163.41,164.3,162.95,164.06,163.3383,582900
"ROK","08/30/2017",160.39,162.74,160.39,162.62,161.9046,383000
"ROK","08/29/2017",158.72,160.62,158.61,160.38,159.6745,482500
"ROK","08/28/2017",160.45,160.55,158.89,159.57,158.868,341200
"ROK","08/25/2017",160.95,161.52,159.51,159.61,158.9079,597000
"ROK","08/24/2017",160.24,160.57,159.32,160.13,159.4256,600300
"ROK","08/23/2017",161.86,162.07,159.98,160.01,159.3061,551900
"ROK","08/22/2017",161.25,163.33,160.84,163.17,162.4522,402400
"ROK","08/21/2017",161.36,161.45,159.58,160.46,159.7541,605000
"ROK","08/18/2017",160.88,163.26,160.29,161.38,160.6701,567800
"ROK","08/17/2017",163.21,164.53,161.22,161.26,160.5506,536800
"ROK","08/16/2017",164.58,165.32,163.86,164.03,163.3084,552200
"ROK","08/15/2017",164.02,165.1,164.02,164.12,163.398,407200
"ROK","08/14/2017",162.79,164.51,162.48,163.96,163.2387,388300
"ROK","08/11/2017",162.75,162.75,161.51,161.66,160.9488,680000
"ROK","08/10/2017",164.3,164.51,162.1,162.21,161.4964,662100
"ROK","08/10/2017",0,0,0,0,0,0
"ROK","08/09/2017",165.5,166.08,164.9,165.64,164.1547,435500
"ROK","08/08/2017",165.64,166.21,164.99,165.6,164.115,434200
"ROK","08/07/2017",164.96,166.53,164.83,165.82,164.3331,708200
"ROK","08/04/2017",165.63,166.05,164.75,164.9,163.4213,536300
"ROK","08/03/2017",165.13,166.1,164.82,165.53,164.0457,519400
"ROK","08/02/2017",163.15,166.16,163.15,165.22,163.7384,786000
"ROK","08/01/2017",165.19,165.54,162.55,163.57,162.1032,824100
"ROK","07/31/2017",165,166.63,164.76,165.03,163.5501,636700
"ROK","07/28/2017",164.98,165,163.27,164.47,162.9952,653400
"ROK","07/27/2017",163.47,166.71,163.28,164.97,163.4907,1018800
"ROK","07/26/2017",158.49,164.9,158,162.78,161.3203,1939200
"ROK","07/25/2017",165.27,166.28,161.77,163.1,161.6375,1452500
"ROK","07/24/2017",165.47,165.47,163.6,163.96,162.4897,937100
"ROK","07/21/2017",165.96,166.63,163.93,165.08,163.5997,633600
"ROK","07/20/2017",167.18,167.97,165.63,166.83,165.334,685300
"ROK","07/19/2017",165.5,167.37,165.34,167.34,165.8394,684100
"ROK","07/18/2017",166,166.17,165,165.49,164.006,580900
"ROK","07/17/2017",167.2,167.34,166.09,166.3,164.8088,485000
"ROK","07/14/2017",166.06,167.8,165.79,167.34,165.8394,766000
"ROK","07/13/2017",165.73,166.45,165.04,165.68,164.1943,638900
"ROK","07/12/2017",164.87,166.03,164.63,165.73,164.2439,535400
"ROK","07/11/2017",164.59,164.83,163.18,164.16,162.688,642600
"ROK","07/10/2017",163.41,165.8,163.36,164.69,163.2132,559200
"ROK","07/07/2017",163.12,165.52,162.51,164.43,162.9555,553100
"ROK","07/06/2017",163.19,164.63,162.42,162.79,161.3302,705200
"ROK","07/05/2017",162.56,163.81,161.57,163.49,162.024,698900
"ROK","07/03/2017",162.68,163.93,162.14,162.84,161.3798,403400
"ROK","06/30/2017",159.37,162.71,159.37,161.96,160.5077,702600
"ROK","06/29/2017",160.96,162.12,158.03,158.82,157.3958,858200
"ROK","06/28/2017",160.31,160.81,159.61,160.53,159.0905,707800
"ROK","06/27/2017",161.62,161.87,159.09,159.37,157.9409,511800
"ROK","06/26/2017",162.93,163.23,161.27,161.36,159.9131,359400
"ROK","06/23/2017",161.37,162.42,160.17,162.19,160.7356,1331000
"ROK","06/22/2017",160.26,161.09,159.33,160.53,159.0905,393400
"ROK","06/21/2017",162.85,163.01,159.87,160.12,158.6842,621700
"ROK","06/20/2017",163.06,163.92,161.95,162.15,160.696,583500
"ROK","06/19/2017",164.84,165.39,162.97,164.06,162.5888,694600
"ROK","06/16/2017",162.09,164.13,161.13,164.09,162.6186,1112000
"ROK","06/15/2017",158.4,161.67,158.08,161.6,160.1509,880400
"ROK","06/14/2017",160.89,161.17,158.73,159.86,158.4265,662700
"ROK","06/13/2017",161.38,162.35,160.63,161.01,159.5662,622100
"ROK","06/12/2017",162.02,162.73,160.94,161.3,159.8536,892100
"ROK","06/09/2017",160.71,162.98,160.71,162.13,160.6761,705700
"ROK","06/08/2017",157.52,160.47,157.31,160.05,158.6148,656000
"ROK","06/07/2017",159.78,159.89,156.32,157.52,156.1075,1109200
"ROK","06/06/2017",161.64,162.13,159.72,159.74,158.3076,908300
"ROK","06/05/2017",162.21,163.02,161.62,162.16,160.7059,622900
"ROK","06/02/2017",161,163.92,160.6,162.39,160.9338,940500
"ROK","06/01/2017",159.25,162.22,158.48,161.07,159.6257,815200
"ROK","05/31/2017",159.4,159.93,157.91,158.72,157.2967,1268900
"ROK","05/30/2017",158.9,159.85,158.59,159.38,157.9508,506500
"ROK","05/26/2017",159,159.67,158.27,159.28,157.8517,447000
"ROK","05/25/2017",158.17,159.41,157.53,159.26,157.8319,1060600
"ROK","05/24/2017",158.95,159.42,157.34,158.01,156.5931,722000
"ROK","05/23/2017",158.9,159.86,157.54,158.59,157.1679,820300
"ROK","05/22/2017",158,160.24,158,158.45,157.0291,1017900
"ROK","05/19/2017",155.28,158.14,154.7,157.36,155.9489,856200
"ROK","05/18/2017",152.72,155.37,151.78,154.22,152.8371,959100
"ROK","05/17/2017",157.5,157.5,152.88,153.74,152.3614,1167000
"ROK","05/16/2017",158.38,158.38,156.59,157.5,156.0877,807000
"ROK","05/15/2017",156.49,158.6,156.49,158.02,156.603,1067600
"ROK","05/12/2017",156.47,156.73,155.37,155.7,154.3038,519900
"ROK","05/11/2017",156.38,157.31,154.76,156.87,155.4633,668200
"ROK","05/11/2017",0,0,0,0,0,0
"ROK","05/10/2017",157.28,158.77,156.83,157.64,155.4732,1036000
"ROK","05/09/2017",156.1,157.28,155.37,157.13,154.9703,720000
"ROK","05/08/2017",156.48,156.82,155.25,156.13,153.984,675100
"ROK","05/05/2017",155.23,156.49,154.93,156.39,154.2404,709500
"ROK","05/04/2017",155.07,155.5,153.06,154.9,152.7709,1454500
"ROK","05/03/2017",155.19,156.08,153.46,154.54,152.4158,1486400
"ROK","05/02/2017",156.55,157.31,154.59,155.97,153.8262,1360700
"ROK","05/01/2017",158.13,158.13,155.39,156.5,154.3489,1206600
"ROK","04/28/2017",158.52,159.67,157.31,157.35,155.1872,1449600
"ROK","04/27/2017",160.21,161.17,158.74,159.27,157.0808,1152000
"ROK","04/26/2017",161.77,165,159.54,159.96,157.7614,2074600
"ROK","04/25/2017",158.24,160.71,157.44,160.14,157.9389,1989900
"ROK","04/24/2017",155.99,157.3,155.59,156.95,154.7927,1366400
"ROK","04/21/2017",153.74,154.3,152.94,153.59,151.4789,816000
"ROK","04/20/2017",150.43,154.15,149.88,153.82,151.7057,1474600
"ROK","04/19/2017",150.82,152.58,148.89,149.58,147.524,839800
"ROK","04/18/2017",149.4,150.03,148.32,149.53,147.4747,842800
"ROK","04/17/2017",148.72,150.71,148.31,150.52,148.4511,885200
"ROK","04/13/2017",149.71,150.52,148.35,148.43,146.3898,1332400
"ROK","04/12/2017",155.66,156.16,150.09,150.23,148.1651,1886200
"ROK","04/11/2017",155.41,156.23,154.26,156.11,153.9643,635100
"ROK","04/10/2017",155.59,157.48,155.51,156.05,153.9051,548600
"ROK","04/07/2017",155.39,156.27,154.92,155.28,153.1457,1375000
"ROK","04/06/2017",155.18,156.59,154.5,155.88,153.7374,591800
"ROK","04/05/2017",156.76,159.78,155.01,155.18,153.047,1401900
"ROK","04/04/2017",155.08,158,154.35,155.96,153.8163,981200
"ROK","04/03/2017",155.42,156.38,153.93,155.31,153.1752,649000
"ROK","03/31/2017",155.23,156.7,155.18,155.71,153.5697,799700
"ROK","03/30/2017",154.36,155.99,154,155.38,153.2443,661800
"ROK","03/29/2017",154.76,155.57,154.21,154.47,152.3468,541600
"ROK","03/28/2017",152.63,155.98,152.28,155.14,153.0076,581800
"ROK","03/27/2017",151.97,153.38,149.39,152.85,150.7491,816600
"ROK","03/24/2017",154.28,154.9,152.57,153.25,151.1436,541400
"ROK","03/23/2017",154.64,155.52,153.58,154.08,151.9622,864300
"ROK","03/22/2017",153.92,154.98,153.12,154.61,152.4849,741000
"ROK","03/21/2017",156.94,157.26,153.56,154.15,152.0312,979900
"ROK","03/20/2017",156.03,156.16,155.08,155.95,153.8065,893900
"ROK","03/17/2017",156.36,156.98,155.56,155.99,153.8459,909700
"ROK","03/16/2017",156.89,157.01,154.47,155.62,153.481,721100
"ROK","03/15/2017",152.82,157.3,152.13,156.47,154.3193,1110000
"ROK","03/14/2017",153.42,153.46,151.07,152.45,150.3546,852600
"ROK","03/13/2017",154.3,154.57,153.44,154.45,152.3271,609600
"ROK","03/10/2017",153.46,154.63,153,154.31,152.189,847800
"ROK","03/09/2017",153.18,153.66,151.38,152.18,150.0883,870100
"ROK","03/08/2017",154.12,154.84,152.97,153.03,150.9266,760300
"ROK","03/07/2017",152.97,153.7,152.12,153.58,151.469,694700
"ROK","03/06/2017",152.49,153.47,151.1,153.19,151.0844,665400
"ROK","03/03/2017",153.18,154.11,151.57,153.01,150.9068,802000
"ROK","03/02/2017",155.35,155.72,153,153.05,150.9463,916300
"ROK","03/01/2017",153.68,156.11,153.07,155.48,153.3429,1540900
"ROK","02/28/2017",151.26,151.68,150.1,151.1,149.0231,949600
"ROK","02/27/2017",151.26,151.73,150.66,151.26,149.1809,765300
"ROK","02/24/2017",150.41,151.54,149.96,151.14,149.0626,1005300
"ROK","02/23/2017",153.52,153.88,149.89,151.47,149.388,1163500
"ROK","02/22/2017",150.9,153.25,150.76,152.88,150.7786,1022400
"ROK","02/21/2017",152.36,152.63,150.98,151.83,149.7431,1292700
"ROK","02/17/2017",150.6,151.93,149.7,151.92,149.8318,691600
"ROK","02/16/2017",151.92,152.38,151,151.88,149.7924,859400
"ROK","02/16/2017",0,0,0,0,0,0
"ROK","02/15/2017",151.53,152.77,151.53,152.49,149.6445,836600
"ROK","02/14/2017",151.51,152.44,151.22,152.21,149.3697,1215300
"ROK","02/13/2017",151.69,153.68,151.69,152.01,149.1734,1362300
"ROK","02/10/2017",151.22,151.78,150.11,151.45,148.6239,1060400
"ROK","02/09/2017",149.17,150.6,148.29,150.35,147.5444,949900
"ROK","02/08/2017",149.5,149.5,147.67,148.63,145.8565,815100
"ROK","02/07/2017",150.49,152.62,149.23,149.41,146.6219,901700
"ROK","02/06/2017",149.11,149.96,148.46,149.96,147.1617,745600
"ROK","02/03/2017",148.13,150.2,147.55,149.73,146.936,1151000
"ROK","02/02/2017",146.87,148.35,146.37,147.65,144.8948,918600
"ROK","02/01/2017",148.32,149.14,146.76,147.76,145.0027,1343500
"ROK","01/31/2017",149.28,149.64,147.42,147.99,145.2284,2036900
"ROK","01/30/2017",150.33,150.33,147.79,149.31,146.5238,1964600
"ROK","01/27/2017",152.44,152.7,150.7,150.75,147.9369,1636800
"ROK","01/26/2017",153.67,154.91,152.07,152.92,150.0664,2337400
"ROK","01/25/2017",151.64,155.44,149.54,153.01,150.1548,4674700
"ROK","01/24/2017",140.43,143.74,139.72,142.03,139.3796,1678200
"ROK","01/23/2017",140.8,140.98,139.51,140.02,137.4071,1058700
"ROK","01/20/2017",140.99,141.47,139.63,140.56,137.9371,1754300
"ROK","01/19/2017",140.25,141.29,139.69,140,137.3875,1154600
"ROK","01/18/2017",140.14,140.45,139.4,139.96,137.3483,919300
"ROK","01/17/2017",141.33,141.33,139.38,139.64,137.0343,1126600
"ROK","01/13/2017",140.95,142.24,140.84,141.99,139.3404,559800
"ROK","01/12/2017",141.19,141.52,138.97,140.76,138.1333,714500
"ROK","01/11/2017",140.02,142.54,139.74,141.66,139.0166,1148000
"ROK","01/10/2017",139,140.08,138.28,139.53,136.9263,883500
"ROK","01/09/2017",139,139.99,138.29,138.31,135.7291,828100
"ROK","01/06/2017",138.36,139.61,137.69,138.51,135.9253,659300
"ROK","01/05/2017",137.67,139.4,135.87,137.74,135.1697,822500
"ROK","01/04/2017",138.77,139.49,137.29,137.96,135.3856,851000
"ROK","01/03/2017",135.9,138.66,135.18,138.54,135.9548,1329200
