"symbol","date","open","high","low","close","adjclose","volume"
"RSG","12/29/2017",67.33,68,67.26,67.61,67.61,1260900
"RSG","12/28/2017",67,67.47,66.68,67.41,67.41,1234500
"RSG","12/27/2017",66.71,67.02,66.56,66.93,66.93,798600
"RSG","12/26/2017",66.05,67.05,66,66.77,66.77,842400
"RSG","12/22/2017",66.55,67.08,66.54,66.93,66.93,1244200
"RSG","12/21/2017",66.37,66.87,66.28,66.76,66.76,1211400
"RSG","12/20/2017",65.81,66.84,65.54,66.28,66.28,1349900
"RSG","12/19/2017",66.47,66.71,65.47,65.5,65.5,1997600
"RSG","12/18/2017",66.1,66.66,66.1,66.44,66.44,1435900
"RSG","12/15/2017",65.09,66.39,65.09,66.09,66.09,3176500
"RSG","12/14/2017",65.31,65.45,64.68,64.85,64.85,1317500
"RSG","12/13/2017",64.68,65.44,64.49,65.14,65.14,1475800
"RSG","12/12/2017",65.29,65.44,64.79,64.8,64.8,1369300
"RSG","12/11/2017",65.3,65.38,65.03,65.25,65.25,871000
"RSG","12/08/2017",65.4,65.4,65.01,65.14,65.14,1066300
"RSG","12/07/2017",65.19,65.35,64.87,65.24,65.24,789900
"RSG","12/06/2017",65.23,65.48,64.98,65.28,65.28,1201700
"RSG","12/05/2017",65.24,65.52,64.9,65.08,65.08,1296600
"RSG","12/04/2017",64.87,65.79,64.55,65.03,65.03,1715000
"RSG","12/01/2017",65.1,65.27,63.66,64.22,64.22,1163600
"RSG","11/30/2017",64.47,65.26,64.18,64.94,64.94,2539000
"RSG","11/29/2017",63.51,64.5,63.33,64.31,64.31,1180400
"RSG","11/28/2017",62.88,63.51,62.73,63.5,63.5,1048000
"RSG","11/27/2017",62.5,62.86,62.44,62.65,62.65,1113700
"RSG","11/24/2017",62.45,62.55,62.23,62.33,62.33,602600
"RSG","11/22/2017",62.9,63.02,62.18,62.35,62.35,1057700
"RSG","11/21/2017",62.74,63.03,62.24,63,63,1612000
"RSG","11/20/2017",62.44,62.69,62.05,62.66,62.66,1244500
"RSG","11/17/2017",62.99,63.12,62.44,62.44,62.44,918700
"RSG","11/16/2017",63.14,63.46,63.08,63.24,63.24,1258200
"RSG","11/15/2017",63.95,63.98,63.13,63.14,63.14,1266900
"RSG","11/14/2017",63.69,64.08,63.62,63.92,63.92,1192400
"RSG","11/13/2017",63.47,63.92,63.43,63.91,63.91,768900
"RSG","11/10/2017",63.68,63.75,63.35,63.45,63.45,835100
"RSG","11/09/2017",63.56,63.87,63.21,63.77,63.77,1154700
"RSG","11/08/2017",64.03,64.24,63.83,63.88,63.88,844400
"RSG","11/07/2017",63.45,64.19,63.37,64.14,64.14,1768000
"RSG","11/06/2017",63.9,64.08,63.45,63.55,63.55,1492000
"RSG","11/03/2017",64.04,64.83,63.56,63.9,63.9,2170100
"RSG","11/02/2017",64.55,65.2,64.35,64.8,64.8,1381100
"RSG","11/01/2017",65.19,65.29,64.2,64.55,64.55,1353800
"RSG","10/31/2017",65.41,65.6,64.74,65.07,65.07,1231300
"RSG","10/30/2017",65.43,65.93,64.84,65.5,65.5,2358300
"RSG","10/27/2017",65.31,65.7,65.14,65.38,65.38,957100
"RSG","10/26/2017",64.09,65.5,64.08,65.37,65.37,1460400
"RSG","10/25/2017",63.76,64.16,63.64,63.77,63.77,983900
"RSG","10/24/2017",64.06,64.36,63.89,63.91,63.91,750800
"RSG","10/23/2017",64.03,64.34,63.99,64.14,64.14,684200
"RSG","10/20/2017",63.89,64.36,63.7,64.19,64.19,1293200
"RSG","10/19/2017",62.99,63.69,62.93,63.65,63.65,1055300
"RSG","10/18/2017",63.1,63.36,63.01,63.03,63.03,1057200
"RSG","10/17/2017",62.75,63.24,62.68,62.99,62.99,1250500
"RSG","10/16/2017",63.24,63.32,62.69,62.76,62.76,1531200
"RSG","10/13/2017",63.78,63.99,63.23,63.33,63.33,1126400
"RSG","10/12/2017",63.19,63.89,63.19,63.67,63.67,1439800
"RSG","10/11/2017",63.49,63.6,63.22,63.32,63.32,1510600
"RSG","10/10/2017",63.82,63.95,63.27,63.38,63.38,1037800
"RSG","10/09/2017",63.19,63.73,63.19,63.62,63.62,949200
"RSG","10/06/2017",63.32,63.56,63.04,63.18,63.18,1310300
