"symbol","date","open","high","low","close","adjclose","volume"
"SPGI","12/29/2017",170.25,171.09,169.37,169.4,169.4,685600
"SPGI","12/28/2017",169.49,169.93,168.6,169.85,169.85,394900
"SPGI","12/27/2017",167.95,169.89,167.76,169.4,169.4,664100
"SPGI","12/26/2017",168.29,168.76,166.67,167.42,167.42,553500
"SPGI","12/22/2017",169.26,169.64,167.63,167.83,167.83,874700
"SPGI","12/21/2017",170.43,171.25,168.58,168.78,168.78,701600
"SPGI","12/20/2017",171.08,172.31,169.44,170.01,170.01,1391200
"SPGI","12/19/2017",171.42,172.21,170.54,172,172,1017500
"SPGI","12/18/2017",169.49,171.39,169.16,170.91,170.91,1268700
"SPGI","12/15/2017",168.9,169.99,168.46,169.05,169.05,1713800
"SPGI","12/14/2017",169,170,167.34,167.59,167.59,1250700
"SPGI","12/13/2017",172.54,173.22,168.94,169.01,169.01,2066900
"SPGI","12/12/2017",171.86,174.07,171.45,172.57,172.57,1333100
"SPGI","12/11/2017",171.28,172.3,170.63,171.7,171.7,1161600
"SPGI","12/08/2017",170.02,171.21,169.4,171.21,171.21,932700
"SPGI","12/07/2017",168.22,169.93,167.76,169.53,169.53,544700
"SPGI","12/06/2017",168.04,169.4,167.78,168.62,168.62,666400
"SPGI","12/05/2017",168.04,171.1,167.5,167.89,167.89,1054400
"SPGI","12/04/2017",167.38,169,162.25,167.46,167.46,1213100
"SPGI","12/01/2017",165.26,166.56,162.3,166.17,166.17,1053500
"SPGI","11/30/2017",165.42,166.62,163.24,165.48,165.48,1652300
"SPGI","11/29/2017",166.22,167.87,163.64,164.73,164.73,1070600
"SPGI","11/28/2017",164.98,165.84,163.6,165.83,165.83,1030700
"SPGI","11/27/2017",163.81,164.79,163.54,164.4,164.4,675600
"SPGI","11/27/2017",0,0,0,0,0,0
"SPGI","11/24/2017",163.48,164.63,163.34,164.14,163.73,253700
"SPGI","11/22/2017",164,164.55,162.66,163.22,162.8123,563000
"SPGI","11/21/2017",162.69,164.3,162.19,163.7,163.2911,1894900
"SPGI","11/20/2017",161.15,162.92,160.56,162.19,161.7849,1054100
"SPGI","11/17/2017",159.89,161.3,158.9,160.59,160.1889,931600
"SPGI","11/16/2017",158.94,161.58,158.94,160.1,159.7001,1091700
"SPGI","11/15/2017",157.79,159.23,156.73,158.82,158.4233,1281100
"SPGI","11/14/2017",157.64,159.92,156.94,159.3,158.9021,941100
