"symbol","date","open","high","low","close","adjclose","volume"
"STI","12/29/2017",65.48,65.68,64.59,64.59,64.59,2558800
"STI","12/28/2017",65.29,65.46,64.97,65.44,65.44,1429000
"STI","12/27/2017",65.4,65.41,64.97,65.21,65.21,1537900
"STI","12/26/2017",65.74,65.97,64.93,65.29,65.29,1706200
"STI","12/22/2017",65.94,65.95,65.1,65.76,65.76,2325600
"STI","12/21/2017",65.57,66.34,65.46,65.55,65.55,5441000
"STI","12/20/2017",66.51,66.62,65.21,65.45,65.45,4412800
"STI","12/19/2017",66.34,66.48,65.6,65.63,65.63,4411500
"STI","12/18/2017",65.63,66.15,65.41,66.03,66.03,4257700
"STI","12/15/2017",64.55,65.69,64.19,65,65,8292300
"STI","12/14/2017",64.89,65.37,64.04,64.05,64.05,5026000
"STI","12/13/2017",65.67,66.11,64.51,64.57,64.57,4578500
"STI","12/12/2017",65.18,65.88,64.88,65.54,65.54,4405200
"STI","12/11/2017",65.15,65.5,64.26,64.62,64.62,5374300
"STI","12/08/2017",65.07,65.33,64.57,65.2,65.2,2566500
"STI","12/07/2017",63.97,65.15,63.88,64.76,64.76,4489900
"STI","12/06/2017",63.67,65.36,63.54,64.44,64.44,5400500
"STI","12/05/2017",64.48,64.81,63.63,64.03,64.03,5172700
"STI","12/04/2017",62.98,64.61,62.98,64.36,64.36,6154900
"STI","12/01/2017",61.7,62.35,60.21,61.97,61.97,3987500
"STI","11/30/2017",61.74,62.91,61.43,61.63,61.63,4692800
"STI","11/29/2017",60.1,62.18,59.52,61.3,61.3,5625000
"STI","11/29/2017",0,0,0,0,0,0
"STI","11/28/2017",57.52,59.59,57.44,59.44,59.04,4806000
"STI","11/27/2017",57.26,57.58,57.18,57.34,56.95413,2200600
"STI","11/24/2017",57.77,57.78,57.17,57.21,56.825,833100
"STI","11/22/2017",57.8,57.97,57.47,57.62,57.23225,1852300
"STI","11/21/2017",58.36,58.43,57.7,57.73,57.34151,2780900
"STI","11/20/2017",57.83,58.23,57.66,58.17,57.77855,2432500
"STI","11/17/2017",57.4,58.01,57.32,57.77,57.38124,2471700
"STI","11/16/2017",58.02,58.38,57.7,57.72,57.33158,3038600
"STI","11/15/2017",56.99,58.08,56.83,57.78,57.39117,2794400
"STI","11/14/2017",56.97,57.78,56.85,57.64,57.25211,3080600
"STI","11/13/2017",56.45,57.42,56.3,57.33,56.9442,3185800
"STI","11/10/2017",57.02,57.39,56.76,56.79,56.40783,4532300
"STI","11/09/2017",57.07,57.79,56.37,56.8,56.41776,5936500
"STI","11/08/2017",58.06,58.08,57.24,57.61,57.22232,6027500
"STI","11/07/2017",60.44,60.46,58.04,58.08,57.68915,6909800
"STI","11/06/2017",60.24,60.33,59.79,60.15,59.74522,2187100
"STI","11/03/2017",60.31,60.47,59.88,60.4,59.99354,1744900
"STI","11/02/2017",60.33,60.75,59.7,60.64,60.23192,2338500
"STI","11/01/2017",60.66,61.1,60.35,60.53,60.12266,1783000
"STI","10/31/2017",60.42,60.84,60.21,60.21,59.80482,3009800
"STI","10/30/2017",60.34,60.53,59.94,60.35,59.94387,2838600
"STI","10/27/2017",60.43,60.63,60.09,60.62,60.21206,2684200
"STI","10/26/2017",60.1,60.78,59.97,60.61,60.20213,2344900
"STI","10/25/2017",60.43,60.46,59.45,59.78,59.37771,3697400
"STI","10/24/2017",59.91,60.61,59.71,60.18,59.77502,2883000
"STI","10/23/2017",59.24,60.19,59.24,59.49,59.08966,2419900
"STI","10/20/2017",60.09,60.6,59.05,60.02,59.6161,4282000
"STI","10/19/2017",58.8,59.43,58.69,59.11,58.71222,3410300
"STI","10/18/2017",59.45,59.55,58.97,59.29,58.89101,3396500
"STI","10/17/2017",60.01,60.1,59.11,59.17,58.77182,2508900
"STI","10/16/2017",59.54,59.87,59.45,59.8,59.39758,2275000
"STI","10/13/2017",59.48,59.6,58.69,59.46,59.05986,4115400
"STI","10/12/2017",60.29,60.55,59.61,59.67,59.26845,2262400
"STI","10/11/2017",60.56,60.61,60.1,60.17,59.76508,4493800
"STI","10/10/2017",60.24,60.87,60.24,60.76,60.35112,2685800
"STI","10/09/2017",61.15,61.29,60.25,60.4,59.99354,1503400
