"symbol","date","open","high","low","close","adjclose","volume"
"STT","12/29/2017",98.33,98.43,97.5,97.61,97.61,930400
"STT","12/28/2017",98.11,98.43,97.75,98.23,98.23,617700
"STT","12/27/2017",97.68,97.86,97.24,97.71,97.71,719500
"STT","12/26/2017",97.92,98.29,96.98,97.44,97.44,576000
"STT","12/22/2017",98.64,98.72,97.4,97.93,97.93,1055600
"STT","12/21/2017",97.76,98.93,97.76,98.31,98.31,1219200
"STT","12/20/2017",98.51,98.62,96.96,97.08,97.08,1517900
"STT","12/19/2017",98.85,99.04,97.64,97.87,97.87,1709600
"STT","12/18/2017",99.08,99.44,98.09,98.21,98.21,2045400
"STT","12/15/2017",98.55,99.29,98,98.53,98.53,2726100
"STT","12/14/2017",99.4,99.54,97.72,97.97,97.97,1918700
"STT","12/13/2017",98.83,100.9,98.21,99.18,99.18,2783600
"STT","12/12/2017",97.71,98.73,97.3,98.18,98.18,1248700
"STT","12/11/2017",97.57,98.35,97.22,97.41,97.41,1101000
"STT","12/08/2017",97.43,97.75,96.63,97.67,97.67,1263200
"STT","12/07/2017",96.13,97.29,95.98,96.92,96.92,1535000
"STT","12/06/2017",96.6,97.03,95.72,96.52,96.52,1385900
"STT","12/05/2017",97.65,97.71,96.54,96.83,96.83,2376800
"STT","12/04/2017",97.06,97.99,96.64,97.1,97.1,3257400
"STT","12/01/2017",95.66,95.95,93.17,95.48,95.48,1707700
"STT","11/30/2017",95.06,96.33,94.5,95.35,95.35,2592800
"STT","11/29/2017",93.94,95.38,93.63,94.68,94.68,2281100
"STT","11/28/2017",91.4,93.27,91.25,93.14,93.14,2926900
"STT","11/27/2017",92.47,93.07,91.36,91.36,91.36,2093400
"STT","11/24/2017",93.13,93.13,92.2,92.46,92.46,534900
"STT","11/22/2017",93.26,93.57,92.64,92.67,92.67,1086100
"STT","11/21/2017",93.39,93.81,92.62,93.06,93.06,1494000
"STT","11/20/2017",92.34,93.41,92.05,93.06,93.06,1196200
"STT","11/17/2017",91.99,92.89,91.63,92.31,92.31,1932200
"STT","11/16/2017",92,93.11,91.97,92.4,92.4,1980900
"STT","11/15/2017",90.38,92.93,90.01,91.86,91.86,2362300
"STT","11/14/2017",90.14,91.85,90.06,91.31,91.31,1991600
"STT","11/13/2017",90,91.14,89.81,90.79,90.79,1444900
"STT","11/10/2017",90.83,91.06,89.92,90.65,90.65,948700
"STT","11/09/2017",90.61,91.47,90.09,90.77,90.77,1608400
"STT","11/08/2017",90.1,91.39,89.68,91.13,91.13,1892200
"STT","11/07/2017",92.68,92.94,90.21,90.28,90.28,1470600
"STT","11/06/2017",92.06,92.64,91.86,92.29,92.29,1162700
"STT","11/03/2017",92.4,92.8,92.15,92.53,92.53,1078900
"STT","11/02/2017",92.07,93.41,92.01,92.51,92.51,1337700
"STT","11/01/2017",92.52,92.96,92.18,92.25,92.25,1642300
"STT","10/31/2017",93.14,93.46,91.96,92,92,1623400
"STT","10/30/2017",93.1,94.06,93.08,93.29,93.29,1996100
"STT","10/27/2017",94.65,94.8,93.45,93.51,93.51,1778200
"STT","10/26/2017",94.58,95.8,94.54,94.74,94.74,2211500
"STT","10/25/2017",96.51,96.72,93.16,94.05,94.05,3226600
"STT","10/24/2017",96.61,97.4,96.31,96.43,96.43,1775200
"STT","10/23/2017",96.95,97.37,94.23,96.17,96.17,2304800
"STT","10/20/2017",98.69,99.22,98.02,99.12,99.12,2308800
"STT","10/19/2017",97.81,97.86,96.82,97.48,97.48,2319400
"STT","10/18/2017",97.46,98.82,97.32,98.35,98.35,1395900
"STT","10/17/2017",98.64,98.64,97.07,97.15,97.15,1458100
"STT","10/16/2017",99.18,99.65,98.36,98.54,98.54,1452700
"STT","10/13/2017",98.63,99.95,98.04,99.26,99.26,1588700
"STT","10/12/2017",99.3,99.89,98.6,98.63,98.63,1691500
"STT","10/11/2017",99.2,99.41,98.4,99.29,99.29,1818600
"STT","10/10/2017",98.3,99.2,98.1,99.17,99.17,1540900
"STT","10/09/2017",98.81,98.82,97.86,98.09,98.09,875700
"STT","10/06/2017",99.4,99.99,98.32,98.8,98.8,1529900
"STT","10/05/2017",97.39,99.13,97.14,98.95,98.95,1967900
"STT","10/04/2017",96.94,98.08,96.85,97.11,97.11,1242800
"STT","10/03/2017",96.07,97.07,96.03,96.99,96.99,1273000
"STT","10/02/2017",95.73,96.74,95.34,96.34,96.34,1189900
"STT","09/29/2017",95.4,95.82,95.01,95.54,95.54,1486500
"STT","09/29/2017",0,0,0,0,0,0
"STT","09/28/2017",95.55,95.85,95.05,95.81,95.39,942500
"STT","09/27/2017",95.14,96.11,94.63,95.54,95.12119,1561900
"STT","09/26/2017",94.63,94.72,93.75,93.91,93.49833,1759100
"STT","09/25/2017",95.49,95.65,93.72,94.46,94.04591,1507500
"STT","09/22/2017",95.81,96.04,95.36,95.56,95.14109,1599700
"STT","09/21/2017",95.93,96.39,95.52,95.95,95.52938,1226800
"STT","09/20/2017",95.8,96.21,94.71,95.82,95.39996,1397000
"STT","09/19/2017",95.03,95.9,94.65,95.68,95.26057,1687400
"STT","09/18/2017",94.26,94.93,94.13,94.76,94.3446,1202900
"STT","09/15/2017",94.16,94.83,93.74,94.04,93.62776,5229300
"STT","09/14/2017",94.21,94.5,93.81,94.1,93.68749,2482800
"STT","09/13/2017",94.58,94.58,93.7,94.27,93.85675,1883300
"STT","09/12/2017",94.82,95.39,94.42,94.96,94.54372,1554300
"STT","09/11/2017",93.65,94.67,93.42,94.33,93.91649,1711700
"STT","09/08/2017",91.08,92.88,91.01,92.5,92.09451,2029400
"STT","09/07/2017",91.64,91.81,90.01,90.97,90.57122,2244100
"STT","09/06/2017",92.22,92.49,91.06,91.63,91.22832,2263600
"STT","09/05/2017",92.63,93.38,91.56,91.79,91.38762,2844500
"STT","09/01/2017",92.89,93.89,92.6,93.18,92.77153,1387100
