"symbol","date","open","high","low","close","adjclose","volume"
"UNM","12/29/2017",55.35,55.44,54.89,54.89,54.89,698800
"UNM","12/28/2017",54.96,55.17,54.73,55.14,55.14,805300
"UNM","12/27/2017",54.76,54.87,54.56,54.75,54.75,895400
"UNM","12/26/2017",54.75,55.13,54.66,54.75,54.75,384000
"UNM","12/22/2017",55.08,55.08,54.39,54.79,54.79,887700
"UNM","12/21/2017",54.99,55.43,54.78,54.83,54.83,1210400
"UNM","12/20/2017",54.75,54.92,54.35,54.8,54.8,1220700
"UNM","12/19/2017",54.35,54.44,53.98,54.21,54.21,3032200
"UNM","12/18/2017",54.51,54.51,53.84,53.95,53.95,2536100
"UNM","12/15/2017",54.37,54.56,53.96,54.03,54.03,2648700
"UNM","12/14/2017",55.07,55.12,54.14,54.26,54.26,2347100
"UNM","12/13/2017",56.29,56.43,54.93,54.94,54.94,2318600
"UNM","12/12/2017",56.82,56.82,55.94,56.4,56.4,2475000
"UNM","12/11/2017",57.49,57.55,56.5,56.65,56.65,1292500
"UNM","12/08/2017",56.95,57.5,56.87,57.49,57.49,775600
"UNM","12/07/2017",56.07,56.91,56.07,56.79,56.79,642100
"UNM","12/06/2017",56.42,56.84,56.3,56.34,56.34,838700
"UNM","12/05/2017",57.18,57.41,56.41,56.52,56.52,962300
"UNM","12/04/2017",57.35,57.49,56.98,57.02,57.02,982200
"UNM","12/01/2017",56.72,56.94,55.07,56.48,56.48,1447500
"UNM","11/30/2017",56.82,57.37,56.4,56.62,56.62,2244700
"UNM","11/29/2017",55.62,56.62,55.55,56.42,56.42,1583400
"UNM","11/28/2017",54.09,55.4,53.97,55.23,55.23,1452200
"UNM","11/27/2017",54.09,54.22,53.91,53.94,53.94,902200
"UNM","11/24/2017",54.02,54.21,53.93,54.09,54.09,542600
"UNM","11/22/2017",53.87,54.1,53.77,53.9,53.9,938600
"UNM","11/21/2017",54,54.22,53.69,53.87,53.87,739500
"UNM","11/20/2017",53.64,53.9,53.46,53.88,53.88,1027800
"UNM","11/17/2017",53.02,53.6,52.93,53.46,53.46,1296700
"UNM","11/16/2017",53.19,53.61,53.08,53.25,53.25,1776400
"UNM","11/15/2017",52.26,53.13,52.17,52.89,52.89,1794500
"UNM","11/14/2017",52.56,52.97,52.39,52.81,52.81,1500900
"UNM","11/13/2017",52.2,53.06,52.2,52.82,52.82,1727900
"UNM","11/10/2017",52.53,52.61,52.3,52.42,52.42,1731200
"UNM","11/09/2017",52.4,52.7,52.16,52.53,52.53,1341700
"UNM","11/08/2017",52.59,52.78,52.31,52.64,52.64,1295200
"UNM","11/07/2017",53.06,53.36,52.59,52.7,52.7,1530800
"UNM","11/06/2017",52.74,53.17,52.54,53.07,53.07,1279600
"UNM","11/03/2017",52.75,52.98,52.27,52.46,52.46,1529600
"UNM","11/02/2017",51.97,53.09,51.79,52.91,52.91,1926200
"UNM","11/01/2017",52.29,52.79,51.97,52,52,1505900
"UNM","10/31/2017",52.28,52.58,51.98,52.04,52.04,1090400
"UNM","10/30/2017",52.17,52.63,52.04,52.4,52.4,1669800
"UNM","10/27/2017",52.58,52.79,52.23,52.45,52.45,941400
"UNM","10/27/2017",0,0,0,0,0,0
"UNM","10/26/2017",52.66,53.15,52.15,52.93,52.7,1729200
"UNM","10/25/2017",52.89,52.93,51.94,52.21,51.98313,1158800
"UNM","10/24/2017",52.66,52.92,52.46,52.82,52.59048,902700
"UNM","10/23/2017",52.33,52.55,52.18,52.36,52.13248,971200
"UNM","10/20/2017",52.87,52.91,52.23,52.29,52.06278,903200
"UNM","10/19/2017",51.85,52.28,51.64,52.28,52.05282,611400
"UNM","10/18/2017",52.07,52.3,51.93,52.19,51.96321,512900
"UNM","10/17/2017",52.61,52.69,51.88,52,51.77404,835700
"UNM","10/16/2017",52.17,52.54,52.02,52.42,52.19221,589100
"UNM","10/13/2017",51.9,52.37,51.57,51.97,51.74417,1001100
"UNM","10/12/2017",52.26,52.41,51.97,52.01,51.784,996500
"UNM","10/11/2017",52.3,52.36,51.84,52.23,52.00304,807100
"UNM","10/10/2017",52.29,52.53,52.03,52.43,52.20217,761800
"UNM","10/09/2017",52.66,52.68,52.21,52.29,52.06278,661500
"UNM","10/06/2017",52.59,52.75,52.04,52.54,52.3117,697800
"UNM","10/05/2017",51.66,52.4,51.41,52.3,52.07274,673000
"UNM","10/04/2017",51.42,51.82,51.36,51.64,51.4156,682700
"UNM","10/03/2017",51.58,51.68,50.94,51.53,51.30608,827900
"UNM","10/02/2017",51.27,51.75,50.99,51.61,51.38574,842100
"UNM","09/29/2017",51.02,51.29,50.89,51.13,50.90782,787600
"UNM","09/28/2017",51.28,51.35,50.73,51.09,50.868,1011000
"UNM","09/27/2017",51.25,51.5,50.96,51.33,51.10696,904900
"UNM","09/26/2017",50.36,50.69,50.17,50.52,50.30047,664900
"UNM","09/25/2017",49.96,50.53,49.96,50.39,50.17104,623800
"UNM","09/22/2017",49.8,50.21,49.72,50.12,49.90221,607600
"UNM","09/21/2017",49.72,50.2,49.49,50.03,49.8126,967400
"UNM","09/20/2017",49.45,50.05,49.17,49.68,49.46412,933300
"UNM","09/19/2017",49.02,49.47,48.9,49.26,49.04594,1041100
"UNM","09/18/2017",48.52,49.11,48.46,48.97,48.75721,1131300
"UNM","09/15/2017",47.88,48.44,47.77,48.43,48.21955,1962300
"UNM","09/14/2017",48.48,48.48,47.93,48.06,47.85116,803000
"UNM","09/13/2017",48.34,48.53,48.07,48.47,48.25938,962900
"UNM","09/12/2017",48.25,48.61,48.1,48.53,48.31912,743000
"UNM","09/11/2017",47.8,48.24,47.56,48.04,47.83125,952500
"UNM","09/08/2017",46.36,47.23,46.25,47.11,46.90529,861100
"UNM","09/07/2017",47.71,47.71,46.08,46.43,46.22824,1537000
"UNM","09/06/2017",47.79,48.04,47.67,47.77,47.56242,1152300
"UNM","09/05/2017",48.19,48.21,47.36,47.58,47.37325,1476800
"UNM","09/01/2017",48.34,48.78,48.21,48.6,48.38881,627200
"UNM","08/31/2017",48.32,48.45,48.01,48.18,47.97064,1137000
"UNM","08/30/2017",47.97,48.3,47.97,48.15,47.94077,756000
"UNM","08/29/2017",47.58,48.05,47.5,47.93,47.72173,768100
"UNM","08/28/2017",48.56,48.67,48.15,48.27,48.06025,657500
"UNM","08/25/2017",48.55,48.74,48.32,48.55,48.33903,707900
"UNM","08/24/2017",48,48.49,47.9,48.38,48.16977,1602400
"UNM","08/23/2017",47.53,48.27,47.19,47.94,47.73168,1076100
"UNM","08/22/2017",47.52,47.85,47.52,47.84,47.63212,1397800
"UNM","08/21/2017",47.93,48.07,47.19,47.33,47.12434,1675600
"UNM","08/18/2017",48,48.27,47.75,47.93,47.72173,1608400
"UNM","08/17/2017",49.32,49.52,48.13,48.16,47.95073,1761200
"UNM","08/16/2017",50.26,50.4,49.4,49.5,49.2849,1192800
"UNM","08/15/2017",50.34,50.57,49.95,50.06,49.84247,981800
"UNM","08/14/2017",50.25,50.49,49.82,49.86,49.64334,1143700
"UNM","08/11/2017",50.08,50.36,49.65,49.7,49.48404,743800
"UNM","08/10/2017",50.4,50.51,49.9,49.94,49.72299,1545700
"UNM","08/09/2017",50.39,50.78,50.17,50.76,50.53943,1318300
"UNM","08/08/2017",50.46,51.43,50.46,50.75,50.52947,881900
"UNM","08/07/2017",50.77,50.99,50.54,50.6,50.38012,700400
"UNM","08/04/2017",50.56,51.1,50.5,50.8,50.57925,884500
"UNM","08/03/2017",50.26,50.55,50.02,50.18,49.96195,1072800
"UNM","08/02/2017",50,50.59,49.94,50.23,50.01173,1174800
"UNM","08/01/2017",50.42,50.59,49.81,50.32,50.10134,1420100
"UNM","07/31/2017",50.1,50.67,50.04,50.13,49.91217,1363600
"UNM","07/28/2017",48.97,49.96,48.34,49.8,49.5836,1379200
"UNM","07/27/2017",48.13,48.68,47.75,48.44,48.22951,1020700
"UNM","07/27/2017",0,0,0,0,0,0
"UNM","07/26/2017",48.66,48.87,48.07,48.23,47.79142,650200
"UNM","07/25/2017",48.84,48.97,48.57,48.66,48.21751,920000
"UNM","07/24/2017",47.79,48.28,47.55,48.16,47.72206,821400
"UNM","07/21/2017",47.7,48.07,47.57,47.8,47.36533,977700
"UNM","07/20/2017",48.18,48.41,47.72,47.74,47.30588,876600
"UNM","07/19/2017",47.77,48.14,47.62,48.14,47.70224,928300
"UNM","07/18/2017",47.41,47.76,47.07,47.66,47.22661,646900
"UNM","07/17/2017",47.55,47.92,47.23,47.8,47.36533,697700
"UNM","07/14/2017",47.56,47.88,47.32,47.66,47.22661,816900
"UNM","07/13/2017",47.43,48.2,47.36,48.15,47.71215,849000
"UNM","07/12/2017",47.42,47.67,47.16,47.41,46.97888,853500
"UNM","07/11/2017",47.69,47.79,47.34,47.46,47.02843,749100
"UNM","07/10/2017",47.48,47.93,47.46,47.64,47.20679,919700
"UNM","07/07/2017",47.44,47.72,47.09,47.54,47.1077,831800
"UNM","07/06/2017",47.12,47.98,46.94,47.32,46.8897,1195500
"UNM","07/05/2017",47.3,47.39,46.79,47.11,46.68161,1181600
"UNM","07/03/2017",47.05,47.9,46.87,47.23,46.80051,720100
"UNM","06/30/2017",46.84,46.87,46.25,46.63,46.20597,1140900
"UNM","06/29/2017",47.3,47.6,46.2,46.57,46.14652,953900
"UNM","06/28/2017",46.02,46.54,46.02,46.44,46.0177,689700
"UNM","06/27/2017",45.51,45.93,45.29,45.57,45.15561,861600
"UNM","06/26/2017",45.26,45.69,44.81,45.37,44.95743,896300
"UNM","06/23/2017",45.47,45.57,44.95,45.11,44.6998,1681600
"UNM","06/22/2017",45.64,45.7,45.03,45.35,44.93761,1210100
"UNM","06/21/2017",47.11,47.11,45.72,45.83,45.41325,1283400
"UNM","06/20/2017",47.66,47.8,46.99,47.02,46.59243,948600
"UNM","06/19/2017",47.67,47.96,47.42,47.9,47.46443,1238600
"UNM","06/16/2017",47.29,47.51,46.96,47.5,47.06806,1487400
"UNM","06/15/2017",46.81,47.39,46.77,47.25,46.82034,842300
"UNM","06/14/2017",46.7,47.2,46.08,47.1,46.6717,1337500
"UNM","06/13/2017",46.99,47.32,46.79,47.16,46.73116,1607900
"UNM","06/12/2017",46.5,47.07,46.5,46.81,46.38434,1914300
"UNM","06/09/2017",45.43,46.54,45.2,46.49,46.06725,1515900
"UNM","06/08/2017",44.08,45.5,44.07,45.1,44.68988,1672400
"UNM","06/07/2017",43.85,44.3,43.55,44.08,43.67916,1530600
"UNM","06/06/2017",44.35,44.5,43.57,43.8,43.40171,1543000
"UNM","06/05/2017",45.24,45.29,44.72,44.79,44.38271,1243800
"UNM","06/02/2017",45.23,45.46,44.91,45.22,44.8088,1149600
"UNM","06/01/2017",45.27,45.77,44.97,45.6,45.18534,1815700
"UNM","05/31/2017",45.08,45.08,44.42,44.98,44.57098,1717300
"UNM","05/30/2017",44.85,45.19,44.76,45.01,44.6007,1406400
"UNM","05/26/2017",45.16,45.28,44.97,45.05,44.64034,1667800
"UNM","05/25/2017",45.59,45.81,45.35,45.4,44.98716,1273100
"UNM","05/24/2017",45.89,45.89,45.21,45.39,44.97725,893300
"UNM","05/23/2017",45.36,45.92,45.13,45.7,45.28443,954100
