"symbol","date","open","high","low","close","adjclose","volume"
"ABBV","12/31/2013",52.99,53.06,52.36,52.81,46.00836,3019700
"ABBV","12/30/2013",52.73,53.03,52.6,53.01,46.18259,2898800
"ABBV","12/27/2013",52.92,53.05,52.38,52.55,45.78184,2354100
"ABBV","12/26/2013",52.59,53.06,52.34,52.99,46.16518,2401500
"ABBV","12/24/2013",52.78,52.79,52.28,52.36,45.61632,1747000
"ABBV","12/23/2013",52.73,52.94,52.24,52.58,45.80798,4957700
"ABBV","12/20/2013",52.77,53.01,52.29,52.59,45.8167,12471800
"ABBV","12/19/2013",53.21,53.21,52.02,52.63,45.85155,8383400
"ABBV","12/18/2013",52.78,54.43,52.22,54.32,47.32388,9635600
"ABBV","12/17/2013",53.43,53.92,53,53.63,46.72275,7987300
"ABBV","12/16/2013",53.42,54.78,52.98,53.37,46.49623,9846300
"ABBV","12/13/2013",52.3,52.6,51.84,52.37,45.62503,6465300
"ABBV","12/12/2013",52.56,52.62,51.8,52.39,45.64246,7766400
"ABBV","12/11/2013",52.67,53.25,52.02,52.67,45.88639,10775500
"ABBV","12/10/2013",51.25,54.13,50.72,52.14,45.42466,14906900
"ABBV","12/09/2013",51.45,51.81,50.77,51.21,44.61443,5470800
"ABBV","12/06/2013",50.17,51.5,50.05,51.35,44.7364,7285800
"ABBV","12/05/2013",49.42,50.07,49.05,49.76,43.35118,5449100
"ABBV","12/04/2013",49.75,50.29,49.3,49.67,43.27278,5309200
"ABBV","12/03/2013",49.13,50.26,48.97,49.97,43.53414,9480100
"ABBV","12/02/2013",48.49,48.68,48.02,48.39,42.15763,4321900
"ABBV","11/29/2013",48.43,48.93,48.07,48.45,42.2099,4044300
"ABBV","11/27/2013",48.83,48.95,48.24,48.25,42.03566,3414900
"ABBV","11/26/2013",48.38,49.18,48.31,48.6,42.34058,4732300
"ABBV","11/25/2013",49,49.28,48.32,48.41,42.17505,3343200
"ABBV","11/22/2013",48.65,49.14,48.57,48.94,42.6368,5810100
"ABBV","11/21/2013",48.28,48.67,47.99,48.57,42.31445,4459800
"ABBV","11/20/2013",48.42,48.54,47.83,47.95,41.7743,3120300
"ABBV","11/19/2013",48.73,49,48.37,48.46,42.21862,4050700
"ABBV","11/18/2013",48.89,49.96,48.73,48.87,42.57581,8585700
"ABBV","11/15/2013",48.03,48.75,48,48.44,42.20119,6257100
"ABBV","11/14/2013",47.99,48.47,47.69,48.04,41.8527,3411800
"ABBV","11/13/2013",47.36,47.93,47.29,47.85,41.68718,3745100
"ABBV","11/12/2013",48.45,48.48,47.28,47.48,41.36484,5351100
"ABBV","11/11/2013",48.23,48.67,48.19,48.57,42.31445,2282900
"ABBV","11/08/2013",47.13,48.1,46.83,48.03,41.84399,5190900
"ABBV","11/07/2013",48.17,48.36,47.18,47.24,41.15575,4444900
"ABBV","11/06/2013",48.5,48.74,48,48.05,41.86142,4308100
"ABBV","11/05/2013",48.59,48.76,48.03,48.17,41.96597,4095400
"ABBV","11/04/2013",49.19,49.19,48,48.76,42.47997,4095600
"ABBV","11/01/2013",48.64,49.33,48.5,48.96,42.65422,3866900
"ABBV","10/31/2013",48.68,49,48.44,48.45,42.2099,4563700
"ABBV","10/30/2013",49.57,49.57,48.72,48.8,42.51482,4011600
"ABBV","10/29/2013",49.48,50.2,49.48,49.79,43.37732,5022900
"ABBV","10/28/2013",49.13,49.97,48.97,49.42,43.05497,5555000
"ABBV","10/25/2013",49.1,49.83,48.56,49.3,42.95043,6956800
"ABBV","10/24/2013",48.63,48.98,47.74,47.93,41.75688,5077900
"ABBV","10/23/2013",48.76,48.86,48.28,48.33,42.10536,4130300
"ABBV","10/22/2013",48.39,49.31,48.11,49,42.68907,6937500
"ABBV","10/21/2013",48.08,48.55,47.76,48.35,42.12278,4713200
"ABBV","10/18/2013",48.38,48.95,47.77,48.33,42.10536,9212900
"ABBV","10/17/2013",46.95,48.32,46.95,48.17,41.96597,7242400
"ABBV","10/16/2013",46.31,47.27,46.2,47.06,40.99894,4399900
"ABBV","10/15/2013",46.05,46.38,45.75,46.08,40.14515,3533300
"ABBV","10/14/2013",45.21,46.45,45.07,46.33,40.36296,3377300
"ABBV","10/11/2013",45.7,45.7,44.96,45.65,39.77053,2985700
"ABBV","10/10/2013",45.1,45.68,44.51,45.68,39.79666,3967500
"ABBV","10/10/2013",0,0,0,0,0,0
