"symbol","date","open","high","low","close","adjclose","volume"
"ALK","12/31/2013",36.225,36.775,36.14,36.685,34.79225,1161000
"ALK","12/30/2013",36.005,36.22,35.8,36.02,34.16156,686600
"ALK","12/27/2013",36.55,36.61,35.625,36.005,34.14733,972600
"ALK","12/26/2013",36.665,36.75,36.365,36.41,34.53143,1002600
"ALK","12/24/2013",36.145,36.665,36.115,36.57,34.68317,506000
"ALK","12/23/2013",36.755,36.96,35.75,36.165,34.29907,1926400
"ALK","12/20/2013",35.505,37.15,35.245,36.75,34.85389,5830800
"ALK","12/19/2013",35.56,35.79,35.15,35.285,33.46448,1555400
"ALK","12/18/2013",35.485,35.555,34.805,35.355,33.53086,3635400
"ALK","12/17/2013",36.215,36.275,35.215,35.34,33.51664,1312400
"ALK","12/16/2013",36.49,36.59,35.795,36.125,34.26114,1203000
"ALK","12/13/2013",36.31,36.495,35.89,36.115,34.25166,1392600
"ALK","12/12/2013",36.5,36.55,36.05,36.155,34.28959,1814800
"ALK","12/11/2013",37.135,37.22,36.67,36.735,34.83966,1749200
"ALK","12/10/2013",37.285,37.665,36.91,37.015,35.10521,2232400
"ALK","12/09/2013",36.94,37.485,36.8,37.35,35.42293,2147400
"ALK","12/06/2013",36.415,36.87,35.675,36.755,34.85863,2282200
"ALK","12/05/2013",37.275,37.5,36.485,37.21,35.29015,1604600
"ALK","12/04/2013",37.5,37.75,36.615,37.29,35.36603,1356200
"ALK","12/03/2013",38.475,38.475,37.44,37.925,35.96825,1484200
"ALK","12/02/2013",38.885,39.195,38.4,38.47,36.48515,983000
"ALK","11/29/2013",39.085,39.185,38.73,38.87,36.86451,570600
"ALK","11/27/2013",38.68,39.265,38.68,39.095,37.0779,1038400
"ALK","11/26/2013",38.995,39.02,38.025,38.49,36.50411,1064200
"ALK","11/25/2013",38.8,39.095,38.66,38.995,36.98306,974200
"ALK","11/22/2013",38.11,38.71,38.02,38.575,36.58473,809800
"ALK","11/21/2013",37.9,38.22,37.66,37.995,36.03466,1536000
"ALK","11/20/2013",37.93,38.165,37.58,37.79,35.84023,994200
"ALK","11/19/2013",38.335,38.73,37.63,37.845,35.89239,1303200
"ALK","11/18/2013",37.94,38.395,37.855,37.91,35.95404,1127000
"ALK","11/15/2013",38.02,38.28,37.57,37.795,35.84497,908200
"ALK","11/15/2013",0,0,0,0,0,0
"ALK","11/14/2013",37.6,38.36,37.6,38.035,35.97775,1410800
"ALK","11/13/2013",37.345,37.445,36.895,37.365,35.34399,934000
"ALK","11/12/2013",36.66,37.895,36.66,37.405,35.38182,1536600
"ALK","11/11/2013",36.56,36.845,36.365,36.68,34.69604,760000
"ALK","11/08/2013",35.755,36.67,35.74,36.37,34.40281,1254600
"ALK","11/07/2013",36.235,36.43,35.255,35.305,33.3954,1234600
"ALK","11/06/2013",36.545,36.68,35.765,36.015,34.06701,1297200
"ALK","11/05/2013",36.11,36.465,35.735,36.21,34.25145,985600
"ALK","11/04/2013",36.23,36.875,36.23,36.39,34.42173,1175200
"ALK","11/01/2013",35.57,36.17,35.28,36.1,34.14741,1027200
"ALK","10/31/2013",34.865,35.58,34.62,35.33,33.41906,1171800
"ALK","10/30/2013",35.345,35.465,34.305,34.87,32.98394,1006800
"ALK","10/29/2013",35.275,35.72,34.67,35.275,33.36703,1454200
"ALK","10/28/2013",34.96,35.375,34.685,35.055,33.15893,1045200
"ALK","10/25/2013",34.795,35.28,34.55,35.075,33.17785,1060000
"ALK","10/24/2013",34.495,35.145,34.15,34.84,32.95557,1465200
"ALK","10/23/2013",33.2,33.645,32.76,33.515,31.70224,1523200
"ALK","10/22/2013",33.225,33.765,33.025,33.275,31.47521,757400
"ALK","10/21/2013",32.95,33.115,32.685,32.925,31.14414,822800
"ALK","10/18/2013",33,33.11,32.66,32.765,30.99279,839600
"ALK","10/17/2013",32.185,32.83,32.075,32.73,30.95969,1271800
"ALK","10/16/2013",31.83,32.45,31.775,32.16,30.42052,1749600
"ALK","10/15/2013",31.79,31.96,31.305,31.35,29.65433,1348600
"ALK","10/14/2013",31.06,31.82,30.955,31.765,30.04688,1319200
"ALK","10/11/2013",31.405,31.45,30.835,31.25,29.55974,1689400
"ALK","10/10/2013",31.285,31.375,31.04,31.195,29.50771,1178200
"ALK","10/09/2013",30.72,31.03,30.13,30.72,29.0584,1547000
"ALK","10/08/2013",31.75,31.825,30.54,30.665,29.00637,2265000
"ALK","10/07/2013",32.17,32.655,31.75,32.31,30.56241,1366800
"ALK","10/04/2013",32.295,32.635,32.15,32.39,30.63808,758400
"ALK","10/03/2013",32.425,32.53,31.76,32.4,30.64754,995400
"ALK","10/02/2013",32.605,32.705,32.13,32.45,30.69484,841400
"ALK","10/01/2013",31.43,32.855,31.215,32.625,30.86036,2363400
"ALK","09/30/2013",31.29,31.51,31.02,31.31,29.61649,1458800
"ALK","09/27/2013",31.755,31.995,31.385,31.795,30.07526,965600
"ALK","09/26/2013",31.755,32.245,31.71,32.105,30.36849,1031400
"ALK","09/25/2013",31.95,32.045,31.45,31.715,29.99958,823400
"ALK","09/24/2013",31.43,32.37,31.43,31.87,30.1462,1061600
"ALK","09/23/2013",31.17,31.535,30.87,31.4,29.70162,982000
"ALK","09/20/2013",31.36,31.675,31.045,31.06,29.38001,1392200
"ALK","09/19/2013",31.39,31.52,31.09,31.29,29.59757,866800
"ALK","09/18/2013",31.075,31.34,30.85,31.305,29.61176,726600
"ALK","09/17/2013",30.9,31.21,30.745,31.19,29.50298,707600
"ALK","09/16/2013",30.625,30.88,30.315,30.805,29.1388,1009600
"ALK","09/13/2013",29.82,30.265,29.63,30.17,28.53816,891200
"ALK","09/12/2013",30.285,30.565,29.61,29.65,28.04628,1120600
"ALK","09/11/2013",30.55,30.625,30.135,30.385,28.74152,736800
"ALK","09/10/2013",29.735,30.74,29.705,30.71,29.04894,1997200
"ALK","09/09/2013",28.86,29.33,28.74,29.265,27.68211,1095600
"ALK","09/06/2013",28.995,29.17,28.405,28.69,27.1382,788400
"ALK","09/05/2013",29.06,29.64,28.96,28.98,27.41252,1095800
"ALK","09/04/2013",28.305,29.045,28.19,28.985,27.41725,1257800
"ALK","09/03/2013",28.84,29.15,28.035,28.245,26.71728,1812000
"ALK","08/30/2013",28.93,29.085,28.235,28.31,26.77876,1393200
"ALK","08/29/2013",28.43,29.175,28.28,28.865,27.30373,1447200
"ALK","08/28/2013",28.45,28.64,28.1,28.415,26.87808,1303200
"ALK","08/27/2013",29.675,29.675,28.19,28.485,26.94429,1876600
"ALK","08/26/2013",30.505,30.505,30.08,30.16,28.52869,1288200
"ALK","08/23/2013",30.18,30.53,29.97,30.5,28.85031,1415000
