"symbol","date","open","high","low","close","adjclose","volume"
"ALXN","12/31/2013",133.06,133.48,131.22,132.88,132.88,455600
"ALXN","12/30/2013",131.72,133.04,130.15,132.7,132.7,685100
"ALXN","12/27/2013",133.47,133.47,131.01,131.57,131.57,652700
"ALXN","12/26/2013",132,133.75,130.01,132.91,132.91,531000
"ALXN","12/24/2013",130.81,131.99,129.47,131.06,131.06,319800
"ALXN","12/23/2013",131.38,132.44,130.12,130.9,130.9,901500
"ALXN","12/20/2013",131.48,131.68,128.52,130.64,130.64,2245600
"ALXN","12/19/2013",129.24,131.11,126.08,130.75,130.75,1523200
"ALXN","12/18/2013",123.51,128.9,122.69,128.65,128.65,1986900
"ALXN","12/17/2013",123.31,124.12,121.44,123.06,123.06,1342000
"ALXN","12/16/2013",124.14,125.38,122.02,123.78,123.78,990400
"ALXN","12/13/2013",124.33,124.62,122.1,123.69,123.69,1341800
"ALXN","12/12/2013",120.99,123.42,120.87,122.35,122.35,1039000
"ALXN","12/11/2013",124.55,125.48,121.37,121.6,121.6,1208100
"ALXN","12/10/2013",125.7,126.84,123.31,125.25,125.25,1128800
"ALXN","12/09/2013",127.14,128.09,125.24,125.84,125.84,1598400
"ALXN","12/06/2013",124.1,129.22,122.23,125.45,125.45,1022400
"ALXN","12/05/2013",122.19,123.08,121.07,122.17,122.17,831200
"ALXN","12/04/2013",121.04,123.18,120.14,122.65,122.65,875100
"ALXN","12/03/2013",122.42,122.82,120.87,122.16,122.16,839000
"ALXN","12/02/2013",124.58,124.8,122.22,123.8,123.8,740100
"ALXN","11/29/2013",121.67,124.8,121.12,124.5,124.5,622400
"ALXN","11/27/2013",122.99,123.2,120.2,121.24,121.24,484400
"ALXN","11/26/2013",122.26,122.87,120.22,121.9,121.9,639400
"ALXN","11/25/2013",123.66,123.93,121.35,122.17,122.17,696500
"ALXN","11/22/2013",121.97,123.29,120.43,122.79,122.79,1013700
"ALXN","11/21/2013",119.69,122.04,119.69,121.3,121.3,708800
"ALXN","11/20/2013",118.99,121.68,117.74,119.06,119.06,779600
"ALXN","11/19/2013",120.36,121.14,117.33,118.45,118.45,885500
"ALXN","11/18/2013",124.52,124.69,120.38,120.97,120.97,861900
"ALXN","11/15/2013",119.85,124.08,118.49,124.07,124.07,1768100
"ALXN","11/14/2013",116.94,120.11,116.35,119.97,119.97,1222300
"ALXN","11/13/2013",115.45,116.65,114,116.6,116.6,815900
"ALXN","11/12/2013",115.54,116.26,113.14,115.72,115.72,974300
"ALXN","11/11/2013",118.2,118.4,114.62,116.17,116.17,871800
"ALXN","11/08/2013",114.54,118.56,114.54,117.43,117.43,1054000
"ALXN","11/07/2013",117,118.32,113.92,114.1,114.1,1456000
"ALXN","11/06/2013",120,120.24,116.23,116.32,116.32,974100
"ALXN","11/05/2013",122.61,122.77,117.76,119.54,119.54,1435100
"ALXN","11/04/2013",123.76,124.73,122.15,122.93,122.93,916600
"ALXN","11/01/2013",124.06,124.5,122.23,123.36,123.36,905400
"ALXN","10/31/2013",125,125.67,122.94,122.95,122.95,1253800
