"symbol","date","open","high","low","close","adjclose","volume"
"BBT","12/31/2013",37.18,37.42,37.13,37.32,33.36465,2702800
"BBT","12/30/2013",37.1,37.27,36.99,37.16,33.22161,2278200
"BBT","12/27/2013",37.16,37.33,37.04,37.1,33.16796,1939200
"BBT","12/26/2013",37.25,37.42,37.1,37.16,33.22161,3432900
"BBT","12/24/2013",37.17,37.38,37.09,37.24,33.29313,1687500
"BBT","12/23/2013",36.75,37.29,36.67,37.24,33.29313,4739200
"BBT","12/20/2013",36.74,36.83,36.48,36.68,32.79248,5025300
"BBT","12/19/2013",36.11,36.64,35.98,36.59,32.71202,5628800
"BBT","12/18/2013",35.5,36.26,35.41,36.25,32.40805,5393900
"BBT","12/17/2013",35.81,35.87,35.41,35.49,31.7286,3445200
"BBT","12/16/2013",35.42,36.03,35.28,35.87,32.06833,4390200
"BBT","12/13/2013",35.37,35.58,35.1,35.34,31.59449,4333500
"BBT","12/12/2013",34.75,35.55,34.63,35.36,31.61238,6661200
"BBT","12/11/2013",34.56,34.91,34.36,34.68,31.00444,5817800
"BBT","12/10/2013",34.71,34.86,34.52,34.56,30.89716,2696100
"BBT","12/09/2013",34.99,35.09,34.81,34.84,31.14749,3283200
"BBT","12/06/2013",34.9,35.05,34.72,34.95,31.24583,3736700
"BBT","12/05/2013",34.62,34.71,34.43,34.49,30.83459,3867900
"BBT","12/04/2013",34.66,35,34.52,34.8,31.11172,6089700
"BBT","12/03/2013",34.54,34.81,34.06,34.29,30.65578,3649700
"BBT","12/02/2013",34.82,35.06,34.64,34.7,31.02233,3034100
"BBT","11/29/2013",35,35.06,34.73,34.74,31.05809,1940200
"BBT","11/27/2013",35,35.04,34.8,34.9,31.20113,2678800
"BBT","11/26/2013",34.85,35.07,34.75,35.01,31.29947,4189700
"BBT","11/25/2013",34.85,35.11,34.8,34.87,31.17431,2807900
"BBT","11/22/2013",34.35,34.8,34.15,34.74,31.05809,3355300
"BBT","11/21/2013",34.11,34.47,34.09,34.39,30.74518,2575800
"BBT","11/20/2013",33.87,34.13,33.69,34.01,30.40546,3005900
"BBT","11/19/2013",33.97,34.03,33.7,33.86,30.27135,2577200
"BBT","11/18/2013",33.78,34.12,33.65,33.84,30.25347,3145300
"BBT","11/15/2013",33.71,33.91,33.57,33.78,30.19983,3972300
"BBT","11/14/2013",33.36,33.57,33.2,33.56,30.00315,3192900
"BBT","11/13/2013",32.94,33.3,32.85,33.26,29.73495,4420300
"BBT","11/12/2013",33.45,33.48,33.02,33.04,29.53826,3582000
"BBT","11/11/2013",33.56,33.61,33.3,33.49,29.94057,3049300
"BBT","11/08/2013",32.88,33.66,32.82,33.63,30.06573,6757800
"BBT","11/07/2013",33.59,33.66,32.87,32.88,29.39522,4660600
"BBT","11/06/2013",33.5,33.58,33.37,33.55,29.99421,2967200
"BBT","11/06/2013",0,0,0,0,0,0
"BBT","11/05/2013",33.74,33.78,33.59,33.66,29.88693,3388300
"BBT","11/04/2013",34,34,33.72,33.87,30.07339,2307100
"BBT","11/01/2013",33.95,34.26,33.88,33.89,30.09115,3211400
"BBT","10/31/2013",34.42,34.42,33.97,33.97,30.16218,4056800
"BBT","10/30/2013",34.53,34.66,34.38,34.43,30.57061,3769400
"BBT","10/29/2013",34.86,34.88,34.48,34.56,30.68604,3238300
"BBT","10/28/2013",34.78,34.91,34.6,34.78,30.88138,2772500
"BBT","10/25/2013",34.56,34.86,34.53,34.81,30.90802,2447100
"BBT","10/24/2013",34.85,34.9,34.51,34.63,30.7482,2381500
"BBT","10/23/2013",34.47,34.89,34.33,34.71,30.81923,4934900
"BBT","10/22/2013",34.1,34.82,33.94,34.69,30.80147,7037400
"BBT","10/21/2013",33.55,34.15,33.5,34.06,30.24209,4688200
"BBT","10/18/2013",34.1,34.1,33.4,33.6,29.83365,7211800
"BBT","10/17/2013",33.76,34.24,33.35,34,30.18882,5323400
"BBT","10/16/2013",33.82,34.36,33.68,34.22,30.38416,3717700
"BBT","10/15/2013",33.77,33.83,33.47,33.53,29.7715,2858300
"BBT","10/14/2013",33.57,33.87,33.53,33.82,30.02899,2250100
"BBT","10/11/2013",33.6,33.84,33.24,33.73,29.94908,3169700
"BBT","10/10/2013",33.16,33.69,33.16,33.69,29.91356,3708000
"BBT","10/09/2013",32.7,32.9,32.68,32.76,29.08781,3056900
"BBT","10/08/2013",33.13,33.25,32.65,32.66,28.99902,3307600
"BBT","10/07/2013",33.37,33.47,33.14,33.14,29.42521,1759500
"BBT","10/04/2013",33.4,33.71,33.33,33.67,29.89581,1943800
"BBT","10/03/2013",33.68,33.73,33.26,33.4,29.65607,3208900
"BBT","10/02/2013",33.87,33.9,33.58,33.82,30.02899,2674000
"BBT","10/01/2013",33.93,34.09,33.8,34.03,30.21546,2793700
"BBT","09/30/2013",33.71,33.94,33.5,33.75,29.96684,2592700
"BBT","09/27/2013",33.71,34.03,33.69,33.97,30.16218,3570400
"BBT","09/26/2013",33.99,34.13,33.7,33.94,30.13554,2380100
"BBT","09/25/2013",33.86,34.14,33.46,33.98,30.17105,3887300
"BBT","09/24/2013",33.96,34.09,33.71,33.87,30.07339,4736500
"BBT","09/23/2013",34.92,35,34.11,34.19,30.35752,3437600
"BBT","09/20/2013",35.12,35.2,34.92,35.05,31.12111,5078700
"BBT","09/19/2013",35.25,35.31,34.75,35.06,31.12999,6515600
"BBT","09/18/2013",35.08,35.58,35.04,35.2,31.25431,5299300
"BBT","09/17/2013",34.9,35.07,34.56,35.06,31.12999,4002700
"BBT","09/16/2013",34.36,34.57,34.17,34.48,30.61501,3320100
"BBT","09/13/2013",33.83,34.07,33.75,34.01,30.19769,1727100
"BBT","09/12/2013",33.87,34.05,33.82,33.87,30.07339,2400700
"BBT","09/11/2013",33.8,34.01,33.6,33.86,30.06451,2490900
"BBT","09/10/2013",34,34.17,33.73,33.81,30.02011,2860500
"BBT","09/09/2013",33.51,33.79,33.3,33.76,29.97572,2910500
"BBT","09/06/2013",34.01,34.07,33.33,33.52,29.76262,5480000
"BBT","09/05/2013",33.95,34.17,33.81,33.93,30.12666,3208000
"BBT","09/04/2013",33.83,34.12,33.76,33.93,30.12666,2463500
"BBT","09/03/2013",34.41,34.47,33.55,33.81,30.02011,3969800
"BBT","08/30/2013",34.36,34.36,33.87,33.96,30.1533,3077600
"BBT","08/29/2013",34.25,34.59,34.15,34.26,30.41967,2338000
"BBT","08/28/2013",34.48,34.66,34.24,34.32,30.47295,3546400
"BBT","08/27/2013",35.27,35.27,34.43,34.49,30.62389,3274100
"BBT","08/26/2013",35.76,36.09,35.58,35.6,31.60946,2393200
"BBT","08/23/2013",36.01,36.16,35.63,35.76,31.75153,3510900
"BBT","08/22/2013",35.43,35.98,35.34,35.91,31.88472,1814800
"BBT","08/21/2013",35.57,35.65,35.2,35.34,31.37862,3097500
"BBT","08/20/2013",35.43,35.85,35.43,35.64,31.64498,4275200
"BBT","08/19/2013",35.49,35.59,35.33,35.49,31.5118,2756400
"BBT","08/16/2013",35.27,35.76,35.19,35.53,31.54731,3553900
"BBT","08/15/2013",35.51,35.63,35.23,35.32,31.36085,2304500
"BBT","08/14/2013",35.81,36,35.58,35.7,31.69825,1743500
"BBT","08/13/2013",35.6,36.11,35.56,35.87,31.84919,3578200
"BBT","08/12/2013",35.41,35.75,35.24,35.57,31.58284,2211000
"BBT","08/09/2013",35.49,35.74,35.37,35.46,31.48516,2030700
"BBT","08/08/2013",35.67,35.84,35.31,35.48,31.50291,2486200
"BBT","08/07/2013",35.66,35.78,35.34,35.5,31.52067,2147000
"BBT","08/07/2013",0,0,0,0,0,0
"BBT","08/06/2013",36.3,36.35,35.88,36.08,31.83145,2083300
"BBT","08/05/2013",36.36,36.59,36.12,36.4,32.11376,2079400
"BBT","08/02/2013",36.23,36.46,36.06,36.42,32.13141,3179900
"BBT","08/01/2013",35.98,36.46,35.85,36.43,32.14023,2964600
"BBT","07/31/2013",35.69,36.16,35.64,35.69,31.48737,3405400
"BBT","07/30/2013",35.65,35.88,35.52,35.6,31.40796,2622600
"BBT","07/29/2013",35.7,35.74,35.3,35.47,31.29327,2382900
"BBT","07/26/2013",35.31,35.76,35.31,35.74,31.53148,2827100
"BBT","07/25/2013",35.57,35.74,35.33,35.63,31.43444,3259000
"BBT","07/24/2013",35.76,35.9,35.61,35.68,31.47854,1941500
"BBT","07/23/2013",35.43,35.81,35.15,35.73,31.52266,3191400
"BBT","07/22/2013",35.07,35.52,35.03,35.46,31.28445,3252600
"BBT","07/19/2013",35.13,35.18,34.69,35.1,30.96684,4637900
"BBT","07/18/2013",34.53,35.18,34.2,35.06,30.93154,5246500
"BBT","07/17/2013",34.91,35.01,34.69,34.83,30.72864,3582900
"BBT","07/16/2013",35.12,35.2,34.27,34.84,30.73745,4397600
"BBT","07/15/2013",34.8,35.2,34.75,35.14,31.00213,2956500
"BBT","07/12/2013",34.67,34.9,34.28,34.8,30.70216,4456100
"BBT","07/11/2013",35.18,35.19,34.41,34.58,30.50809,3825100
"BBT","07/10/2013",35.07,35.09,34.54,34.8,30.70216,3216000
"BBT","07/09/2013",35.15,35.23,34.74,35.05,30.92272,3442900
"BBT","07/08/2013",35,35.1,34.83,34.95,30.8345,3693900
"BBT","07/05/2013",34.49,34.89,34.45,34.88,30.77275,3325600
"BBT","07/03/2013",33.98,34.32,33.83,34.17,30.14635,1793500
"BBT","07/02/2013",34.07,34.56,34.04,34.16,30.13752,3866000
"BBT","07/01/2013",34.08,34.41,33.95,34.02,30.01401,2601200
"BBT","06/28/2013",34,34.03,33.58,33.88,29.8905,4024700
"BBT","06/27/2013",33.97,34.37,33.91,34.12,30.10224,3120300
"BBT","06/26/2013",34.09,34.2,33.7,33.88,29.8905,3782600
"BBT","06/25/2013",33.53,33.99,33.27,33.83,29.84639,3556600
"BBT","06/24/2013",33.35,33.63,33.07,33.22,29.30822,5553100
"BBT","06/21/2013",33.33,33.83,33.12,33.68,29.71406,6785500
"BBT","06/20/2013",32.8,33.46,32.71,32.98,29.09648,5474600
"BBT","06/19/2013",33.35,33.42,32.99,32.99,29.1053,2952400
"BBT","06/18/2013",33.13,33.45,33.06,33.38,29.44938,2375600
"BBT","06/17/2013",33.05,33.38,32.86,33.11,29.21117,3553200
"BBT","06/14/2013",33.35,33.39,32.67,32.78,28.92003,2738800
"BBT","06/13/2013",32.94,33.45,32.82,33.42,29.48466,2869000
"BBT","06/12/2013",33.47,33.57,32.87,32.96,29.07883,2436400
"BBT","06/11/2013",33.1,33.72,33,33.31,29.38762,4327900
"BBT","06/10/2013",33.43,33.7,33.36,33.43,29.49348,4302600
"BBT","06/07/2013",32.9,33.29,32.67,33.23,29.31705,3089000
"BBT","06/06/2013",32.38,32.69,32.1,32.68,28.83181,2944800
"BBT","06/05/2013",32.9,33.11,32.39,32.48,28.65536,4706800
"BBT","06/04/2013",33.14,33.37,32.71,32.96,29.07883,4349400
"BBT","06/03/2013",33.06,33.22,32.55,33.09,29.19353,3859700
"BBT","05/31/2013",33.36,33.49,32.92,32.92,29.04354,3843500
"BBT","05/30/2013",33.4,33.69,33.23,33.46,29.51995,3512400
"BBT","05/29/2013",32.94,33.5,32.87,33.32,29.39644,3671500
"BBT","05/28/2013",33.11,33.48,32.97,33.14,29.23764,4155600
"BBT","05/24/2013",32.66,32.82,32.47,32.82,28.95531,2638100
"BBT","05/23/2013",32.28,33,32.26,32.87,28.99943,5823600
"BBT","05/22/2013",32.77,33.19,32.49,32.64,28.79652,5951800
"BBT","05/21/2013",32.62,32.9,32.62,32.72,28.8671,2719400
"BBT","05/20/2013",32.46,32.87,32.39,32.66,28.81416,2778800
"BBT","05/17/2013",32.32,32.63,32.23,32.55,28.71712,3218600
"BBT","05/16/2013",32.39,32.52,32.12,32.18,28.39068,6182900
"BBT","05/15/2013",32.17,32.61,32.13,32.49,28.66418,4133200
"BBT","05/14/2013",31.73,32.27,31.63,32.26,28.46126,6586200
"BBT","05/13/2013",31.39,31.9,31.38,31.74,28.00249,4662000
"BBT","05/10/2013",31.45,31.57,31.25,31.41,27.71136,3364100
"BBT","05/09/2013",31.51,31.59,31.28,31.35,27.65842,3115000
"BBT","05/08/2013",31.14,31.54,31.13,31.52,27.8084,2911100
"BBT","05/08/2013",0,0,0,0,0,0
"BBT","05/07/2013",31.25,31.61,31.18,31.51,27.59666,3016900
"BBT","05/06/2013",30.91,31.18,30.88,31.16,27.29013,2699900
"BBT","05/03/2013",30.86,31.04,30.86,30.94,27.09746,3769200
"BBT","05/02/2013",30.39,30.77,30.1,30.6,26.79968,4488900
"BBT","05/01/2013",30.68,30.8,30.32,30.35,26.58073,3426700
"BBT","04/30/2013",30.78,30.85,30.61,30.77,26.94857,3467800
"BBT","04/29/2013",30.65,30.88,30.55,30.82,26.99236,3986300
"BBT","04/26/2013",30.68,30.8,30.37,30.57,26.7734,3584900
"BBT","04/25/2013",30.33,30.84,30.23,30.67,26.86098,4468600
"BBT","04/24/2013",29.94,30.31,29.77,30.23,26.47563,3747200
"BBT","04/23/2013",29.96,30.06,29.68,29.97,26.24792,4297400
"BBT","04/22/2013",29.74,29.83,29.51,29.77,26.07276,2641500
"BBT","04/19/2013",29.55,29.75,29.29,29.69,26.0027,3934000
"BBT","04/18/2013",29.85,29.98,29.18,29.27,25.63486,7391100
"BBT","04/17/2013",30.15,30.3,29.61,30.02,26.29171,5828700
"BBT","04/16/2013",30.33,30.49,30.13,30.41,26.63328,4524500
"BBT","04/15/2013",30.86,30.91,30.1,30.1,26.36177,5862300
"BBT","04/12/2013",31.01,31.2,30.77,31.01,27.15876,3320100
"BBT","04/11/2013",31.35,31.43,31.05,31.24,27.36019,3149200
"BBT","04/10/2013",30.99,31.37,30.91,31.35,27.45653,3590500
"BBT","04/09/2013",30.76,31.01,30.54,30.9,27.06242,4729300
"BBT","04/08/2013",30.1,30.4,29.9,30.38,26.607,4040800
"BBT","04/05/2013",30.19,30.26,29.82,30.1,26.36177,5401900
"BBT","04/04/2013",30.18,30.65,30.1,30.61,26.80844,3662300
"BBT","04/03/2013",30.68,30.78,30.09,30.17,26.42308,4098700
"BBT","04/02/2013",30.92,31.01,30.52,30.66,26.85222,3377800
"BBT","04/01/2013",31.41,31.42,30.7,30.89,27.05366,3302900
"BBT","03/28/2013",31.25,31.42,31.06,31.39,27.49156,4301400
"BBT","03/27/2013",30.98,31.33,30.89,31.28,27.39522,3060700
"BBT","03/26/2013",30.95,31.27,30.83,31.21,27.33392,3357300
"BBT","03/25/2013",30.88,30.95,30.68,30.82,26.99236,3220000
"BBT","03/22/2013",30.69,30.9,30.67,30.8,26.97484,2064700
"BBT","03/21/2013",30.8,30.93,30.57,30.64,26.83471,2681900
"BBT","03/20/2013",30.94,31.02,30.8,30.97,27.12373,3568100
"BBT","03/19/2013",30.84,30.92,30.6,30.79,26.96608,3485700
"BBT","03/18/2013",30.66,30.88,30.56,30.75,26.93105,5127400
"BBT","03/15/2013",30.74,31.2,30.67,30.98,27.13248,11087300
"BBT","03/14/2013",31.58,31.75,31.36,31.73,27.78934,3702600
"BBT","03/13/2013",31.39,31.59,31.31,31.57,27.64921,2283600
"BBT","03/12/2013",31.72,31.81,31.16,31.37,27.47405,3852000
"BBT","03/11/2013",31.33,31.78,31.33,31.78,27.83313,4029400
"BBT","03/08/2013",31.56,31.71,31.07,31.4,27.50032,5943100
"BBT","03/07/2013",30.7,31.33,30.7,31.12,27.2551,5029400
"BBT","03/06/2013",30.53,30.67,30.22,30.67,26.86098,5936100
"BBT","03/05/2013",31.23,31.25,30.35,30.41,26.63328,7691800
"BBT","03/04/2013",30.58,31.13,30.57,31.13,27.26385,3816000
"BBT","03/01/2013",30.21,30.73,30.01,30.66,26.85222,3699100
"BBT","02/28/2013",30.33,30.68,30.25,30.36,26.58949,4523600
"BBT","02/27/2013",30.06,30.45,29.96,30.39,26.61576,3797600
