"symbol","date","open","high","low","close","adjclose","volume"
"BDX","12/31/2013",110.75,110.94,110.1,110.49,103.3605,473000
"BDX","12/30/2013",110.35,110.61,109.5,110.6,103.4634,606600
"BDX","12/27/2013",110.07,110.7,110.07,110.35,103.2296,295900
"BDX","12/26/2013",109.96,110.13,109.37,110.1,102.9957,313500
"BDX","12/24/2013",109.26,109.95,109.1,109.68,102.6028,358900
"BDX","12/23/2013",109.25,109.59,108.98,109.43,102.3689,469300
"BDX","12/20/2013",107.88,108.97,107.65,108.88,101.8544,1389900
"BDX","12/19/2013",108.36,108.57,107.21,108.02,101.0499,1205900
"BDX","12/18/2013",106.06,108.72,105.53,108.55,101.5457,1158300
"BDX","12/17/2013",106.21,106.75,105.25,105.75,98.9264,846100
"BDX","12/16/2013",105.92,106.56,105.75,105.88,99.04802,736900
"BDX","12/13/2013",105.06,105.84,105.06,105.45,98.64575,651400
"BDX","12/12/2013",105.4,105.7,104.94,105,98.22479,620300
"BDX","12/11/2013",107.55,107.68,105.56,105.64,98.8235,763800
"BDX","12/10/2013",108.49,108.77,107.24,107.32,100.3951,744600
"BDX","12/09/2013",108.39,108.94,107.9,108.61,101.6018,662500
"BDX","12/06/2013",107.17,108.39,107.01,108.35,101.3586,720000
"BDX","12/06/2013",0,0,0,0,0,0
"BDX","12/05/2013",107.41,107.87,106.92,107,99.58589,833100
"BDX","12/04/2013",107.39,108.13,106.66,107.41,99.96748,1072100
"BDX","12/03/2013",106.01,108.51,106.01,108.41,100.8982,1167000
"BDX","12/02/2013",108.76,108.88,107.76,108.12,100.6283,1167600
"BDX","11/29/2013",109.19,109.44,108.44,108.59,101.0657,411800
"BDX","11/27/2013",109.01,109.53,108.83,108.94,101.3915,648000
"BDX","11/26/2013",109.19,109.48,108.86,108.89,101.3449,699800
"BDX","11/25/2013",109.61,110.13,109.17,109.24,101.6707,522800
"BDX","11/22/2013",109.14,109.45,108.74,109.11,101.5497,533700
"BDX","11/21/2013",108.89,109.81,108.8,109.16,101.5963,499900
"BDX","11/20/2013",108.28,109.24,108.12,108.68,101.1495,542500
"BDX","11/19/2013",108.06,108.61,107.43,108.44,100.9261,716000
"BDX","11/18/2013",109.47,109.58,107.89,108.12,100.6283,691400
"BDX","11/15/2013",108.67,109.33,108.67,109.12,101.559,789100
"BDX","11/14/2013",108.45,109.46,108.15,108.66,101.1309,973200
"BDX","11/13/2013",108.07,108.35,107.17,108.03,100.5445,1279000
"BDX","11/12/2013",108.18,109.03,107.7,108.92,101.3729,819800
"BDX","11/11/2013",107.51,108.25,107.17,108,100.5166,811100
"BDX","11/08/2013",105.96,107.73,105.92,107.71,100.2467,812400
"BDX","11/07/2013",107.16,107.6,106.18,106.3,98.93443,919900
"BDX","11/06/2013",106.77,107.71,106.45,107.06,99.64174,904600
"BDX","11/05/2013",107.55,107.88,105.48,107.01,99.59521,1094600
"BDX","11/04/2013",105.64,106.77,105.22,106.56,99.17639,732600
"BDX","11/01/2013",105.56,106.06,104.6,105.17,97.8827,727900
"BDX","10/31/2013",105.67,105.99,105.13,105.13,97.84548,548400
"BDX","10/30/2013",106.5,106.74,105.39,105.65,98.32944,419900
"BDX","10/29/2013",106.57,106.99,105.95,106.5,99.12054,399500
"BDX","10/28/2013",105.24,106.57,105.14,106.35,98.98094,563000
"BDX","10/25/2013",105.99,106.18,105.16,105.55,98.23637,614800
"BDX","10/24/2013",106.77,106.9,105.59,106.01,98.66451,691000
"BDX","10/23/2013",105.75,106.86,105.25,106.57,99.1857,671800
"BDX","10/22/2013",105,106.26,104.99,105.44,98.13401,765700
"BDX","10/21/2013",104.35,105.26,103.8,105.02,97.74309,571400
