"symbol","date","open","high","low","close","adjclose","volume"
"CAT","12/31/2013",91,91.18,90.46,90.81,79.48521,3098900
"CAT","12/30/2013",90.85,91.03,90.28,90.87,79.53773,2625000
"CAT","12/27/2013",91.14,91.43,90.56,90.87,79.53773,3373800
"CAT","12/26/2013",90.99,91.67,90.7,91.15,79.78281,4790800
"CAT","12/24/2013",90,90.98,89.99,90.91,79.57275,2675700
"CAT","12/23/2013",89.31,90.07,89.27,89.96,78.7412,5733300
"CAT","12/20/2013",87.85,89.11,87.81,88.93,77.83965,7389700
"CAT","12/19/2013",87.5,87.84,87.26,87.54,76.62301,4299700
"CAT","12/18/2013",87.01,88.46,86.65,88.17,77.17443,6963200
"CAT","12/17/2013",87.22,87.65,86.38,86.92,76.08031,4764400
"CAT","12/16/2013",86.5,87.85,86.44,87.38,76.48296,6976200
"CAT","12/13/2013",85.67,86.23,85.57,86.05,75.31882,4226200
"CAT","12/12/2013",85.37,85.7,84.84,85.57,74.89868,4551700
"CAT","12/11/2013",86.03,86.22,85.12,85.28,74.64485,5624100
"CAT","12/10/2013",85.97,86.87,85.92,86.42,75.64269,4987000
"CAT","12/09/2013",85.7,86.53,85.56,86.09,75.35382,6023400
"CAT","12/06/2013",85.06,85.58,84.93,85.5,74.83739,5759300
"CAT","12/05/2013",83.92,84.58,83.7,84.41,73.88335,5291900
"CAT","12/04/2013",83.75,84.38,83.11,83.97,73.49821,5246700
"CAT","12/03/2013",83.8,83.95,83.27,83.87,73.41069,3924300
"CAT","12/02/2013",84.7,85.09,84.03,84.25,73.7433,4834700
"CAT","11/29/2013",84.64,85.18,84.53,84.6,74.04964,2284400
"CAT","11/27/2013",84.43,84.93,84.33,84.67,74.11092,3053600
"CAT","11/26/2013",84.8,84.83,84.01,84.36,73.83958,3834900
"CAT","11/25/2013",84.4,84.94,83.87,84.4,73.87459,8111400
"CAT","11/22/2013",82.22,82.95,82,82.88,72.54413,4403800
"CAT","11/21/2013",83.05,83.09,81.87,82.12,71.87893,6208500
"CAT","11/20/2013",83.18,83.71,82.46,82.68,72.36909,7443000
"CAT","11/19/2013",84.11,84.5,83.48,83.67,73.23562,5010300
"CAT","11/18/2013",84.05,84.97,83.74,84.04,73.55949,4803100
"CAT","11/15/2013",84,84.11,83.5,83.74,73.29691,4743900
"CAT","11/14/2013",84,84.2,83.56,83.76,73.31441,4496300
"CAT","11/13/2013",83.46,84.25,83,84.2,73.69954,3952800
"CAT","11/12/2013",83.98,84.28,83.54,83.85,73.39317,3483000
"CAT","11/11/2013",84.19,84.47,83.82,84.15,73.65576,2522500
"CAT","11/08/2013",83.52,84.32,83.5,84.24,73.73454,4557300
"CAT","11/07/2013",83.95,84.43,83.5,83.65,73.21813,5431600
"CAT","11/06/2013",84.3,84.36,83.85,84.22,73.71704,3664100
"CAT","11/05/2013",83.61,84.19,83.36,84.05,73.56822,4010900
"CAT","11/04/2013",83.81,83.99,83.45,83.89,73.4282,3892500
"CAT","11/01/2013",83.78,83.8,82.8,83.59,73.1656,5880200
"CAT","10/31/2013",83.44,84.27,83.36,83.36,72.96429,4651300
"CAT","10/30/2013",84.17,84.35,83.21,83.49,73.07807,4657000
"CAT","10/29/2013",83.91,84.1,83.29,84.07,73.58573,5324100
