"symbol","date","open","high","low","close","adjclose","volume"
"CB","12/31/2013",103.16,103.76,103.06,103.53,89.6342,686400
"CB","12/30/2013",102.64,103.21,102.61,102.92,89.10607,518900
"CB","12/27/2013",102.88,102.88,102.32,102.62,88.84633,527700
"CB","12/26/2013",102.16,102.85,101.95,102.69,88.90694,586200
"CB","12/24/2013",101.6,102.07,101.35,102.07,88.37017,492200
"CB","12/23/2013",101.83,101.91,101.14,101.75,88.09311,904100
"CB","12/20/2013",100.42,101.55,100.29,101.19,87.60828,1362600
"CB","12/19/2013",99.85,100.42,99.63,100.36,86.88969,1811200
"CB","12/18/2013",98.99,100.06,98.22,100.04,86.61263,1757200
"CB","12/18/2013",0,0,0,0,0,0
"CB","12/17/2013",99.61,99.66,98.76,98.8,85.15812,1233300
"CB","12/16/2013",99.3,99.96,99,99.2,85.50291,1156200
"CB","12/13/2013",99.69,100.01,99.18,99.26,85.5546,1121000
"CB","12/12/2013",99.83,100.26,99.47,99.57,85.82178,1461300
"CB","12/11/2013",101.14,101.35,99.69,99.9,86.10622,1321900
"CB","12/10/2013",101.25,101.71,101.12,101.25,87.26982,921400
"CB","12/09/2013",102.01,102.3,101.24,101.6,87.5715,1063000
"CB","12/06/2013",101.08,102.15,101.01,101.95,87.87318,1031100
"CB","12/05/2013",100.64,100.95,99.7,100.09,86.27,1080700
"CB","12/04/2013",101.22,102.28,100.17,101.05,87.09744,1001600
"CB","12/03/2013",101.41,101.93,100.57,101.4,87.39912,1424200
"CB","12/02/2013",102.59,102.82,101.63,101.79,87.73524,1417900
"CB","11/29/2013",103.32,104.07,102.61,102.78,88.58858,617000
"CB","11/27/2013",102.66,103.56,102.5,103.15,88.9075,1121700
"CB","11/26/2013",102.27,103.22,102.02,102.62,88.45067,1340000
"CB","11/25/2013",102.91,102.92,102.26,102.46,88.31276,863400
"CB","11/22/2013",101.46,102.77,101.15,102.59,88.42481,1684000
"CB","11/21/2013",98.29,101.88,98.16,101.53,87.51116,2750100
"CB","11/20/2013",98.96,99.02,97.58,97.85,84.33929,922800
"CB","11/19/2013",98.27,98.78,98.1,98.55,84.94263,1033300
"CB","11/18/2013",98.75,99.4,98.27,98.43,84.83921,884000
"CB","11/15/2013",98.3,98.72,98.08,98.7,85.07194,1019800
"CB","11/14/2013",97.58,98.37,97.25,98.3,84.72717,843400
"CB","11/13/2013",96.2,97.4,96.19,97.3,83.86523,1597500
"CB","11/12/2013",98.21,98.36,95.86,96.41,83.09812,2667500
"CB","11/11/2013",98.37,98.95,98.27,98.52,84.91677,1146300
"CB","11/08/2013",97.52,98.34,97.19,98.28,84.70992,1485700
"CB","11/07/2013",97.55,98,97.3,97.4,83.95143,2037900
"CB","11/06/2013",97.01,97.81,96.66,97.78,84.27897,942000
"CB","11/05/2013",96.4,96.69,95.91,96.61,83.27051,845000
"CB","11/04/2013",96.08,96.57,95.96,96.48,83.15847,1174800
"CB","11/01/2013",95.44,96.08,95.09,95.86,82.62406,1321700
"CB","10/31/2013",96.21,96.32,95.43,95.44,82.26205,1161700
"CB","10/30/2013",96.65,96.79,95.86,96.24,82.9516,1348700
"CB","10/29/2013",96.21,96.57,95.92,96.39,83.08089,909000
"CB","10/28/2013",96.07,96.25,95.68,95.82,82.58958,1285000
"CB","10/25/2013",97,97.24,95.98,96.14,82.86539,1049000
"CB","10/24/2013",96.78,97.08,96.57,96.74,83.38256,946500
"CB","10/23/2013",95.33,98.07,95.33,96.29,82.99469,1728400
"CB","10/22/2013",97.98,98.39,97.69,97.8,84.29621,1690300
"CB","10/21/2013",97.08,97.68,97.05,97.48,84.02038,1068400
"CB","10/18/2013",96.53,96.99,96.06,96.97,83.58077,1431800
"CB","10/17/2013",95.38,96.99,95.13,96.9,83.52046,874100
"CB","10/16/2013",94.28,96.04,94.21,95.75,82.52924,1245200
"CB","10/15/2013",94.05,94.67,93.76,93.79,80.83988,822000
"CB","10/14/2013",93.67,94.56,93.49,94.5,81.45186,725100
"CB","10/11/2013",93.01,94.17,92.63,94.1,81.10707,698500
"CB","10/10/2013",91.87,93.19,91.86,93.17,80.30547,883900
"CB","10/09/2013",91.62,91.86,90.52,91.01,78.44372,1000900
"CB","10/08/2013",92.53,92.67,91.12,91.16,78.57303,1044100
"CB","10/07/2013",92.37,92.94,91.91,92.47,79.70216,891700
"CB","10/04/2013",92.29,92.9,92.03,92.88,80.05553,921600
"CB","10/03/2013",93.71,94,92.17,92.29,79.54699,1446200
"CB","10/02/2013",93.69,94.13,93.16,94.13,81.13294,963200
"CB","10/01/2013",93.73,94.49,93.57,94.02,81.0381,797400
"CB","09/30/2013",93.35,93.89,92.92,93.56,80.64165,1232600
