"symbol","date","open","high","low","close","adjclose","volume"
"COL","12/31/2013",73.79,74.22,73.57,73.92,69.79463,316800
"COL","12/30/2013",74.11,74.21,73.54,73.78,69.66245,266400
"COL","12/27/2013",74.21,74.43,73.88,74,69.87016,224800
"COL","12/26/2013",73.92,74.27,73.55,74.04,69.90793,171300
"COL","12/24/2013",73.26,73.79,73.14,73.73,69.61526,111300
"COL","12/23/2013",73.61,73.61,72.93,73.07,68.99208,427700
"COL","12/20/2013",71.82,73.1,71.81,72.87,68.80325,723200
"COL","12/19/2013",72.27,72.49,71.65,71.9,67.88738,983200
"COL","12/18/2013",71.29,72.38,70.58,72.22,68.18951,902600
"COL","12/17/2013",72.08,72.12,70.97,71.05,67.08482,1108300
"COL","12/16/2013",71.67,72.29,71.67,71.86,67.84959,885500
"COL","12/13/2013",71.39,71.54,71.15,71.31,67.3303,512700
"COL","12/12/2013",71.64,71.84,71.01,71.26,67.2831,572000
"COL","12/11/2013",72.87,72.87,71.48,71.58,67.58524,565200
"COL","12/10/2013",73.05,73.47,72.68,72.89,68.82212,393800
"COL","12/09/2013",73.45,73.83,73.04,73.4,69.30367,596900
"COL","12/06/2013",72.9,73.58,72.79,73.5,69.39809,415200
"COL","12/05/2013",72.55,72.96,72.22,72.41,68.3689,604800
"COL","12/04/2013",72.2,72.87,71.81,72.66,68.60496,834900
"COL","12/03/2013",72.43,72.94,72.07,72.47,68.42558,577600
"COL","12/02/2013",72.73,73.24,72.56,72.66,68.60496,522400
"COL","11/29/2013",73.25,73.43,72.73,72.73,68.67106,418600
"COL","11/27/2013",73.06,73.27,72.74,73.26,69.17149,447700
"COL","11/26/2013",72.63,73.22,72.44,72.9,68.83157,669500
"COL","11/25/2013",73.09,73.19,72.42,72.55,68.50109,427500
"COL","11/22/2013",73,73.23,72.76,73,68.92599,851700
"COL","11/21/2013",72.34,72.97,72.24,72.93,68.85989,560000
"COL","11/20/2013",72.04,72.72,71.72,72.05,68.02899,588700
"COL","11/19/2013",72.16,72.59,71.53,72,67.9818,1473400
"COL","11/18/2013",71.49,72.6,71.33,72.17,68.1423,869100
"COL","11/15/2013",70.72,71.11,70.23,71.11,67.14146,1450800
