"symbol","date","open","high","low","close","adjclose","volume"
"COP","12/31/2013",69.95,70.74,69.75,70.65,61.77864,3281300
"COP","12/30/2013",70.47,70.64,69.87,69.91,61.13156,3035400
"COP","12/27/2013",70.07,70.59,70.06,70.39,61.55128,1965600
"COP","12/26/2013",70,70.44,69.93,70.19,61.37639,2413200
"COP","12/24/2013",69.63,69.98,69.31,69.93,61.14903,1625000
"COP","12/23/2013",70.08,70.75,69.45,69.56,60.82551,4177400
"COP","12/20/2013",69.11,70.49,69.05,69.88,61.10531,8311700
"COP","12/19/2013",68.91,69.38,68.72,69.08,60.40577,6962200
"COP","12/18/2013",69.45,69.6,68.23,69.4,60.68559,7959500
"COP","12/17/2013",69.82,69.85,69.05,69.06,60.38828,4880900
"COP","12/16/2013",69.7,70.14,69.52,69.79,61.02661,4167400
"COP","12/13/2013",69.54,70.16,69.29,69.43,60.71182,4649000
"COP","12/12/2013",69.13,69.79,68.91,69.48,60.75555,5714600
"COP","12/11/2013",70.31,70.33,69.05,69.11,60.43199,5776900
"COP","12/10/2013",70.2,70.63,69.81,70.31,61.48133,4712300
"COP","12/09/2013",70.55,70.99,70.2,70.44,61.59501,4952900
"COP","12/06/2013",71.18,71.48,70.2,70.77,61.88356,5560700
"COP","12/05/2013",71.21,71.35,70.12,70.84,61.94477,5040400
"COP","12/04/2013",72.34,72.62,71.12,71.41,62.44321,5399100
"COP","12/03/2013",72.47,73.14,72.14,72.47,63.37011,5411900
"COP","12/02/2013",73.39,73.49,72.25,72.57,63.45755,5696100
"COP","11/29/2013",72.64,73.54,72.5,72.8,63.65865,2434300
"COP","11/27/2013",72.94,73.4,72.38,72.62,63.50126,3301300
"COP","11/26/2013",72.82,73.51,72.49,72.93,63.77233,4089800
"COP","11/25/2013",73.76,73.92,72.75,72.81,63.66739,5294800
"COP","11/22/2013",73.49,74.07,73.24,74.02,64.72546,3633800
"COP","11/21/2013",72.47,73.6,72.4,73.34,64.13086,3988900
"COP","11/20/2013",72.49,72.93,72.09,72.25,63.17772,4139300
"COP","11/19/2013",72.12,72.69,71.76,72.26,63.18646,7124200
"COP","11/18/2013",73.47,73.63,72.2,72.31,63.23019,4718300
"COP","11/15/2013",73.55,73.57,72.75,73.3,64.09588,5341200
"COP","11/14/2013",73.58,73.8,73.2,73.68,64.42817,3833000
"COP","11/13/2013",72.74,73.36,72.57,73.34,64.13086,3463600
"COP","11/12/2013",73.25,73.47,72.61,72.82,63.67614,3125000
"COP","11/11/2013",73.46,73.83,73.33,73.56,64.32322,2786700
"COP","11/08/2013",72.49,73.72,72.37,73.69,64.43691,4819600
"COP","11/07/2013",73.85,73.93,72.27,72.51,63.40508,5836600
"COP","11/06/2013",73.19,73.97,73.11,73.9,64.62054,5644300
"COP","11/05/2013",73.03,73.28,72.5,72.57,63.45755,4592500
"COP","11/04/2013",73.37,73.51,72.84,73.33,64.12212,3604300
"COP","11/01/2013",73.56,73.56,72.21,73.09,63.91223,4921000
"COP","10/31/2013",73.66,74.48,73.28,73.33,64.12212,5556600
"COP","10/30/2013",74.4,74.48,72.87,73.25,64.05216,5278500
"COP","10/29/2013",74.2,74.59,74,74.34,65.00529,3389900
"COP","10/28/2013",73.91,74.06,73.6,73.89,64.61179,3480100
