"symbol","date","open","high","low","close","adjclose","volume"
"CRM","12/31/2013",55.14,55.55,54.86,55.19,55.19,3101700
"CRM","12/30/2013",54.27,55.24,53.97,55.17,55.17,3743400
"CRM","12/27/2013",54.9,54.94,54.33,54.45,54.45,1837300
"CRM","12/26/2013",54.88,55.17,54.53,54.85,54.85,1985400
"CRM","12/24/2013",54.48,54.97,54.45,54.8,54.8,1327500
"CRM","12/23/2013",54.15,54.75,53.85,54.58,54.58,4289500
"CRM","12/20/2013",53.18,54.21,53.16,53.72,53.72,5795000
"CRM","12/19/2013",53.29,53.95,52.74,53.07,53.07,3597900
"CRM","12/18/2013",52.39,53.41,51.72,53.36,53.36,5557300
"CRM","12/17/2013",51.3,52.45,50.8,52.22,52.22,6232700
"CRM","12/16/2013",50.72,51.23,50.12,51.16,51.16,6554600
"CRM","12/13/2013",51.34,51.8,50.76,51.13,51.13,4452300
"CRM","12/12/2013",51.22,51.62,50.29,50.98,50.98,5813800
"CRM","12/11/2013",53.3,53.48,51.2,51.43,51.43,6996000
"CRM","12/10/2013",53.98,54.54,53.66,53.72,53.72,3986400
"CRM","12/09/2013",53.62,54.01,52.93,53.68,53.68,3173600
"CRM","12/06/2013",53.68,54.15,53.23,53.88,53.88,4570100
"CRM","12/05/2013",52.19,53.15,52.01,53.05,53.05,4855500
"CRM","12/04/2013",51.4,52.62,51.35,52.27,52.27,4090700
"CRM","12/03/2013",51.19,51.8,51.04,51.63,51.63,3832700
"CRM","12/02/2013",52.01,52.29,51.3,51.56,51.56,4235400
"CRM","11/29/2013",51.12,52.6,50.99,52.09,52.09,5635300
"CRM","11/27/2013",52.63,52.9,51.88,52.71,52.71,3770700
"CRM","11/26/2013",52.56,53.14,52,52.3,52.3,5694000
"CRM","11/25/2013",53.77,54.14,51.85,52.75,52.75,8399600
"CRM","11/22/2013",54.65,55.09,54.5,54.69,54.69,3344800
"CRM","11/21/2013",53.87,54.51,53.75,54.44,54.44,5691100
"CRM","11/20/2013",53.46,54.8,53.33,53.61,53.61,7664600
"CRM","11/19/2013",55.37,55.37,52.55,52.74,52.74,16325400
"CRM","11/18/2013",58.2,58.37,55.21,55.51,55.51,15146000
"CRM","11/15/2013",57.39,57.89,56.77,57.31,57.31,5295000
"CRM","11/14/2013",57.09,57.69,56.74,56.99,56.99,4850200
"CRM","11/13/2013",56.76,57.76,56.65,57.21,57.21,4583700
"CRM","11/12/2013",56.13,57.5,55.96,56.71,56.71,6072000
"CRM","11/11/2013",55.68,56.14,55.04,56.12,56.12,3391900
"CRM","11/08/2013",54.35,55.55,54.35,55.49,55.49,4167400
"CRM","11/07/2013",55.91,57.24,54.2,54.35,54.35,6338600
"CRM","11/06/2013",55.91,55.95,54.66,55.23,55.23,4634200
"CRM","11/05/2013",55.4,55.71,54.85,55.69,55.69,4262000
"CRM","11/04/2013",54.5,55.67,54.15,55.58,55.58,4889200
"CRM","11/01/2013",53.54,54.63,53.54,53.96,53.96,4330500
"CRM","10/31/2013",52.79,53.71,52.51,53.36,53.36,3504400
"CRM","10/30/2013",53.83,54.11,52.62,52.79,52.79,4280300
"CRM","10/29/2013",53.75,54.09,52.8,53.7,53.7,3553400
"CRM","10/28/2013",54.56,54.81,52.2,53.49,53.49,4450100
"CRM","10/25/2013",54.55,54.89,53.65,54.56,54.56,2715100
"CRM","10/24/2013",53.75,54.54,53.64,54.38,54.38,3193100
"CRM","10/23/2013",53.95,54.04,52.98,53.34,53.34,2532500
"CRM","10/22/2013",55.37,55.5,53.01,54.28,54.28,5078500
"CRM","10/21/2013",56.15,56.24,54.73,55.1,55.1,4200400
"CRM","10/18/2013",53.51,54.15,53.31,54.1,54.1,4548400
"CRM","10/17/2013",52.5,53.1,52.25,53.01,53.01,3001700
"CRM","10/16/2013",50.98,52.93,50.98,52.58,52.58,5546400
"CRM","10/15/2013",51.12,51.53,50.6,50.72,50.72,3661500
"CRM","10/14/2013",50.51,51.21,49.97,51.17,51.17,3866500
"CRM","10/11/2013",51.54,51.88,50.9,51.07,51.07,2614300
"CRM","10/10/2013",50.2,51.77,50.11,51.54,51.54,4789800
"CRM","10/09/2013",50.26,50.5,48.7,49.91,49.91,4749700
"CRM","10/08/2013",52.55,52.82,49.5,50.14,50.14,5746200
"CRM","10/07/2013",52.42,53.2,52.02,52.16,52.16,2974800
"CRM","10/04/2013",52.24,53.37,52.08,52.83,52.83,3600800
"CRM","10/03/2013",53.02,53.34,51.71,52,52,3089100
"CRM","10/02/2013",52.25,53.15,52.04,53.15,53.15,3207700
"CRM","10/01/2013",52.14,52.82,51.93,52.63,52.63,3753300
"CRM","09/30/2013",51.14,52.25,50.76,51.91,51.91,5051500
"CRM","09/27/2013",53.03,53.09,52.31,52.43,52.43,3948100
"CRM","09/26/2013",52.86,53.94,52.85,53.32,53.32,4141300
"CRM","09/25/2013",52.05,53.16,52,52.47,52.47,4045800
"CRM","09/24/2013",52.17,52.73,51.71,52.14,52.14,2979400
"CRM","09/23/2013",52.83,53.65,51.89,52.35,52.35,4339300
"CRM","09/20/2013",53.5,54.02,52.75,52.76,52.76,6106400
"CRM","09/19/2013",52.66,54.25,52.66,53.38,53.38,6897600
"CRM","09/18/2013",49.93,52.57,49.87,52.49,52.49,10464300
"CRM","09/17/2013",49.85,50.47,49.7,49.9,49.9,3167000
"CRM","09/16/2013",50.2,50.46,49.49,49.65,49.65,3347600
"CRM","09/13/2013",49.92,50.09,49.18,49.64,49.64,3350800
"CRM","09/12/2013",49.83,50.6,49.4,49.96,49.96,3839600
"CRM","09/11/2013",49.79,50.42,49.49,49.88,49.88,4309400
"CRM","09/10/2013",49.45,50.08,49.35,50.02,50.02,5138200
"CRM","09/09/2013",48.6,49.2,48.54,49.2,49.2,5220300
"CRM","09/06/2013",48.69,49.25,48.02,48.47,48.47,5185300
"CRM","09/05/2013",48.46,49.12,48.37,48.6,48.6,5991900
"CRM","09/04/2013",48.81,49.25,48.3,48.77,48.77,8027400
"CRM","09/03/2013",49.46,50.15,49.13,49.58,49.58,10222700
"CRM","08/30/2013",47.67,49.94,47.38,49.13,49.13,31862700
"CRM","08/29/2013",42.36,43.98,42.11,43.65,43.65,13186500
"CRM","08/28/2013",42.45,43.25,42.38,42.78,42.78,5877500
"CRM","08/27/2013",42.92,42.98,42.33,42.46,42.46,5589800
"CRM","08/26/2013",43.16,43.84,43.15,43.4,43.4,5731000
