"symbol","date","open","high","low","close","adjclose","volume"
"CTAS","12/31/2013",59.61,59.65,59.35,59.59,56.1633,447500
"CTAS","12/30/2013",59.6,59.73,59.36,59.48,56.05963,317700
"CTAS","12/27/2013",59.52,59.68,59.31,59.5,56.07848,353100
"CTAS","12/26/2013",59.35,59.59,59.21,59.41,55.99365,420700
"CTAS","12/24/2013",58.86,59.6,58.86,59.27,55.8617,226200
"CTAS","12/23/2013",59.45,59.55,58.5,59.05,55.65435,803500
"CTAS","12/20/2013",58.16,59.41,57.15,59.3,55.88998,1864400
"CTAS","12/19/2013",56.43,56.65,56.02,56.48,53.23214,722300
"CTAS","12/18/2013",55.71,56.3,55.01,56.29,53.05307,630000
"CTAS","12/17/2013",54.91,55.63,54.62,55.57,52.37447,762300
"CTAS","12/16/2013",55.36,55.88,54.89,55.06,51.8938,737900
"CTAS","12/13/2013",55.17,55.97,55,55.41,52.22367,565400
"CTAS","12/12/2013",54.56,55.04,54.45,54.97,51.80898,591700
"CTAS","12/11/2013",55.1,55.32,54.61,54.7,51.5545,665700
"CTAS","12/10/2013",54.91,55.26,54.75,55.21,52.03518,669300
"CTAS","12/09/2013",54.98,55.17,54.72,54.81,51.65818,526200
"CTAS","12/06/2013",55.03,55.03,54.43,54.83,51.67702,850700
"CTAS","12/05/2013",54.39,54.49,53.83,53.84,50.74395,606500
"CTAS","12/04/2013",54.69,54.86,53.85,54.34,51.2152,378200
"CTAS","12/03/2013",55,55.39,54.58,54.78,51.6299,366900
"CTAS","12/02/2013",55.63,55.9,55.2,55.24,52.06345,531400
"CTAS","11/29/2013",57.99,57.99,55.38,55.5,52.30849,230800
"CTAS","11/27/2013",55.17,55.86,55.07,55.44,52.25195,419700
"CTAS","11/26/2013",55.1,55.52,54.89,55.12,51.95034,344800
"CTAS","11/25/2013",55.09,55.36,54.82,54.97,51.80898,334000
"CTAS","11/22/2013",54.73,55.25,54.5,55.21,52.03518,361100
"CTAS","11/21/2013",54.37,54.96,54.26,54.79,51.63932,354100
"CTAS","11/20/2013",54.39,54.61,54.07,54.23,51.11153,341700
"CTAS","11/19/2013",54.05,54.69,53.89,54.3,51.1775,355800
"CTAS","11/18/2013",54.37,54.47,54.01,54.29,51.16808,479900
"CTAS","11/15/2013",54.34,54.58,54.07,54.38,51.2529,400600
"CTAS","11/14/2013",53.86,54.51,53.84,54.27,51.14923,448100
"CTAS","11/13/2013",52.33,53.79,52.33,53.79,50.69683,303500
"CTAS","11/12/2013",53.19,53.53,53.13,53.51,50.43292,402000
"CTAS","11/11/2013",53.29,53.61,53.02,53.41,50.33868,297300
"CTAS","11/08/2013",52.68,53.47,52.27,53.46,50.38581,378800
"CTAS","11/07/2013",53.85,53.87,52.66,52.77,49.73549,487700
"CTAS","11/06/2013",53.39,53.53,53.08,53.49,50.41409,418100
"CTAS","11/06/2013",0,0,0,0,0,0
"CTAS","11/05/2013",53.84,54.14,53.61,54.13,50.29155,462300
"CTAS","11/04/2013",54.13,54.3,53.9,54.15,50.31014,354000
"CTAS","11/01/2013",54,54.02,53.51,53.99,50.16148,359600
"CTAS","10/31/2013",53.6,53.9,53.33,53.77,49.95709,328700
"CTAS","10/30/2013",53.8,54.05,53.44,53.59,49.78985,386900
"CTAS","10/29/2013",53.97,54.22,53.78,53.98,50.15219,270900
"CTAS","10/28/2013",53.78,54.38,53.78,53.91,50.08716,1744700
"CTAS","10/25/2013",53.77,53.92,53.32,53.91,50.08716,1594300
"CTAS","10/24/2013",53.6,53.66,53.27,53.62,49.81772,1447000
"CTAS","10/23/2013",53.2,53.52,53.04,53.46,49.66907,427600
"CTAS","10/22/2013",53.35,53.6,53.13,53.39,49.60403,351600
"CTAS","10/21/2013",53.28,53.44,53.09,53.35,49.56687,395800
"CTAS","10/18/2013",52.99,53.48,52.86,53.15,49.38105,1017800
"CTAS","10/17/2013",52.19,53.03,52.06,52.98,49.2231,598700
"CTAS","10/16/2013",51.75,52.43,51.62,52.37,48.65636,524900
"CTAS","10/15/2013",51.66,51.84,51.36,51.64,47.97812,689700
"CTAS","10/14/2013",51.52,51.92,51.26,51.88,48.20111,433400
"CTAS","10/11/2013",50.59,51.78,50.58,51.75,48.08033,554200
"CTAS","10/10/2013",50.32,50.91,50.07,50.89,47.28131,455200
"CTAS","10/09/2013",49.99,50.13,49.77,50,46.45442,767500
"CTAS","10/08/2013",50.03,50.53,49.9,49.94,46.39867,592200
"CTAS","10/07/2013",50.04,50.46,49.96,49.96,46.41726,484900
"CTAS","10/04/2013",50.23,50.74,50.05,50.55,46.96542,359200
"CTAS","10/03/2013",50.8,50.96,50.1,50.38,46.80748,405800
"CTAS","10/02/2013",51.28,51.29,50.82,51.04,47.42067,435700
"CTAS","10/01/2013",51.35,51.86,51.19,51.74,48.07104,554100
"CTAS","09/30/2013",50.95,51.33,50.65,51.2,47.56933,478800
"CTAS","09/27/2013",50.53,51.35,50.32,51.22,47.58791,512100
"CTAS","09/26/2013",51.51,51.51,50.66,50.88,47.27202,414800
"CTAS","09/25/2013",51.15,51.37,50.72,50.74,47.14195,441300
"CTAS","09/24/2013",51.28,51.43,50.97,51.06,47.43925,455400
"CTAS","09/23/2013",51.15,51.26,50.6,51.07,47.44854,547500
"CTAS","09/20/2013",52.04,52.21,50.28,51.26,47.62507,2232700
"CTAS","09/19/2013",51.32,51.36,50.58,50.89,47.28131,702100
"CTAS","09/18/2013",50.24,51.22,50.13,51.03,47.41138,398200
