"symbol","date","open","high","low","close","adjclose","volume"
"DAL","12/31/2013",27.23,27.65,27.2,27.47,26.00076,9152400
"DAL","12/30/2013",26.94,27.38,26.89,27.19,25.73573,7570900
"DAL","12/27/2013",27.86,27.89,26.86,27.03,25.58429,9960200
"DAL","12/26/2013",27.86,27.98,27.59,27.88,26.38883,6127500
"DAL","12/24/2013",27.51,27.92,27.51,27.84,26.35097,4899200
"DAL","12/23/2013",27.77,27.89,27.46,27.57,26.09541,7464900
"DAL","12/20/2013",27.56,27.91,27.32,27.55,26.07648,18881100
"DAL","12/19/2013",27.39,27.72,27.31,27.51,26.03862,11138500
"DAL","12/18/2013",26.86,27.23,26.4,27.11,25.66001,16441500
"DAL","12/17/2013",27.95,27.96,26.9,26.94,25.4991,17570900
"DAL","12/16/2013",28.67,28.77,27.82,27.92,26.42669,11246400
"DAL","12/13/2013",28.4,28.78,28.25,28.37,26.85262,11055000
"DAL","12/12/2013",27.77,28.42,27.75,28.21,26.70118,11555900
"DAL","12/11/2013",28.85,29.05,27.65,27.66,26.18059,16735900
"DAL","12/10/2013",28.83,29.12,28.57,28.77,27.23122,10638500
"DAL","12/09/2013",28.26,28.95,28.2,28.88,27.33534,11504500
"DAL","12/06/2013",28.37,28.68,28.11,28.23,26.72011,11333300
"DAL","12/05/2013",27.63,28.01,27.62,27.94,26.44562,13599600
"DAL","12/04/2013",27.99,28.01,27.3,27.61,26.13327,15919100
"DAL","12/03/2013",28.95,28.97,27.84,28.05,26.54973,17541900
"DAL","12/02/2013",29,29.42,28.91,29,27.44892,8905300
"DAL","11/29/2013",29.42,29.44,28.86,28.98,27.42999,5589100
"DAL","11/27/2013",29.17,29.42,29,29.34,27.77073,9180300
"DAL","11/26/2013",29.18,29.24,28.74,29.04,27.48679,10968300
"DAL","11/25/2013",29,29.39,28.72,29.17,27.60983,14535700
"DAL","11/22/2013",28.25,28.9,28.25,28.6,27.07032,14684400
"DAL","11/21/2013",27.85,28.13,27.72,28.04,26.54027,8489000
"DAL","11/20/2013",27.99,28.08,27.42,27.71,26.22792,12442400
"DAL","11/19/2013",28.16,28.75,27.83,27.85,26.36043,13900000
"DAL","11/18/2013",28.27,28.7,28.05,28.12,26.61599,13631800
"DAL","11/15/2013",28.01,28.19,27.79,28.12,26.61599,10508100
"DAL","11/14/2013",27.89,28.19,27.68,27.94,26.44562,10551900
"DAL","11/13/2013",28.11,28.22,27.58,27.79,26.30364,11977300
"DAL","11/12/2013",27.44,28.47,27.43,28.12,26.61599,29670200
"DAL","11/11/2013",27.19,27.56,27.13,27.47,26.00076,7869200
"DAL","11/08/2013",26.64,27.63,26.62,26.89,25.45178,17707900
"DAL","11/07/2013",27.01,27.39,26.6,26.68,25.25301,13309400
"DAL","11/06/2013",27.66,27.7,26.77,26.88,25.44231,13371800
"DAL","11/05/2013",27.7,27.71,27.12,27.46,25.99129,13766200
"DAL","11/04/2013",27.13,27.79,27.01,27.44,25.97236,17463300
"DAL","11/04/2013",0,0,0,0,0,0
"DAL","11/01/2013",26.46,26.94,26.05,26.7,25.21515,13682300
"DAL","10/31/2013",26.47,26.62,26.26,26.38,24.91294,10144300
"DAL","10/30/2013",26.59,26.72,26,26.48,25.00738,12238300
"DAL","10/29/2013",26.34,26.69,26.24,26.35,24.88461,9611200
"DAL","10/28/2013",26.42,26.44,25.98,26.14,24.68629,9529800
"DAL","10/25/2013",26.3,26.68,26.05,26.31,24.84683,13052800
"DAL","10/24/2013",25.85,26.47,25.67,26.32,24.85628,18251900
"DAL","10/23/2013",25.44,25.95,25.29,25.61,24.18577,12626900
"DAL","10/22/2013",25.56,26.24,25.26,25.49,24.07244,22623200
"DAL","10/21/2013",25.2,25.23,24.46,24.69,23.31693,12851900
"DAL","10/18/2013",24.97,25.18,24.82,25.01,23.61913,11466700
"DAL","10/17/2013",24.38,24.9,24.38,24.79,23.41137,12646400
"DAL","10/16/2013",24.18,24.51,23.88,24.42,23.06195,10759400
"DAL","10/15/2013",24.1,24.27,23.83,24.02,22.68419,11664000
"DAL","10/14/2013",24.2,24.35,23.77,24.11,22.76918,18373500
"DAL","10/11/2013",24.58,24.79,24.17,24.4,23.04305,12404400
"DAL","10/10/2013",24.64,24.94,24.38,24.51,23.14694,12480400
"DAL","10/09/2013",24.29,24.55,23.72,24.25,22.9014,10944400
"DAL","10/08/2013",24.76,24.82,24.05,24.23,22.88251,12505800
"DAL","10/07/2013",24.95,25.09,24.81,24.85,23.46803,8462700
"DAL","10/04/2013",24.69,25.43,24.55,25.19,23.78912,17398300
"DAL","10/03/2013",24.49,24.7,23.9,24.54,23.17527,16929500
"DAL","10/02/2013",24.55,24.77,24.11,24.25,22.9014,21639200
"DAL","10/01/2013",23.68,24.22,23.63,24.21,22.86362,15105900
"DAL","09/30/2013",23.16,23.69,22.71,23.59,22.2781,10827400
"DAL","09/27/2013",23.38,23.95,23.1,23.57,22.25921,16040400
"DAL","09/26/2013",23.79,24.02,23.64,24.01,22.67475,12969100
"DAL","09/25/2013",23.8,23.84,23.2,23.81,22.48587,11788300
"DAL","09/24/2013",23.25,24.1,23.25,23.76,22.43865,11199300
"DAL","09/23/2013",23.31,23.51,23.14,23.32,22.02312,9871500
"DAL","09/20/2013",23.58,23.72,23.25,23.3,22.00423,14547300
"DAL","09/19/2013",23.32,23.59,23.08,23.45,22.14589,9416200
"DAL","09/18/2013",23,23.55,22.91,23.31,22.01367,17592100
"DAL","09/17/2013",23.66,23.71,23.07,23.32,22.02312,14278100
"DAL","09/16/2013",22.98,23.57,22.78,23.15,21.86257,21517800
"DAL","09/13/2013",22.2,22.59,22.15,22.47,21.22039,15015300
"DAL","09/12/2013",22.33,22.44,22.08,22.17,20.93707,26098900
