"symbol","date","open","high","low","close","adjclose","volume"
"DG","12/31/2013",60.92,61.09,60.14,60.32,58.23854,1699800
"DG","12/30/2013",60.33,60.91,60,60.7,58.60543,4348200
"DG","12/27/2013",61.19,61.49,60.07,60.11,58.03579,1993900
"DG","12/26/2013",61.46,61.54,60.86,60.93,58.82748,1756100
"DG","12/24/2013",61.37,61.95,61.37,61.47,59.34886,826400
"DG","12/23/2013",60.25,61.64,60.13,61.59,59.46471,7366000
"DG","12/20/2013",59.79,60.39,59.77,60.08,58.00682,2391400
"DG","12/19/2013",59.9,60.06,59.5,59.56,57.50476,1412000
"DG","12/18/2013",59.08,60.04,58.69,60.03,57.95854,3335000
"DG","12/17/2013",59.61,59.85,58.88,59.03,56.99305,2663500
"DG","12/16/2013",61,61.12,59.41,59.49,57.43718,5043300
"DG","12/13/2013",60.83,61.11,60.12,60.48,58.39301,2374800
"DG","12/12/2013",60.59,61.07,60.36,60.46,58.37371,4342100
"DG","12/11/2013",60.78,61.82,60.76,61.31,59.19437,4727700
"DG","12/10/2013",60.95,61.32,60.42,60.74,58.64404,2634200
"DG","12/09/2013",60.17,61.2,60.17,61.08,58.97231,5138000
"DG","12/06/2013",60.56,61.08,59.61,60.2,58.12268,6493500
"DG","12/05/2013",58.31,60.25,58.25,59.81,57.74614,11012700
"DG","12/04/2013",56.03,56.62,55.56,56.37,54.42485,5009800
"DG","12/03/2013",56.27,56.61,56.03,56.48,54.53105,2757400
"DG","12/02/2013",56.91,56.91,56.13,56.29,54.3476,3909400
"DG","11/29/2013",57.53,57.74,56.92,56.94,54.97517,1695000
"DG","11/27/2013",58.78,58.78,57.3,57.35,55.37103,5347500
"DG","11/26/2013",58.87,59,57.85,58.79,56.76133,4505500
"DG","11/25/2013",58.73,58.8,58.26,58.49,56.47169,1541600
"DG","11/22/2013",58.14,58.5,57.83,58.4,56.38479,2240600
"DG","11/21/2013",56.99,58.05,56.89,57.94,55.94066,4438800
"DG","11/20/2013",58.83,59.12,58.13,58.33,56.31721,3886600
"DG","11/19/2013",58.79,59.5,58.58,58.7,56.67444,3074000
"DG","11/18/2013",59.44,59.56,58.64,58.88,56.84823,2138400
"DG","11/15/2013",59.22,59.5,58.56,59.26,57.21511,3503000
"DG","11/14/2013",59.1,59.51,58.58,59.49,57.43718,2001800
"DG","11/13/2013",58.34,59.3,58.21,59.24,57.1958,2135600
"DG","11/12/2013",58,58.51,57.83,58.47,56.45238,1893000
"DG","11/11/2013",57.33,58.29,57.25,58.01,56.00825,1931900
"DG","11/08/2013",57.19,57.41,56.81,57.28,55.30344,1922000
"DG","11/07/2013",58.09,58.59,56.95,57.22,55.24551,2247800
"DG","11/06/2013",58.11,58.59,57.89,58.01,56.00825,1629700
"DG","11/05/2013",57.41,58.4,57.2,58.11,56.1048,2864800
"DG","11/04/2013",57.99,58.23,57.47,57.53,55.54482,2516900
"DG","11/01/2013",57.83,58.14,57.5,57.77,55.77653,2128200
"DG","10/31/2013",58.5,58.79,57.7,57.78,55.78618,2837700
"DG","10/30/2013",59.48,59.52,58.13,58.57,56.54892,1879600
"DG","10/29/2013",59.46,59.71,59.17,59.34,57.29235,1755800
"DG","10/28/2013",59.4,59.57,58.97,59.17,57.12822,1678900
"DG","10/25/2013",59.74,59.87,59.27,59.5,57.44683,1959800
"DG","10/24/2013",59.13,59.84,58.94,59.75,57.6882,1930800
"DG","10/23/2013",59.38,59.43,58.5,58.98,56.94478,1711500
"DG","10/22/2013",58.98,59.59,58.96,59.37,57.32132,1676100
"DG","10/21/2013",58.88,59.04,58.37,58.92,56.88684,968900
"DG","10/18/2013",59.13,59.13,57.98,58.89,56.85788,2678100
"DG","10/17/2013",57.24,58.93,57.1,58.82,56.79029,2379500
"DG","10/16/2013",57.19,57.66,57.04,57.37,55.39034,2308400
"DG","10/15/2013",57.03,57.23,56.44,56.75,54.79172,2110800
"DG","10/14/2013",57.52,57.8,56.76,57.05,55.08138,3449400
"DG","10/11/2013",57.4,57.95,57.15,57.83,55.83446,2580800
"DG","10/10/2013",57.1,57.63,57.04,57.54,55.55447,2483900
"DG","10/09/2013",56.35,56.78,55.96,56.7,54.74345,4153900
"DG","10/08/2013",57,57.28,56.27,56.35,54.40553,2762100
"DG","10/07/2013",58.36,58.36,57.13,57.14,55.16826,2790100
"DG","10/04/2013",57.66,58.82,57.54,58.77,56.74202,2513700
"DG","10/03/2013",57.9,58.02,57.45,57.75,55.75722,2609500
"DG","10/02/2013",57.44,57.94,57.25,57.9,55.90204,2206400
"DG","10/01/2013",56.59,57.98,56.32,57.78,55.78618,3575200
"DG","09/30/2013",56.23,56.76,55.71,56.46,54.51173,1860400
"DG","09/27/2013",56.7,57.08,56.51,56.59,54.63725,2568700
"DG","09/26/2013",57.15,57.55,56.71,56.75,54.79172,2741900
"DG","09/25/2013",58.09,58.11,56.96,57,55.03309,2844400
"DG","09/24/2013",58.22,58.29,58,58.11,56.1048,1923600
"DG","09/23/2013",57.68,58.29,57.61,58.19,56.18203,2416700
"DG","09/20/2013",58.42,58.44,57.65,57.65,55.66068,4398300
"DG","09/19/2013",58.1,58.71,57.69,58.49,56.47169,3267900
"DG","09/18/2013",57.35,58.14,57.27,57.92,55.92135,2848800
"DG","09/17/2013",57.07,57.57,57.04,57.33,55.35171,2038300
"DG","09/16/2013",57.4,57.57,56.57,57,55.03309,2618500
"DG","09/13/2013",57.25,57.35,56.64,56.83,54.86897,1366800
"DG","09/12/2013",57.46,57.5,56.77,57.14,55.16826,1261100
"DG","09/11/2013",57.4,57.42,56.88,57.36,55.38068,1579500
"DG","09/10/2013",57.24,57.36,56.54,57.33,55.35171,2373900
"DG","09/09/2013",57.2,57.52,57,57.47,55.48689,3070700
"DG","09/06/2013",57.61,57.71,56.72,56.96,54.99448,2302300
"DG","09/05/2013",56.58,57.8,56.41,57.38,55.39999,4013800
"DG","09/04/2013",56.06,57.42,55.29,56.39,54.44415,9699000
"DG","09/03/2013",54.47,54.74,53.4,53.88,52.02076,4268700
"DG","08/30/2013",54.61,54.87,53.86,53.97,52.10765,1887400
"DG","08/29/2013",54.4,54.75,54.24,54.37,52.49385,1346300
"DG","08/28/2013",54.65,54.9,54.21,54.48,52.60006,1777200
"DG","08/27/2013",55,55.33,54.62,54.65,52.76419,1908400
"DG","08/26/2013",55.43,56.1,55.16,55.59,53.67176,1744600
"DG","08/23/2013",55.51,55.6,54.79,55.05,53.15039,2263300
"DG","08/22/2013",54.34,55.6,54,55.45,53.53659,3108500
"DG","08/21/2013",53.4,54.5,53.1,54.4,52.52282,3274300
"DG","08/20/2013",54.16,54.23,53.3,53.37,51.52836,2663400
"DG","08/19/2013",53.5,54.47,53.2,54.09,52.22351,4538700
"DG","08/16/2013",53.23,53.32,52.4,52.47,50.65942,3489900
"DG","08/15/2013",54.19,54.49,53.37,53.5,51.65387,2987200
"DG","08/14/2013",54.41,54.82,54.08,54.5,52.61937,1792300
"DG","08/13/2013",54.36,54.83,54.2,54.6,52.71592,2171300
"DG","08/12/2013",54.14,54.58,53.99,54.35,52.47454,2295500
"DG","08/09/2013",54.7,54.82,54.22,54.25,52.378,1201100
"DG","08/08/2013",54.36,54.91,54.27,54.73,52.84143,2739700
"DG","08/07/2013",54.76,54.79,54.12,54.12,52.25249,3007200
"DG","08/06/2013",55.04,55.18,54.31,54.87,52.97659,2533700
"DG","08/05/2013",55.52,55.64,55.02,55.25,53.34349,1875900
"DG","08/02/2013",55.4,55.82,54.55,55.79,53.86486,3049700
"DG","08/01/2013",54.97,55.6,54.4,55.42,53.50763,4140100
"DG","07/31/2013",54.2,54.84,54.17,54.67,52.7835,2868800
"DG","07/30/2013",54.15,54.44,53.86,54.06,52.19455,2051100
"DG","07/29/2013",53.81,54.2,53.44,54.18,52.31041,2497900
"DG","07/26/2013",54.03,54.05,53.25,53.78,51.92421,2808400
"DG","07/25/2013",54.1,54.37,53.72,54.23,52.35868,2688000
"DG","07/24/2013",53.76,54.25,53.67,54.23,52.35868,2924700
"DG","07/23/2013",53.63,53.95,53.31,53.82,51.96283,2915400
"DG","07/22/2013",53.37,53.69,53.04,53.54,51.69249,2225000
"DG","07/19/2013",53.51,53.94,53.06,53.3,51.46078,2474400
"DG","07/18/2013",53.71,53.91,53.29,53.45,51.6056,2050400
"DG","07/17/2013",54.15,54.2,53.6,53.65,51.7987,1784300
"DG","07/16/2013",53.71,54.03,53.5,53.9,52.04007,2169100
"DG","07/15/2013",53.93,54.2,53.76,53.96,52.098,2538100
"DG","07/12/2013",54.14,54.4,53.45,53.77,51.91456,7579900
"DG","07/11/2013",55.05,55.8,54.58,55.65,53.72968,4215300
"DG","07/10/2013",52.87,55.01,52.83,54.78,52.8897,8237500
"DG","07/09/2013",52.32,52.82,51.77,51.8,50.01254,2370100
"DG","07/08/2013",52,52.36,51.49,52.12,50.32149,2309500
"DG","07/05/2013",51.46,52.05,51.26,52.01,50.21528,1673500
"DG","07/03/2013",51.25,51.38,50.53,51.11,49.34634,1860000
"DG","07/02/2013",52.19,52.43,51.23,51.36,49.58772,3334300
"DG","07/01/2013",51.03,52.84,50.97,52.43,50.6208,4290300
"DG","06/28/2013",51.45,51.59,50.43,50.43,48.68981,8498100
"DG","06/27/2013",51.28,51.93,51.16,51.64,49.85806,2268900
"DG","06/26/2013",50.54,51.27,50.54,51.17,49.40427,1980700
"DG","06/25/2013",50.16,50.81,50.03,50.51,48.76705,2966100
"DG","06/24/2013",49.78,50.42,49.5,50,48.27465,3669000
"DG","06/21/2013",50.3,50.33,49.47,50.21,48.4774,4118300
"DG","06/20/2013",51.17,51.19,49.72,49.88,48.15879,4553000
"DG","06/19/2013",52.36,52.47,51.3,51.33,49.55875,2913500
"DG","06/18/2013",51.1,52.3,50.81,52.29,50.48563,2988500
"DG","06/17/2013",51.37,51.8,50.73,51.13,49.36565,2745200
"DG","06/14/2013",51.15,51.58,50.96,51.18,49.41393,1600000
"DG","06/13/2013",51.18,51.5,50.85,51.2,49.43324,2163900
"DG","06/12/2013",51.75,52,50.78,51.09,49.32704,3171300
"DG","06/11/2013",50.33,52,50.16,51.67,49.88702,4824900
"DG","06/10/2013",51.11,51.33,50.31,50.35,48.61257,5033200
"DG","06/07/2013",51.49,52.3,50.87,51.09,49.32704,4334600
"DG","06/06/2013",50.43,51.49,49.83,51.32,49.5491,5672300
"DG","06/05/2013",49.3,51.2,49.22,50.19,48.45808,8192600
"DG","06/04/2013",50,50.22,48.61,48.64,46.96159,16091900
"DG","06/03/2013",53.06,53.99,52.65,53.55,51.70215,4486900
"DG","05/31/2013",53.7,54.06,52.72,52.8,50.97803,3723900
"DG","05/30/2013",53.94,54.21,53.66,53.67,51.818,1145400
"DG","05/29/2013",54.23,54.51,53.65,53.93,52.06903,2206800
"DG","05/28/2013",54.87,55.17,54.42,54.48,52.60006,2262800
"DG","05/24/2013",54.22,54.56,54.12,54.42,52.54213,1839400
"DG","05/23/2013",53.64,54.81,53.46,54.45,52.57109,3714100
"DG","05/22/2013",54.34,54.75,53.69,53.86,52.00145,2634200
"DG","05/21/2013",53.9,54.67,53.73,54.47,52.5904,2313000
"DG","05/20/2013",53.98,54.25,53.59,53.84,51.98214,1953600
"DG","05/17/2013",53.5,54.17,53.32,54.08,52.21386,2350900
"DG","05/16/2013",53.15,53.67,52.98,53.26,51.42215,2215600
"DG","05/15/2013",52.85,53.61,52.42,53.32,51.48009,2836400
"DG","05/14/2013",52.67,53.14,52.52,52.79,50.96837,1390200
"DG","05/13/2013",52.84,53,52.46,52.59,50.77528,1386600
"DG","05/10/2013",52.58,53.18,52.58,52.8,50.97803,1327400
"DG","05/09/2013",53.53,53.55,52.51,52.68,50.86217,1881000
"DG","05/08/2013",53.42,53.69,53.22,53.42,51.57663,1297800
"DG","05/07/2013",53.43,53.52,52.98,53.44,51.59595,4557600
"DG","05/06/2013",53.11,54.16,53.05,53.58,51.73111,4635600
"DG","05/03/2013",52.49,53,52.08,52.49,50.67873,2925200
"DG","05/02/2013",52.02,52.5,51.83,52.39,50.58217,1485700
"DG","05/01/2013",52,52.6,51.99,52.03,50.23459,1579600
"DG","04/30/2013",52.24,52.31,51.7,52.09,50.29253,1553400
"DG","04/29/2013",52.82,52.99,52.14,52.18,50.37942,1231300
"DG","04/26/2013",52.57,52.95,52.44,52.83,51.00699,2082000
