"symbol","date","open","high","low","close","adjclose","volume"
"DGX","12/31/2013",54.22,54.28,53.35,53.54,49.2938,2400200
"DGX","12/30/2013",53.9,54.21,53.8,54.05,49.76334,1356500
"DGX","12/27/2013",54,54.43,53.87,54.1,49.80937,1351800
"DGX","12/26/2013",54.39,54.44,53.77,53.87,49.59762,1170100
"DGX","12/24/2013",53.85,54.7,53.84,54.5,50.17765,1157100
"DGX","12/23/2013",53.55,54.3,53.55,54.05,49.76334,1825700
"DGX","12/20/2013",52.8,53.57,52.77,53.52,49.27538,4133300
"DGX","12/19/2013",53.04,53.53,52.5,52.79,48.60328,3048800
"DGX","12/18/2013",53.56,53.89,53,53.47,49.22934,3016700
"DGX","12/17/2013",54.09,54.09,53.48,53.55,49.30299,2205200
"DGX","12/16/2013",54.49,54.8,54.3,54.32,50.01193,2691100
"DGX","12/13/2013",54.67,54.84,53.45,54.2,49.90145,4524500
"DGX","12/12/2013",55.04,55.16,53.75,53.81,49.54238,4554200
"DGX","12/11/2013",57.6,57.65,55.1,55.2,50.82214,5817300
"DGX","12/10/2013",59.41,59.5,58.12,58.6,53.95247,4038300
"DGX","12/09/2013",60.16,60.52,59.73,60.33,55.54528,2006700
"DGX","12/06/2013",60.56,60.62,59.87,59.99,55.23225,2069200
"DGX","12/05/2013",60.85,61.09,60.17,60.21,55.43479,1708500
"DGX","12/04/2013",61.15,61.42,60.3,60.86,56.03325,2494000
"DGX","12/03/2013",61.12,62.03,61,61.43,56.55804,3156900
"DGX","12/02/2013",61.05,61.19,60.56,60.75,55.93198,1248300
"DGX","11/29/2013",61.35,61.65,60.9,60.94,56.1069,826200
"DGX","11/27/2013",61.86,62.13,60.71,61.42,56.54883,1897400
"DGX","11/26/2013",62.34,62.48,61.99,62.08,57.15649,1858300
"DGX","11/25/2013",61.86,62.48,61.84,62.36,57.41428,1256700
"DGX","11/22/2013",61.35,61.96,61.33,61.8,56.8987,988700
"DGX","11/21/2013",61.41,61.72,61.2,61.48,56.60408,1111200
"DGX","11/20/2013",61.46,62.04,61.18,61.35,56.48438,1596700
"DGX","11/19/2013",61.72,62.05,60.95,61.52,56.64091,1952600
"DGX","11/18/2013",62.5,62.56,61.65,61.86,56.95394,2060100
"DGX","11/15/2013",62.67,62.96,62.18,62.2,57.26697,3510800
"DGX","11/14/2013",62.79,63.09,62.6,62.65,57.68128,2762200
"DGX","11/13/2013",63.31,63.61,62.61,62.88,57.89304,2500000
"DGX","11/12/2013",63.73,63.84,63.16,63.32,58.29814,2143500
"DGX","11/11/2013",63.24,64.1,63.14,63.6,58.55595,1521100
"DGX","11/08/2013",63.5,63.6,62.7,63.32,58.29814,1949300
"DGX","11/07/2013",63.23,64,63.23,63.7,58.64801,2283900
"DGX","11/06/2013",62.83,63.48,62.62,63.11,58.1048,1959300
"DGX","11/05/2013",62.14,63.18,61.65,62.65,57.68128,3599000
"DGX","11/04/2013",62.5,62.7,61.42,62.04,57.11966,7380200
"DGX","11/01/2013",60.01,61.03,59.76,60.93,56.09769,2737800
"DGX","10/31/2013",59.65,60.04,59.58,59.91,55.15859,1525500
"DGX","10/30/2013",59.54,59.85,59.33,59.65,54.91922,1469400
"DGX","10/29/2013",59,59.6,58.97,59.34,54.6338,1190400
"DGX","10/28/2013",58.57,59.28,58.46,58.95,54.27473,1440500
"DGX","10/25/2013",58.22,58.62,57.97,58.59,53.94327,1212500
"DGX","10/24/2013",58.79,58.83,58.21,58.27,53.64865,1141100
"DGX","10/23/2013",58.27,58.57,57.91,58.56,53.91566,1680300
"DGX","10/22/2013",58.13,58.73,58.02,58.4,53.76835,1798600
"DGX","10/21/2013",57.75,58.61,57.75,58.18,53.5658,1519700
"DGX","10/18/2013",58.52,58.58,57.81,57.92,53.32641,2262900
"DGX","10/17/2013",57.41,60,57.36,58.9,54.22869,3766600
"DGX","10/16/2013",58.05,58.8,58.05,58.75,54.09059,1472700
"DGX","10/15/2013",58.62,58.7,57.88,57.9,53.30799,1592100
"DGX","10/14/2013",57.97,58.71,57.73,58.63,53.98011,2150400
"DGX","10/11/2013",58.69,58.82,58.12,58.12,53.51055,2634600
"DGX","10/10/2013",58.65,59.89,57.45,58.66,54.00772,6793400
"DGX","10/09/2013",61.87,62.1,61.46,61.7,56.80663,1736900
"DGX","10/08/2013",62.31,62.37,61.44,61.87,56.96314,1293200
"DGX","10/07/2013",61.59,62.45,61.47,62.25,57.313,1789800
"DGX","10/04/2013",62.39,62.46,61.78,61.8,56.8987,1897000
"DGX","10/03/2013",62.42,62.65,62.17,62.5,57.54317,1436700
"DGX","10/02/2013",62.13,62.81,61.95,62.57,57.60762,1542500
"DGX","10/01/2013",61.84,62.37,61.65,62.15,57.22094,844600
"DGX","09/30/2013",61.43,61.96,61.31,61.79,56.88949,967900
"DGX","09/27/2013",61.98,62.05,61.47,61.72,56.82505,1343300
