"symbol","date","open","high","low","close","adjclose","volume"
"EFX","12/31/2013",69.5,69.56,68.78,69.09,65.83988,446300
"EFX","12/30/2013",69.17,69.64,69.1,69.35,66.08766,446500
"EFX","12/27/2013",69.18,69.2,68.76,69.1,65.84943,287100
"EFX","12/26/2013",69.01,69.25,68.72,69.17,65.91614,252900
"EFX","12/24/2013",68.25,69.04,68.22,69,65.75413,169400
"EFX","12/23/2013",68.12,68.58,68.05,68.32,65.10612,463900
"EFX","12/20/2013",67.55,68.06,67.14,67.69,64.50576,1073200
"EFX","12/19/2013",67.18,67.59,67.02,67.07,63.91491,503600
"EFX","12/18/2013",67.02,67.29,66.02,67.24,64.07693,1324500
"EFX","12/17/2013",67.91,68.09,66.7,67.1,63.9435,711900
"EFX","12/16/2013",67.06,68.17,66.69,68.03,64.82977,862700
"EFX","12/13/2013",66.91,67.27,66.56,66.76,63.61951,348000
"EFX","12/12/2013",66.52,66.98,66.31,66.8,63.65761,388800
"EFX","12/11/2013",67.37,67.47,66.57,66.67,63.53372,389500
"EFX","12/10/2013",67.93,68.19,67.32,67.42,64.24845,360100
"EFX","12/09/2013",68.38,68.54,67.76,68.09,64.88692,372900
"EFX","12/06/2013",67.28,68.34,67.12,68.31,65.09658,498100
"EFX","12/05/2013",66.84,67.08,66.48,66.66,63.52421,317500
"EFX","12/04/2013",66.77,67.34,66.33,66.96,63.8101,528300
"EFX","12/03/2013",67.12,67.65,66.72,67.04,63.88633,607100
"EFX","12/02/2013",67.47,67.9,67.04,67.3,64.13409,429000
"EFX","11/29/2013",67.42,67.72,67.13,67.33,64.16271,217700
"EFX","11/27/2013",67.61,67.82,67.09,67.46,64.28658,365000
"EFX","11/26/2013",67.92,68.01,67.53,67.54,64.36281,497700
"EFX","11/25/2013",68.02,68.29,67.8,67.93,64.73446,529000
"EFX","11/22/2013",67.34,67.88,67.27,67.85,64.65823,637100
"EFX","11/21/2013",66.76,67.49,66.57,67.45,64.27705,502400
"EFX","11/21/2013",0,0,0,0,0,0
"EFX","11/20/2013",67,67.36,66.56,66.94,63.58139,721400
"EFX","11/19/2013",66.49,66.99,66.31,66.8,63.44841,609100
"EFX","11/18/2013",66.47,66.67,66.18,66.56,63.22044,357100
"EFX","11/15/2013",66.18,66.7,65.6,66.42,63.08747,628200
"EFX","11/14/2013",65.91,66.3,65.61,66.21,62.88801,439300
"EFX","11/13/2013",64.81,65.8,64.66,65.79,62.48908,591500
"EFX","11/12/2013",64.6,65.15,64.38,65.07,61.80522,456000
"EFX","11/11/2013",64.56,64.94,64.46,64.65,61.40628,393100
"EFX","11/08/2013",63.56,64.74,63.46,64.7,61.45377,523300
"EFX","11/07/2013",64.57,64.9,63.51,63.57,60.38046,341100
"EFX","11/06/2013",64.72,65.07,64.09,64.32,61.09283,634700
"EFX","11/05/2013",65.02,65.1,64.32,64.33,61.10234,393300
"EFX","11/04/2013",65.23,65.25,64.67,65.15,61.8812,426500
"EFX","11/01/2013",64.7,65.25,64.64,65.18,61.90968,443500
"EFX","10/31/2013",64.61,65.1,64.25,64.67,61.42527,550900
"EFX","10/30/2013",65.06,65.29,64.55,64.72,61.47277,659300
"EFX","10/29/2013",65.98,66.21,64.99,65.09,61.82419,667400
"EFX","10/28/2013",65.56,66.22,65.52,65.89,62.58407,880000
"EFX","10/25/2013",64.46,65.67,64.17,65.52,62.23262,1095600
"EFX","10/24/2013",61.83,64.2,61.54,63.73,60.53244,1169400
"EFX","10/23/2013",61.6,61.79,61.18,61.3,58.22436,1328500
"EFX","10/22/2013",61.84,62.07,61.55,61.66,58.5663,1310700
"EFX","10/21/2013",62.32,62.43,61.64,61.84,58.73726,1114800
"EFX","10/18/2013",61.95,62.24,61.67,62.17,59.05071,699400
"EFX","10/17/2013",60.44,61.7,60.4,61.62,58.5283,609900
"EFX","10/16/2013",60.4,60.6,60.07,60.59,57.54998,860100
"EFX","10/15/2013",60.9,60.94,60.13,60.14,57.12256,620700
"EFX","10/14/2013",60.5,61.26,60.17,61.15,58.08189,741200
"EFX","10/11/2013",60.79,61.06,60.51,60.9,57.84443,421300
"EFX","10/10/2013",59.81,60.83,59.59,60.82,57.76845,550500
"EFX","10/09/2013",59.15,59.57,59.15,59.43,56.44817,703200
"EFX","10/08/2013",59.49,59.58,59,59.17,56.20123,1085100
"EFX","10/07/2013",59.24,59.71,59.23,59.5,56.51468,798800
"EFX","10/04/2013",58.91,59.69,58.91,59.59,56.60015,783900
"EFX","10/03/2013",59.15,59.27,58.86,58.98,56.02076,1494100
"EFX","10/02/2013",59.57,59.75,58.88,59.37,56.3912,688200
"EFX","10/01/2013",59.68,60.24,59.6,59.87,56.86611,479400
"EFX","09/30/2013",59.46,59.97,59.18,59.85,56.84711,497300
"EFX","09/27/2013",59.64,59.86,59.07,59.81,56.80913,545500
"EFX","09/26/2013",59.86,60.12,59.48,59.74,56.74264,501700
"EFX","09/25/2013",60.24,60.4,59.59,59.68,56.68564,578100
"EFX","09/24/2013",60.44,60.73,60.22,60.3,57.27453,721800
"EFX","09/23/2013",61.51,61.67,60.8,61.06,57.9964,299700
"EFX","09/20/2013",62.45,62.94,61.49,61.53,58.44282,1029400
"EFX","09/19/2013",61.65,62.41,61.65,62.36,59.23118,626900
"EFX","09/18/2013",61.1,61.87,60.94,61.57,58.48082,706200
"EFX","09/17/2013",60.75,61.11,60.62,61.03,57.9679,443700
"EFX","09/16/2013",60.65,60.95,60.3,60.7,57.65447,466800
"EFX","09/13/2013",59.33,60.24,59.3,59.95,56.9421,767000
"EFX","09/12/2013",59.62,59.75,59.32,59.4,56.41969,1074000
"EFX","09/11/2013",59.53,59.79,59.47,59.59,56.60015,921800
"EFX","09/10/2013",60.04,60.11,59.5,59.63,56.63815,796600
"EFX","09/09/2013",59.48,60,59.39,59.72,56.72364,501700
"EFX","09/06/2013",59.63,59.88,58.9,59.34,56.3627,476200
"EFX","09/05/2013",59.36,59.74,59.13,59.58,56.59066,512800
"EFX","09/04/2013",59.23,59.6,58.95,59.44,56.45768,578100
"EFX","09/03/2013",59.63,60.14,58.75,59.25,56.27722,707600
"EFX","08/30/2013",60.17,60.23,58.92,59.09,56.12525,743900
"EFX","08/29/2013",60.2,60.74,60.14,60.38,57.35052,584700
"EFX","08/28/2013",61.15,61.16,60.32,60.43,57.39801,463400
"EFX","08/27/2013",61.98,61.98,61.16,61.18,58.11039,502900
"EFX","08/26/2013",62.38,62.83,62.17,62.48,59.34515,374200
"EFX","08/23/2013",62.7,62.76,62.14,62.43,59.29767,411600
"EFX","08/22/2013",62.03,62.73,61.92,62.55,59.41164,305300
"EFX","08/21/2013",62.61,62.95,61.99,62.03,58.91774,334300
"EFX","08/21/2013",0,0,0,0,0,0
"EFX","08/20/2013",62.13,62.89,62.12,62.62,59.26917,265700
"EFX","08/19/2013",61.83,62.7,61.81,62.11,58.78647,525600
"EFX","08/16/2013",62.51,62.83,62.27,62.32,58.98523,736100
"EFX","08/15/2013",63.9,63.94,62.66,62.69,59.33542,615700
"EFX","08/14/2013",64.99,65.09,64.27,64.28,60.84034,429500
"EFX","08/13/2013",65.15,65.37,64.7,65.09,61.60699,326300
"EFX","08/12/2013",64.97,65.61,64.97,65.04,61.55969,513800
"EFX","08/09/2013",65.44,65.62,64.97,65.16,61.67326,406500
"EFX","08/08/2013",65.13,65.65,64.72,65.43,61.92881,682100
"EFX","08/07/2013",65,65.37,64.59,64.75,61.28519,1131800
"EFX","08/06/2013",65.17,65.41,64.75,65.16,61.67326,1035900
"EFX","08/05/2013",64.86,65.4,64.84,65.37,61.87202,674500
"EFX","08/02/2013",64.43,65.22,64.23,65.19,61.70166,803300
"EFX","08/01/2013",63.68,64.98,63.52,64.5,61.04857,820900
"EFX","07/31/2013",63.7,63.89,62.92,63.23,59.84653,1087800
"EFX","07/30/2013",63.22,63.87,63.1,63.5,60.10207,861500
"EFX","07/29/2013",61.83,63.03,61.63,62.93,59.56258,755600
"EFX","07/26/2013",61.67,62.09,61.45,61.79,58.48358,726300
"EFX","07/25/2013",60.34,62.04,60.01,61.87,58.5593,950300
"EFX","07/24/2013",61.57,61.83,60.71,60.73,57.4803,569400
"EFX","07/23/2013",61.64,61.73,61.23,61.49,58.19964,502800
"EFX","07/22/2013",61.45,61.71,61.31,61.69,58.38892,427900
"EFX","07/19/2013",61.34,61.61,60.98,61.44,58.15232,359700
"EFX","07/18/2013",61.09,61.72,60.93,61.6,58.30374,283000
"EFX","07/17/2013",61.21,61.48,60.91,61.05,57.78318,223400
"EFX","07/16/2013",61.37,61.69,60.87,61.05,57.78318,416900
"EFX","07/15/2013",61.15,61.6,61.06,61.4,58.11446,503900
"EFX","07/12/2013",60.99,61.2,60.72,61.09,57.82104,508500
"EFX","07/11/2013",60.88,61.2,60.82,61.05,57.78318,481100
"EFX","07/10/2013",59.81,60.46,59.81,60.4,57.16797,504700
"EFX","07/09/2013",59.98,60.15,59.65,59.83,56.62847,728000
"EFX","07/08/2013",59.92,59.93,59.35,59.66,56.46756,928500
"EFX","07/05/2013",59.38,59.59,59.07,59.54,56.35398,381000
"EFX","07/03/2013",59.01,59.37,58.74,59.03,55.87127,200900
"EFX","07/02/2013",59.37,59.58,58.98,59.29,56.11736,443500
"EFX","07/01/2013",58.95,59.85,58.95,59.41,56.23093,421700
"EFX","06/28/2013",59.02,59.3,58.89,58.93,55.77662,773100
"EFX","06/27/2013",59.01,59.31,58.92,59.2,56.03218,477300
"EFX","06/26/2013",58.77,59.03,58.43,58.65,55.5116,593900
"EFX","06/25/2013",58.43,58.85,58.25,58.59,55.45481,439700
"EFX","06/24/2013",57.97,58.37,57.54,58.02,54.91532,467100
"EFX","06/21/2013",59.9,60.07,58.34,58.45,55.32231,862100
"EFX","06/20/2013",59.95,60.22,59.27,59.4,56.22148,686200
"EFX","06/19/2013",61.37,61.5,60.54,60.55,57.30994,344800
"EFX","06/18/2013",60.31,61.46,59.97,61.3,58.01981,543200
"EFX","06/17/2013",61.28,61.54,60.19,60.31,57.08277,817600
"EFX","06/14/2013",60.7,60.95,60.47,60.8,57.54655,536600
"EFX","06/13/2013",59.7,60.81,59.39,60.74,57.48977,603100
"EFX","06/12/2013",60.36,60.37,59.67,59.67,56.47703,347000
"EFX","06/11/2013",59.94,60.19,59.31,59.98,56.77044,488800
"EFX","06/10/2013",60.53,60.92,60.1,60.35,57.12064,622700
"EFX","06/07/2013",60.12,60.79,59.88,60.35,57.12064,521700
"EFX","06/06/2013",59.79,59.99,59.04,59.8,56.60006,480300
"EFX","06/05/2013",61.16,61.18,59.73,59.79,56.59061,761500
"EFX","06/04/2013",61.16,61.22,60.71,60.92,57.66013,673400
"EFX","06/03/2013",61,61.33,60.5,61.29,58.01033,457000
"EFX","05/31/2013",61.47,61.87,60.88,60.9,57.64121,477600
"EFX","05/30/2013",61.5,62.06,61.36,61.66,58.36053,439900
"EFX","05/29/2013",61.49,61.79,60.8,61.46,58.17124,983300
"EFX","05/28/2013",61.63,62.09,61.32,61.66,58.36053,603500
"EFX","05/24/2013",60.91,61.23,60.59,61.21,57.93462,412000
"EFX","05/23/2013",61.03,61.62,60.63,61.19,57.91569,594300
"EFX","05/22/2013",62.38,62.68,61.31,61.6,58.30374,672600
"EFX","05/22/2013",0,0,0,0,0,0
"EFX","05/21/2013",62.44,62.96,62.34,62.67,59.10826,644500
"EFX","05/20/2013",62.45,62.45,61.22,62.28,58.74043,729000
"EFX","05/17/2013",63.08,63.16,62.34,62.88,59.30634,982400
"EFX","05/16/2013",63.57,63.73,63.08,63.15,59.56099,566100
"EFX","05/15/2013",63.52,63.76,63.52,63.7,60.07972,1119600
"EFX","05/14/2013",63.5,63.73,63.4,63.68,60.06086,830600
"EFX","05/13/2013",63.62,63.87,63.3,63.5,59.89109,466000
"EFX","05/10/2013",63.28,63.91,63.25,63.81,60.18348,708300
"EFX","05/09/2013",62.92,63.52,62.78,63.38,59.77792,651500
"EFX","05/08/2013",62.91,63.12,62.68,62.82,59.24974,598900
"EFX","05/07/2013",62.64,63.24,62.61,62.99,59.41008,499000
"EFX","05/06/2013",62.05,62.58,62.01,62.58,59.02338,576900
"EFX","05/03/2013",61.91,62.81,61.75,62.14,58.60839,979000
"EFX","05/02/2013",61.37,61.72,61.02,61.43,57.93874,911400
"EFX","05/01/2013",60.99,61.71,60.99,61.34,57.85385,973300
"EFX","04/30/2013",60.94,61.34,60.76,61.2,57.72181,1273800
"EFX","04/29/2013",61.35,61.4,60.66,60.92,57.45772,807000
"EFX","04/26/2013",61.84,61.84,61.24,61.33,57.84442,551800
"EFX","04/25/2013",60.34,62,60.34,61.63,58.12738,949900
"EFX","04/24/2013",60.25,60.31,59.85,59.92,56.51456,1379500
"EFX","04/23/2013",59.38,60.11,58.14,59.94,56.53342,1115200
"EFX","04/22/2013",58.7,59.61,58.14,59.26,55.89206,1136600
"EFX","04/19/2013",58.89,58.98,57.71,58.62,55.28844,1241700
"EFX","04/18/2013",58.69,58.9,58.24,58.76,55.42048,762300
"EFX","04/17/2013",58.26,58.72,57.88,58.59,55.26015,852100
"EFX","04/16/2013",58.33,58.64,57.97,58.48,55.1564,761100
"EFX","04/15/2013",58.69,58.85,57.81,57.84,54.55277,872800
"EFX","04/12/2013",58.95,59.2,58.7,58.95,55.59968,709100
"EFX","04/11/2013",58.81,59.37,58.59,59.12,55.76002,808800
"EFX","04/10/2013",58.08,59.08,57.73,58.84,55.49594,778600
"EFX","04/09/2013",57.14,58.17,57.13,57.96,54.66594,557100
"EFX","04/08/2013",56.22,57.02,56.22,56.97,53.73221,668800
"EFX","04/05/2013",56.04,56.31,55.87,56.28,53.08143,585100
"EFX","04/04/2013",56.35,56.71,56,56.69,53.46812,597800
"EFX","04/03/2013",57.27,57.39,56.18,56.21,53.01541,749500
"EFX","04/02/2013",56.99,57.41,56.59,57.36,54.10005,738300
"EFX","04/01/2013",57.46,57.63,56.34,56.74,53.51529,416700
"EFX","03/28/2013",56.59,57.68,56.44,57.59,54.31698,791900
