"symbol","date","open","high","low","close","adjclose","volume"
"EL","12/31/2013",75.39,75.55,74.96,75.32,71.51334,704300
"EL","12/30/2013",74.45,75.18,74.36,75.04,71.2475,683900
"EL","12/27/2013",74.65,75.04,74.13,74.45,70.68732,698600
"EL","12/26/2013",74.6,74.93,74.19,74.64,70.86771,564700
"EL","12/24/2013",74.79,74.88,74.23,74.62,70.84873,295400
"EL","12/23/2013",74.82,75.14,74.2,74.76,70.98165,1055100
"EL","12/20/2013",73.28,75.06,73.28,74.35,70.59238,1200200
"EL","12/19/2013",73.8,74.28,73.65,73.91,70.17461,687800
"EL","12/18/2013",72.71,74.06,72.3,74,70.26006,1459100
"EL","12/17/2013",73.08,73.27,72.34,72.75,69.07324,1040800
"EL","12/16/2013",73.01,73.42,72.49,73.16,69.46251,993900
"EL","12/13/2013",73.05,73.16,71.45,72.64,68.96879,1405700
"EL","12/12/2013",73.56,73.56,72.29,73.07,69.37708,1665900
"EL","12/11/2013",73.73,74.55,73.62,73.82,70.08916,1406200
"EL","12/10/2013",73.6,73.83,73.03,73.6,69.88029,885200
"EL","12/09/2013",73.97,74.35,73.48,73.89,70.15562,659800
"EL","12/06/2013",73.41,73.96,73.34,73.71,69.98472,836400
"EL","12/05/2013",73.01,73.29,72.62,72.73,69.05424,1901600
"EL","12/04/2013",73.92,74.1,72.56,73.1,69.40556,2279000
"EL","12/03/2013",74.55,74.57,73.89,74.49,70.7253,1774700
"EL","12/02/2013",74.99,75.29,74.45,74.88,71.09558,1136800
"EL","11/29/2013",75.26,75.77,74.93,74.96,71.17155,595700
"EL","11/27/2013",74.96,75.42,74.48,75.25,71.44689,1131500
"EL","11/26/2013",74.44,75.46,74.43,75.07,71.27599,1382000
"EL","11/26/2013",0,0,0,0,0,0
"EL","11/25/2013",74.93,75.22,74.17,74.32,70.37399,935900
"EL","11/22/2013",74.09,75.02,74.05,75.01,71.02737,1763300
"EL","11/21/2013",73.5,74.07,73.24,74.01,70.08047,1127500
"EL","11/20/2013",72.89,73.91,72.5,73.3,69.40816,1291000
"EL","11/19/2013",72.69,72.97,72.31,72.56,68.70744,1113600
"EL","11/18/2013",73.62,73.69,72.65,72.86,68.99152,956700
"EL","11/15/2013",73.23,73.67,72.53,73.67,69.75851,1542100
