"symbol","date","open","high","low","close","adjclose","volume"
"EXC","12/31/2013",27.54,27.68,27.28,27.39,23.58504,5990800
"EXC","12/30/2013",27.16,27.55,27.16,27.48,23.66254,6644300
"EXC","12/27/2013",27.25,27.45,27.13,27.15,23.37838,5190800
"EXC","12/26/2013",27.36,27.45,27.16,27.19,23.41282,4314000
"EXC","12/24/2013",27.05,27.35,27.05,27.29,23.49894,3008500
"EXC","12/23/2013",27.35,27.56,27.09,27.14,23.36977,7468100
"EXC","12/20/2013",27.26,27.69,27.07,27.26,23.4731,15041900
"EXC","12/19/2013",27.74,27.77,27.12,27.22,23.43866,8965000
"EXC","12/18/2013",27.72,27.96,27.24,27.93,24.05002,8901400
"EXC","12/17/2013",27.76,27.85,27.59,27.73,23.87781,6953500
"EXC","12/16/2013",27.69,28.02,27.69,27.78,23.92086,7439400
"EXC","12/13/2013",27.87,28.04,27.53,27.7,23.85198,5259400
"EXC","12/12/2013",27.92,28.16,27.76,27.9,24.02419,6389700
"EXC","12/11/2013",28.16,28.28,27.92,28.01,24.11891,8753000
"EXC","12/10/2013",28.47,28.48,28.1,28.2,24.28251,8036900
"EXC","12/09/2013",28.43,28.5,28.12,28.47,24.51501,7622300
"EXC","12/06/2013",27.88,28.47,27.8,28.44,24.48918,10564800
"EXC","12/05/2013",27.68,27.81,27.12,27.81,23.9467,8978100
"EXC","12/04/2013",27.31,27.75,27.21,27.7,23.85198,6298900
"EXC","12/03/2013",26.78,27.42,26.74,27.41,23.60226,7430100
"EXC","12/02/2013",26.95,27.09,26.64,26.9,23.16311,6551900
"EXC","11/29/2013",26.94,27.22,26.89,26.91,23.17172,2698000
"EXC","11/27/2013",26.91,27.05,26.87,26.94,23.19756,5061500
"EXC","11/26/2013",27.23,27.23,26.92,26.95,23.20617,5950700
"EXC","11/25/2013",27.35,27.37,27.08,27.23,23.44727,8766500
"EXC","11/22/2013",27.64,27.74,27.33,27.35,23.5506,4956400
"EXC","11/21/2013",27.63,27.93,27.55,27.65,23.80892,5914600
"EXC","11/20/2013",27.9,28.17,27.58,27.6,23.76586,6054400
"EXC","11/19/2013",28,28.11,27.62,27.72,23.8692,6382000
