"symbol","date","open","high","low","close","adjclose","volume"
"EXPD","12/31/2013",44.37,44.48,44.03,44.25,41.69744,561900
"EXPD","12/30/2013",44.16,44.26,44.03,44.15,41.60321,427300
"EXPD","12/27/2013",43.7,44.2,43.57,44.16,41.61263,817300
"EXPD","12/26/2013",43.55,43.71,43.42,43.63,41.1132,478600
"EXPD","12/24/2013",43.72,43.85,43.35,43.47,40.96243,303300
"EXPD","12/23/2013",43.02,43.87,43.02,43.58,41.06609,915900
"EXPD","12/20/2013",43.07,43.58,42.86,43.55,41.03782,1660200
"EXPD","12/19/2013",43.03,43.2,42.81,42.96,40.48185,899700
"EXPD","12/18/2013",42.65,43.11,42.28,43.1,40.61378,873300
"EXPD","12/17/2013",42.69,42.8,42.29,42.7,40.23685,1175000
"EXPD","12/16/2013",43.16,43.4,42.78,42.8,40.33109,793700
"EXPD","12/13/2013",42.78,43.12,42.59,43.02,40.53839,919500
"EXPD","12/12/2013",42.49,42.82,42.41,42.63,40.17089,930400
"EXPD","12/11/2013",42.74,42.85,42.32,42.5,40.04839,1899100
"EXPD","12/10/2013",43.29,43.48,42.64,42.81,40.3405,1198600
"EXPD","12/09/2013",43.52,43.69,43.37,43.41,40.90589,855500
"EXPD","12/06/2013",43.82,43.82,43.37,43.44,40.93416,929800
"EXPD","12/05/2013",43.21,43.52,43.05,43.18,40.68916,1282700
"EXPD","12/04/2013",42.97,43.57,42.88,43.31,40.81166,1003900
"EXPD","12/03/2013",43.26,43.4,42.97,43.27,40.77398,803300
"EXPD","12/02/2013",43.91,43.91,43.31,43.43,40.92474,993300
"EXPD","11/29/2013",43.31,43.86,43.3,43.44,40.93416,490300
"EXPD","11/27/2013",43.32,43.61,43.17,43.52,41.00955,701300
"EXPD","11/27/2013",0,0,0,0,0,0
"EXPD","11/26/2013",43.77,43.88,43.36,43.45,40.66089,988600
"EXPD","11/25/2013",43.8,43.9,43.45,43.77,40.96035,869200
"EXPD","11/22/2013",43.88,43.88,43.44,43.62,40.81997,957300
"EXPD","11/21/2013",43.51,43.86,43.47,43.79,40.97907,794300
"EXPD","11/20/2013",43.37,43.56,43.18,43.43,40.64217,1129900
"EXPD","11/19/2013",43.17,43.5,43.04,43.35,40.56731,1694200
"EXPD","11/18/2013",43.39,43.53,43.17,43.31,40.52988,665300
"EXPD","11/15/2013",43.32,43.4,42.86,43.33,40.54859,795500
"EXPD","11/14/2013",43.05,43.43,42.85,43.23,40.45501,837000
"EXPD","11/13/2013",42.47,43.1,42.29,43.1,40.33336,935600
