"symbol","date","open","high","low","close","adjclose","volume"
"FFIV","12/31/2013",90.2,91.28,89.77,90.86,90.86,953100
"FFIV","12/30/2013",89.27,90.79,88.89,89.89,89.89,930200
"FFIV","12/27/2013",89.22,89.83,89,89.22,89.22,702100
"FFIV","12/26/2013",89.5,89.85,89.1,89.28,89.28,905800
"FFIV","12/24/2013",89.5,89.95,89.33,89.44,89.44,533000
"FFIV","12/23/2013",88.5,89.85,87.92,89.51,89.51,2078000
"FFIV","12/20/2013",85.82,88.5,85.15,88.1,88.1,3313700
"FFIV","12/19/2013",83.58,85.53,83.58,84.98,84.98,1367100
"FFIV","12/18/2013",83.95,84.26,82.53,84.11,84.11,1435300
"FFIV","12/17/2013",83.73,85.14,83.63,84.25,84.25,1701000
"FFIV","12/16/2013",82.42,84.17,81.79,83.44,83.44,1962000
"FFIV","12/13/2013",82.4,82.47,81.22,81.47,81.47,982500
"FFIV","12/12/2013",83.92,84.43,81.71,81.99,81.99,1493800
"FFIV","12/11/2013",85.5,85.5,84.14,84.24,84.24,1955500
"FFIV","12/10/2013",84.81,85.31,84.49,84.72,84.72,1162500
"FFIV","12/09/2013",83.94,85.61,83.69,85.18,85.18,1581800
"FFIV","12/06/2013",82.56,84.04,81.2,83.59,83.59,1772300
"FFIV","12/05/2013",82.62,82.84,81.48,81.5,81.5,1586300
"FFIV","12/04/2013",81.58,83.25,81.53,82.81,82.81,2270700
"FFIV","12/03/2013",81.36,82.27,81.25,82.08,82.08,1289900
"FFIV","12/02/2013",82.11,82.55,81.8,82.05,82.05,935300
"FFIV","11/29/2013",82.56,82.68,81.78,82.26,82.26,625400
"FFIV","11/27/2013",81.88,82.65,81.36,82.38,82.38,1276100
"FFIV","11/26/2013",81.22,82.69,80.76,81.84,81.84,2178000
"FFIV","11/25/2013",82.97,83.01,80.82,80.9,80.9,1401400
"FFIV","11/22/2013",83.2,83.43,81.67,82.94,82.94,1228800
"FFIV","11/21/2013",82.07,83.18,81.6,82.91,82.91,918400
"FFIV","11/20/2013",82.29,83.32,81.39,81.56,81.56,906400
"FFIV","11/19/2013",83.71,84,81.05,82.02,82.02,1785200
"FFIV","11/18/2013",84.74,85.41,83.78,83.89,83.89,1654900
"FFIV","11/15/2013",84.23,85.49,83.93,84.62,84.62,1673500
"FFIV","11/14/2013",83.32,85.12,82.06,84.05,84.05,2406100
"FFIV","11/13/2013",83.85,85.31,83.81,84.64,84.64,2064400
"FFIV","11/12/2013",83.5,84.87,83.5,84.13,84.13,1981800
"FFIV","11/11/2013",82.23,83.18,81.33,82.86,82.86,1577600
"FFIV","11/08/2013",80.37,82.13,80.34,82.02,82.02,1911900
"FFIV","11/07/2013",81.11,81.79,80.12,80.39,80.39,1618500
"FFIV","11/06/2013",80.34,81.42,79.9,81.2,81.2,1594100
"FFIV","11/05/2013",79.6,80.56,79.11,79.74,79.74,1962700
"FFIV","11/04/2013",79.73,80.47,78.14,79.55,79.55,2533200
"FFIV","11/01/2013",81.47,81.9,78.74,79.43,79.43,7302400
"FFIV","10/31/2013",83.33,83.5,81.07,81.54,81.54,2737600
"FFIV","10/30/2013",84.64,84.75,83,83.49,83.49,1326800
"FFIV","10/29/2013",84.5,85.32,83.16,84.16,84.16,2091900
"FFIV","10/28/2013",82.55,84.86,82.52,84.28,84.28,2697800
"FFIV","10/25/2013",85.5,85.88,82.36,82.71,82.71,3222200
"FFIV","10/24/2013",88.04,91.68,84.2,85.15,85.15,6629900
"FFIV","10/23/2013",90.49,90.83,85.58,86.31,86.31,5614100
"FFIV","10/22/2013",91.23,91.71,89.53,90.65,90.65,2046500
"FFIV","10/21/2013",88.18,90.12,88.01,90.11,90.11,1687800
"FFIV","10/18/2013",86.64,88.06,85.92,87.81,87.81,1877500
"FFIV","10/17/2013",87.5,88.06,85.87,85.92,85.92,2228300
"FFIV","10/16/2013",88.36,88.6,87.41,88.52,88.52,1322300
"FFIV","10/15/2013",89.9,90.37,87.51,87.55,87.55,2005300
"FFIV","10/14/2013",89.62,90.59,88.98,90.21,90.21,1081200
"FFIV","10/11/2013",88.77,91.1,88.32,90.5,90.5,1105700
"FFIV","10/10/2013",87.73,89.5,87.51,89.22,89.22,1529000
"FFIV","10/09/2013",89.27,89.89,86.02,87.9,87.9,1472400
"FFIV","10/08/2013",91.99,92.73,88.7,88.79,88.79,1782300
"FFIV","10/07/2013",90.86,93.25,90.51,92.02,92.02,1592900
"FFIV","10/04/2013",89.89,91.68,89.5,91.54,91.54,1408600
"FFIV","10/03/2013",89.96,91.14,87.65,88.45,88.45,1245100
"FFIV","10/02/2013",88.18,89.96,87.94,89.88,89.88,1095500
"FFIV","10/01/2013",86.1,89.1,85.58,88.97,88.97,1533000
"FFIV","09/30/2013",86,86.87,85.31,85.81,85.81,964500
"FFIV","09/27/2013",87.46,87.98,86.37,86.8,86.8,715200
"FFIV","09/26/2013",88.2,89.57,87.31,88.1,88.1,943500
"FFIV","09/25/2013",86.97,88.35,86.04,87.99,87.99,1130400
