"symbol","date","open","high","low","close","adjclose","volume"
"FLR","12/31/2013",79.92,80.45,79.6,80.29,75.4306,929400
"FLR","12/30/2013",79.96,80.36,79.64,79.88,75.04539,734000
"FLR","12/27/2013",80.06,80.34,79.52,79.76,74.93265,854700
"FLR","12/26/2013",79.5,80.18,79.39,79.98,75.13934,608100
"FLR","12/24/2013",79.02,79.55,78.9,79.27,74.47232,401900
"FLR","12/23/2013",79.69,79.88,78.68,79.02,74.23744,740800
"FLR","12/20/2013",79.11,79.52,78.74,79.37,74.56627,1895100
"FLR","12/19/2013",77.74,79.01,77.43,78.83,74.05895,1628500
"FLR","12/18/2013",76.07,78.06,75.84,77.94,73.2228,1710000
"FLR","12/17/2013",75.96,76.5,75.44,75.8,71.21233,1222500
"FLR","12/16/2013",75.5,76.31,75.42,75.94,71.34387,1370400
"FLR","12/13/2013",75,75.6,74.59,74.79,70.26345,1286100
"FLR","12/12/2013",75.63,76.01,74.77,74.84,70.31043,1536900
"FLR","12/11/2013",77.88,77.97,75.32,75.59,71.01505,1117600
"FLR","12/10/2013",76.82,77.99,76.81,77.65,72.95035,1275600
"FLR","12/09/2013",77.41,77.58,76.68,76.86,72.20816,1131900
"FLR","12/06/2013",77.09,77.78,76.62,77.41,72.72488,815100
"FLR","12/05/2013",76.46,77.39,75.91,76.16,71.55054,1056600
"FLR","12/04/2013",76.77,78.22,76.02,76.82,72.17059,1008400
"FLR","12/03/2013",77.34,77.69,76.66,77.26,72.58397,1055000
"FLR","12/02/2013",77.9,78.5,76.62,77.92,73.204,949000
"FLR","11/29/2013",78.23,78.44,77.6,77.81,73.10067,448100
"FLR","11/27/2013",78.93,79.2,78.12,78.17,73.43888,794400
"FLR","11/27/2013",0,0,0,0,0,0
"FLR","11/26/2013",78.06,79.95,78.05,78.87,73.9462,2065300
"FLR","11/25/2013",79.03,79.03,77.41,78.29,73.40243,1290400
"FLR","11/22/2013",77.98,78.68,77.36,78.63,73.72118,1238300
"FLR","11/21/2013",76.72,78.18,76.71,78,73.13052,1088100
"FLR","11/20/2013",77.05,77.93,76.01,76.22,71.46163,974500
"FLR","11/19/2013",77.75,77.78,76.47,77.04,72.23045,1263600
"FLR","11/18/2013",79.64,79.95,77.84,78.04,73.16804,1389000
"FLR","11/15/2013",79.49,79.68,78.82,79.36,74.40562,850200
"FLR","11/14/2013",79.37,79.47,78.44,79.35,74.39623,876800
"FLR","11/13/2013",76.47,79.22,76.19,79.08,74.1431,1869100
"FLR","11/12/2013",77.67,77.96,77.21,77.48,72.64298,1316000
"FLR","11/11/2013",77.44,78.14,77.07,77.85,72.98989,1237500
"FLR","11/08/2013",75.47,77.96,75.33,77.92,73.05552,1882000
"FLR","11/07/2013",76.99,77.55,75.55,75.67,70.94597,1782100
"FLR","11/06/2013",76.3,76.89,75.79,76.66,71.87417,1657700
"FLR","11/05/2013",75.19,76.43,74.84,76.21,71.45226,2591600
"FLR","11/04/2013",75.26,75.84,74.54,75.81,71.07724,1326600
"FLR","11/01/2013",73.89,76.84,73.15,74.9,70.22404,3263000
"FLR","10/31/2013",75.17,75.22,73.8,74.22,69.58648,2571100
"FLR","10/30/2013",76.81,77,75.78,76.01,71.26476,1405400
"FLR","10/29/2013",77.04,77.3,76.39,76.88,72.08043,1192200
"FLR","10/28/2013",76.44,76.78,75.93,76.57,71.78979,1340800
"FLR","10/25/2013",76.97,76.99,75.31,76.31,71.54601,1454200
"FLR","10/24/2013",76.5,77.14,76.3,76.88,72.08043,1182800
"FLR","10/23/2013",76.4,77.16,75.31,76.47,71.69604,1162800
"FLR","10/22/2013",77,78.23,76.86,77.05,72.23982,958500
"FLR","10/21/2013",77.13,77.29,76.15,76.7,71.91168,945900
"FLR","10/18/2013",76.13,77.56,75.85,77.19,72.37109,1830400
"FLR","10/17/2013",73.74,75.82,73.74,75.55,70.83346,1492800
"FLR","10/16/2013",73.22,74.22,72.5,74.15,69.52088,1416600
"FLR","10/15/2013",73.43,73.7,72.46,72.75,68.20827,1302100
"FLR","10/14/2013",72.34,73.86,72.03,73.74,69.13647,1102000
"FLR","10/11/2013",72.1,73.37,71.91,72.98,68.42391,1034500
"FLR","10/10/2013",70.54,71.93,70.54,71.74,67.26132,953600
"FLR","10/09/2013",70.13,70.62,68.93,69.6,65.25491,1533200
"FLR","10/08/2013",71.06,71.76,69.51,69.69,65.33931,1195000
"FLR","10/07/2013",71.34,71.98,70.78,71.29,66.83942,1037700
"FLR","10/04/2013",71.79,72.31,71.33,71.87,67.38321,1009700
"FLR","10/03/2013",73.5,73.75,71.01,71.89,67.40196,1427700
"FLR","10/02/2013",71.37,73.28,71.36,73.2,68.63018,1655900
"FLR","10/01/2013",70.77,72.49,70.55,71.93,67.43946,968600
"FLR","09/30/2013",70.12,71.16,70.03,70.96,66.53001,1001400
"FLR","09/27/2013",71.34,71.72,70.76,71.05,66.61441,1295300
"FLR","09/26/2013",72,72.13,71.47,72.03,67.53322,1068100
"FLR","09/25/2013",71.27,72.13,70.68,71.9,67.41134,1314400
"FLR","09/24/2013",70.82,72.05,70.77,71.33,66.87691,1295400
"FLR","09/23/2013",71.75,71.94,70.45,70.92,66.49252,1501000
"FLR","09/20/2013",73.37,74.72,71.83,72.01,67.51447,3790700
"FLR","09/19/2013",70.18,71.62,70.06,71.45,66.98942,1944000
"FLR","09/18/2013",68.18,70.74,67.96,69.91,65.54556,1717600
"FLR","09/17/2013",67.87,68.22,67.54,68.04,63.7923,688500
"FLR","09/16/2013",68.7,68.98,67.64,67.86,63.62355,1368300
"FLR","09/13/2013",67.9,68.24,67.14,67.21,63.01412,958200
"FLR","09/12/2013",67.14,68.48,67,67.72,63.49228,1549200
"FLR","09/11/2013",66.42,67.49,66.4,67.15,62.95787,975000
"FLR","09/10/2013",66.35,66.86,66.21,66.72,62.55473,2088900
"FLR","09/09/2013",64.91,66.38,64.91,65.89,61.77655,1172500
"FLR","09/06/2013",65.3,65.55,64.52,64.58,60.54832,984200
"FLR","09/05/2013",64.06,65.14,64.05,65,60.9421,776100
"FLR","09/04/2013",63.51,64.33,63.3,64.13,60.12641,676200
"FLR","09/03/2013",64.08,64.68,63.21,63.54,59.57325,938800
"FLR","08/30/2013",64.03,64.14,63.17,63.43,59.47012,927000
"FLR","08/29/2013",63.89,64.46,63.77,63.9,59.91078,1252500
"FLR","08/29/2013",0,0,0,0,0,0
"FLR","08/28/2013",64.56,64.75,64.08,64.31,60.14516,1083800
"FLR","08/27/2013",65.63,65.69,64.5,64.73,60.53796,1472500
"FLR","08/26/2013",66.32,67.02,66.25,66.48,62.17463,1104000
"FLR","08/23/2013",66.33,66.33,65.23,66.08,61.80053,937900
"FLR","08/22/2013",65.71,66.69,65.63,66.28,61.98758,679100
"FLR","08/21/2013",64.76,66,64.66,65.25,61.02428,1282800
"FLR","08/20/2013",65.29,65.75,64.75,65.05,60.83724,1876100
"FLR","08/19/2013",65.86,66.02,64.86,65.06,60.8466,1252800
"FLR","08/16/2013",65.74,66.6,65.62,66.19,61.90341,1026600
"FLR","08/15/2013",65.82,66.3,65.31,65.95,61.67896,1402700
"FLR","08/14/2013",65.92,66.74,65.54,66.43,62.12786,1344200
"FLR","08/13/2013",65.74,66.1,65.34,65.81,61.54803,1145700
"FLR","08/12/2013",65.4,65.92,65.23,65.55,61.30487,1419900
"FLR","08/09/2013",66.02,66.25,65.34,65.98,61.70701,1787700
"FLR","08/08/2013",65.5,66.7,64.94,66.04,61.76313,2553100
"FLR","08/07/2013",65.37,65.47,64.22,65.21,60.98687,2039800
"FLR","08/06/2013",66.53,66.65,64.89,65.55,61.30487,2970100
"FLR","08/05/2013",66.32,66.91,65.82,66.7,62.38038,1297100
"FLR","08/02/2013",64.92,67.06,64.33,66.53,62.22139,2620100
"FLR","08/01/2013",63.19,65.46,61.68,65.04,60.8279,2593500
"FLR","07/31/2013",60.9,63.4,60.9,62.56,58.5085,2884400
"FLR","07/30/2013",60.58,60.86,60.14,60.73,56.79701,2057300
"FLR","07/29/2013",61.34,61.38,59.98,60.3,56.39485,1629600
"FLR","07/26/2013",61.58,62.17,61.11,61.6,57.61067,1562900
"FLR","07/25/2013",62.07,62.77,61.75,62.1,58.07829,1315500
"FLR","07/24/2013",63.1,63.38,62.21,62.29,58.25598,1015700
"FLR","07/23/2013",63.12,63.15,62.64,62.95,58.87325,802100
"FLR","07/22/2013",62.62,63.05,62.23,63.01,58.92936,1017100
"FLR","07/19/2013",62.33,63.12,62,62.84,58.77036,1406300
"FLR","07/18/2013",61.36,62.56,61.36,62.27,58.23728,1130800
"FLR","07/17/2013",61.63,61.76,61.06,61.27,57.30204,918400
"FLR","07/16/2013",62,62.15,60.65,61.17,57.20852,1146400
"FLR","07/15/2013",61.5,62.07,61.35,61.84,57.83513,882500
"FLR","07/12/2013",61.07,61.86,60.7,61.49,57.50779,1255200
