"symbol","date","open","high","low","close","adjclose","volume"
"FOX","12/31/2013",34.59,34.65,34.42,34.6,33.13449,1922600
"FOX","12/30/2013",34.3,34.66,34.11,34.44,32.98126,1961600
"FOX","12/27/2013",34.5,34.54,34.27,34.37,32.91423,7614300
"FOX","12/26/2013",33.91,34.48,33.91,34.4,32.94297,1809800
"FOX","12/24/2013",34.13,34.18,33.84,34.14,32.69397,491900
"FOX","12/23/2013",33.41,33.96,33.27,33.92,32.48329,1363000
"FOX","12/20/2013",33.41,33.84,33.31,33.58,32.1577,1594500
"FOX","12/19/2013",32.65,33.31,32.5,33.22,31.81295,2991500
"FOX","12/18/2013",32.34,32.65,31.78,32.59,31.20963,2323500
"FOX","12/17/2013",31.96,32.03,31.58,31.95,30.59673,3228000
"FOX","12/16/2013",31.84,32.19,31.84,32.01,30.65419,3452000
"FOX","12/13/2013",31.47,32.25,31.42,32.08,30.72123,4289100
"FOX","12/12/2013",31.18,31.85,31.18,31.65,30.30944,3564400
"FOX","12/11/2013",32.25,32.39,31.69,31.74,30.39563,1469800
"FOX","12/10/2013",31.93,32.44,31.93,32.31,30.94149,2515900
"FOX","12/09/2013",32.24,32.35,31.96,32.09,30.7308,3061100
"FOX","12/06/2013",32.6,32.6,31.85,32.16,30.79784,3258400
"FOX","12/05/2013",32.17,32.29,31.93,31.96,30.60631,1460600
"FOX","12/04/2013",32.87,32.87,32.17,32.33,30.96064,1367800
"FOX","12/03/2013",32.74,33.02,32.43,32.75,31.36285,1008200
"FOX","12/02/2013",32.95,33.2,32.86,32.98,31.58311,1731900
"FOX","11/29/2013",33.11,33.29,32.8,33.03,31.63099,1012900
"FOX","11/27/2013",32.82,32.93,32.58,32.87,31.47776,1749700
"FOX","11/26/2013",32.55,32.95,32.47,32.66,31.27666,1528400
"FOX","11/25/2013",32.96,33.16,32.67,32.72,31.33412,1353500
"FOX","11/22/2013",32.98,33.1,32.82,32.96,31.56396,1616400
"FOX","11/21/2013",32.89,33.17,32.79,32.89,31.49692,1363800
"FOX","11/20/2013",32.94,33.33,32.68,32.82,31.42988,1000200
"FOX","11/19/2013",33.21,33.49,32.91,32.96,31.56396,1291800
"FOX","11/18/2013",33.94,33.94,33.25,33.42,32.00447,1011900
"FOX","11/15/2013",33.85,34.05,33.66,33.85,32.41626,941500
"FOX","11/14/2013",33.19,34.02,33.19,33.79,32.3588,1634000
"FOX","11/13/2013",32.82,33.41,32.62,33.36,31.94701,1243700
"FOX","11/12/2013",33.08,33.13,32.6,32.93,31.53522,1616300
"FOX","11/11/2013",33.47,33.53,33.17,33.24,31.8321,723000
"FOX","11/08/2013",32.91,33.64,32.77,33.61,32.18642,2432700
"FOX","11/07/2013",33.77,33.89,32.54,32.68,31.29581,2416500
"FOX","11/06/2013",34.21,35.19,33.57,33.76,32.33007,2044100
"FOX","11/05/2013",33.69,33.91,33.38,33.87,32.43541,1505400
"FOX","11/04/2013",34.47,34.47,33.78,34.02,32.57905,920800
"FOX","11/01/2013",34,34.37,33.98,34.22,32.77059,1430400
"FOX","10/31/2013",34,34.34,33.87,34.02,32.57905,2316400
"FOX","10/30/2013",34.6,34.74,33.59,33.84,32.40668,3214500
"FOX","10/29/2013",34.49,34.71,34.32,34.58,33.11534,1164800
"FOX","10/28/2013",34.65,34.81,34.52,34.62,33.15364,1445000
"FOX","10/25/2013",34.88,35.04,34.53,34.64,33.1728,1467200
"FOX","10/24/2013",34.3,34.9,34.3,34.85,33.3739,2041700
"FOX","10/23/2013",34.6,34.74,34.32,34.51,33.0483,1960000
"FOX","10/22/2013",34.52,34.85,34.29,34.74,33.26856,1123500
"FOX","10/21/2013",34.06,34.46,34.06,34.25,32.79931,1459500
"FOX","10/18/2013",34.38,34.47,34.17,34.21,32.76101,1369200
"FOX","10/17/2013",33.86,34.28,33.72,34.23,32.78016,1701400
"FOX","10/16/2013",33.68,34.02,33.59,33.91,32.47371,1664700
"FOX","10/15/2013",33.39,33.64,33.3,33.35,31.93743,1243200
"FOX","10/14/2013",33.04,33.67,32.82,33.58,32.1577,1065500
"FOX","10/11/2013",32.51,33.15,32.51,33.15,31.74591,1319500
"FOX","10/10/2013",32.45,32.93,32.31,32.78,31.39158,1698200
"FOX","10/09/2013",32.62,32.62,31.98,32.18,30.81699,2982800
"FOX","10/08/2013",33.05,33.12,32.37,32.42,31.04683,1092900
"FOX","10/07/2013",33.14,33.47,33.01,33.03,31.63099,893400
"FOX","10/04/2013",33.27,33.67,33.02,33.59,32.16727,2236700
"FOX","10/03/2013",33.58,33.71,32.98,33.17,31.76506,2516100
"FOX","10/02/2013",33.89,33.94,33.53,33.64,32.21515,2102200
"FOX","10/01/2013",33.38,34.04,33.06,33.94,32.50245,2066300
"FOX","09/30/2013",33.11,33.53,32.86,33.4,31.98532,1498500
"FOX","09/27/2013",32.9,33.42,32.86,33.27,31.86082,1784700
"FOX","09/26/2013",32.74,33.02,32.73,32.99,31.59268,1042200
"FOX","09/25/2013",32.39,32.78,32.27,32.66,31.27666,1321900
"FOX","09/24/2013",32.83,32.92,32.51,32.55,31.17132,1130500
"FOX","09/23/2013",33.24,33.24,32.68,32.73,31.34369,1372000
"FOX","09/20/2013",32.77,33.29,32.77,33,31.60226,1469900
"FOX","09/19/2013",32.91,32.92,32.45,32.82,31.42988,851200
"FOX","09/18/2013",32.5,33.02,32.33,32.77,31.382,978200
"FOX","09/17/2013",32.8,32.81,32.49,32.6,31.2192,1403900
"FOX","09/16/2013",33.24,33.33,32.57,32.64,31.25751,1160900
"FOX","09/13/2013",32.5,32.68,32.14,32.65,31.26709,922200
"FOX","09/12/2013",32.59,32.59,32.19,32.34,30.97022,886100
"FOX","09/11/2013",32.33,32.65,32.29,32.51,31.13302,976200
"FOX","09/10/2013",32.41,32.46,32.13,32.25,30.88403,555500
"FOX","09/09/2013",32.04,32.43,31.82,32.17,30.80742,1253900
"FOX","09/09/2013",0,0,0,0,0,0
"FOX","09/06/2013",32.23,32.41,31.48,32.16,30.67813,1516800
"FOX","09/05/2013",31.97,32.19,31.81,32.01,30.53505,667800
"FOX","09/04/2013",31.74,32.22,31.66,32.03,30.55412,1049000
"FOX","09/03/2013",32.38,32.39,31.67,31.79,30.32519,2642000
"FOX","08/30/2013",31.6,31.73,31.18,31.39,29.94361,1326600
"FOX","08/29/2013",31.41,31.92,31.37,31.51,30.05808,1525000
"FOX","08/28/2013",31.73,31.87,31.33,31.66,30.20117,1365100
"FOX","08/27/2013",31.83,31.99,31.47,31.65,30.19163,1564400
