"symbol","date","open","high","low","close","adjclose","volume"
"FTI","12/31/2013",51.77,52.26,51.56,52.21,44.55587,1154600
"FTI","12/30/2013",52.16,52.34,51.24,51.54,43.98409,1330200
"FTI","12/27/2013",52.36,52.42,51.85,51.9,44.29131,1470300
"FTI","12/26/2013",52.96,52.96,52,52.27,44.60707,982800
"FTI","12/24/2013",51.8,52.38,51.65,52.21,44.55587,577600
"FTI","12/23/2013",52.67,52.69,51.6,51.64,44.06943,1128500
"FTI","12/20/2013",52.19,52.61,51.94,52.3,44.63267,2185600
"FTI","12/19/2013",52.67,52.71,51.3,51.92,44.30838,2252400
"FTI","12/18/2013",53.11,53.11,51.69,52.76,45.02523,2688500
"FTI","12/17/2013",53.02,53.48,52.76,53.16,45.36659,2220900
"FTI","12/16/2013",52.33,53.3,52.22,53.1,45.31539,3096000
"FTI","12/13/2013",50.96,51.6,50.88,51.56,44.00116,2486400
"FTI","12/12/2013",50.46,51.41,50.34,51.01,43.53179,2049000
"FTI","12/11/2013",50.11,50.94,50.02,50.56,43.14776,2675100
"FTI","12/10/2013",50.95,51.31,50.13,50.15,42.79787,1939300
"FTI","12/09/2013",50.61,51.3,50.43,50.98,43.50619,2444500
"FTI","12/06/2013",50.87,51.12,50.38,50.72,43.2843,1997400
"FTI","12/05/2013",49.92,50.5,49.81,50.21,42.84907,2275300
"FTI","12/04/2013",48.28,49.41,48.16,49.29,42.06395,1985300
"FTI","12/03/2013",47.92,48.71,47.84,48.5,41.38976,1515800
"FTI","12/02/2013",48.21,48.81,47.65,48.21,41.14228,1386200
"FTI","11/29/2013",48.01,48.58,47.75,48.1,41.0484,685800
"FTI","11/27/2013",47.82,48.17,47.58,47.78,40.77531,1521100
"FTI","11/26/2013",48.01,48.31,47.76,48,40.96306,2143400
"FTI","11/25/2013",48.93,49.13,48.01,48.2,41.13374,1761200
"FTI","11/22/2013",49.37,49.8,48.78,49.04,41.85059,2677300
"FTI","11/21/2013",49,49.67,48.9,49.45,42.20049,2510500
