"symbol","date","open","high","low","close","adjclose","volume"
"HCN","12/31/2013",53.36,53.73,53.11,53.57,43.98662,2408300
"HCN","12/30/2013",53.2,53.55,53,53.44,43.87988,1468400
"HCN","12/27/2013",53.22,53.24,52.86,53.2,43.68281,1540700
"HCN","12/26/2013",53.09,53.47,52.82,53.05,43.55964,1467800
"HCN","12/24/2013",53,53.33,52.76,53.09,43.59249,787500
"HCN","12/23/2013",53.48,53.56,52.9,52.96,43.48574,2116800
"HCN","12/20/2013",52.81,53.32,52.67,53.11,43.60891,3759600
"HCN","12/19/2013",54.26,54.26,52.43,52.58,43.17373,3333300
"HCN","12/18/2013",53.85,54.75,53.06,54.66,44.88162,3257700
"HCN","12/17/2013",53.8,53.98,53.69,53.83,44.20011,2060400
"HCN","12/16/2013",54,54.21,53.58,53.68,44.07695,2034500
"HCN","12/13/2013",53.61,54.4,53.6,53.91,44.2658,1790300
"HCN","12/12/2013",54.22,54.33,53.31,53.64,44.0441,2400900
"HCN","12/11/2013",55.55,55.64,54.2,54.22,44.52033,2186400
"HCN","12/10/2013",55.45,55.85,55.4,55.52,45.58777,1663100
"HCN","12/09/2013",55.15,55.49,54.85,55.38,45.47281,1919700
"HCN","12/06/2013",55.47,55.58,54.97,55.16,45.29218,1433000
"HCN","12/05/2013",55.11,55.48,54.65,55.18,45.3086,2137100
"HCN","12/04/2013",55.01,55.55,54.51,55.11,45.25112,2301600
"HCN","12/03/2013",55.74,55.85,55.3,55.34,45.43998,1558300
"HCN","12/02/2013",56.16,56.24,55.27,55.75,45.77663,1923600
"HCN","11/29/2013",56.03,57.17,55.9,55.99,45.97369,1251100
"HCN","11/27/2013",56.3,56.87,56.09,56.77,46.61415,1508200
"HCN","11/26/2013",57.22,57.42,55.9,56.18,46.1297,2854900
"HCN","11/25/2013",57.7,57.88,56.85,57.33,47.07398,2293200
"HCN","11/22/2013",58.64,58.8,57.56,57.76,47.42705,2048800
"HCN","11/21/2013",58.5,58.87,58.33,58.73,48.22353,1561300
"HCN","11/20/2013",59.49,59.79,58.16,58.48,48.01825,1703400
"HCN","11/19/2013",60.01,60.09,59.34,59.44,48.80651,1505600
"HCN","11/18/2013",60.44,60.73,60.05,60.1,49.34843,1278700
"HCN","11/15/2013",60.46,60.91,60.19,60.51,49.68508,1469900
"HCN","11/14/2013",60.01,60.99,59.98,60.56,49.72614,1467400
"HCN","11/13/2013",59.58,59.99,59.26,59.99,49.25812,2491000
"HCN","11/12/2013",60,60.19,59.34,59.64,48.97074,1683900
"HCN","11/11/2013",60.41,60.84,59.92,60.08,49.33202,1692900
"HCN","11/08/2013",61,61,59.5,60.41,49.60297,2373300
"HCN","11/07/2013",62.71,62.83,61.37,61.43,50.44051,1526300
"HCN","11/07/2013",0,0,0,0,0,0
"HCN","11/06/2013",63,63.56,62.85,63.27,51.3232,1411100
"HCN","11/05/2013",64.71,64.75,62.7,62.85,50.98249,2310900
"HCN","11/04/2013",64.99,65.13,64.36,65.11,52.81576,1408600
"HCN","11/01/2013",64.9,65.4,64.35,64.99,52.71843,1552100
"HCN","10/31/2013",64.76,65.33,64.56,64.85,52.60486,1599000
"HCN","10/30/2013",65.15,65.45,64.54,64.62,52.41829,2059100
"HCN","10/29/2013",65.9,66.12,64.86,65.29,52.96178,1561400
"HCN","10/28/2013",66.46,66.76,65.01,65.82,53.3917,1322400
"HCN","10/25/2013",65.57,66.76,65.43,66.47,53.91896,1666800
"HCN","10/24/2013",65.31,65.62,64.8,65.58,53.19701,1164100
"HCN","10/23/2013",65,65.41,64.57,65.29,52.96178,1703100
"HCN","10/22/2013",64.45,65.85,64.39,65.11,52.81576,1789500
"HCN","10/21/2013",64.83,65.03,63.99,64.45,52.28038,1821300
"HCN","10/18/2013",65.59,65.61,64.66,64.85,52.60486,1655800
"HCN","10/17/2013",64.49,65.36,64.28,65.27,52.94555,1964400
"HCN","10/16/2013",63.45,64.63,63.37,64.55,52.36151,1247000
"HCN","10/15/2013",63.16,63.89,62.95,63.22,51.28263,1448000
"HCN","10/14/2013",63.14,63.53,62.64,63.38,51.41242,1067400
"HCN","10/11/2013",62.99,63.67,62.72,63.66,51.63956,993100
"HCN","10/10/2013",61.88,63.12,61.81,63.09,51.17719,1278400
"HCN","10/09/2013",61.76,62.06,61.3,61.42,49.82253,1338700
"HCN","10/08/2013",62.04,62.5,61.57,61.62,49.98475,1598300
"HCN","10/07/2013",61.42,62.48,61.35,62.04,50.32544,1287500
"HCN","10/04/2013",61.61,62.16,61.28,61.85,50.17133,2542300
"HCN","10/03/2013",62.78,62.78,61.34,61.58,49.9523,2242300
"HCN","10/02/2013",63.04,63.39,62.18,62.78,50.92573,2246200
"HCN","10/01/2013",62.38,63.96,62.07,63.51,51.51788,1631100
"HCN","09/30/2013",62.88,63.45,62,62.38,50.60124,1483200
"HCN","09/27/2013",63.62,63.89,62.62,63.18,51.25018,1264700
"HCN","09/26/2013",63.57,63.73,63.2,63.72,51.68823,1022500
"HCN","09/25/2013",63.23,64.03,63.02,63.42,51.44487,1611400
"HCN","09/24/2013",62.93,63.7,62.7,63.07,51.16096,1870800
"HCN","09/23/2013",63.58,64.28,62.92,62.92,51.03928,1796800
"HCN","09/20/2013",65.54,65.54,63.73,63.73,51.69634,2591100
"HCN","09/19/2013",65.54,66.08,65.27,65.39,53.04289,2127500
"HCN","09/18/2013",62.8,65.65,61.9,65.59,53.20512,2483600
"HCN","09/17/2013",62.74,63.3,62.5,62.82,50.95817,1291000
"HCN","09/16/2013",62.55,63.33,62.47,62.81,50.95006,1998900
"HCN","09/13/2013",61.4,61.81,61.26,61.76,50.09832,922400
"HCN","09/12/2013",61.77,62.15,61.2,61.29,49.71706,1289900
"HCN","09/11/2013",61.51,61.79,61.27,61.77,50.10643,1267000
"HCN","09/10/2013",62.34,62.44,61.12,61.44,49.83874,1661100
"HCN","09/09/2013",60.86,62.22,60.65,62.14,50.40657,1670900
"HCN","09/06/2013",60.39,61.48,60.35,60.83,49.34393,1720800
"HCN","09/05/2013",61.21,61.25,59.88,60.02,48.68687,1268500
"HCN","09/04/2013",60.92,61.5,60.73,61.2,49.64406,1246600
"HCN","09/03/2013",61.8,61.8,60.35,60.84,49.35204,1722200
"HCN","08/30/2013",61.27,61.86,61.2,61.44,49.83874,2021200
"HCN","08/29/2013",61.46,61.46,60.71,61.28,49.70895,1628500
"HCN","08/28/2013",61.3,62.01,60.96,61.69,50.04154,1980000
"HCN","08/27/2013",60.64,61.7,60.5,61.51,49.89552,1390400
"HCN","08/26/2013",61.46,61.5,60.91,61.07,49.53861,1293000
"HCN","08/23/2013",60.84,61.6,60.67,61.46,49.85497,1936100
"HCN","08/22/2013",60.71,60.9,60.12,60.77,49.29525,2014100
"HCN","08/21/2013",59.98,61.83,59.35,60.71,49.24658,3024900
"HCN","08/20/2013",58.43,60.21,58.43,60.01,48.67876,3795100
"HCN","08/19/2013",58.37,58.94,58.16,58.32,47.30786,2732200
"HCN","08/16/2013",59.76,59.85,58.35,58.57,47.51067,3624500
"HCN","08/15/2013",60.75,60.79,59.51,59.89,48.58142,2200200
"HCN","08/14/2013",61.8,62.04,61.17,61.2,49.64406,1857300
"HCN","08/13/2013",63.18,63.19,61.76,62.06,50.34167,2143600
"HCN","08/12/2013",63.81,63.91,62.78,63.14,51.21775,1626400
"HCN","08/09/2013",62.83,64.23,62.79,63.74,51.70446,2286700
"HCN","08/08/2013",62.75,62.9,62.29,62.81,50.95006,1724500
"HCN","08/07/2013",63.15,63.39,62.64,62.74,50.89328,1716400
"HCN","08/06/2013",63.36,64.54,63.1,63.25,51.30697,1935500
"HCN","08/05/2013",63.47,64.14,63.26,63.34,51.37997,1344400
"HCN","08/02/2013",62.8,63.86,62.8,63.37,51.40431,2131700
"HCN","08/02/2013",0,0,0,0,0,0
"HCN","08/01/2013",64.67,64.85,63.56,63.58,50.95411,2316800
"HCN","07/31/2013",65.58,65.68,63.74,64.49,51.6834,1854800
"HCN","07/30/2013",65.9,66.36,65.18,65.58,52.55695,1149900
"HCN","07/29/2013",66.09,66.24,65.52,65.55,52.5329,827900
"HCN","07/26/2013",65.8,66.14,65.18,66.13,52.99772,892700
"HCN","07/25/2013",65.56,66.04,65.11,65.78,52.71723,1635200
"HCN","07/24/2013",67.82,67.95,65.3,65.68,52.63708,2070900
"HCN","07/23/2013",67.6,68.09,67.32,67.85,54.37616,1011300
"HCN","07/22/2013",67.75,67.9,67.14,67.41,54.02355,1692000
"HCN","07/19/2013",68.71,68.75,67.65,67.77,54.31205,1580600
"HCN","07/18/2013",68.15,68.51,67.84,68.49,54.88907,1121700
"HCN","07/17/2013",67.88,68.5,67.84,68.1,54.57652,1903200
"HCN","07/16/2013",67.56,68.15,67.54,67.8,54.33609,1301100
"HCN","07/15/2013",67.14,67.67,67,67.57,54.15176,1031000
"HCN","07/12/2013",68.6,68.79,66.71,67.11,53.78312,2301500
"HCN","07/11/2013",66.62,68.67,66.47,68.6,54.97722,2521600
"HCN","07/10/2013",65.62,66.06,64.91,65.68,52.63708,1809500
"HCN","07/09/2013",65.15,65.82,64.93,65.72,52.66914,1868700
"HCN","07/08/2013",65.36,66.12,64.54,64.75,51.89176,1974700
"HCN","07/05/2013",66.36,66.5,63.25,65.22,52.26843,2135200
"HCN","07/03/2013",66.77,66.88,65.5,66.06,52.94163,1448000
"HCN","07/02/2013",66.44,67.45,66.35,66.87,53.59078,2528300
"HCN","07/01/2013",67.56,67.68,66.24,66.39,53.2061,1603000
"HCN","06/28/2013",67.25,67.63,66.51,67.03,53.719,2599800
"HCN","06/27/2013",65.66,67.22,65.66,67.13,53.79913,2075200
"HCN","06/26/2013",64.87,65.63,64.81,65.49,52.48482,2829600
"HCN","06/25/2013",63.79,64.87,63.14,64.39,51.60326,2342800
"HCN","06/24/2013",62.94,64.6,61.86,63.27,50.70568,2895300
"HCN","06/21/2013",62.59,63.83,61.62,63.35,50.76979,5343200
"HCN","06/20/2013",65.07,65.07,61.85,62.1,49.76802,3635300
"HCN","06/19/2013",68.14,68.29,65.31,65.4,52.4127,2490500
"HCN","06/18/2013",67.64,68.59,67.64,68.15,54.61659,1850100
"HCN","06/17/2013",67.65,68.1,67.14,67.59,54.16779,2075100
"HCN","06/14/2013",66.9,68.1,66.73,67.37,53.99149,2071800
"HCN","06/13/2013",65.16,67.16,65.01,66.96,53.6629,2985600
"HCN","06/12/2013",67.2,67.3,65.31,65.5,52.49282,1886100
"HCN","06/11/2013",66.86,67.53,66.6,66.82,53.5507,1507500
"HCN","06/10/2013",68.28,68.44,67.01,67.32,53.95142,1784200
"HCN","06/07/2013",68.18,68.5,67.47,68.29,54.72878,2241400
"HCN","06/06/2013",67,67.95,66.47,67.93,54.44028,2185600
"HCN","06/05/2013",67.43,67.58,66.67,66.85,53.57475,1564800
