"symbol","date","open","high","low","close","adjclose","volume"
"IFF","12/31/2013",85.9,86.28,85.67,85.98,80.26124,292900
"IFF","12/30/2013",86.02,86.43,85.9,85.99,80.27055,368000
"IFF","12/27/2013",86.4,86.42,85.83,85.94,80.22388,180300
"IFF","12/26/2013",86.17,86.4,85.7,86.12,80.39191,235900
"IFF","12/24/2013",85.62,86.36,85.13,86.07,80.34524,94300
"IFF","12/24/2013",0,0,0,0,0,0
"IFF","12/23/2013",86.31,86.59,85.68,85.75,79.68246,270400
"IFF","12/20/2013",85.34,85.95,84.85,85.64,79.58025,1996100
"IFF","12/19/2013",85.19,85.59,84.78,85.1,79.07845,706000
"IFF","12/18/2013",84.06,85.56,83.05,85.54,79.48732,603000
"IFF","12/17/2013",84.14,84.64,83.51,84.05,78.10275,475000
"IFF","12/16/2013",84.74,85,83.69,84.19,78.23287,616200
"IFF","12/13/2013",85.03,85.59,84.56,84.7,78.70675,335300
"IFF","12/12/2013",84.95,85.41,84.32,84.94,78.92976,420800
"IFF","12/11/2013",86.01,86.49,84.92,85.07,79.05057,451200
"IFF","12/10/2013",86.22,86.43,85.46,85.96,79.87759,275900
"IFF","12/09/2013",86.46,86.87,85.99,86.29,80.18426,255600
"IFF","12/06/2013",85.75,86.33,85.36,86.31,80.20283,320900
"IFF","12/05/2013",84.7,85.74,84.45,84.75,78.75323,484600
"IFF","12/04/2013",86.12,86.49,84.58,85.25,79.21783,380300
"IFF","12/03/2013",87.44,87.77,85.45,86.6,80.47231,574900
"IFF","12/02/2013",88.54,90.09,87.77,87.87,81.65247,286800
"IFF","11/29/2013",88.82,88.98,88.26,88.35,82.09848,202500
"IFF","11/27/2013",88.24,88.7,88,88.42,82.16351,219800
"IFF","11/26/2013",88.98,88.98,88.06,88.25,82.00557,327500
"IFF","11/25/2013",88.8,88.98,87.73,88.05,81.81973,261700
"IFF","11/22/2013",88.56,88.81,87.86,88.42,82.16351,286100
"IFF","11/21/2013",88.59,88.9,88.06,88.33,82.0799,257800
