"symbol","date","open","high","low","close","adjclose","volume"
"IR","12/31/2013",61.69,61.85,61.26,61.6,57.07468,1446100
"IR","12/30/2013",61.33,61.97,61.19,61.77,57.23221,1434500
"IR","12/27/2013",61.21,61.43,60.97,61.17,56.67628,1190400
"IR","12/26/2013",61.1,61.4,60.65,61.16,56.66701,919000
"IR","12/24/2013",60.78,61.26,60.71,60.86,56.38905,744100
"IR","12/23/2013",60.48,61.15,60.21,60.96,56.48171,1921500
"IR","12/20/2013",59.27,60.39,59.05,60.12,55.70341,2873300
"IR","12/19/2013",58.54,59.3,58.51,59.15,54.80468,1713700
"IR","12/18/2013",57.76,59.05,57.42,58.96,54.62863,2540500
"IR","12/17/2013",57.96,58.11,57.28,57.44,53.22029,1861600
"IR","12/16/2013",57.11,58.08,57.03,57.79,53.54458,1810200
"IR","12/13/2013",57.2,57.43,56.74,56.82,52.64584,2094700
"IR","12/12/2013",56.19,57.15,56.14,56.92,52.73849,2708700
"IR","12/11/2013",56.66,56.78,55.95,56.01,51.89534,2755500
"IR","12/10/2013",56.54,57.08,56.44,56.67,52.50686,2048500
"IR","12/09/2013",55.81,56.99,55.73,56.81,52.63658,2473100
"IR","12/06/2013",56.65,57.09,56.29,56.69,52.52538,3124300
"IR","12/05/2013",55.76,56.07,55.57,55.76,51.66371,3450000
"IR","12/04/2013",55.64,56.13,55.35,55.9,51.79343,3497100
"IR","12/03/2013",55.34,56.31,54.83,56.03,51.91388,4255800
"IR","12/02/2013",56.9,57.32,55.49,55.56,51.47841,4592600
"IR","12/02/2013",0,0,0,0,0,0
"IR","11/29/2013",56.7492,57.30831,56.64537,57.04473,52.85407,1600400
"IR","11/27/2013",56.17412,56.88498,55.97444,56.78914,52.61724,3449200
"IR","11/26/2013",55.9984,56.31789,55.70288,56.17412,52.04741,3870900
"IR","11/25/2013",55.3115,56.25399,55.08786,55.90256,51.7958,4887000
"IR","11/22/2013",54.377,55.02396,54.02556,54.98402,50.94474,3492200
"IR","11/21/2013",54.10543,54.39297,53.90575,54.28914,50.3009,4741500
"IR","11/20/2013",54.02556,54.29712,53.61821,54.09744,50.1233,3451000
"IR","11/19/2013",53.92173,54.28914,53.52237,54.00959,50.04189,5330800
"IR","11/18/2013",54.82428,55.16773,53.73802,53.97763,50.01228,3460200
"IR","11/15/2013",54.64058,54.80831,54.07348,54.73642,50.71533,3091600
"IR","11/14/2013",54.13738,54.40096,53.73802,54.3131,50.3231,2129100
"IR","11/13/2013",53.92971,54.6246,53.41054,53.94569,49.98269,4753700
"IR","11/12/2013",53.75399,54.20927,53.3147,54.12939,50.1529,3425400
"IR","11/11/2013",54.13738,54.27316,53.80192,53.88978,49.93087,2010000
"IR","11/08/2013",53.19489,54.08147,53.16294,54.07348,50.10109,1548700
"IR","11/07/2013",54.01757,54.377,53.10703,53.1869,49.27964,1586200
"IR","11/06/2013",54.12939,54.52876,53.91374,54.08946,50.11589,1217100
"IR","11/05/2013",53.96166,54.16933,53.21086,53.92971,49.96788,1345100
"IR","11/04/2013",54.30511,54.34505,53.83387,54.07348,50.10109,920500
"IR","11/01/2013",54.01757,54.48882,53.41054,54.10543,50.13068,1541700
"IR","10/31/2013",53.42652,54.52077,53.28275,53.9377,49.97528,1855900
"IR","10/30/2013",54.41693,54.55272,53.27476,53.58626,49.64967,1398800
"IR","10/30/2013",0,0,0,0,0,0
"IR","10/29/2013",53.89776,54.40895,53.58626,54.33706,50.15073,1291600
"IR","10/28/2013",54.09744,54.17731,53.69009,53.76198,49.61996,1639600
"IR","10/25/2013",54.08147,54.20927,53.37061,54.19329,50.01803,1994000
"IR","10/24/2013",54.00959,54.16933,53.25879,54.03355,49.87061,2200000
"IR","10/23/2013",54.48083,54.70447,53.78594,53.89776,49.74528,2062900
"IR","10/22/2013",54.3131,55.0639,53.96965,54.54473,50.34239,3077900
"IR","10/21/2013",53.51438,54.16933,53.16294,54.13738,49.96644,2907700
"IR","10/18/2013",53.29073,54.57668,52.16454,53.39457,49.28086,7491000
"IR","10/17/2013",50.39936,50.8147,50.2476,50.73483,46.82603,7288800
"IR","10/16/2013",51.51757,51.78115,50.30351,50.59904,46.70071,4607900
"IR","10/15/2013",52.18051,52.29233,51.42971,51.61342,47.63693,1613000
"IR","10/14/2013",52.13259,52.61981,51.63738,52.46006,48.41835,1577100
"IR","10/11/2013",51.53355,52.59585,51.41374,52.50799,48.46258,1571300
"IR","10/10/2013",50.7508,51.66933,50.63898,51.62141,47.6443,2208600
"IR","10/09/2013",50.29553,50.40735,49.34505,50.1278,46.26576,2506200
"IR","10/08/2013",51.30192,51.58147,50.05591,50.17572,46.31,2833000
"IR","10/07/2013",52.28434,52.30032,51.31789,51.32588,47.37154,1705800
"IR","10/04/2013",51.84505,52.95527,51.70927,52.78754,48.72059,1826700
"IR","10/03/2013",52.01278,52.20447,51.19808,51.877,47.88021,1864800
"IR","10/02/2013",51.80511,52.06869,51.49361,52.0607,48.04975,1755000
"IR","10/01/2013",52.09265,52.35623,51.73323,52.05272,48.04238,1216000
"IR","09/30/2013",51.73323,52.0607,51.5016,51.86901,47.87283,2586700
"IR","09/27/2013",52.07668,52.69169,52.0607,52.2524,48.22668,1175600
"IR","09/26/2013",52.6837,52.73962,52.19649,52.41214,48.37412,1344000
"IR","09/25/2013",52.50799,52.91534,52.02876,52.63578,48.58053,1957500
"IR","09/24/2013",51.66933,53.21086,51.66933,52.5639,48.51418,2821000
"IR","09/23/2013",52.29233,52.38818,51.42971,51.7492,47.76225,1401800
"IR","09/20/2013",52.14856,52.73962,52.10863,52.3163,48.28566,4905200
"IR","09/19/2013",52.30032,52.61182,52.1885,52.24441,48.2193,1915300
"IR","09/18/2013",51.66933,52.36422,51.16613,52.01278,48.00553,1871300
"IR","09/17/2013",51.47763,51.77316,51.26997,51.70128,47.71802,1201600
"IR","09/16/2013",51.6853,51.75719,51.18211,51.54153,47.57059,1963000
"IR","09/13/2013",50.61502,50.88658,50.55112,50.76677,46.85551,1027000
"IR","09/12/2013",50.9984,51.40575,50.48722,50.49521,46.60487,1944800
"IR","09/11/2013",51.83706,51.83706,50.71885,51.01438,47.08404,2489800
"IR","09/11/2013",0,0,0,0,0,0
"IR","09/10/2013",50.28754,51.80511,50.27955,51.76517,47.58317,3135500
"IR","09/09/2013",49.52077,50.00799,49.32907,49.80831,45.78439,1889100
"IR","09/06/2013",49.35303,49.91214,48.69009,49.33706,45.35122,1993600
"IR","09/05/2013",49.22524,49.52077,48.95367,49.23323,45.25578,2208200
"IR","09/04/2013",48.32269,49.17731,48.22684,49.16933,45.19704,2338400
"IR","09/03/2013",47.97124,48.5623,47.97124,48.34665,44.44081,3440300
"IR","08/30/2013",47.73962,47.73962,47.0607,47.23642,43.42029,1278200
"IR","08/29/2013",47.10064,47.88338,47.09265,47.59585,43.75068,1197400
"IR","08/28/2013",47.41214,47.59585,47.2524,47.30032,43.47903,1336200
"IR","08/27/2013",48.32269,48.33067,47.36422,47.36422,43.53776,2023100
"IR","08/26/2013",49.10543,49.54473,48.83387,48.95367,44.99881,1836800
"IR","08/23/2013",49.13738,49.36102,48.78594,49.10543,45.13831,1413800
"IR","08/22/2013",48.34665,49.22524,48.23483,48.97763,45.02083,1440100
"IR","08/21/2013",47.89936,48.61821,47.82748,48.11502,44.22791,2541600
"IR","08/20/2013",48.1869,48.27476,47.83546,48.05112,44.16917,2006200
"IR","08/19/2013",48.49041,48.73003,48.06709,48.11502,44.22791,2252200
"IR","08/16/2013",47.99521,48.99361,47.99521,48.66613,44.7345,1950200
"IR","08/15/2013",49.0016,49.0016,48.0591,48.11502,44.22791,1629300
"IR","08/14/2013",49.4409,49.68051,49.2492,49.4968,45.49806,1556800
"IR","08/13/2013",49.04153,49.59265,48.73003,49.53674,45.53477,1836600
"IR","08/12/2013",48.52237,49.26517,48.35463,49.01757,45.05754,1893600
"IR","08/09/2013",48.91374,49.01757,48.53834,48.73003,44.79323,2510300
"IR","08/08/2013",49.2492,49.32907,49.00959,49.1853,45.21173,1777700
"IR","08/07/2013",48.54633,49.16134,48.46645,48.96965,45.0135,2307400
"IR","08/06/2013",49.52077,49.52077,48.45847,48.6262,44.69778,2321800
"IR","08/05/2013",49.71246,49.96006,49.36102,49.6885,45.67427,1538800
"IR","08/02/2013",49.28914,49.96805,48.99361,49.92812,45.89452,2550000
"IR","08/01/2013",49.34505,49.74441,49.29712,49.60863,45.60086,2359200
"IR","07/31/2013",48.9377,49.34505,48.72205,48.76198,44.8226,1597500
"IR","07/30/2013",49.08946,49.30511,48.69808,48.80192,44.85931,1293100
"IR","07/29/2013",48.68211,49.0016,48.61022,48.71406,44.77855,1138900
"IR","07/26/2013",48.48243,48.86581,48.27476,48.84185,44.89602,2004300
"IR","07/25/2013",48.1869,48.98562,48.14697,48.84984,44.90337,2263700
"IR","07/24/2013",49.07348,49.32907,48.3147,48.36262,44.45551,3558800
"IR","07/23/2013",49.4968,49.76038,48.49041,48.73802,44.80058,3291200
"IR","07/22/2013",50.59904,50.59904,49.12141,49.27316,45.29249,3955900
"IR","07/19/2013",49.45687,50.58307,48.43451,50.27955,46.21757,4620000
"IR","07/18/2013",47.10064,48.05112,47.02876,47.85942,43.99295,2294400
"IR","07/17/2013",46.65335,47.1246,46.65335,46.93291,43.14129,1691400
"IR","07/16/2013",47.30032,47.38818,46.31789,46.46166,42.70811,2556300
