"symbol","date","open","high","low","close","adjclose","volume"
"IRM","12/31/2013",28.28096,28.38263,27.84658,28.04991,21.76279,838600
"IRM","12/30/2013",28.14233,28.40111,28.09612,28.1793,21.86317,861900
"IRM","12/27/2013",28.39187,28.39187,28.02218,28.23475,21.9062,531600
"IRM","12/26/2013",28.28096,28.4658,27.96673,28.27172,21.93488,1108900
"IRM","12/24/2013",27.51386,28.27172,27.33826,28.23475,21.9062,1094800
"IRM","12/24/2013",0,0,0,0,0,0
"IRM","12/23/2013",27.61553,28.08688,27.53235,27.81885,21.38991,1729300
"IRM","12/20/2013",27.09797,27.56932,27.02403,27.55083,21.18383,2445600
"IRM","12/19/2013",27.12569,27.36599,26.86691,27.01479,20.77167,1276100
"IRM","12/18/2013",26.65434,27.31054,26.47874,27.12569,20.85694,1993500
"IRM","12/17/2013",27.07024,27.24584,26.55268,26.68207,20.51584,1673900
"IRM","12/16/2013",27.27357,27.53235,27.03327,27.28281,20.97775,1711200
"IRM","12/13/2013",26.91312,27.37523,26.87616,27.25508,20.95643,1331800
"IRM","12/12/2013",26.84843,27.00554,26.52495,26.84843,20.64375,2053400
"IRM","12/11/2013",26.37708,27.20887,26.31238,26.95934,20.72903,2723800
"IRM","12/10/2013",26.68207,26.8207,26.36784,26.37708,20.28133,818700
"IRM","12/09/2013",26.4695,26.73752,26.38632,26.49723,20.37371,1016900
"IRM","12/06/2013",26.23845,26.65434,26.21996,26.47874,20.3595,1141200
"IRM","12/05/2013",26.26617,26.65434,26.00739,26.09982,20.06814,1576700
"IRM","12/04/2013",25.67468,26.34011,25.46211,26.25693,20.18895,2493500
"IRM","12/03/2013",25.75786,25.99815,25.51756,25.72089,19.77678,935700
"IRM","12/02/2013",25.98891,26.09057,25.71165,25.89649,19.91181,1254300
"IRM","11/29/2013",26.07209,26.19224,25.90573,25.98891,19.98287,468100
"IRM","11/27/2013",26.03512,26.20148,25.7024,26.04436,20.02551,1897900
"IRM","11/26/2013",26.22921,26.24769,25.84104,25.95194,19.95444,1391500
"IRM","11/25/2013",26.2939,26.42329,26.02588,26.18299,20.1321,1193800
"IRM","11/22/2013",26.38632,26.42329,26.07209,26.24769,20.18184,1151400
"IRM","11/21/2013",26.54344,26.74677,26.2939,26.40481,20.30265,2615900
"IRM","11/20/2013",27.47689,27.56007,26.4695,26.5342,20.40214,1788800
"IRM","11/19/2013",27.70795,27.77264,26.84843,27.43993,21.09855,2635800
"IRM","11/18/2013",27.92052,28.37338,27.49538,27.77264,21.35438,2471100
"IRM","11/15/2013",26.35859,28.01294,26.2939,27.86506,21.42544,7883800
"IRM","11/14/2013",24.48244,27.07024,24.4085,26.33087,20.2458,5672800
"IRM","11/13/2013",24.81516,24.90758,24.31608,24.44547,18.79612,1840000
"IRM","11/12/2013",24.9353,25.02773,24.8244,24.95379,19.18697,999700
"IRM","11/11/2013",24.8244,25.04621,24.77819,24.95379,19.18697,898300
"IRM","11/08/2013",24.49168,24.90758,24.41775,24.87985,19.13011,1478200
"IRM","11/07/2013",24.2976,24.76895,24.2976,24.49168,18.83165,1928600
"IRM","11/06/2013",24.09427,24.36229,23.98336,24.30684,18.68952,1554100
"IRM","11/05/2013",23.96488,24.0573,23.58595,24.0573,18.49765,1910000
"IRM","11/04/2013",24.17745,24.31608,23.82625,24.00185,18.45502,1509200
"IRM","11/01/2013",24.50093,24.51017,23.79852,24.13124,18.55451,2978900
"IRM","10/31/2013",25.50832,25.84104,23.98336,24.52865,18.86007,1596000
